"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","LTINT","TOT","PC_PA","M","1953-04",2.83,
"USA","LTINT","TOT","PC_PA","M","1953-05",3.05,
"USA","LTINT","TOT","PC_PA","M","1953-06",3.11,
"USA","LTINT","TOT","PC_PA","M","1953-07",2.93,
"USA","LTINT","TOT","PC_PA","M","1953-08",2.95,
"USA","LTINT","TOT","PC_PA","M","1953-09",2.87,
"USA","LTINT","TOT","PC_PA","M","1953-10",2.66,
"USA","LTINT","TOT","PC_PA","M","1953-11",2.68,
"USA","LTINT","TOT","PC_PA","M","1953-12",2.59,
"USA","LTINT","TOT","PC_PA","M","1954-01",2.48,
"USA","LTINT","TOT","PC_PA","M","1954-02",2.47,
"USA","LTINT","TOT","PC_PA","M","1954-03",2.37,
"USA","LTINT","TOT","PC_PA","M","1954-04",2.29,
"USA","LTINT","TOT","PC_PA","M","1954-05",2.37,
"USA","LTINT","TOT","PC_PA","M","1954-06",2.38,
"USA","LTINT","TOT","PC_PA","M","1954-07",2.3,
"USA","LTINT","TOT","PC_PA","M","1954-08",2.36,
"USA","LTINT","TOT","PC_PA","M","1954-09",2.38,
"USA","LTINT","TOT","PC_PA","M","1954-10",2.43,
"USA","LTINT","TOT","PC_PA","M","1954-11",2.48,
"USA","LTINT","TOT","PC_PA","M","1954-12",2.51,
"USA","LTINT","TOT","PC_PA","M","1955-01",2.61,
"USA","LTINT","TOT","PC_PA","M","1955-02",2.65,
"USA","LTINT","TOT","PC_PA","M","1955-03",2.68,
"USA","LTINT","TOT","PC_PA","M","1955-04",2.75,
"USA","LTINT","TOT","PC_PA","M","1955-05",2.76,
"USA","LTINT","TOT","PC_PA","M","1955-06",2.78,
"USA","LTINT","TOT","PC_PA","M","1955-07",2.9,
"USA","LTINT","TOT","PC_PA","M","1955-08",2.97,
"USA","LTINT","TOT","PC_PA","M","1955-09",2.97,
"USA","LTINT","TOT","PC_PA","M","1955-10",2.88,
"USA","LTINT","TOT","PC_PA","M","1955-11",2.89,
"USA","LTINT","TOT","PC_PA","M","1955-12",2.96,
"USA","LTINT","TOT","PC_PA","M","1956-01",2.9,
"USA","LTINT","TOT","PC_PA","M","1956-02",2.84,
"USA","LTINT","TOT","PC_PA","M","1956-03",2.96,
"USA","LTINT","TOT","PC_PA","M","1956-04",3.18,
"USA","LTINT","TOT","PC_PA","M","1956-05",3.07,
"USA","LTINT","TOT","PC_PA","M","1956-06",3,
"USA","LTINT","TOT","PC_PA","M","1956-07",3.11,
"USA","LTINT","TOT","PC_PA","M","1956-08",3.33,
"USA","LTINT","TOT","PC_PA","M","1956-09",3.38,
"USA","LTINT","TOT","PC_PA","M","1956-10",3.34,
"USA","LTINT","TOT","PC_PA","M","1956-11",3.49,
"USA","LTINT","TOT","PC_PA","M","1956-12",3.59,
"USA","LTINT","TOT","PC_PA","M","1957-01",3.46,
"USA","LTINT","TOT","PC_PA","M","1957-02",3.34,
"USA","LTINT","TOT","PC_PA","M","1957-03",3.41,
"USA","LTINT","TOT","PC_PA","M","1957-04",3.48,
"USA","LTINT","TOT","PC_PA","M","1957-05",3.6,
"USA","LTINT","TOT","PC_PA","M","1957-06",3.8,
"USA","LTINT","TOT","PC_PA","M","1957-07",3.93,
"USA","LTINT","TOT","PC_PA","M","1957-08",3.93,
"USA","LTINT","TOT","PC_PA","M","1957-09",3.92,
"USA","LTINT","TOT","PC_PA","M","1957-10",3.97,
"USA","LTINT","TOT","PC_PA","M","1957-11",3.72,
"USA","LTINT","TOT","PC_PA","M","1957-12",3.21,
"USA","LTINT","TOT","PC_PA","M","1958-01",3.09,
"USA","LTINT","TOT","PC_PA","M","1958-02",3.05,
"USA","LTINT","TOT","PC_PA","M","1958-03",2.98,
"USA","LTINT","TOT","PC_PA","M","1958-04",2.88,
"USA","LTINT","TOT","PC_PA","M","1958-05",2.92,
"USA","LTINT","TOT","PC_PA","M","1958-06",2.97,
"USA","LTINT","TOT","PC_PA","M","1958-07",3.2,
"USA","LTINT","TOT","PC_PA","M","1958-08",3.54,
"USA","LTINT","TOT","PC_PA","M","1958-09",3.76,
"USA","LTINT","TOT","PC_PA","M","1958-10",3.8,
"USA","LTINT","TOT","PC_PA","M","1958-11",3.74,
"USA","LTINT","TOT","PC_PA","M","1958-12",3.86,
"USA","LTINT","TOT","PC_PA","M","1959-01",4.02,
"USA","LTINT","TOT","PC_PA","M","1959-02",3.96,
"USA","LTINT","TOT","PC_PA","M","1959-03",3.99,
"USA","LTINT","TOT","PC_PA","M","1959-04",4.12,
"USA","LTINT","TOT","PC_PA","M","1959-05",4.31,
