Date,Ticker,Name,Action
12/24/07,HOLX,"Hologic, Inc.",Added
12/24/07,FMCN,Focus Media Holding Limited,Added
12/24/07,HANS,Hansen Natural Corporation,Added
12/24/07,STLD,"Steel Dynamics, Inc.",Added
12/24/07,SRCL,"Stericycle, Inc.",Added
12/24/07,ERIC,LM Ericsson Telephone Company,Removed
12/24/07,PTEN,"Patterson-UTI Energy, Inc.",Removed
12/24/07,ROST,"Ross Stores, Inc.",Removed
12/24/07,SEPR,Sepracor Inc.,Removed
12/24/07,XMSR,XM Satellite Radio Holdings Inc.,Removed
12/22/08,ADP,"Automatic Data Processing, Inc.",Added
12/22/08,FSLR,"First Solar, Inc.",Added
12/22/08,LIFE,Life Technologies Corporation,Added
12/22/08,ROST,"Ross Stores, Inc.",Added
12/22/08,MXIM,"Maxim Integrated Products, Inc.",Added
12/22/08,ILMN,"Illumina, Inc.",Added
12/22/08,PPDI,"Pharmaceutical Product Development, Inc.",Added
12/22/08,ORLY,"O'Reilly Automotive, Inc.",Added
12/22/08,URBN,"Urban Outfitters, Inc.",Added
12/22/08,JBHT,"J.B. Hunt Transport Services, Inc.",Added
12/22/08,WCRX,Warner Chilcott Limited,Added
12/22/08,AMLN,"Amylin Pharmaceuticals, Inc.",Removed
12/22/08,CDNS,"Cadence Design Systems, Inc.",Removed
12/22/08,DISCA,"Discovery Communications, Inc.'s Class A",Removed
12/22/08,LAMR,Lamar Advertising Company,Removed
12/22/08,LEAP,"Leap Wireless International, Inc.",Removed
12/22/08,LVLT,"Level 3 Communications, Inc.",Removed
12/22/08,PETM,"PetSmart, Inc.",Removed
12/22/08,SIRI,Sirius XM Radio Inc.,Removed
12/22/08,SNDK,SanDisk Corporation,Removed
12/22/08,VMED,Virgin Media Inc.,Removed
12/22/08,WFMI,"Whole Foods Market, Inc.",Removed
12/21/09,VOD,Vodafone Group Plc,Added
12/21/09,MAT,"Mattel, Inc.",Added
12/21/09,BMC,"BMC Software, Inc.",Added
12/21/09,MYL,"Mylan, Inc.",Added
12/21/09,QGEN,Qiagen N.V.,Added
12/21/09,SNDK,SanDisk Corporation,Added
12/21/09,VMED,Virgin Media Inc.,Added
12/21/09,AKAM,"Akamai Technologies, Inc.",Removed
12/21/09,HANS,Hansen Natural Corporation,Removed
12/21/09,IACI,IAC/InterActive Corp,Removed
12/21/09,LBTYA,Liberty Global's Class A Common Stock,Removed
12/21/09,PPDI,"Pharmaceutical Product Development, Inc.",Removed
12/21/09,RYAAY,Ryanair Holdings plc,Removed
12/21/09,STLD,"Steel Dynamics, Inc.",Removed
12/20/10,AKAM,"Akamai Technologies, Inc.",Added
12/20/10,CTRP,"Ctrip.com International, Ltd.",Added
12/20/10,DLTR,"Dollar Tree, Inc.",Added
12/20/10,FFIV,"F5 Networks, Inc.",Added
12/20/10,MU,"Micron Technology, Inc.",Added
12/20/10,NFLX,"Netﬂix, Inc.",Added
12/20/10,WFMI,"Whole Foods Market, Inc.",Added
12/20/10,CTAS,Cintas Corporation,Removed
12/20/10,DISH,DISH Network Corporation,Removed
12/20/10,FWLT,Foster Wheeler AG,Removed
12/20/10,HOLX,"Hologic, Inc.",Removed
12/20/10,JBHT,"J.B. Hunt Transport Services, Inc.",Removed
12/20/10,LOGI,Logitech International S.A.,Removed
12/20/10,PDCO,"Patterson Companies, Inc.",Removed
12/19/11,AVGO,Avago Technologies Limited,Added
12/19/11,FOSL,"Fossil, Inc.",Added
12/19/11,GOLD,Rangold Resources Limited,Added
12/19/11,HANS,Hansen Natural Corporation,Added
12/19/11,NUAN,"Nuance Communications, Inc.",Added
12/19/11,FLIR,"FLIR Systems, Inc.",Removed
12/19/11,ILMN,"Illumina, Inc.",Removed
12/19/11,NIHD,"NII Holdings, Inc.",Removed
12/19/11,QGEN,QIAGEN N.V.,Removed
12/19/11,URBN,"Urban Outfitters, Inc.",Removed
12/24/12,ADI,"Analog Devices, Inc.",Added
12/24/12,CTRX,Catamaran Corporation,Added
12/24/12,DISCA,"Discovery Communications, Inc.",Added
12/24/12,EQIX,"Equinix, Inc.",Added
12/24/12,LBTYA,"Liberty Global, Inc.",Added
12/24/12,LMCA,Liberty Media Corporation,Added
12/24/12,REGN,"Regeneron Pharmaceuticals, Inc.",Added
12/24/12,SBAC,SBA Communications Corporation,Added
12/24/12,VRSK,"Verisk Analytics, Inc.",Added
12/24/12,WDC,Western Digital Corporation,Added
12/24/12,APOL,"Apollo Group, Inc.",Removed
12/24/12,EA,Electronic Arts Inc.,Removed
12/24/12,FLEX,Flextronics International Ltd.,Removed
12/24/12,GMCR,"Green Mountain Coffee Roasters, Inc.",Removed
12/24/12,LRCX,Lam Research Corporation,Removed
12/24/12,MRVL,Marvell Technology Group Ltd.,Removed
12/24/12,NFLX,"Netflix, Inc.",Removed
12/24/12,RIMM,Research In Motion Limited,Removed
