Date,AAPL,AMZN,NFLX,AMD,NVDA,MSFT,WMT,IBM,KO,PSX,PG,BAC,WFC
2000-01-03,0.85,4.47,,15.5,0.9,36.45,44.22,64.06,15.01,,29.15,13.44,10.44
2000-01-04,0.78,4.1,,14.62,0.87,35.22,42.57,61.88,15.03,,28.59,12.65,9.92
2000-01-05,0.79,3.49,,15.0,0.84,35.59,41.7,64.06,15.16,,28.05,12.78,9.82
2000-01-06,0.72,3.28,,16.0,0.79,34.4,42.15,62.95,15.18,,29.34,13.88,10.25
2000-01-07,0.76,3.48,,16.25,0.8,34.85,45.34,62.68,16.17,,31.68,13.51,10.44
2000-01-10,0.74,3.46,,17.5,0.83,35.1,44.51,65.16,15.66,,31.53,13.04,10.1
2000-01-11,0.71,3.34,,17.25,0.79,34.2,43.85,65.71,16.19,,32.02,12.77,9.94
2000-01-12,0.66,3.18,,18.12,0.77,33.09,43.06,65.99,16.37,,31.82,12.91,10.22
2000-01-13,0.74,3.3,,18.88,0.81,33.72,43.1,65.3,16.12,,31.28,13.2,10.79
2000-01-14,0.76,3.21,,20.19,0.84,35.1,42.69,66.06,16.26,,31.82,14.02,11.12
2000-01-18,0.79,3.21,,19.5,0.88,36.06,43.39,63.92,17.3,,31.8,13.32,10.37
2000-01-19,0.81,3.34,,19.59,0.87,33.46,42.4,65.99,17.37,,31.46,13.32,9.8
2000-01-20,0.86,3.24,,19.5,0.87,33.15,41.95,65.71,17.54,,30.7,13.07,9.7
2000-01-21,0.85,3.1,,18.94,0.86,32.45,41.32,67.09,17.8,,28.0,12.68,9.77
2000-01-24,0.81,3.51,,17.25,0.82,31.66,39.3,67.09,17.27,,28.12,12.37,9.57
2000-01-25,0.85,3.46,,20.0,0.81,32.15,40.46,65.78,17.54,,26.59,12.52,10.04
2000-01-26,0.84,3.24,,18.5,0.78,31.08,40.99,64.47,16.79,,27.44,13.08,10.14
2000-01-27,0.84,3.35,,18.47,0.74,30.88,39.13,62.68,15.84,,28.38,13.36,10.4
2000-01-28,0.77,3.08,,17.62,0.71,30.73,36.48,61.61,15.16,,27.36,12.7,10.34
2000-01-31,0.79,3.23,,18.0,0.71,30.61,36.24,61.99,15.29,,27.56,13.44,10.67
2000-02-01,0.76,3.37,,18.28,0.73,32.19,38.84,60.74,15.47,,27.13,13.6,10.79
