Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1980-12-12,0.13,0.13,0.13,0.13,0.1,469033600,0.0,0.0
1980-12-15,0.12,0.12,0.12,0.12,0.09,175884800,0.0,0.0
1980-12-16,0.11,0.11,0.11,0.11,0.09,105728000,0.0,0.0
1980-12-17,0.12,0.12,0.12,0.12,0.09,86441600,0.0,0.0
1980-12-18,0.12,0.12,0.12,0.12,0.09,73449600,0.0,0.0
1980-12-19,0.13,0.13,0.13,0.13,0.1,48630400,0.0,0.0
1980-12-22,0.13,0.13,0.13,0.13,0.1,37363200,0.0,0.0
1980-12-23,0.14,0.14,0.14,0.14,0.11,46950400,0.0,0.0
1980-12-24,0.15,0.15,0.15,0.15,0.11,48003200,0.0,0.0
1980-12-26,0.16,0.16,0.16,0.16,0.12,55574400,0.0,0.0
1980-12-29,0.16,0.16,0.16,0.16,0.13,93161600,0.0,0.0
1980-12-30,0.16,0.16,0.16,0.16,0.12,68880000,0.0,0.0
1980-12-31,0.15,0.15,0.15,0.15,0.12,35750400,0.0,0.0
1981-01-02,0.15,0.16,0.15,0.15,0.12,21660800,0.0,0.0
1981-01-05,0.15,0.15,0.15,0.15,0.12,35728000,0.0,0.0
1981-01-06,0.14,0.14,0.14,0.14,0.11,45158400,0.0,0.0
1981-01-07,0.14,0.14,0.14,0.14,0.11,55686400,0.0,0.0
1981-01-08,0.14,0.14,0.14,0.14,0.11,39827200,0.0,0.0
1981-01-09,0.14,0.14,0.14,0.14,0.11,21504000,0.0,0.0
1981-01-12,0.14,0.14,0.14,0.14,0.11,23699200,0.0,0.0
1981-01-13,0.14,0.14,0.14,0.14,0.11,23049600,0.0,0.0
1981-01-14,0.14,0.14,0.14,0.14,0.11,14291200,0.0,0.0
1981-01-15,0.14,0.14,0.14,0.14,0.11,14067200,0.0,0.0
1981-01-16,0.14,0.14,0.14,0.14,0.11,13395200,0.0,0.0
1981-01-19,0.15,0.15,0.15,0.15,0.11,41574400,0.0,0.0
1981-01-20,0.14,0.14,0.14,0.14,0.11,30083200,0.0,0.0
1981-01-21,0.15,0.15,0.15,0.15,0.11,15904000,0.0,0.0
1981-01-22,0.15,0.15,0.15,0.15,0.11,35548800,0.0,0.0
1981-01-23,0.15,0.15,0.15,0.15,0.11,11222400,0.0,0.0
1981-01-26,0.14,0.14,0.14,0.14,0.11,24640000,0.0,0.0
1981-01-27,0.14,0.14,0.14,0.14,0.11,23699200,0.0,0.0
1981-01-28,0.14,0.14,0.14,0.14,0.11,28156800,0.0,0.0
1981-01-29,0.13,0.13,0.13,0.13,0.1,43904000,0.0,0.0
1981-01-30,0.13,0.13,0.13,0.13,0.1,46188800,0.0,0.0
1981-02-02,0.12,0.12,0.12,0.12,0.09,23766400,0.0,0.0
1981-02-03,0.12,0.12,0.12,0.12,0.1,19152000,0.0,0.0
1981-02-04,0.13,0.13,0.13,0.13,0.1,27865600,0.0,0.0
1981-02-05,0.13,0.13,0.13,0.13,0.1,7929600,0.0,0.0
1981-02-06,0.13,0.13,0.13,0.13,0.1,13865600,0.0,0.0
1981-02-09,0.12,0.12,0.12,0.12,0.09,16755200,0.0,0.0
1981-02-10,0.12,0.12,0.12,0.12,0.09,18345600,0.0,0.0
1981-02-11,0.12,0.12,0.12,0.12,0.09,13843200,0.0,0.0
1981-02-12,0.12,0.12,0.12,0.12,0.09,14560000,0.0,0.0
1981-02-13,0.11,0.11,0.11,0.11,0.09,11155200,0.0,0.0
1981-02-17,0.12,0.12,0.12,0.12,0.09,12275200,0.0,0.0
1981-02-18,0.12,0.12,0.12,0.12,0.09,19241600,0.0,0.0
1981-02-19,0.11,0.11,0.11,0.11,0.09,22310400,0.0,0.0
1981-02-20,0.11,0.11,0.11,0.11,0.08,24371200,0.0,0.0
1981-02-23,0.11,0.11,0.11,0.11,0.09,14112000,0.0,0.0
1981-02-24,0.11,0.11,0.11,0.11,0.08,16979200,0.0,0.0
1981-02-25,0.11,0.11,0.11,0.11,0.09,19488000,0.0,0.0
1981-02-26,0.11,0.11,0.11,0.11,0.09,10841600,0.0,0.0
1981-02-27,0.12,0.12,0.12,0.12,0.09,14761600,0.0,0.0
1981-03-02,0.12,0.12,0.12,0.12,0.09,11760000,0.0,0.0
1981-03-03,0.12,0.12,0.12,0.12,0.09,16172800,0.0,0.0
1981-03-04,0.12,0.12,0.12,0.12,0.09,13708800,0.0,0.0
1981-03-05,0.12,0.12,0.12,0.12,0.09,5376000,0.0,0.0
1981-03-06,0.12,0.12,0.11,0.11,0.09,11603200,0.0,0.0
1981-03-09,0.11,0.11,0.11,0.11,0.08,15321600,0.0,0.0
1981-03-10,0.1,0.1,0.1,0.1,0.08,28380800,0.0,0.0
1981-03-11,0.1,0.1,0.1,0.1,0.08,29859200,0.0,0.0
1981-03-12,0.1,0.1,0.1,0.1,0.08,59248000,0.0,0.0
1981-03-13,0.1,0.1,0.1,0.1,0.08,231302400,0.0,0.0
1981-03-16,0.1,0.1,0.1,0.1,0.08,37228800,0.0,0.0
1981-03-17,0.11,0.11,0.11,0.11,0.08,43747200,0.0,0.0
1981-03-18,0.11,0.12,0.11,0.11,0.09,36937600,0.0,0.0
1981-03-19,0.11,0.11,0.11,0.11,0.09,37811200,0.0,0.0
1981-03-20,0.11,0.12,0.11,0.11,0.09,14604800,0.0,0.0
1981-03-23,0.12,0.12,0.12,0.12,0.09,22019200,0.0,0.0
1981-03-24,0.12,0.12,0.12,0.12,0.09,28156800,0.0,0.0
1981-03-25,0.12,0.12,0.12,0.12,0.09,7056000,0.0,0.0
1981-03-26,0.11,0.11,0.11,0.11,0.09,12275200,0.0,0.0
1981-03-27,0.11,0.11,0.11,0.11,0.09,12252800,0.0,0.0
1981-03-30,0.11,0.11,0.11,0.11,0.09,9900800,0.0,0.0
1981-03-31,0.11,0.11,0.11,0.11,0.09,15993600,0.0,0.0
1981-04-01,0.11,0.11,0.11,0.11,0.08,34070400,0.0,0.0
1981-04-02,0.12,0.12,0.12,0.12,0.09,31404800,0.0,0.0
1981-04-03,0.12,0.12,0.12,0.12,0.09,16486400,0.0,0.0
1981-04-06,0.12,0.12,0.12,0.12,0.09,22803200,0.0,0.0
1981-04-07,0.12,0.12,0.11,0.11,0.09,10684800,0.0,0.0
1981-04-08,0.12,0.12,0.12,0.12,0.09,21952000,0.0,0.0
1981-04-09,0.12,0.12,0.12,0.12,0.1,12499200,0.0,0.0
1981-04-10,0.12,0.12,0.12,0.12,0.1,33465600,0.0,0.0
1981-04-13,0.12,0.12,0.12,0.12,0.1,16060800,0.0,0.0
1981-04-14,0.12,0.12,0.12,0.12,0.1,6652800,0.0,0.0
1981-04-15,0.12,0.12,0.12,0.12,0.09,34048000,0.0,0.0
1981-04-16,0.11,0.11,0.11,0.11,0.09,23878400,0.0,0.0
1981-04-20,0.11,0.12,0.11,0.11,0.09,35347200,0.0,0.0
1981-04-21,0.12,0.12,0.12,0.12,0.1,28537600,0.0,0.0
1981-04-22,0.13,0.13,0.13,0.13,0.1,18995200,0.0,0.0
1981-04-23,0.13,0.13,0.13,0.13,0.1,58016000,0.0,0.0
1981-04-24,0.13,0.13,0.13,0.13,0.1,35056000,0.0,0.0
1981-04-27,0.13,0.13,0.13,0.13,0.1,38528000,0.0,0.0
1981-04-28,0.13,0.13,0.13,0.13,0.1,32188800,0.0,0.0
1981-04-29,0.12,0.12,0.12,0.12,0.1,13641600,0.0,0.0
1981-04-30,0.13,0.13,0.13,0.13,0.1,12611200,0.0,0.0
1981-05-01,0.13,0.13,0.13,0.13,0.1,16553600,0.0,0.0
1981-05-04,0.13,0.13,0.13,0.13,0.1,14448000,0.0,0.0
1981-05-05,0.13,0.13,0.13,0.13,0.1,17539200,0.0,0.0
1981-05-06,0.12,0.12,0.12,0.12,0.1,18950400,0.0,0.0
1981-05-07,0.12,0.12,0.12,0.12,0.1,9363200,0.0,0.0
1981-05-08,0.12,0.13,0.12,0.12,0.1,7907200,0.0,0.0
1981-05-11,0.12,0.12,0.12,0.12,0.1,11939200,0.0,0.0
1981-05-12,0.12,0.12,0.12,0.12,0.1,4256000,0.0,0.0
1981-05-13,0.12,0.12,0.12,0.12,0.09,4905600,0.0,0.0
1981-05-14,0.12,0.12,0.12,0.12,0.09,4928000,0.0,0.0
1981-05-15,0.12,0.12,0.12,0.12,0.1,4905600,0.0,0.0
1981-05-18,0.12,0.13,0.12,0.12,0.1,4166400,0.0,0.0
1981-05-19,0.12,0.12,0.12,0.12,0.1,25424000,0.0,0.0
1981-05-20,0.13,0.13,0.13,0.13,0.1,13283200,0.0,0.0
1981-05-21,0.13,0.13,0.13,0.13,0.1,32211200,0.0,0.0
1981-05-22,0.14,0.14,0.14,0.14,0.11,31427200,0.0,0.0
1981-05-26,0.14,0.14,0.14,0.14,0.11,85344000,0.0,0.0
1981-05-27,0.15,0.15,0.15,0.15,0.11,149497600,0.0,0.0
1981-05-28,0.15,0.15,0.15,0.15,0.11,73987200,0.0,0.0
1981-05-29,0.15,0.15,0.15,0.15,0.12,59382400,0.0,0.0
1981-06-01,0.15,0.15,0.15,0.15,0.12,51251200,0.0,0.0
1981-06-02,0.14,0.14,0.14,0.14,0.11,40432000,0.0,0.0
1981-06-03,0.14,0.14,0.14,0.14,0.11,39446400,0.0,0.0
1981-06-04,0.14,0.14,0.14,0.14,0.11,56067200,0.0,0.0
1981-06-05,0.14,0.14,0.14,0.14,0.11,57680000,0.0,0.0
1981-06-08,0.14,0.14,0.14,0.14,0.11,93497600,0.0,0.0
1981-06-09,0.14,0.14,0.14,0.14,0.11,119593600,0.0,0.0
1981-06-10,0.14,0.14,0.14,0.14,0.11,25222400,0.0,0.0
1981-06-11,0.15,0.15,0.15,0.15,0.11,38976000,0.0,0.0
1981-06-12,0.15,0.15,0.15,0.15,0.11,25804800,0.0,0.0
1981-06-15,0.15,0.15,0.14,0.14,0.11,143763200,0.0,0.0
1981-06-16,0.14,0.14,0.14,0.14,0.11,37251200,0.0,0.0
1981-06-17,0.14,0.14,0.14,0.14,0.11,27574400,0.0,0.0
1981-06-18,0.14,0.14,0.14,0.14,0.11,23049600,0.0,0.0
1981-06-19,0.14,0.14,0.14,0.14,0.11,27507200,0.0,0.0
1981-06-22,0.13,0.13,0.13,0.13,0.1,10841600,0.0,0.0
1981-06-23,0.13,0.13,0.13,0.13,0.1,15030400,0.0,0.0
1981-06-24,0.13,0.13,0.13,0.13,0.1,23027200,0.0,0.0
1981-06-25,0.13,0.13,0.13,0.13,0.1,24259200,0.0,0.0
1981-06-26,0.13,0.13,0.13,0.13,0.1,23788800,0.0,0.0
1981-06-29,0.13,0.13,0.13,0.13,0.1,10595200,0.0,0.0
1981-06-30,0.12,0.12,0.12,0.12,0.09,35907200,0.0,0.0
1981-07-01,0.12,0.12,0.11,0.11,0.09,170464000,0.0,0.0
1981-07-02,0.11,0.12,0.11,0.11,0.09,30284800,0.0,0.0
1981-07-06,0.11,0.11,0.11,0.11,0.09,16531200,0.0,0.0
1981-07-07,0.11,0.11,0.11,0.11,0.09,15836800,0.0,0.0
1981-07-08,0.12,0.12,0.12,0.12,0.09,16620800,0.0,0.0
1981-07-09,0.11,0.11,0.11,0.11,0.08,32883200,0.0,0.0
1981-07-10,0.1,0.1,0.1,0.1,0.08,55171200,0.0,0.0
1981-07-13,0.1,0.1,0.1,0.1,0.08,45740800,0.0,0.0
1981-07-14,0.11,0.11,0.11,0.11,0.08,19779200,0.0,0.0
1981-07-15,0.11,0.11,0.11,0.11,0.08,10953600,0.0,0.0
1981-07-16,0.11,0.11,0.11,0.11,0.09,15232000,0.0,0.0
1981-07-17,0.12,0.12,0.12,0.12,0.09,19824000,0.0,0.0
1981-07-20,0.11,0.11,0.11,0.11,0.08,23654400,0.0,0.0
1981-07-21,0.11,0.11,0.11,0.11,0.08,31942400,0.0,0.0
1981-07-22,0.1,0.1,0.1,0.1,0.08,22668800,0.0,0.0
1981-07-23,0.1,0.1,0.1,0.1,0.08,34451200,0.0,0.0
1981-07-24,0.11,0.11,0.11,0.11,0.08,28851200,0.0,0.0
1981-07-27,0.11,0.11,0.11,0.11,0.09,17337600,0.0,0.0
1981-07-28,0.11,0.11,0.11,0.11,0.08,22848000,0.0,0.0
1981-07-29,0.11,0.11,0.11,0.11,0.08,15500800,0.0,0.0
1981-07-30,0.11,0.11,0.11,0.11,0.09,9900800,0.0,0.0
1981-07-31,0.11,0.11,0.11,0.11,0.09,10953600,0.0,0.0
1981-08-03,0.11,0.11,0.11,0.11,0.09,12432000,0.0,0.0
1981-08-04,0.11,0.11,0.11,0.11,0.09,31673600,0.0,0.0
1981-08-05,0.12,0.12,0.12,0.12,0.09,17494400,0.0,0.0
