Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1986-08-13,0.0,0.22,0.21,0.21,0.2,18899200,0.0,0.0
1986-08-14,0.0,0.23,0.22,0.22,0.21,4160000,0.0,0.0
1986-08-15,0.0,0.22,0.22,0.22,0.21,4332800,0.0,0.0
1986-08-18,0.0,0.22,0.21,0.21,0.2,2828800,0.0,0.0
1986-08-19,0.0,0.22,0.21,0.21,0.2,2060800,0.0,0.0
1986-08-20,0.0,0.23,0.21,0.21,0.2,684800,0.0,0.0
1986-08-21,0.0,0.23,0.22,0.22,0.21,883200,0.0,0.0
1986-08-22,0.0,0.23,0.22,0.22,0.21,1734400,0.0,0.0
1986-08-25,0.0,0.22,0.21,0.21,0.2,627200,0.0,0.0
1986-08-26,0.0,0.22,0.21,0.21,0.2,793600,0.0,0.0
1986-08-27,0.0,0.22,0.21,0.21,0.2,2540800,0.0,0.0
1986-08-28,0.0,0.22,0.21,0.21,0.19,1555200,0.0,0.0
1986-08-29,0.0,0.22,0.21,0.21,0.19,1548800,0.0,0.0
1986-09-02,0.0,0.23,0.22,0.22,0.21,1068800,0.0,0.0
1986-09-03,0.0,0.23,0.22,0.22,0.21,403200,0.0,0.0
1986-09-04,0.0,0.26,0.25,0.25,0.23,1804800,0.0,0.0
1986-09-05,0.0,0.26,0.25,0.25,0.23,2137600,0.0,0.0
1986-09-08,0.0,0.25,0.24,0.24,0.23,492800,0.0,0.0
1986-09-09,0.0,0.26,0.25,0.25,0.23,499200,0.0,0.0
1986-09-10,0.0,0.27,0.26,0.26,0.25,934400,0.0,0.0
1986-09-11,0.0,0.24,0.23,0.23,0.22,1798400,0.0,0.0
1986-09-12,0.0,0.24,0.23,0.23,0.22,1286400,0.0,0.0
1986-09-15,0.0,0.27,0.26,0.26,0.24,998400,0.0,0.0
1986-09-16,0.0,0.28,0.27,0.27,0.25,1254400,0.0,0.0
1986-09-17,0.0,0.3,0.29,0.29,0.27,1356800,0.0,0.0
1986-09-18,0.0,0.3,0.29,0.29,0.27,352000,0.0,0.0
1986-09-19,0.0,0.3,0.29,0.29,0.27,1024000,0.0,0.0
1986-09-22,0.0,0.29,0.28,0.28,0.26,780800,0.0,0.0
1986-09-23,0.0,0.28,0.27,0.27,0.25,1798400,0.0,0.0
1986-09-24,0.0,0.29,0.27,0.27,0.26,1312000,0.0,0.0
1986-09-25,0.0,0.28,0.27,0.27,0.25,1657600,0.0,0.0
1986-09-26,0.0,0.28,0.27,0.27,0.25,768000,0.0,0.0
1986-09-29,0.0,0.28,0.27,0.27,0.25,473600,0.0,0.0
1986-09-30,0.0,0.29,0.27,0.27,0.25,192000,0.0,0.0
1986-10-01,0.0,0.29,0.27,0.27,0.25,371200,0.0,0.0
1986-10-02,0.0,0.29,0.27,0.27,0.25,224000,0.0,0.0
1986-10-03,0.0,0.28,0.27,0.27,0.25,44800,0.0,0.0
1986-10-06,0.0,0.29,0.27,0.27,0.26,128000,0.0,0.0
1986-10-07,0.0,0.29,0.27,0.27,0.26,198400,0.0,0.0
1986-10-08,0.0,0.29,0.27,0.27,0.26,204800,0.0,0.0
1986-10-09,0.0,0.29,0.27,0.27,0.26,793600,0.0,0.0
1986-10-10,0.0,0.29,0.27,0.27,0.26,224000,0.0,0.0
1986-10-13,0.0,0.29,0.28,0.28,0.26,454400,0.0,0.0
1986-10-14,0.0,0.29,0.28,0.28,0.26,480000,0.0,0.0
1986-10-15,0.0,0.29,0.28,0.28,0.26,352000,0.0,0.0
1986-10-16,0.0,0.29,0.28,0.28,0.26,352000,0.0,0.0
1986-10-17,0.0,0.29,0.28,0.28,0.26,83200,0.0,0.0
1986-10-20,0.0,0.29,0.28,0.28,0.26,44800,0.0,0.0
1986-10-21,0.0,0.29,0.29,0.29,0.27,326400,0.0,0.0
1986-10-22,0.0,0.3,0.29,0.29,0.27,1100800,0.0,0.0
1986-10-23,0.0,0.3,0.29,0.29,0.28,742400,0.0,0.0
1986-10-24,0.0,0.32,0.32,0.32,0.3,1651200,0.0,0.0
1986-10-27,0.0,0.33,0.32,0.32,0.3,729600,0.0,0.0
1986-10-28,0.0,0.33,0.32,0.32,0.3,1804800,0.0,0.0
1986-10-29,0.0,0.36,0.35,0.35,0.33,11667200,0.0,0.0
1986-10-30,0.0,0.38,0.37,0.37,0.35,2150400,0.0,0.0
1986-10-31,0.0,0.37,0.37,0.37,0.34,1990400,0.0,0.0
1986-11-03,0.0,0.36,0.35,0.35,0.33,1388800,0.0,0.0
1986-11-04,0.0,0.35,0.34,0.34,0.32,2003200,0.0,0.0
1986-11-05,0.0,0.35,0.34,0.34,0.32,1094400,0.0,0.0
1986-11-06,0.0,0.36,0.35,0.35,0.33,2329600,0.0,0.0
1986-11-07,0.0,0.36,0.35,0.35,0.33,1094400,0.0,0.0
1986-11-10,0.0,0.37,0.36,0.36,0.34,2528000,0.0,0.0
1986-11-11,0.0,0.36,0.36,0.36,0.34,876800,0.0,0.0
1986-11-12,0.0,0.37,0.36,0.36,0.34,441600,0.0,0.0
1986-11-13,0.0,0.36,0.36,0.36,0.33,550400,0.0,0.0
1986-11-14,0.0,0.37,0.36,0.36,0.34,448000,0.0,0.0
1986-11-17,0.0,0.36,0.36,0.36,0.33,684800,0.0,0.0
1986-11-18,0.0,0.36,0.35,0.35,0.33,1062400,0.0,0.0
1986-11-19,0.0,0.36,0.35,0.35,0.33,364800,0.0,0.0
1986-11-20,0.0,0.36,0.35,0.35,0.33,454400,0.0,0.0
1986-11-21,0.0,0.36,0.35,0.35,0.33,89600,0.0,0.0
1986-11-24,0.0,0.36,0.35,0.35,0.33,256000,0.0,0.0
1986-11-25,0.0,0.36,0.35,0.35,0.33,518400,0.0,0.0
1986-11-26,0.0,0.38,0.37,0.37,0.35,1664000,0.0,0.0
1986-11-28,0.0,0.39,0.38,0.38,0.36,518400,0.0,0.0
1986-12-01,0.0,0.39,0.38,0.38,0.36,684800,0.0,0.0
