Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1980-03-17,0.0,0.76,0.73,0.73,0.47,378125,0.0,0.0
1980-03-18,0.0,0.73,0.71,0.72,0.46,215625,0.0,0.0
1980-03-19,0.0,0.74,0.72,0.72,0.46,153125,0.0,0.0
1980-03-20,0.0,0.73,0.72,0.72,0.46,43750,0.0,0.0
1980-03-21,0.0,0.72,0.69,0.69,0.44,556250,0.0,0.0
1980-03-24,0.0,0.69,0.63,0.64,0.41,384375,0.0,0.0
1980-03-25,0.0,0.62,0.59,0.62,0.4,325000,0.0,0.0
1980-03-26,0.0,0.64,0.62,0.64,0.41,100000,0.0,0.0
1980-03-27,0.0,0.62,0.6,0.6,0.39,512500,0.0,0.0
1980-03-28,0.0,0.64,0.62,0.64,0.41,246875,0.0,0.0
1980-03-31,0.0,0.64,0.63,0.64,0.41,62500,0.0,0.0
1980-04-01,0.0,0.65,0.64,0.64,0.41,50000,0.0,0.0
1980-04-02,0.0,0.66,0.64,0.66,0.42,128125,0.0,0.0
1980-04-03,0.0,0.66,0.65,0.65,0.42,128125,0.0,0.0
1980-04-07,0.0,0.64,0.62,0.62,0.4,265625,0.0,0.0
1980-04-08,0.0,0.63,0.62,0.63,0.41,96875,0.0,0.0
1980-04-09,0.0,0.64,0.64,0.64,0.41,50000,0.0,0.0
1980-04-10,0.0,0.66,0.64,0.66,0.42,53125,0.0,0.0
1980-04-11,0.0,0.66,0.64,0.65,0.42,243750,0.0,0.0
1980-04-14,0.0,0.64,0.63,0.63,0.41,162500,0.0,0.0
1980-04-15,0.0,0.64,0.62,0.62,0.4,37500,0.0,0.0
1980-04-16,0.0,0.64,0.62,0.63,0.41,142500,0.0,1.25
1980-04-17,0.0,0.62,0.61,0.62,0.4,182500,0.0,0.0
1980-04-18,0.0,0.63,0.61,0.61,0.39,397500,0.0,0.0
1980-04-21,0.0,0.62,0.61,0.61,0.39,25000,0.0,0.0
1980-04-22,0.0,0.64,0.61,0.64,0.42,390000,0.0,0.0
1980-04-23,0.0,0.65,0.64,0.65,0.42,505000,0.0,0.0
1980-04-24,0.0,0.65,0.64,0.64,0.42,232500,0.0,0.0
1980-04-25,0.0,0.65,0.64,0.65,0.42,147500,0.0,0.0
1980-04-28,0.0,0.67,0.65,0.66,0.43,167500,0.0,0.0
1980-04-29,0.0,0.67,0.65,0.65,0.42,35000,0.0,0.0
1980-04-30,0.0,0.67,0.65,0.66,0.43,102500,0.0,0.0
1980-05-01,0.0,0.66,0.65,0.65,0.42,217500,0.0,0.0
1980-05-02,0.0,0.65,0.64,0.64,0.42,222500,0.0,0.0
1980-05-05,0.0,0.65,0.63,0.65,0.42,267500,0.0,0.0
1980-05-06,0.0,0.64,0.64,0.64,0.41,87500,0.0,0.0
1980-05-07,0.0,0.64,0.62,0.64,0.41,137500,0.0,0.0
