Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1980-03-17,0.0,0.83,0.81,0.82,0.42,1158040,0.0,0.0
1980-03-18,0.0,0.83,0.81,0.83,0.42,1622063,0.0,0.0
1980-03-19,0.0,0.84,0.83,0.84,0.43,1367859,0.0,0.0
1980-03-20,0.0,0.86,0.84,0.84,0.43,3046412,0.0,0.0
1980-03-21,0.0,0.85,0.84,0.84,0.43,1020851,0.0,0.0
1980-03-24,0.0,0.84,0.83,0.83,0.43,778752,0.0,0.0
1980-03-25,0.0,0.84,0.83,0.83,0.43,944186,0.0,0.0
1980-03-26,0.0,0.84,0.83,0.84,0.43,2332220,0.0,0.0
1980-03-27,0.0,0.83,0.81,0.81,0.42,770682,0.0,0.0
1980-03-28,0.0,0.84,0.83,0.84,0.43,459988,0.0,0.0
1980-03-31,0.0,0.85,0.84,0.85,0.43,250169,0.0,0.0
1980-04-01,0.0,0.86,0.85,0.86,0.44,201749,0.0,0.0
1980-04-02,0.0,0.9,0.86,0.9,0.46,758577,0.0,0.0
1980-04-03,0.0,0.93,0.9,0.92,0.47,1480839,0.0,0.0
1980-04-07,0.0,0.92,0.9,0.9,0.46,464023,0.0,0.0
1980-04-08,0.0,0.9,0.89,0.89,0.45,1355754,0.0,0.0
1980-04-09,0.0,0.89,0.89,0.89,0.45,347009,0.0,0.0
1980-04-10,0.0,0.9,0.89,0.9,0.46,314729,0.0,0.0
1980-04-11,0.0,0.92,0.9,0.9,0.46,710157,0.0,0.0
1980-04-14,0.0,0.9,0.89,0.89,0.46,205784,0.0,0.0
1980-04-15,0.0,0.9,0.9,0.9,0.46,197714,0.0,0.0
1980-04-16,0.0,0.92,0.9,0.9,0.46,2134506,0.0,0.0
1980-04-17,0.0,0.9,0.89,0.9,0.46,1371894,0.0,0.0
1980-04-18,0.0,0.91,0.9,0.9,0.46,391393,0.0,0.0
1980-04-21,0.0,0.9,0.9,0.9,0.46,379288,0.0,0.0
1980-04-22,0.0,0.93,0.9,0.9,0.46,1125760,0.0,0.0
1980-04-23,0.0,0.92,0.9,0.91,0.47,625422,0.0,0.0
1980-04-24,0.0,0.92,0.91,0.92,0.47,246134,0.0,0.0
1980-04-25,0.0,0.92,0.91,0.91,0.47,121049,0.0,0.0
1980-04-28,0.0,0.93,0.91,0.93,0.47,347009,0.0,0.0
1980-04-29,0.0,0.93,0.92,0.92,0.47,1166110,0.0,0.0
1980-04-30,0.0,0.93,0.92,0.92,0.47,431743,0.0,0.0
1980-05-01,0.0,0.95,0.93,0.94,0.48,500338,0.0,0.0
1980-05-02,0.0,0.95,0.94,0.94,0.48,217889,0.0,0.0
1980-05-05,0.0,0.95,0.94,0.95,0.49,455953,0.0,0.0
1980-05-06,0.0,0.95,0.94,0.95,0.49,375253,0.0,0.0
1980-05-07,0.0,0.95,0.94,0.94,0.48,407533,0.0,0.0
1980-05-08,0.0,0.95,0.94,0.95,0.49,1343649,0.0,0.0
1980-05-09,0.0,0.95,0.94,0.94,0.48,669807,0.0,0.0
