Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1980-03-17,0.0,0.1,0.1,0.1,0.07,3600000,0.0,0.0
1980-03-18,0.0,0.1,0.09,0.09,0.07,3715200,0.0,0.0
1980-03-19,0.0,0.1,0.1,0.1,0.07,2016000,0.0,0.0
1980-03-20,0.0,0.1,0.1,0.1,0.07,3657600,0.0,0.0
1980-03-21,0.0,0.1,0.1,0.1,0.07,3024000,0.0,0.0
1980-03-24,0.0,0.1,0.1,0.1,0.07,2649600,0.0,0.0
1980-03-25,0.0,0.1,0.09,0.09,0.07,4320000,0.0,0.0
1980-03-26,0.0,0.09,0.08,0.08,0.06,3312000,0.0,0.0
1980-03-27,0.0,0.08,0.08,0.08,0.06,9993600,0.0,0.0
1980-03-28,0.0,0.09,0.09,0.09,0.06,6134400,0.0,0.0
1980-03-31,0.0,0.1,0.09,0.09,0.07,6134400,0.0,0.0
1980-04-01,0.0,0.1,0.09,0.09,0.07,3542400,0.0,0.0
1980-04-02,0.0,0.09,0.09,0.09,0.07,4147200,0.0,1.5
1980-04-03,0.0,0.1,0.09,0.09,0.07,4646400,0.0,0.0
1980-04-07,0.0,0.09,0.08,0.08,0.06,940800,0.0,0.0
1980-04-08,0.0,0.09,0.09,0.09,0.07,1152000,0.0,0.0
1980-04-09,0.0,0.09,0.09,0.09,0.06,2400000,0.0,0.0
1980-04-10,0.0,0.09,0.09,0.09,0.06,1152000,0.0,0.0
1980-04-11,0.0,0.09,0.09,0.09,0.06,1056000,0.0,0.0
1980-04-14,0.0,0.09,0.09,0.09,0.06,326400,0.0,0.0
1980-04-15,0.0,0.09,0.09,0.09,0.06,1094400,0.0,0.0
1980-04-16,0.0,0.09,0.09,0.09,0.06,960000,0.0,0.0
1980-04-17,0.0,0.09,0.09,0.09,0.06,979200,0.0,0.0
1980-04-18,0.0,0.09,0.09,0.09,0.06,576000,0.0,0.0
1980-04-21,0.0,0.09,0.08,0.08,0.06,3494400,0.0,0.0
1980-04-22,0.0,0.1,0.09,0.09,0.07,4051200,0.0,0.0
1980-04-23,0.0,0.1,0.1,0.1,0.07,1747200,0.0,0.0
1980-04-24,0.0,0.1,0.1,0.1,0.07,1056000,0.0,0.0
1980-04-25,0.0,0.1,0.1,0.1,0.07,2073600,0.0,0.0
1980-04-28,0.0,0.1,0.1,0.1,0.07,1075200,0.0,0.0
1980-04-29,0.0,0.1,0.1,0.1,0.07,902400,0.0,0.0
1980-04-30,0.0,0.1,0.1,0.1,0.07,96000,0.0,0.0
1980-05-01,0.0,0.1,0.1,0.1,0.07,844800,0.0,0.0
1980-05-02,0.0,0.1,0.1,0.1,0.07,1171200,0.0,0.0
1980-05-05,0.0,0.1,0.1,0.1,0.07,633600,0.0,0.0
1980-05-06,0.0,0.1,0.1,0.1,0.07,192000,0.0,0.0
1980-05-07,0.0,0.1,0.1,0.1,0.07,10272000,0.0,0.0
1980-05-08,0.0,0.1,0.09,0.09,0.07,13056000,0.0,0.0
1980-05-09,0.0,0.1,0.09,0.09,0.07,5625600,0.0,0.0
1980-05-12,0.0,0.1,0.1,0.1,0.07,2841600,0.0,0.0
1980-05-13,0.0,0.1,0.1,0.1,0.07,1632000,0.0,0.0
1980-05-14,0.0,0.1,0.1,0.1,0.07,3398400,0.0,0.0
1980-05-15,0.0,0.1,0.1,0.1,0.07,3340800,0.0,0.0
1980-05-16,0.0,0.1,0.1,0.1,0.07,2880000,0.0,0.0
1980-05-19,0.0,0.1,0.1,0.1,0.07,2457600,0.0,0.0
1980-05-20,0.0,0.1,0.1,0.1,0.07,1593600,0.0,0.0
1980-05-21,0.0,0.1,0.09,0.09,0.07,1574400,0.0,0.0
1980-05-22,0.0,0.1,0.1,0.1,0.07,2841600,0.0,0.0
1980-05-23,0.0,0.11,0.1,0.1,0.08,4070400,0.0,0.0
1980-05-27,0.0,0.11,0.11,0.11,0.08,4992000,0.0,0.0
1980-05-28,0.0,0.11,0.11,0.11,0.08,3168000,0.0,0.0
1980-05-29,0.0,0.11,0.11,0.11,0.08,5203200,0.0,0.0
1980-05-30,0.0,0.11,0.11,0.11,0.08,2323200,0.0,0.0
1980-06-02,0.0,0.11,0.11,0.11,0.08,1516800,0.0,0.0
1980-06-03,0.0,0.11,0.1,0.1,0.08,2438400,0.0,0.0
1980-06-04,0.0,0.11,0.11,0.11,0.08,2592000,0.0,0.0
1980-06-05,0.0,0.11,0.11,0.11,0.08,3148800,0.0,0.0
1980-06-06,0.0,0.11,0.11,0.11,0.08,2707200,0.0,0.0
1980-06-09,0.0,0.11,0.11,0.11,0.08,2956800,0.0,0.0
1980-06-10,0.0,0.11,0.11,0.11,0.08,883200,0.0,0.0
1980-06-11,0.0,0.11,0.11,0.11,0.08,4108800,0.0,0.0
1980-06-12,0.0,0.11,0.11,0.11,0.08,2707200,0.0,0.0
1980-06-13,0.0,0.11,0.11,0.11,0.08,1382400,0.0,0.0
1980-06-16,0.0,0.11,0.11,0.11,0.08,2457600,0.0,0.0
1980-06-17,0.0,0.11,0.11,0.11,0.08,2323200,0.0,0.0
1980-06-18,0.0,0.11,0.11,0.11,0.08,3417600,0.0,0.0
1980-06-19,0.0,0.11,0.1,0.1,0.08,2092800,0.0,0.0
1980-06-20,0.0,0.11,0.1,0.1,0.08,2150400,0.0,0.0
1980-06-23,0.0,0.1,0.1,0.1,0.07,1209600,0.0,0.0
1980-06-24,0.0,0.11,0.1,0.1,0.08,2438400,0.0,0.0
