Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1983-06-17,0.0,0.35,0.34,0.34,0.26,42936000,0.0,0.0
1983-06-20,0.0,0.31,0.3,0.3,0.23,7329600,0.0,0.0
1983-06-21,0.0,0.31,0.3,0.3,0.23,2280000,0.0,0.0
1983-06-22,0.0,0.32,0.31,0.31,0.23,5937600,0.0,0.0
1983-06-23,0.0,0.32,0.31,0.31,0.23,1272000,0.0,0.0
1983-06-24,0.0,0.31,0.31,0.31,0.23,1574400,0.0,0.0
1983-06-27,0.0,0.28,0.27,0.27,0.2,5884800,0.0,0.0
1983-06-28,0.0,0.28,0.27,0.27,0.2,4987200,0.0,0.0
1983-06-29,0.0,0.27,0.27,0.27,0.2,1056000,0.0,0.0
1983-06-30,0.0,0.28,0.27,0.27,0.2,2164800,0.0,0.0
1983-07-01,0.0,0.28,0.27,0.27,0.2,350400,0.0,0.0
1983-07-05,0.0,0.27,0.26,0.26,0.2,576000,0.0,0.0
1983-07-06,0.0,0.27,0.26,0.26,0.2,638400,0.0,0.0
1983-07-07,0.0,0.27,0.27,0.27,0.2,1046400,0.0,0.0
1983-07-08,0.0,0.27,0.26,0.26,0.2,681600,0.0,0.0
1983-07-11,0.0,0.27,0.27,0.27,0.2,729600,0.0,0.0
1983-07-12,0.0,0.28,0.27,0.27,0.2,777600,0.0,0.0
1983-07-13,0.0,0.29,0.28,0.28,0.21,4420800,0.0,0.0
1983-07-14,0.0,0.29,0.28,0.28,0.21,777600,0.0,0.0
1983-07-15,0.0,0.29,0.28,0.28,0.21,897600,0.0,0.0
1983-07-18,0.0,0.28,0.28,0.28,0.21,456000,0.0,0.0
1983-07-19,0.0,0.28,0.27,0.27,0.2,417600,0.0,0.0
1983-07-20,0.0,0.27,0.27,0.27,0.2,484800,0.0,0.0
1983-07-21,0.0,0.27,0.26,0.26,0.19,1156800,0.0,0.0
1983-07-22,0.0,0.26,0.25,0.25,0.19,3038400,0.0,0.0
1983-07-25,0.0,0.26,0.25,0.25,0.19,1401600,0.0,0.0
1983-07-26,0.0,0.26,0.25,0.25,0.19,2697600,0.0,0.0
1983-07-27,0.0,0.25,0.24,0.24,0.18,566400,0.0,0.0
1983-07-28,0.24,0.24,0.24,0.24,0.18,0,0.0,0.0
1983-07-29,0.0,0.25,0.24,0.24,0.18,734400,0.0,0.0
1983-08-01,0.0,0.24,0.23,0.23,0.18,710400,0.0,0.0
1983-08-02,0.0,0.24,0.23,0.23,0.17,225600,0.0,0.0
1983-08-03,0.0,0.24,0.23,0.23,0.17,105600,0.0,0.0
1983-08-04,0.0,0.23,0.22,0.22,0.17,360000,0.0,0.0
1983-08-05,0.0,0.23,0.22,0.22,0.16,417600,0.0,0.0
1983-08-08,0.0,0.22,0.21,0.21,0.16,292800,0.0,0.0
1983-08-09,0.0,0.21,0.21,0.21,0.15,849600,0.0,0.0
1983-08-10,0.0,0.21,0.21,0.21,0.15,700800,0.0,0.0
1983-08-11,0.0,0.21,0.21,0.21,0.15,124800,0.0,0.0
1983-08-12,0.0,0.21,0.21,0.21,0.15,201600,0.0,0.0
1983-08-15,0.0,0.21,0.2,0.2,0.15,585600,0.0,0.0
1983-08-16,0.0,0.21,0.2,0.2,0.15,235200,0.0,0.0
1983-08-17,0.0,0.21,0.2,0.2,0.15,153600,0.0,0.0
