Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1992-01-17,20.75,21.75,18.25,20.75,20.75,3879200,0.0,0.0
1992-01-20,21.0,21.5,20.75,21.0,21.0,694500,0.0,0.0
1992-01-21,19.38,21.25,19.25,19.38,19.38,927100,0.0,0.0
1992-01-22,20.0,20.75,19.38,20.0,20.0,382000,0.0,0.0
1992-01-23,20.5,21.25,20.5,20.5,20.5,413200,0.0,0.0
1992-01-24,21.38,21.75,20.25,21.38,21.38,343600,0.0,0.0
1992-01-27,23.0,24.5,22.5,23.0,23.0,432100,0.0,0.0
1992-01-28,21.0,23.0,20.75,21.0,21.0,231300,0.0,0.0
1992-01-29,21.0,21.5,20.5,21.0,21.0,288300,0.0,0.0
1992-01-30,20.25,21.5,20.25,20.25,20.25,183600,0.0,0.0
1992-01-31,19.75,20.75,19.75,19.75,19.75,224900,0.0,0.0
1992-02-03,20.0,20.75,19.75,20.0,20.0,153600,0.0,0.0
1992-02-04,19.75,20.75,19.75,19.75,19.75,70800,0.0,0.0
1992-02-05,19.0,20.0,18.75,19.0,19.0,129200,0.0,0.0
1992-02-06,18.0,19.25,18.0,18.0,18.0,142200,0.0,0.0
1992-02-07,18.25,19.25,18.25,18.25,18.25,207800,0.0,0.0
1992-02-10,16.75,18.75,16.25,16.75,16.75,176000,0.0,0.0
1992-02-11,17.0,17.5,16.5,17.0,17.0,224400,0.0,0.0
1992-02-12,18.12,18.25,16.75,18.12,18.12,250800,0.0,0.0
1992-02-13,17.5,18.5,17.5,17.5,17.5,205200,0.0,0.0
1992-02-14,17.25,18.0,17.25,17.25,17.25,100100,0.0,0.0
1992-02-18,15.12,17.75,15.0,15.12,15.12,194300,0.0,0.0
1992-02-19,14.75,15.25,13.5,14.75,14.75,588700,0.0,0.0
1992-02-20,15.75,16.25,14.5,15.75,15.75,218600,0.0,0.0
1992-02-21,16.0,16.25,15.75,16.0,16.0,225500,0.0,0.0
1992-02-24,16.0,16.25,15.5,16.0,16.0,91500,0.0,0.0
1992-02-25,15.75,15.75,15.5,15.75,15.75,216400,0.0,0.0
1992-02-26,17.0,17.25,15.75,17.0,17.0,69600,0.0,0.0
1992-02-27,16.75,17.25,16.75,16.75,16.75,33100,0.0,0.0
1992-02-28,16.75,17.75,16.75,16.75,16.75,58200,0.0,0.0
1992-03-02,17.25,17.25,16.75,17.25,17.25,116700,0.0,0.0
1992-03-03,17.0,17.25,16.75,17.0,17.0,4100,0.0,0.0
1992-03-04,15.5,17.0,15.25,15.5,15.5,57400,0.0,0.0
1992-03-05,15.25,15.75,14.75,15.25,15.25,60200,0.0,0.0
1992-03-06,14.25,15.5,14.0,14.25,14.25,82100,0.0,0.0
1992-03-09,14.38,15.0,14.0,14.38,14.38,68600,0.0,0.0
1992-03-10,14.75,15.0,14.25,14.75,14.75,45900,0.0,0.0
1992-03-11,14.0,14.75,13.75,14.0,14.0,26600,0.0,0.0
1992-03-12,13.25,14.5,13.25,13.25,13.25,85400,0.0,0.0
1992-03-13,13.5,14.0,13.12,13.5,13.5,180400,0.0,0.0
1992-03-16,14.5,14.5,13.75,14.5,14.5,33300,0.0,0.0
1992-03-17,14.75,14.75,14.25,14.75,14.75,58300,0.0,0.0
1992-03-18,14.62,15.25,14.5,14.62,14.62,90400,0.0,0.0
1992-03-19,15.5,15.5,14.5,15.5,15.5,30800,0.0,0.0
1992-03-20,15.25,15.5,14.75,15.25,15.25,13200,0.0,0.0
1992-03-23,14.75,15.25,14.5,14.75,14.75,137100,0.0,0.0
1992-03-24,14.75,15.0,14.5,14.75,14.75,11600,0.0,0.0
1992-03-25,15.0,15.0,14.5,15.0,15.0,11200,0.0,0.0
1992-03-26,14.75,15.0,14.5,14.75,14.75,49300,0.0,0.0
1992-03-27,14.0,15.0,14.0,14.0,14.0,35300,0.0,0.0
1992-03-30,14.0,14.5,13.75,14.0,14.0,37100,0.0,0.0
1992-03-31,13.75,14.25,13.5,13.75,13.75,23200,0.0,0.0
1992-04-01,13.5,14.0,13.0,13.5,13.5,58200,0.0,0.0
1992-04-02,13.0,13.5,13.0,13.0,13.0,7800,0.0,0.0
1992-04-03,12.25,13.25,11.75,12.25,12.25,107400,0.0,0.0
1992-04-06,11.5,12.25,10.75,11.5,11.5,104000,0.0,0.0
1992-04-07,9.75,12.0,9.5,9.75,9.75,147800,0.0,0.0
1992-04-08,10.0,10.25,9.0,10.0,10.0,136500,0.0,0.0
1992-04-09,12.0,12.5,9.75,12.0,12.0,188500,0.0,0.0
1992-04-10,12.25,12.75,11.75,12.25,12.25,172800,0.0,0.0
1992-04-13,11.75,12.25,11.75,11.75,11.75,29400,0.0,0.0
1992-04-14,12.25,12.25,11.75,12.25,12.25,64700,0.0,0.0
1992-04-15,11.5,12.25,11.5,11.5,11.5,113400,0.0,0.0
1992-04-16,10.0,12.0,9.5,10.0,10.0,172500,0.0,0.0
1992-04-20,9.75,10.25,9.75,9.75,9.75,111500,0.0,0.0
1992-04-21,9.38,10.5,9.0,9.38,9.38,168000,0.0,0.0
1992-04-22,9.5,10.0,9.25,9.5,9.5,203000,0.0,0.0
1992-04-23,9.88,10.25,9.5,9.88,9.88,14600,0.0,0.0
1992-04-24,10.0,10.25,9.5,10.0,10.0,47700,0.0,0.0
1992-04-27,9.88,10.25,9.5,9.88,9.88,107700,0.0,0.0
1992-04-28,9.5,10.25,9.5,9.5,9.5,44700,0.0,0.0
1992-04-29,10.5,10.5,9.25,10.5,10.5,219400,0.0,0.0
1992-04-30,11.25,11.25,10.75,11.25,11.25,138800,0.0,0.0
1992-05-01,11.0,11.75,10.75,11.0,11.0,82500,0.0,0.0
1992-05-04,10.38,11.0,10.25,10.38,10.38,89000,0.0,0.0
1992-05-05,11.25,11.25,10.5,11.25,11.25,271700,0.0,0.0
1992-05-06,10.25,11.0,10.25,10.25,10.25,79500,0.0,0.0
1992-05-07,10.5,10.75,10.12,10.5,10.5,7900,0.0,0.0
1992-05-08,9.62,10.5,9.25,9.62,9.62,124300,0.0,0.0
1992-05-11,10.0,10.0,9.25,10.0,10.0,96500,0.0,0.0
1992-05-12,9.38,9.75,9.25,9.38,9.38,172700,0.0,0.0
1992-05-13,9.25,9.5,8.75,9.25,9.25,20200,0.0,0.0
1992-05-14,8.75,9.25,8.5,8.75,8.75,24000,0.0,0.0
1992-05-15,9.0,9.0,8.25,9.0,9.0,9900,0.0,0.0
1992-05-18,9.5,9.5,8.25,9.5,9.5,45000,0.0,0.0
1992-05-19,9.0,9.75,9.0,9.0,9.0,74000,0.0,0.0
1992-05-20,8.75,9.75,8.75,8.75,8.75,53900,0.0,0.0
1992-05-21,8.75,9.25,8.75,8.75,8.75,121700,0.0,0.0
1992-05-22,9.62,10.0,9.25,9.62,9.62,132100,0.0,0.0
1992-05-26,9.25,10.0,9.25,9.25,9.25,26000,0.0,0.0
1992-05-27,9.38,10.0,9.25,9.38,9.38,32500,0.0,0.0
1992-05-28,9.5,9.75,9.5,9.5,9.5,300,0.0,0.0
1992-05-29,9.75,10.25,9.25,9.75,9.75,58300,0.0,0.0
1992-06-01,10.0,10.0,9.5,10.0,10.0,46500,0.0,0.0
1992-06-02,9.75,10.5,9.75,9.75,9.75,58700,0.0,0.0
1992-06-03,9.75,10.25,9.75,9.75,9.75,8300,0.0,0.0
1992-06-04,10.12,10.25,9.75,10.12,10.12,120800,0.0,0.0
1992-06-05,9.5,10.25,9.5,9.5,9.5,18600,0.0,0.0
1992-06-08,10.0,10.25,9.5,10.0,10.0,14100,0.0,0.0
1992-06-09,8.75,9.5,8.5,8.75,8.75,50900,0.0,0.0
1992-06-10,8.25,9.0,8.25,8.25,8.25,8200,0.0,0.0
1992-06-11,8.25,9.0,8.0,8.25,8.25,70200,0.0,0.0
1992-06-12,7.75,8.25,7.75,7.75,7.75,25200,0.0,0.0
1992-06-15,7.75,8.25,7.5,7.75,7.75,15900,0.0,0.0
1992-06-16,7.25,8.25,6.5,7.25,7.25,228600,0.0,0.0
1992-06-17,7.0,7.25,6.75,7.0,7.0,60300,0.0,0.0
1992-06-18,6.75,7.0,6.25,6.75,6.75,59000,0.0,0.0
1992-06-19,7.5,7.5,6.5,7.5,7.5,98600,0.0,0.0
1992-06-22,7.25,7.5,6.75,7.25,7.25,50500,0.0,0.0
1992-06-23,7.0,7.5,6.75,7.0,7.0,49700,0.0,0.0
1992-06-24,7.0,7.0,6.5,7.0,7.0,34500,0.0,0.0
1992-06-25,6.75,7.0,6.5,6.75,6.75,11900,0.0,0.0
1992-06-26,6.5,7.0,6.25,6.5,6.5,42500,0.0,0.0
1992-06-29,6.5,6.75,5.75,6.5,6.5,446800,0.0,0.0
1992-06-30,7.25,8.0,6.5,7.25,7.25,107500,0.0,0.0
1992-07-01,7.75,8.0,7.0,7.75,7.75,29300,0.0,0.0
1992-07-02,7.0,8.0,7.0,7.0,7.0,23300,0.0,0.0
1992-07-06,7.75,7.75,7.0,7.75,7.75,118800,0.0,0.0
1992-07-07,7.5,7.75,7.25,7.5,7.5,79700,0.0,0.0
1992-07-08,7.0,7.75,7.0,7.0,7.0,27700,0.0,0.0
1992-07-09,7.0,7.5,7.0,7.0,7.0,133600,0.0,0.0
1992-07-10,7.0,7.75,7.0,7.0,7.0,73600,0.0,0.0
1992-07-13,7.25,7.5,7.0,7.25,7.25,34500,0.0,0.0
1992-07-14,7.25,7.5,6.75,7.25,7.25,370900,0.0,0.0
1992-07-15,7.75,7.75,7.0,7.75,7.75,148800,0.0,0.0
1992-07-16,7.5,7.75,7.0,7.5,7.5,146700,0.0,0.0
1992-07-17,7.12,7.5,7.0,7.12,7.12,34100,0.0,0.0
1992-07-20,7.25,7.25,6.75,7.25,7.25,12500,0.0,0.0
1992-07-21,7.0,7.5,6.75,7.0,7.0,79200,0.0,0.0
1992-07-22,7.0,7.5,7.0,7.0,7.0,29500,0.0,0.0
1992-07-23,7.5,7.5,6.75,7.5,7.5,1800,0.0,0.0
1992-07-24,7.25,7.5,6.5,7.25,7.25,45800,0.0,0.0
1992-07-27,7.0,7.25,6.75,7.0,7.0,68100,0.0,0.0
1992-07-28,7.0,7.0,6.75,7.0,7.0,55400,0.0,0.0
1992-07-29,7.0,7.0,6.5,7.0,7.0,124500,0.0,0.0
1992-07-30,7.0,7.0,6.5,7.0,7.0,172200,0.0,0.0
1992-07-31,7.0,7.0,6.5,7.0,7.0,78200,0.0,0.0
1992-08-03,6.62,7.0,6.5,6.62,6.62,9200,0.0,0.0
1992-08-04,6.38,6.75,6.25,6.38,6.38,54600,0.0,0.0
1992-08-05,6.25,6.75,6.25,6.25,6.25,65100,0.0,0.0
1992-08-06,6.25,6.75,6.25,6.25,6.25,5100,0.0,0.0
1992-08-07,6.38,6.75,6.25,6.38,6.38,25200,0.0,0.0
1992-08-10,7.25,7.5,6.5,7.25,7.25,99700,0.0,0.0
1992-08-11,7.75,8.0,7.25,7.75,7.75,73000,0.0,0.0
1992-08-12,7.75,8.0,7.25,7.75,7.75,57700,0.0,0.0
1992-08-13,7.62,7.75,7.5,7.62,7.62,71100,0.0,0.0
1992-08-14,7.5,7.75,7.38,7.5,7.5,32500,0.0,0.0
1992-08-17,7.5,7.5,7.0,7.5,7.5,40700,0.0,0.0
1992-08-18,7.25,7.5,6.75,7.25,7.25,45300,0.0,0.0
1992-08-19,6.75,7.25,6.75,6.75,6.75,47300,0.0,0.0
1992-08-20,6.75,7.25,6.75,6.75,6.75,19100,0.0,0.0
1992-08-21,7.0,7.25,6.75,7.0,7.0,53900,0.0,0.0
1992-08-24,6.25,7.0,6.25,6.25,6.25,15500,0.0,0.0
1992-08-25,6.0,7.0,5.75,6.0,6.0,78500,0.0,0.0
1992-08-26,6.25,6.25,6.0,6.25,6.25,37400,0.0,0.0
1992-08-27,5.75,6.25,5.75,5.75,5.75,76700,0.0,0.0
1992-08-28,6.5,6.5,5.75,6.5,6.5,136300,0.0,0.0
1992-08-31,6.25,6.75,6.25,6.25,6.25,17300,0.0,0.0
1992-09-01,7.12,7.25,6.0,7.12,7.12,65600,0.0,0.0
1992-09-02,8.25,8.25,7.12,8.25,8.25,497800,0.0,0.0
1992-09-03,9.0,9.0,8.25,9.0,9.0,365500,0.0,0.0
1992-09-04,8.75,9.25,8.75,8.75,8.75,97300,0.0,0.0
1992-09-08,8.5,9.0,8.0,8.5,8.5,64400,0.0,0.0
1992-09-09,8.0,8.5,8.0,8.0,8.0,64200,0.0,0.0
1992-09-10,7.75,8.5,7.75,7.75,7.75,9500,0.0,0.0
1992-09-11,8.5,8.5,7.75,8.5,8.5,13200,0.0,0.0
1992-09-14,8.0,8.5,8.0,8.0,8.0,50500,0.0,0.0
1992-09-15,8.0,8.25,7.75,8.0,8.0,17200,0.0,0.0
1992-09-16,8.0,8.0,7.5,8.0,8.0,42900,0.0,0.0
1992-09-17,8.0,8.0,7.5,8.0,8.0,11800,0.0,0.0
1992-09-18,8.0,8.0,7.5,8.0,8.0,36100,0.0,0.0
