Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1995-03-15,1.88,2.14,1.83,2.11,1.32,92646400,0.0,0.0
1995-03-16,2.32,2.39,2.23,2.32,1.45,22867200,0.0,0.0
1995-03-17,2.33,2.33,2.23,2.24,1.4,17163733,0.0,0.0
1995-03-20,2.23,2.24,2.18,2.23,1.4,7141333,0.0,0.0
1995-03-21,2.23,2.36,2.2,2.33,1.46,8198400,0.0,0.0
1995-03-22,2.34,2.79,2.34,2.61,1.64,18216533,0.0,0.0
1995-03-23,2.59,2.66,2.54,2.55,1.6,8507733,0.0,0.0
1995-03-24,2.58,2.59,2.52,2.57,1.61,2049067,0.0,0.0
1995-03-27,2.55,2.6,2.52,2.6,1.63,2526933,0.0,0.0
1995-03-28,2.61,2.79,2.6,2.68,1.68,13986133,0.0,0.0
1995-03-29,2.72,2.78,2.65,2.7,1.69,5116800,0.0,0.0
1995-03-30,2.67,2.67,2.47,2.54,1.59,3025067,0.0,0.0
1995-03-31,2.51,2.64,2.47,2.64,1.65,4603733,0.0,0.0
1995-04-03,2.62,2.62,2.54,2.58,1.62,3210667,0.0,0.0
1995-04-04,2.57,2.58,2.4,2.43,1.52,2643200,0.0,0.0
1995-04-05,2.43,2.43,2.34,2.37,1.48,4864000,0.0,0.0
1995-04-06,2.39,2.43,2.37,2.37,1.48,2638933,0.0,0.0
1995-04-07,2.37,2.4,2.33,2.37,1.48,1559467,0.0,0.0
1995-04-10,2.37,2.53,2.33,2.48,1.56,2995200,0.0,0.0
1995-04-11,2.48,2.52,2.46,2.48,1.56,2439467,0.0,0.0
1995-04-12,2.5,2.55,2.5,2.53,1.59,4126933,0.0,0.0
1995-04-13,2.55,2.55,2.46,2.48,1.56,781867,0.0,0.0
1995-04-17,2.46,2.51,2.4,2.4,1.51,1000533,0.0,0.0
1995-04-18,2.4,2.44,2.33,2.36,1.48,1351467,0.0,0.0
1995-04-19,2.36,2.38,2.33,2.33,1.46,1766400,0.0,0.0
1995-04-20,2.34,2.38,2.33,2.33,1.46,1704533,0.0,0.0
1995-04-21,2.37,2.38,2.37,2.38,1.49,652800,0.0,0.0
1995-04-24,2.38,2.7,2.38,2.67,1.67,5712000,0.0,0.0
1995-04-25,2.64,2.66,2.57,2.57,1.61,1277867,0.0,0.0
1995-04-26,2.57,2.68,2.57,2.66,1.67,2708267,0.0,0.0
1995-04-27,2.65,2.7,2.64,2.67,1.67,2250667,0.0,0.0
1995-04-28,2.66,2.66,2.53,2.57,1.61,1061333,0.0,0.0
1995-05-01,2.59,2.59,2.54,2.55,1.6,1065600,0.0,0.0
1995-05-02,2.59,2.59,2.54,2.57,1.61,354133,0.0,0.0
1995-05-03,2.54,2.65,2.54,2.64,1.65,2008533,0.0,0.0
1995-05-04,2.65,2.91,2.65,2.8,1.76,8756267,0.0,0.0
1995-05-05,2.8,2.89,2.8,2.84,1.78,2449067,0.0,0.0
1995-05-08,2.82,2.92,2.81,2.88,1.81,1575467,0.0,0.0
1995-05-09,2.88,2.88,2.78,2.8,1.76,2669867,0.0,0.0
1995-05-10,2.77,2.77,2.7,2.71,1.7,4389333,0.0,0.0
1995-05-11,2.73,2.73,2.65,2.65,1.66,973867,0.0,0.0
1995-05-12,2.65,2.86,2.65,2.8,1.76,2487467,0.0,0.0
1995-05-15,2.84,2.91,2.81,2.88,1.81,1851733,0.0,0.0
1995-05-16,2.87,2.89,2.86,2.88,1.81,696533,0.0,0.0
1995-05-17,3.01,3.21,2.98,3.18,1.99,7186133,0.0,0.0
1995-05-18,3.28,3.36,3.2,3.27,2.05,3654400,0.0,0.0
1995-05-19,3.15,3.23,3.15,3.16,1.98,2304000,0.0,0.0
1995-05-22,3.19,3.21,3.07,3.12,1.95,789333,0.0,0.0
1995-05-23,3.13,3.23,3.06,3.23,2.03,3474133,0.0,0.0
1995-05-24,3.3,3.41,3.29,3.33,2.09,6852267,0.0,0.0
1995-05-25,3.39,3.4,3.22,3.22,2.02,2332800,0.0,0.0
1995-05-26,3.23,3.26,3.2,3.2,2.01,661333,0.0,0.0
1995-05-30,3.22,3.27,3.06,3.08,1.93,1842133,0.0,0.0
1995-05-31,3.02,3.07,2.94,3.02,1.9,2929067,0.0,0.0
1995-06-01,3.04,3.06,3.0,3.06,1.92,379733,0.0,0.0
1995-06-02,3.01,3.14,2.99,3.12,1.95,1778133,0.0,0.0
1995-06-05,3.13,3.16,3.12,3.15,1.98,998400,0.0,0.0
1995-06-06,3.12,3.14,3.08,3.08,1.93,632533,0.0,0.0
1995-06-07,3.13,3.15,3.08,3.11,1.95,727467,0.0,0.0
1995-06-08,3.14,3.16,3.13,3.13,1.96,326400,0.0,0.0
1995-06-09,3.16,3.2,3.13,3.16,1.98,230400,0.0,0.0
1995-06-12,3.16,3.18,3.15,3.15,1.98,200533,0.0,0.0
1995-06-13,3.19,3.2,3.15,3.16,1.98,370133,0.0,0.0
1995-06-14,3.15,3.15,3.12,3.12,1.95,679467,0.0,0.0
1995-06-15,3.12,3.2,3.09,3.13,1.96,1202133,0.0,0.0
1995-06-16,3.16,3.16,3.13,3.13,1.96,228267,0.0,0.0
1995-06-19,3.13,3.18,3.13,3.16,1.98,2421333,0.0,0.0
1995-06-20,3.16,3.19,3.14,3.18,1.99,5568000,0.0,0.0
1995-06-21,3.21,3.21,3.15,3.15,1.98,2055467,0.0,0.0
1995-06-22,3.14,3.18,3.09,3.11,1.95,694400,0.0,0.0
1995-06-23,3.09,3.13,3.04,3.11,1.95,2817067,0.0,0.0
1995-06-26,3.15,3.23,3.13,3.19,2.0,2220800,0.0,0.0
1995-06-27,3.19,3.21,3.12,3.13,1.96,984533,0.0,0.0
1995-06-28,3.09,3.11,3.07,3.08,1.93,466133,0.0,0.0
1995-06-29,3.11,3.33,3.11,3.29,2.06,1145600,0.0,0.0
1995-06-30,3.28,3.48,3.28,3.36,2.11,2346667,0.0,0.0
1995-07-03,3.47,3.47,3.43,3.47,2.17,276267,0.0,0.0
1995-07-05,3.61,3.68,3.59,3.62,2.27,2864000,0.0,0.0
1995-07-06,3.71,3.8,3.56,3.62,2.27,1438933,0.0,0.0
1995-07-07,3.68,3.77,3.68,3.71,2.33,966400,0.0,0.0
1995-07-10,3.75,3.81,3.75,3.8,2.38,633600,0.0,0.0
1995-07-11,3.79,3.79,3.72,3.73,2.34,1653333,0.0,0.0
1995-07-12,3.74,3.94,3.74,3.91,2.45,3673600,0.0,0.0
1995-07-13,3.97,4.69,3.97,4.51,2.83,13308800,0.0,0.0
1995-07-14,4.18,4.41,4.04,4.35,2.73,8209067,0.0,0.0
1995-07-17,4.34,4.42,4.34,4.37,2.74,5881600,0.0,0.0
1995-07-18,4.41,4.43,4.22,4.23,2.65,3415467,0.0,0.0
1995-07-19,4.09,4.2,3.7,4.2,2.63,3053867,0.0,0.0
1995-07-20,4.17,4.57,4.14,4.55,2.85,2365867,0.0,0.0
1995-07-21,4.48,4.79,4.34,4.65,2.92,1792000,0.0,0.0
