Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1993-10-25,1.25,1.25,0.94,0.94,0.83,18000,0.0,0.0
1993-10-26,1.23,1.23,0.85,0.86,0.77,189600,0.0,0.0
1993-10-27,0.86,0.86,0.86,0.86,0.77,0,0.0,0.0
1993-10-28,0.71,0.83,0.58,0.82,0.73,30000,0.0,0.0
1993-10-29,0.88,0.88,0.83,0.83,0.74,172800,0.0,0.0
1993-11-01,0.83,0.88,0.83,0.88,0.78,76800,0.0,0.0
1993-11-02,0.83,0.88,0.83,0.88,0.78,12000,0.0,0.0
1993-11-03,0.85,0.98,0.85,0.96,0.85,48000,0.0,0.0
1993-11-04,1.0,1.0,0.96,0.96,0.85,25200,0.0,0.0
1993-11-05,0.85,1.0,0.85,1.0,0.89,4800,0.0,0.0
1993-11-08,1.0,1.0,1.0,1.0,0.89,0,0.0,0.0
1993-11-09,0.88,0.88,0.88,0.88,0.78,7200,0.0,0.0
1993-11-10,0.9,0.9,0.9,0.9,0.79,50400,0.0,0.0
1993-11-11,0.9,0.9,0.9,0.9,0.79,7200,0.0,0.0
1993-11-12,0.9,0.9,0.9,0.9,0.79,12000,0.0,0.0
1993-11-15,0.9,0.9,0.9,0.9,0.79,31200,0.0,0.0
1993-11-16,0.9,1.02,0.9,1.02,0.91,25200,0.0,0.0
1993-11-17,0.9,1.02,0.9,0.92,0.81,38400,0.0,0.0
1993-11-18,0.92,0.92,0.92,0.92,0.81,56400,0.0,0.0
1993-11-19,0.95,0.96,0.85,0.89,0.78,945600,0.0,0.0
1993-11-22,0.89,0.96,0.89,0.95,0.84,34800,0.0,0.0
1993-11-23,0.92,0.92,0.92,0.92,0.81,6000,0.0,0.0
1993-11-24,0.88,0.9,0.88,0.9,0.79,9600,0.0,0.0
1993-11-26,0.89,0.9,0.89,0.9,0.79,14400,0.0,0.0
1993-11-29,0.88,0.96,0.88,0.96,0.85,49200,0.0,0.0
1993-11-30,0.96,0.96,0.96,0.96,0.85,0,0.0,0.0
1993-12-01,0.96,0.96,0.96,0.96,0.85,0,0.0,0.0
1993-12-02,0.92,0.94,0.9,0.94,0.83,219600,0.0,0.0
1993-12-03,0.92,0.92,0.92,0.92,0.81,4800,0.0,0.0
1993-12-06,0.92,0.92,0.92,0.92,0.81,3600,0.0,0.0
1993-12-07,0.9,0.9,0.88,0.88,0.78,43200,0.0,0.0
1993-12-08,0.94,0.94,0.85,0.88,0.78,108000,0.0,0.0
1993-12-09,0.88,0.94,0.86,0.88,0.78,358800,0.0,0.0
1993-12-10,0.94,0.94,0.85,0.85,0.76,4800,0.0,0.0
1993-12-13,0.88,0.88,0.85,0.88,0.78,105600,0.0,0.0
1993-12-14,0.85,0.91,0.85,0.85,0.76,224400,0.0,0.0
1993-12-15,0.86,0.86,0.86,0.86,0.77,2400,0.0,0.0
1993-12-16,0.9,0.9,0.85,0.85,0.76,30000,0.0,0.0
1993-12-17,0.85,0.85,0.85,0.85,0.76,0,0.0,0.0
1993-12-20,0.85,0.9,0.85,0.9,0.79,28800,0.0,0.0
1993-12-21,0.9,0.9,0.9,0.9,0.79,12000,0.0,0.0
1993-12-22,0.9,0.9,0.88,0.9,0.79,55200,0.0,0.0
1993-12-23,0.9,0.9,0.85,0.85,0.76,8400,0.0,0.0
1993-12-27,0.94,0.94,0.88,0.94,0.83,74400,0.0,0.0
1993-12-28,0.94,1.0,0.94,1.0,0.89,82800,0.0,0.0
1993-12-29,1.0,1.19,0.98,1.12,1.0,271200,0.0,0.0
1993-12-30,1.19,1.19,1.1,1.1,0.98,58800,0.0,0.0
1993-12-31,1.17,1.17,1.1,1.1,0.98,144000,0.0,0.0
1994-01-03,1.17,1.17,1.1,1.17,1.03,37200,0.0,0.0
1994-01-04,1.17,1.17,1.1,1.1,0.98,34800,0.0,0.0
1994-01-05,1.17,1.17,1.17,1.17,1.03,3600,0.0,0.0
1994-01-06,1.12,1.17,1.11,1.11,0.99,96000,0.0,0.0
1994-01-07,1.1,1.1,1.09,1.09,0.97,36000,0.0,0.0
1994-01-10,1.1,1.1,1.08,1.08,0.96,10800,0.0,0.0
1994-01-11,1.04,1.06,1.02,1.06,0.94,6000,0.0,0.0
1994-01-12,1.0,1.1,1.0,1.1,0.98,30000,0.0,0.0
1994-01-13,1.1,1.1,1.07,1.07,0.95,60000,0.0,0.0
1994-01-14,1.03,1.1,1.03,1.1,0.98,61200,0.0,0.0
1994-01-17,1.1,1.1,1.06,1.1,0.98,67200,0.0,0.0
1994-01-18,1.04,1.06,1.02,1.02,0.91,102000,0.0,0.0
1994-01-19,1.04,1.15,1.0,1.08,0.96,135600,0.0,0.0
1994-01-20,1.1,1.1,0.92,0.92,0.81,123600,0.0,0.0
1994-01-21,0.93,0.93,0.77,0.88,0.78,158400,0.0,0.0
1994-01-24,0.9,0.9,0.75,0.81,0.72,403200,0.0,0.0
1994-01-25,0.71,0.71,0.71,0.71,0.63,7200,0.0,0.0
1994-01-26,0.81,0.81,0.73,0.81,0.72,25200,0.0,0.0
1994-01-27,0.88,0.9,0.88,0.9,0.79,4800,0.0,0.0
1994-01-28,0.92,0.92,0.92,0.92,0.81,24000,0.0,0.0
1994-01-31,0.92,0.92,0.77,0.92,0.81,14400,0.0,0.0
1994-02-01,0.77,0.92,0.77,0.81,0.72,32400,0.0,0.0
1994-02-02,0.94,1.02,0.92,0.92,0.81,99600,0.0,0.0
1994-02-03,0.85,0.86,0.85,0.86,0.77,553200,0.0,0.0
1994-02-04,0.85,0.92,0.85,0.85,0.76,28800,0.0,0.0
1994-02-07,0.83,0.88,0.83,0.88,0.78,8400,0.0,0.0
1994-02-08,0.88,0.88,0.88,0.88,0.78,0,0.0,0.0
1994-02-09,0.88,0.94,0.88,0.94,0.83,8400,0.0,0.0
1994-02-10,0.83,0.97,0.83,0.83,0.74,34800,0.0,0.0
1994-02-11,0.94,0.94,0.94,0.94,0.83,1200,0.0,0.0
1994-02-14,0.94,0.94,0.94,0.94,0.83,0,0.0,0.0
1994-02-15,0.94,0.94,0.94,0.94,0.83,0,0.0,0.0
1994-02-16,0.98,0.98,0.83,0.83,0.74,4800,0.0,0.0
1994-02-17,0.98,0.98,0.83,0.83,0.74,3600,0.0,0.0
1994-02-18,0.98,0.98,0.98,0.98,0.87,6000,0.0,0.0
1994-02-22,0.98,0.98,0.98,0.98,0.87,0,0.0,0.0
1994-02-23,0.83,0.83,0.83,0.83,0.74,3600,0.0,0.0
1994-02-24,0.83,0.83,0.83,0.83,0.74,0,0.0,0.0
1994-02-25,0.83,0.83,0.83,0.83,0.74,3600,0.0,0.0
1994-02-28,0.85,0.96,0.83,0.96,0.85,9600,0.0,0.0
1994-03-01,0.96,0.96,0.96,0.96,0.85,0,0.0,0.0
1994-03-02,0.83,0.88,0.83,0.88,0.78,50400,0.0,0.0
1994-03-03,0.88,0.88,0.88,0.88,0.78,0,0.0,0.0
1994-03-04,0.81,0.81,0.81,0.81,0.72,1200,0.0,0.0
1994-03-07,0.83,0.83,0.83,0.83,0.74,3600,0.0,0.0
1994-03-08,0.81,0.81,0.81,0.81,0.72,12000,0.0,0.0
1994-03-09,0.81,0.81,0.81,0.81,0.72,0,0.0,0.0
1994-03-10,0.81,0.81,0.81,0.81,0.72,0,0.0,0.0
1994-03-11,0.92,0.92,0.92,0.92,0.81,4800,0.0,0.0
1994-03-14,0.81,0.81,0.79,0.79,0.7,13200,0.0,0.0
1994-03-15,0.88,0.88,0.79,0.79,0.7,24000,0.0,0.0
1994-03-16,0.79,0.83,0.79,0.83,0.74,34800,0.0,0.0
1994-03-17,0.76,0.77,0.71,0.75,0.66,62400,0.0,0.0
1994-03-18,0.73,0.73,0.71,0.71,0.63,38400,0.0,0.0
1994-03-21,0.73,0.73,0.69,0.69,0.61,27600,0.0,0.0
1994-03-22,0.76,0.76,0.73,0.73,0.65,88800,0.0,0.0
1994-03-23,0.69,0.77,0.69,0.77,0.68,13200,0.0,0.0
1994-03-24,0.71,0.75,0.69,0.75,0.66,210000,0.0,0.0
1994-03-25,0.69,0.73,0.67,0.69,0.61,192000,0.0,0.0
1994-03-28,0.67,0.75,0.67,0.69,0.61,37200,0.0,0.0
1994-03-29,0.67,0.69,0.67,0.69,0.61,21600,0.0,0.0
1994-03-30,0.75,0.75,0.75,0.75,0.66,8400,0.0,0.0
1994-03-31,0.71,0.75,0.71,0.72,0.64,10800,0.0,0.0
1994-04-04,0.72,0.72,0.72,0.72,0.64,0,0.0,0.0
1994-04-05,0.75,0.75,0.75,0.75,0.66,12000,0.0,0.0
1994-04-06,0.75,0.75,0.75,0.75,0.66,1200,0.0,0.0
1994-04-07,0.75,0.75,0.75,0.75,0.66,0,0.0,0.0
1994-04-08,0.72,0.73,0.71,0.71,0.63,128400,0.0,0.0
1994-04-11,0.75,0.75,0.75,0.75,0.66,6000,0.0,0.0
1994-04-12,0.67,0.67,0.67,0.67,0.59,1200,0.0,0.0
1994-04-13,0.7,0.72,0.7,0.72,0.64,30000,0.0,0.0
1994-04-14,0.67,0.67,0.67,0.67,0.59,24000,0.0,0.0
1994-04-15,0.65,0.67,0.62,0.62,0.55,64800,0.0,0.0
1994-04-18,0.67,0.69,0.58,0.58,0.52,237600,0.0,0.0
1994-04-19,0.58,0.58,0.58,0.58,0.52,0,0.0,0.0
1994-04-20,0.54,0.58,0.54,0.58,0.52,186000,0.0,0.0
1994-04-21,0.48,0.49,0.48,0.49,0.43,45600,0.0,0.0
1994-04-22,0.49,0.49,0.49,0.49,0.43,0,0.0,0.0
1994-04-25,0.49,0.49,0.49,0.49,0.43,0,0.0,0.0
1994-04-26,0.49,0.49,0.49,0.49,0.43,0,0.0,0.0
