Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2009-08-06,16.5,16.91,15.56,16.18,11.92,24197800,0.0,0.0
2009-08-07,16.15,16.76,16.03,16.43,12.11,2454300,0.0,0.0
2009-08-10,16.63,16.63,15.61,15.97,11.77,2421000,0.0,0.0
2009-08-11,15.98,16.0,15.5,15.67,11.55,2305400,0.0,0.0
2009-08-12,16.15,16.2,15.66,16.0,11.79,1451300,0.0,0.0
2009-08-13,16.0,16.72,16.0,16.55,12.19,1150600,0.0,0.0
2009-08-14,16.5,17.0,16.25,16.6,12.23,637800,0.0,0.0
2009-08-17,16.27,16.37,16.2,16.22,11.95,254400,0.0,0.0
2009-08-18,16.48,17.2,16.35,17.07,12.58,1446700,0.0,0.0
2009-08-19,16.84,17.94,16.8,17.89,13.18,2070800,0.0,0.0
2009-08-20,17.95,17.95,17.29,17.76,13.09,1882100,0.0,0.0
2009-08-21,17.79,17.97,17.58,17.82,13.13,863600,0.0,0.0
2009-08-24,17.52,17.85,17.3,17.5,12.89,1021600,0.0,0.0
2009-08-25,17.65,17.9,17.55,17.85,13.15,530800,0.0,0.0
2009-08-26,17.69,17.85,17.15,17.85,13.15,708600,0.0,0.0
2009-08-27,17.85,18.21,17.55,18.16,13.38,1161100,0.0,0.0
2009-08-28,18.1,19.0,18.0,18.47,13.61,1295000,0.0,0.0
2009-08-31,18.35,18.4,17.81,18.2,13.41,1004800,0.0,0.0
2009-09-01,18.25,18.44,16.94,17.85,13.15,1383500,0.0,0.0
2009-09-02,17.76,18.25,17.48,17.68,13.03,1293400,0.0,0.0
2009-09-03,17.97,17.97,17.0,17.45,12.86,3657700,0.0,0.0
2009-09-04,17.75,18.0,17.49,17.76,13.09,1158600,0.0,0.0
2009-09-08,17.76,17.93,17.45,17.7,13.04,574900,0.0,0.0
2009-09-09,17.85,17.85,17.22,17.26,12.72,551200,0.0,0.0
2009-09-10,17.01,17.46,16.95,17.05,12.56,415200,0.0,0.0
2009-09-11,17.0,17.33,16.54,16.88,12.44,620300,0.0,0.0
2009-09-14,16.64,16.9,16.31,16.65,12.27,1614500,0.0,0.0
2009-09-15,17.25,17.35,16.63,17.18,12.66,1986900,0.0,0.0
2009-09-16,17.4,17.75,17.11,17.58,12.95,2021100,0.0,0.0
2009-09-17,17.66,17.9,16.53,16.64,12.26,1446400,0.0,0.0
2009-09-18,16.57,17.02,16.18,16.2,11.94,899900,0.0,0.0
2009-09-21,16.28,16.63,15.87,16.61,12.24,553000,0.0,0.0
2009-09-22,16.96,17.37,16.82,17.25,12.71,1114100,0.0,0.0
2009-09-23,17.62,17.79,17.3,17.4,12.82,530300,0.0,0.0
2009-09-24,17.33,17.85,16.75,17.49,12.89,778800,0.0,0.0
2009-09-25,17.48,17.48,17.1,17.13,12.62,468500,0.0,0.0
2009-09-28,17.32,17.85,17.03,17.65,13.0,233600,0.0,0.0
2009-09-29,17.55,17.84,16.95,17.03,12.55,356700,0.0,0.0
2009-09-30,17.0,17.33,16.96,17.07,12.58,512600,0.0,0.0
2009-10-01,17.0,17.09,16.21,16.31,12.02,660500,0.0,0.0
2009-10-02,16.2,16.36,15.9,16.09,11.85,629600,0.0,0.0
2009-10-05,16.1,16.53,16.0,16.49,12.15,188900,0.0,0.0
2009-10-06,16.74,17.2,16.44,16.47,12.13,469400,0.0,0.0
2009-10-07,16.57,16.61,15.92,16.13,11.88,291700,0.0,0.0
2009-10-08,16.11,16.18,15.94,16.01,11.8,557300,0.0,0.0
2009-10-09,15.98,16.45,15.94,16.25,11.97,870500,0.0,0.0
2009-10-12,16.22,16.45,16.04,16.34,12.04,1288800,0.0,0.0
2009-10-13,16.19,16.67,16.15,16.53,12.18,557300,0.0,0.0
2009-10-14,16.84,17.0,16.54,16.86,12.42,695500,0.0,0.0
2009-10-15,17.4,17.95,17.1,17.16,12.64,2092000,0.0,0.0
2009-10-16,17.23,17.23,16.21,16.43,12.11,1263800,0.0,0.0
2009-10-19,16.46,16.64,16.06,16.24,11.97,2142900,0.0,0.0
2009-10-20,16.34,16.73,16.27,16.53,12.18,489000,0.0,0.0
2009-10-21,16.37,16.91,16.11,16.49,12.15,233800,0.0,0.0
2009-10-22,16.33,16.33,15.61,16.28,11.99,983400,0.0,0.0
2009-10-23,16.13,16.41,15.92,16.05,11.83,1134100,0.0,0.0
2009-10-26,15.91,16.12,15.81,15.84,11.67,162400,0.0,0.0
2009-10-27,15.95,15.99,15.26,15.45,11.38,328800,0.0,0.0
2009-10-28,15.5,15.5,14.89,14.93,11.0,622000,0.0,0.0
2009-10-29,14.95,15.2,14.72,15.04,11.08,1183300,0.0,0.0
2009-10-30,15.1,15.19,14.87,15.0,11.05,278100,0.0,0.0
2009-11-02,15.1,15.1,14.72,14.87,10.96,276600,0.0,0.0
2009-11-03,14.68,14.82,14.44,14.49,10.68,363700,0.0,0.0
2009-11-04,14.6,15.25,14.33,14.78,10.89,805300,0.0,0.0
2009-11-05,15.02,15.74,14.85,15.32,11.29,274100,0.0,0.0
2009-11-06,15.32,15.69,14.87,15.29,11.27,257500,0.0,0.0
