Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1993-05-12,5.29,5.29,5.02,5.04,1.8,414000,0.0,0.0
1993-05-13,5.0,5.0,4.79,4.85,1.74,792600,0.0,0.0
1993-05-14,4.88,4.88,4.79,4.79,1.72,646200,0.0,0.0
1993-05-17,4.83,4.9,4.83,4.9,1.75,68400,0.0,0.0
1993-05-18,4.9,4.9,4.83,4.85,1.74,69000,0.0,0.0
1993-05-19,4.85,4.88,4.85,4.88,1.74,72000,0.0,0.0
1993-05-20,4.88,4.9,4.85,4.88,1.74,118800,0.0,0.0
1993-05-21,4.88,4.88,4.88,4.88,1.74,13200,0.0,0.0
1993-05-24,4.83,4.83,4.83,4.83,1.73,32400,0.0,0.0
1993-05-25,4.81,4.85,4.81,4.81,1.72,241800,0.0,0.0
1993-05-26,4.85,4.9,4.85,4.88,1.74,452400,0.0,0.0
1993-05-27,4.92,4.94,4.9,4.92,1.76,1450200,0.0,0.0
1993-05-28,4.88,4.9,4.85,4.9,1.75,928800,0.0,0.0
1993-06-01,4.92,4.98,4.92,4.96,1.77,736200,0.0,0.0
1993-06-02,4.96,4.98,4.9,4.9,1.75,1058400,0.0,0.0
1993-06-03,4.9,4.9,4.75,4.77,1.71,4777200,0.0,0.0
1993-06-04,4.75,4.75,4.71,4.71,1.69,1055400,0.0,0.0
1993-06-07,4.71,4.71,4.54,4.58,1.64,4597200,0.0,0.0
1993-06-08,4.6,4.67,4.58,4.58,1.64,3877800,0.0,0.0
1993-06-09,4.62,4.69,4.62,4.67,1.67,3098400,0.0,0.0
1993-06-10,4.67,4.67,4.62,4.65,1.66,2763000,0.0,0.0
1993-06-11,4.67,4.69,4.62,4.69,1.68,2770800,0.0,0.0
1993-06-14,4.71,4.71,4.67,4.69,1.68,1930200,0.0,0.0
1993-06-15,4.69,4.69,4.65,4.65,1.66,3057000,0.0,0.0
1993-06-16,4.65,4.67,4.65,4.67,1.67,2034000,0.0,0.0
1993-06-17,4.67,4.67,4.65,4.67,1.67,2418000,0.0,0.0
1993-06-18,4.67,4.81,4.54,4.58,1.64,6013800,0.0,0.0
1993-06-21,4.56,4.58,4.52,4.56,1.63,5697600,0.0,0.0
1993-06-22,4.65,4.67,4.58,4.62,1.66,4002000,0.0,0.0
1993-06-23,4.58,4.6,4.56,4.56,1.63,1074600,0.0,0.0
1993-06-24,4.56,4.58,4.54,4.56,1.63,1030800,0.0,0.0
1993-06-25,4.58,4.6,4.58,4.6,1.65,814800,0.0,0.0
1993-06-28,4.62,4.65,4.6,4.62,1.66,723000,0.0,0.0
1993-06-29,4.62,4.67,4.62,4.65,1.66,736200,0.0,0.0
1993-06-30,4.69,4.71,4.67,4.69,1.68,1228800,0.0,0.0
1993-07-01,4.69,4.73,4.67,4.73,1.69,3960000,0.0,0.0
1993-07-02,4.75,4.75,4.67,4.69,1.68,712800,0.0,0.0
1993-07-06,4.67,4.67,4.6,4.62,1.66,343800,0.0,0.0
1993-07-07,4.62,4.65,4.56,4.58,1.64,2212800,0.0,0.0
1993-07-08,4.56,4.6,4.56,4.58,1.64,982200,0.0,0.0
1993-07-09,4.58,4.58,4.52,4.54,1.63,819000,0.0,0.0
1993-07-12,4.54,4.56,4.52,4.56,1.63,429600,0.0,0.0
1993-07-13,4.56,4.6,4.56,4.6,1.65,534000,0.0,0.0
1993-07-14,4.65,4.69,4.62,4.69,1.68,681000,0.0,0.0
1993-07-15,4.69,4.69,4.62,4.65,1.66,678000,0.0,0.0
1993-07-16,4.58,4.58,4.54,4.56,1.63,214200,0.0,0.0
1993-07-19,4.54,4.56,4.5,4.5,1.61,3529800,0.0,0.0
1993-07-20,4.52,4.54,4.5,4.52,1.62,1555800,0.0,0.0
1993-07-21,4.48,4.5,4.48,4.5,1.61,644400,0.0,0.0
1993-07-22,4.5,4.52,4.48,4.48,1.6,400800,0.0,0.0
1993-07-23,4.56,4.62,4.56,4.6,1.65,1006800,0.0,0.0
1993-07-26,4.62,4.65,4.62,4.62,1.66,745800,0.0,0.0
1993-07-27,4.67,4.67,4.62,4.62,1.66,610200,0.0,0.0
1993-07-28,4.62,4.67,4.6,4.65,1.66,508800,0.0,0.0
1993-07-29,4.77,4.81,4.75,4.77,1.71,1324800,0.0,0.0
1993-07-30,4.71,4.71,4.67,4.71,1.69,1246200,0.0,0.0
1993-08-02,4.71,4.73,4.67,4.71,1.69,4412400,0.0,0.0
1993-08-03,4.73,4.83,4.73,4.83,1.73,748800,0.0,0.0
1993-08-04,4.83,4.85,4.79,4.79,1.72,230400,0.0,0.0
1993-08-05,4.79,4.81,4.77,4.81,1.72,655800,0.0,0.0
1993-08-06,4.85,4.9,4.85,4.88,1.74,433800,0.0,0.0
1993-08-09,4.85,4.9,4.83,4.85,1.74,736800,0.0,0.0
1993-08-10,4.83,4.83,4.75,4.77,1.71,636000,0.0,0.0
1993-08-11,4.77,4.79,4.77,4.77,1.71,464400,0.0,0.0
1993-08-12,4.77,4.79,4.75,4.75,1.7,1252800,0.0,0.0
1993-08-13,4.79,4.85,4.77,4.85,1.74,508200,0.0,0.0
1993-08-16,4.83,4.88,4.83,4.85,1.74,924600,0.0,0.0
1993-08-17,4.88,4.98,4.88,4.98,1.78,616200,0.0,0.0
1993-08-18,5.17,5.23,5.15,5.21,1.86,1184400,0.0,0.0
1993-08-19,5.23,5.27,5.17,5.25,1.88,804000,0.0,0.0
1993-08-20,5.25,5.29,5.23,5.27,1.89,2332800,0.0,0.0
1993-08-23,5.25,5.25,5.23,5.23,1.87,85800,0.0,0.0
1993-08-24,5.23,5.23,5.17,5.21,1.86,210000,0.0,0.0
