Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1973-02-21,4.62,4.62,4.62,4.62,1.63,99200,0.0,0.0
1973-02-22,4.64,4.64,4.64,4.64,1.64,47200,0.0,0.0
1973-02-23,4.62,4.62,4.62,4.62,1.63,133600,0.0,0.0
1973-02-26,4.62,4.62,4.62,4.62,1.63,24000,0.0,0.0
1973-02-27,4.62,4.62,4.62,4.62,1.63,41600,0.0,0.0
1973-02-28,4.62,4.62,4.62,4.62,1.63,66400,0.0,0.0
1973-03-01,4.66,4.66,4.66,4.66,1.64,93600,0.0,0.0
1973-03-02,4.67,4.67,4.67,4.67,1.65,26400,0.0,0.0
1973-03-05,4.73,4.73,4.73,4.73,1.67,68000,0.0,0.0
1973-03-06,4.88,4.88,4.88,4.88,1.72,76800,0.0,0.0
1973-03-07,4.88,4.88,4.88,4.88,1.72,51200,0.0,0.0
1973-03-08,4.91,4.91,4.91,4.91,1.73,84800,0.0,0.0
1973-03-09,4.91,4.91,4.91,4.91,1.73,78400,0.0,0.0
1973-03-12,4.89,4.89,4.89,4.89,1.72,73600,0.0,0.0
1973-03-13,4.91,4.91,4.91,4.91,1.73,47200,0.0,0.0
1973-03-14,4.92,4.92,4.92,4.92,1.74,50400,0.0,0.0
1973-03-15,4.91,4.91,4.91,4.91,1.73,70400,0.0,0.0
1973-03-16,4.89,4.89,4.89,4.89,1.72,44800,0.0,0.0
1973-03-19,4.84,4.84,4.84,4.84,1.71,28000,0.0,0.0
1973-03-20,4.75,4.75,4.75,4.75,1.68,68800,0.0,0.0
1973-03-21,4.69,4.69,4.69,4.69,1.65,94400,0.0,0.0
1973-03-22,4.61,4.61,4.61,4.61,1.63,55200,0.0,0.0
1973-03-23,4.61,4.61,4.61,4.61,1.63,117600,0.0,0.0
1973-03-26,4.59,4.59,4.59,4.59,1.62,9600,0.0,0.0
1973-03-27,4.59,4.59,4.59,4.59,1.62,15200,0.0,0.0
1973-03-28,4.66,4.66,4.66,4.66,1.64,141600,0.0,0.0
1973-03-29,4.72,4.72,4.72,4.72,1.66,120000,0.0,0.0
1973-03-30,4.72,4.72,4.72,4.72,1.66,85600,0.0,0.0
1973-04-02,4.69,4.69,4.69,4.69,1.65,52800,0.0,0.0
1973-04-03,4.66,4.66,4.66,4.66,1.64,23200,0.0,0.0
1973-04-04,4.62,4.62,4.62,4.62,1.63,78400,0.0,0.0
1973-04-05,4.61,4.61,4.61,4.61,1.63,78400,0.0,0.0
1973-04-06,4.61,4.61,4.61,4.61,1.63,36000,0.0,0.0
1973-04-09,4.61,4.61,4.61,4.61,1.63,28000,0.0,0.0
1973-04-10,4.72,4.72,4.72,4.72,1.66,88800,0.0,0.0
1973-04-11,4.75,4.75,4.75,4.75,1.68,144000,0.0,0.0
1973-04-12,4.81,4.81,4.81,4.81,1.7,140800,0.0,0.0
1973-04-13,4.81,4.81,4.81,4.81,1.7,13600,0.0,0.0
1973-04-16,4.81,4.81,4.81,4.81,1.7,40000,0.0,0.0
1973-04-17,4.69,4.69,4.69,4.69,1.65,92800,0.0,0.0
1973-04-18,4.67,4.67,4.67,4.67,1.65,25600,0.0,0.0
1973-04-19,4.69,4.69,4.69,4.69,1.65,39200,0.0,0.0
1973-04-23,4.62,4.62,4.62,4.62,1.63,48000,0.0,0.0
1973-04-24,4.59,4.59,4.59,4.59,1.62,134400,0.0,0.0
1973-04-25,4.56,4.56,4.56,4.56,1.61,59200,0.0,0.0
1973-04-26,4.56,4.56,4.56,4.56,1.61,33600,0.0,0.0
1973-04-27,4.53,4.53,4.53,4.53,1.6,36800,0.0,0.0
1973-04-30,4.47,4.47,4.47,4.47,1.58,91200,0.0,0.0
1973-05-01,4.44,4.44,4.44,4.44,1.56,295200,0.0,0.0
1973-05-02,4.45,4.45,4.45,4.45,1.57,61600,0.0,0.0
1973-05-03,0.0,4.5,4.44,4.44,1.56,56000,0.0,0.0
1973-05-04,0.0,4.55,4.48,4.48,1.58,43200,0.0,0.0
1973-05-07,0.0,4.56,4.5,4.5,1.59,42400,0.0,0.0
1973-05-08,0.0,4.58,4.52,4.52,1.59,28800,0.0,0.0
1973-05-09,0.0,4.7,4.64,4.64,1.64,58400,0.0,0.0
1973-05-10,0.0,4.81,4.75,4.75,1.68,70400,0.0,0.0
1973-05-11,0.0,4.83,4.77,4.77,1.68,26400,0.0,0.0
1973-05-14,0.0,4.66,4.59,4.59,1.62,151200,0.0,0.0
1973-05-15,0.0,4.64,4.58,4.58,1.61,163200,0.0,0.0
1973-05-16,0.0,4.73,4.67,4.67,1.65,75200,0.0,0.0
1973-05-17,0.0,4.73,4.67,4.67,1.65,27200,0.0,0.0
1973-05-18,0.0,4.69,4.62,4.62,1.63,59200,0.0,0.0
1973-05-21,0.0,4.67,4.61,4.61,1.63,60800,0.0,0.0
1973-05-22,0.0,4.72,4.66,4.66,1.64,95200,0.0,0.0
1973-05-23,0.0,4.73,4.67,4.67,1.65,34400,0.0,0.0
1973-05-24,0.0,4.84,4.78,4.78,1.69,60000,0.0,0.0
1973-05-25,0.0,4.91,4.84,4.84,1.71,111200,0.0,0.0
1973-05-29,0.0,4.94,4.88,4.88,1.72,144800,0.0,0.0
1973-05-30,0.0,4.86,4.8,4.8,1.69,90400,0.0,0.0
1973-05-31,0.0,4.86,4.8,4.8,1.69,36000,0.0,0.0
1973-06-01,0.0,4.86,4.8,4.8,1.69,47200,0.0,0.0
1973-06-04,0.0,4.64,4.58,4.58,1.61,119200,0.0,0.0
1973-06-05,0.0,4.56,4.5,4.5,1.59,101600,0.0,0.0
1973-06-06,0.0,4.5,4.44,4.44,1.56,32000,0.0,0.0
1973-06-07,0.0,4.53,4.47,4.47,1.58,31200,0.0,0.0
1973-06-08,0.0,4.55,4.48,4.48,1.58,98400,0.0,0.0
1973-06-11,0.0,4.56,4.5,4.5,1.59,58400,0.0,0.0
1973-06-12,0.0,4.61,4.55,4.55,1.6,148800,0.0,0.0
1973-06-13,0.0,4.62,4.56,4.56,1.61,40800,0.0,0.0
1973-06-14,0.0,4.66,4.59,4.59,1.62,53600,0.0,0.0
1973-06-15,0.0,4.61,4.55,4.55,1.6,43200,0.0,0.0
1973-06-18,0.0,4.53,4.47,4.47,1.58,31200,0.0,0.0
1973-06-19,0.0,4.48,4.42,4.42,1.56,83200,0.0,0.0
