Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1992-06-05,1.12,1.16,1.05,1.06,0.93,77576000,0.0,0.0
1992-06-08,1.09,1.09,1.03,1.03,0.9,13020800,0.0,0.0
1992-06-09,1.06,1.08,1.03,1.05,0.91,8281600,0.0,0.0
1992-06-10,1.03,1.05,1.0,1.0,0.87,4707200,0.0,0.0
1992-06-11,1.0,1.02,0.98,0.99,0.87,4974400,0.0,0.0
1992-06-12,0.98,1.02,0.98,1.02,0.89,2393600,0.0,0.0
1992-06-15,0.98,1.02,0.98,1.0,0.87,1944000,0.0,0.0
1992-06-16,1.02,1.02,0.98,0.98,0.86,1276800,0.0,0.0
1992-06-17,0.98,1.02,0.88,0.89,0.78,17123200,0.0,0.0
1992-06-18,0.89,0.91,0.88,0.88,0.76,5713600,0.0,0.0
1992-06-19,0.88,0.95,0.88,0.92,0.8,1252800,0.0,0.0
1992-06-22,0.94,0.97,0.94,0.95,0.83,2241600,0.0,0.0
1992-06-23,0.97,1.0,0.94,1.0,0.87,3516800,0.0,0.0
1992-06-24,0.98,0.99,0.91,0.95,0.83,4502400,0.0,0.0
1992-06-25,0.97,0.98,0.94,0.98,0.86,1024000,0.0,0.0
1992-06-26,1.0,1.0,0.97,0.98,0.86,568000,0.0,0.0
1992-06-29,1.0,1.05,1.0,1.03,0.9,1724800,0.0,0.0
1992-06-30,1.06,1.09,1.03,1.06,0.93,3028800,0.0,0.0
1992-07-01,1.06,1.06,1.03,1.03,0.9,1216000,0.0,0.0
1992-07-02,1.03,1.05,1.0,1.01,0.88,1054400,0.0,0.0
1992-07-06,1.0,1.0,0.95,0.95,0.83,1363200,0.0,0.0
1992-07-07,0.95,1.0,0.95,1.0,0.87,998400,0.0,0.0
1992-07-08,0.97,1.0,0.95,0.95,0.83,2686400,0.0,0.0
1992-07-09,0.98,1.05,0.97,1.05,0.91,2024000,0.0,0.0
1992-07-10,1.05,1.05,1.02,1.05,0.91,680000,0.0,0.0
1992-07-13,1.05,1.05,1.02,1.05,0.91,334400,0.0,0.0
1992-07-14,1.02,1.09,1.02,1.09,0.95,3032000,0.0,0.0
1992-07-15,1.09,1.09,1.06,1.06,0.93,875200,0.0,0.0
1992-07-16,1.06,1.08,1.03,1.03,0.9,369600,0.0,0.0
1992-07-17,1.03,1.06,1.0,1.05,0.91,592000,0.0,0.0
1992-07-20,1.02,1.05,1.02,1.03,0.9,387200,0.0,0.0
1992-07-21,1.05,1.05,1.02,1.02,0.89,268800,0.0,0.0
1992-07-22,1.05,1.05,1.02,1.05,0.91,840000,0.0,0.0
1992-07-23,1.05,1.11,1.02,1.06,0.93,2128000,0.0,0.0
1992-07-24,1.09,1.11,1.06,1.11,0.97,1436800,0.0,0.0
1992-07-27,1.11,1.11,1.06,1.09,0.95,507200,0.0,0.0
1992-07-28,1.06,1.11,1.06,1.09,0.95,2584000,0.0,0.0
1992-07-29,1.11,1.11,1.07,1.09,0.95,1678400,0.0,0.0
1992-07-30,1.11,1.17,1.08,1.16,1.01,7366400,0.0,0.0
1992-07-31,1.16,1.28,1.16,1.22,1.06,10646400,0.0,0.0
1992-08-03,1.25,1.25,1.17,1.2,1.05,3025600,0.0,0.0
1992-08-04,1.2,1.22,1.17,1.2,1.05,1408000,0.0,0.0
1992-08-05,1.2,1.23,1.2,1.2,1.05,625600,0.0,0.0
1992-08-06,1.19,1.22,1.19,1.19,1.04,417600,0.0,0.0
1992-08-07,1.22,1.23,1.19,1.2,1.05,632000,0.0,0.0
1992-08-10,1.2,1.23,1.2,1.21,1.06,192000,0.0,0.0
1992-08-11,1.23,1.23,1.2,1.23,1.08,3062400,0.0,0.0
1992-08-12,1.27,1.27,1.23,1.26,1.1,5353600,0.0,0.0
1992-08-13,1.3,1.3,1.23,1.23,1.08,1044800,0.0,0.0
1992-08-14,1.23,1.27,1.23,1.27,1.1,2672000,0.0,0.0
1992-08-17,1.28,1.28,1.25,1.27,1.1,1435200,0.0,0.0
1992-08-18,1.28,1.3,1.25,1.3,1.13,1948800,0.0,0.0
1992-08-19,1.3,1.39,1.28,1.33,1.16,3556800,0.0,0.0
1992-08-20,1.36,1.36,1.32,1.36,1.19,5371200,0.0,0.0
1992-08-21,1.36,1.36,1.29,1.33,1.16,10041600,0.0,0.0
1992-08-24,1.33,1.33,1.25,1.28,1.12,742400,0.0,0.0
