Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1987-04-06,0.0,19.0,18.38,18.62,6.67,157000,0.0,0.0
1987-04-07,18.62,18.62,18.0,18.0,6.45,295600,0.0,0.0
1987-04-08,18.25,18.88,18.25,18.75,6.71,479700,0.0,0.0
1987-04-09,18.75,18.75,17.88,17.88,6.4,850800,0.0,0.0
1987-04-10,17.88,18.25,17.88,18.12,6.49,224000,0.0,0.0
1987-04-13,18.12,18.12,17.5,17.62,6.31,304700,0.0,0.0
1987-04-14,17.5,17.5,15.88,16.12,5.77,168300,0.0,0.0
1987-04-15,16.38,17.5,16.38,17.5,6.27,414500,0.0,0.0
1987-04-16,17.75,18.12,17.75,18.0,6.45,229400,0.0,0.0
1987-04-20,18.0,18.0,17.75,17.75,6.36,135800,0.0,0.0
1987-04-21,17.75,17.88,17.5,17.62,6.31,282200,0.0,0.0
1987-04-22,17.62,17.75,17.0,17.25,6.18,284900,0.0,0.0
1987-04-23,17.38,17.62,17.25,17.38,6.22,219200,0.0,0.0
1987-04-24,17.25,17.5,16.88,16.88,6.04,139700,0.0,0.0
1987-04-27,16.62,16.75,16.0,16.5,5.91,466500,0.0,0.0
1987-04-28,17.12,17.5,16.5,17.12,6.18,272200,0.12,0.0
1987-04-29,17.38,17.5,17.25,17.25,6.22,374500,0.0,0.0
1987-04-30,17.25,18.0,17.25,18.0,6.49,845800,0.0,0.0
1987-05-01,18.12,18.38,17.88,18.0,6.49,713800,0.0,0.0
1987-05-04,18.0,18.62,18.0,18.5,6.67,212200,0.0,0.0
1987-05-05,18.5,19.38,18.0,19.38,6.99,1040000,0.0,0.0
1987-05-06,19.38,20.75,19.25,20.75,7.48,1030000,0.0,0.0
1987-05-07,22.0,22.38,21.88,22.25,8.02,1470000,0.0,0.0
1987-05-08,22.0,22.12,21.62,21.88,7.89,365400,0.0,0.0
1987-05-11,22.0,23.38,21.88,22.5,8.11,815000,0.0,0.0
1987-05-12,22.62,22.62,22.25,22.5,8.11,422900,0.0,0.0
1987-05-13,22.5,22.62,21.62,21.88,7.89,231300,0.0,0.0
1987-05-14,21.75,22.0,21.5,21.75,7.84,341500,0.0,0.0
1987-05-15,21.5,22.0,21.12,21.38,7.71,408700,0.0,0.0
1987-05-18,21.0,21.12,20.5,21.0,7.57,386200,0.0,0.0
1987-05-19,21.0,21.0,20.62,20.75,7.48,270200,0.0,0.0
1987-05-20,20.38,20.62,20.12,20.12,7.26,308100,0.0,0.0
1987-05-21,20.25,20.5,19.75,20.38,7.35,258900,0.0,0.0
1987-05-22,20.38,20.75,20.25,20.75,7.48,255700,0.0,0.0
1987-05-26,21.0,22.0,20.62,21.75,7.84,400600,0.0,0.0
1987-05-27,21.75,21.88,21.5,21.62,7.8,211500,0.0,0.0
