Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2022-01-19,38.0,43.0,38.0,42.0,41.62,129900,0.0,0.0
2022-01-20,40.95,48.37,40.95,45.0,44.59,153400,0.0,0.0
2022-01-21,43.0,49.95,42.95,45.0,44.59,329500,0.0,0.0
2022-01-24,44.92,45.0,41.88,42.8,42.41,110000,0.0,0.0
2022-01-25,42.5,44.92,41.33,41.9,41.52,23500,0.0,0.0
2022-01-26,45.01,45.06,42.25,43.22,42.83,90500,0.0,0.0
2022-01-27,47.26,49.62,43.75,45.76,45.35,151600,0.0,0.0
2022-01-28,44.55,47.6,44.15,46.75,46.33,43600,0.0,0.0
2022-01-31,46.0,48.0,46.0,48.0,47.57,71300,0.0,0.0
2022-02-01,47.5,50.0,47.05,49.78,49.33,298800,0.0,0.0
2022-02-02,50.03,56.23,49.8,53.01,52.53,23860900,0.0,0.0
2022-02-03,52.19,56.57,50.3,53.62,53.14,8425500,0.0,0.0
2022-02-04,52.6,54.33,50.12,50.14,49.69,6757800,0.0,0.0
2022-02-07,50.0,50.04,46.0,46.07,45.65,9432500,0.0,0.0
2022-02-08,45.13,47.56,44.17,45.5,45.09,7277500,0.0,0.0
2022-02-09,44.75,47.45,43.88,47.31,46.88,4393100,0.0,0.0
2022-02-10,45.51,48.5,45.38,47.05,46.63,2450000,0.0,0.0
2022-02-11,46.76,48.91,46.06,48.09,47.66,3456800,0.0,0.0
2022-02-14,48.19,49.0,46.99,48.11,47.68,2155000,0.0,0.0
2022-02-15,47.7,48.45,47.2,48.0,47.57,2359800,0.0,0.0
2022-02-16,47.72,48.47,46.95,47.2,46.77,5855300,0.0,0.0
2022-02-17,46.32,47.08,45.19,45.29,44.88,3142600,0.0,0.0
2022-02-18,45.15,45.9,44.8,45.41,45.0,2018700,0.0,0.0
2022-02-22,45.41,45.68,43.49,43.54,43.15,2611100,0.0,0.0
2022-02-23,43.69,43.99,42.18,43.09,42.7,2791200,0.0,0.0
2022-02-24,43.15,44.59,42.22,44.32,44.06,2447900,0.14,0.0
2022-02-25,44.3,44.93,43.74,43.91,43.66,2040700,0.0,0.0
2022-02-28,43.3,46.62,42.46,45.98,45.72,5534900,0.0,0.0
2022-03-01,45.62,48.05,45.35,47.79,47.51,4212900,0.0,0.0
2022-03-02,48.0,50.3,47.33,49.46,49.17,3517100,0.0,0.0
2022-03-03,49.82,50.33,47.55,49.52,49.23,2072200,0.0,0.0
2022-03-04,49.17,51.04,48.25,51.0,50.71,2544600,0.0,0.0
2022-03-07,51.06,52.58,49.87,51.65,51.35,2726900,0.0,0.0
2022-03-08,51.18,55.32,50.85,52.32,52.02,3873700,0.0,0.0
2022-03-09,52.44,53.68,50.59,51.33,51.03,3050600,0.0,0.0
2022-03-10,50.57,51.64,49.27,51.32,51.02,2692700,0.0,0.0
2022-03-11,51.42,51.84,48.29,49.32,49.04,3034100,0.0,0.0
2022-03-14,51.86,51.86,48.59,50.95,50.66,2916600,0.0,0.0
2022-03-15,51.34,51.59,49.9,51.29,50.99,2117400,0.0,0.0
2022-03-16,51.71,52.4,50.35,51.77,51.47,2989800,0.0,0.0
2022-03-17,51.88,52.71,50.91,50.99,50.7,2244600,0.0,0.0
2022-03-18,50.65,51.41,48.88,49.01,48.73,9663900,0.0,0.0
2022-03-21,48.91,49.43,48.6,49.22,48.94,2452000,0.0,0.0
2022-03-22,50.35,52.05,50.01,51.14,50.85,3841900,0.0,0.0
2022-03-23,50.7,51.77,50.7,50.99,50.7,2396200,0.0,0.0
2022-03-24,51.18,52.58,50.77,52.41,52.11,2335200,0.0,0.0
2022-03-25,52.24,53.82,52.03,53.8,53.49,2441200,0.0,0.0
2022-03-28,54.38,56.85,54.05,56.78,56.45,3127000,0.0,0.0
2022-03-29,57.0,57.39,54.63,56.33,56.01,2201300,0.0,0.0
2022-03-30,56.17,57.79,55.7,57.5,57.17,1934100,0.0,0.0
2022-03-31,58.34,59.08,55.78,56.25,55.93,3817600,0.0,0.0
2022-04-01,56.36,58.3,55.7,58.02,57.69,2156500,0.0,0.0
2022-04-04,58.36,58.7,57.53,58.38,58.04,1885100,0.0,0.0
2022-04-05,58.65,60.32,58.45,59.0,58.66,2143100,0.0,0.0
2022-04-06,58.9,60.08,58.37,59.6,59.26,2559400,0.0,0.0
2022-04-07,59.76,61.07,59.35,60.91,60.56,3925800,0.0,0.0
2022-04-08,61.22,64.9,60.9,64.02,63.65,4762100,0.0,0.0
2022-04-11,64.18,64.66,60.41,60.68,60.33,3487700,0.0,0.0
2022-04-12,61.0,63.21,60.88,61.87,61.51,2553000,0.0,0.0
2022-04-13,62.04,64.55,61.75,64.2,63.83,3405700,0.0,0.0
2022-04-14,64.12,64.72,62.18,62.55,62.19,1860100,0.0,0.0
2022-04-18,62.29,64.17,62.29,63.31,62.95,1216800,0.0,0.0
2022-04-19,63.63,66.89,62.88,66.71,66.33,2078800,0.0,0.0
2022-04-20,67.82,68.68,65.07,65.41,65.03,2182800,0.0,0.0
2022-04-21,65.0,66.3,62.15,62.67,62.31,2493700,0.0,0.0
2022-04-22,62.5,64.46,62.29,62.43,62.07,2030500,0.0,0.0
2022-04-25,62.36,62.84,59.44,62.27,61.91,2261600,0.0,0.0
2022-04-26,61.8,62.22,59.91,59.95,59.6,2136500,0.0,0.0
2022-04-27,60.01,61.19,59.73,60.09,59.74,1991600,0.0,0.0
2022-04-28,60.22,61.35,58.8,61.31,60.96,3354600,0.0,0.0
2022-04-29,61.5,61.86,59.15,59.21,58.87,2578400,0.0,0.0
2022-05-02,59.3,59.99,56.9,58.2,57.86,2488200,0.0,0.0
2022-05-03,58.45,60.45,58.45,59.7,59.36,2224200,0.0,0.0
2022-05-04,60.12,62.29,59.84,61.81,61.45,2628900,0.0,0.0
2022-05-05,61.22,61.99,59.17,60.16,59.81,1946800,0.0,0.0
2022-05-06,60.26,61.23,58.7,60.27,59.92,2861000,0.0,0.0
2022-05-09,60.57,60.57,56.57,57.62,57.29,2193700,0.0,0.0
2022-05-10,58.25,59.87,56.74,57.04,56.71,2156200,0.0,0.0
2022-05-11,57.11,59.03,56.53,57.37,57.04,1877000,0.0,0.0
2022-05-12,57.31,57.85,53.08,53.47,53.29,3785600,0.14,0.0
2022-05-13,54.53,55.9,53.63,54.61,54.43,2317500,0.0,0.0
2022-05-16,54.42,57.13,54.34,56.59,56.4,1631900,0.0,0.0
2022-05-17,56.85,59.48,55.98,59.32,59.12,2215100,0.0,0.0
2022-05-18,59.42,60.26,56.93,57.28,57.09,4609100,0.0,0.0
2022-05-19,57.13,57.51,54.92,57.23,57.04,2181100,0.0,0.0
2022-05-20,57.51,58.94,55.49,56.65,56.46,2266200,0.0,0.0
2022-05-23,57.5,57.59,55.86,56.6,56.41,1581800,0.0,0.0
2022-05-24,56.55,57.36,55.07,56.78,56.59,1682300,0.0,0.0
2022-05-25,56.88,59.34,56.88,59.17,58.97,1974700,0.0,0.0
2022-05-26,59.18,63.04,59.17,62.47,62.26,3260100,0.0,0.0
2022-05-27,62.4,66.64,62.0,66.6,66.38,2793800,0.0,0.0
2022-05-31,65.54,66.39,61.37,62.08,61.87,7389300,0.0,0.0
2022-06-01,62.38,63.92,62.15,63.65,63.44,2008600,0.0,0.0
2022-06-02,63.69,64.12,61.98,63.75,63.54,1758500,0.0,0.0
2022-06-03,63.26,65.82,63.12,65.17,64.95,1793500,0.0,0.0
2022-06-06,65.57,66.94,65.39,66.39,66.17,2033200,0.0,0.0
2022-06-07,65.52,66.7,65.16,66.55,66.33,2721700,0.0,0.0
2022-06-08,66.44,66.47,63.13,64.77,64.56,1922200,0.0,0.0
2022-06-09,64.26,64.46,61.16,61.21,61.01,1811000,0.0,0.0
2022-06-10,59.85,61.06,59.21,59.79,59.59,1540800,0.0,0.0
2022-06-13,58.27,58.99,55.2,55.48,55.3,2113200,0.0,0.0
2022-06-14,56.03,56.48,53.32,54.44,54.26,2330400,0.0,0.0
2022-06-15,55.7,59.56,55.68,58.2,58.01,3891700,0.0,0.0
2022-06-16,56.33,58.35,56.08,58.26,58.07,4837000,0.0,0.0
2022-06-17,58.55,59.5,55.49,58.1,57.91,6478700,0.0,0.0
2022-06-21,58.1,60.94,58.1,60.38,60.18,4363600,0.0,0.0
2022-06-22,59.28,60.43,58.87,59.21,59.01,3233400,0.0,0.0
2022-06-23,59.88,61.23,57.79,58.65,58.46,2667600,0.0,0.0
2022-06-24,58.84,60.34,57.98,59.28,59.08,6473700,0.0,0.0
2022-06-27,59.12,59.87,58.42,59.42,59.22,1718900,0.0,0.0
2022-06-28,59.84,60.91,57.83,58.08,57.89,1401700,0.0,0.0
2022-06-29,57.96,58.15,56.32,57.31,57.12,1412200,0.0,0.0
2022-06-30,56.9,58.83,56.55,57.26,57.07,2424400,0.0,0.0
2022-07-01,56.72,58.09,56.62,57.6,57.41,1531900,0.0,0.0
2022-07-05,57.15,57.37,52.89,54.94,54.76,2696000,0.0,0.0
2022-07-06,55.13,57.22,54.56,56.76,56.57,1716600,0.0,0.0
2022-07-07,57.57,59.9,57.57,59.11,58.91,1872100,0.0,0.0
2022-07-08,58.94,59.81,57.42,59.65,59.45,2096000,0.0,0.0
2022-07-11,59.65,60.14,58.41,59.84,59.64,1774700,0.0,0.0
2022-07-12,59.41,61.11,58.92,59.23,59.03,1808400,0.0,0.0
2022-07-13,58.15,60.28,58.15,59.82,59.62,1577200,0.0,0.0
2022-07-14,58.29,58.97,57.09,57.92,57.73,2608600,0.0,0.0
2022-07-15,54.96,56.65,52.64,55.66,55.48,5186100,0.0,0.0
2022-07-18,56.33,56.67,54.59,54.81,54.63,2583100,0.0,0.0
2022-07-19,55.44,55.5,54.17,55.0,54.82,2326200,0.0,0.0
2022-07-20,55.16,55.35,53.37,54.07,53.89,2803600,0.0,0.0
2022-07-21,53.86,54.85,53.31,54.16,53.98,1816800,0.0,0.0
2022-07-22,54.79,55.6,53.42,54.0,53.82,1503100,0.0,0.0
2022-07-25,53.98,55.06,53.37,54.96,54.78,1847700,0.0,0.0
2022-07-26,55.4,56.67,54.89,55.5,55.32,1993500,0.0,0.0
2022-07-27,55.03,55.76,54.18,55.53,55.35,1557200,0.0,0.0
2022-07-28,62.58,65.94,62.19,64.59,64.38,8460600,0.0,0.0
2022-07-29,63.85,66.6,63.64,66.1,65.88,3895200,0.0,0.0
2022-08-01,66.05,66.6,64.13,65.3,65.08,2735200,0.0,0.0
2022-08-02,65.3,66.79,64.99,65.84,65.62,1722900,0.0,0.0
2022-08-03,66.63,67.38,65.54,67.17,66.95,2286700,0.0,0.0
2022-08-04,65.51,68.37,65.51,67.46,67.24,2425900,0.0,0.0
2022-08-05,69.76,75.98,69.75,74.3,74.05,4216800,0.0,0.0
2022-08-08,77.01,77.63,74.97,75.89,75.64,3183600,0.0,0.0
2022-08-09,75.75,76.77,75.02,75.72,75.47,2945700,0.0,0.0
2022-08-10,76.05,77.2,75.5,77.12,76.86,2134600,0.0,0.0
2022-08-11,77.12,80.06,76.68,78.83,78.57,2540200,0.0,0.0
2022-08-12,79.65,81.68,79.04,81.5,81.38,2170800,0.14,0.0
2022-08-15,80.25,82.43,80.25,81.2,81.08,1980100,0.0,0.0
2022-08-16,81.1,82.11,80.9,81.4,81.28,1878800,0.0,0.0
2022-08-17,80.42,81.45,79.1,79.7,79.58,2502200,0.0,0.0
2022-08-18,79.42,82.14,79.42,81.6,81.48,1939600,0.0,0.0
2022-08-19,80.31,81.28,79.85,80.84,80.72,1704000,0.0,0.0
2022-08-22,80.75,80.75,79.52,79.65,79.53,1724600,0.0,0.0
2022-08-23,80.27,80.89,79.6,79.75,79.63,1065800,0.0,0.0
2022-08-24,79.66,80.82,79.31,80.37,80.25,1430200,0.0,0.0
2022-08-25,80.01,82.83,79.76,82.74,82.61,1551700,0.0,0.0
2022-08-26,82.74,83.23,80.6,80.83,80.71,1641000,0.0,0.0
2022-08-29,79.65,81.99,79.15,81.0,80.88,1191200,0.0,0.0
2022-08-30,81.58,81.58,78.98,79.69,79.57,1802800,0.0,0.0
2022-08-31,80.26,82.39,79.57,81.59,81.47,3016500,0.0,0.0
2022-09-01,81.59,82.94,81.16,82.52,82.39,2421100,0.0,0.0
2022-09-02,82.58,83.69,80.96,81.07,80.95,2232200,0.0,0.0
2022-09-06,81.7,82.7,81.08,82.26,82.13,2013300,0.0,0.0
2022-09-07,82.6,84.46,81.68,82.9,82.77,1759100,0.0,0.0
2022-09-08,82.87,85.95,82.87,85.79,85.66,2184400,0.0,0.0
2022-09-09,86.5,87.81,85.43,87.51,87.38,1905300,0.0,0.0
2022-09-12,88.56,88.66,87.46,88.13,88.0,1733800,0.0,0.0
2022-09-13,86.9,88.03,85.77,86.38,86.25,1974200,0.0,0.0
2022-09-14,86.38,88.53,86.26,88.05,87.92,3600300,0.0,0.0
2022-09-15,87.88,88.26,86.31,86.8,86.67,3631800,0.0,0.0
2022-09-16,86.61,86.86,84.89,85.57,85.44,6245600,0.0,0.0
2022-09-19,85.4,89.7,85.25,89.36,89.22,4407400,0.0,0.0
2022-09-20,88.41,90.18,87.56,87.75,87.62,4626000,0.0,0.0
2022-09-21,88.79,90.09,87.23,87.28,87.15,2155100,0.0,0.0
2022-09-22,88.0,88.0,84.63,85.38,85.25,1863300,0.0,0.0
2022-09-23,83.79,84.34,82.15,83.85,83.72,2678800,0.0,0.0
2022-09-26,83.67,84.95,81.65,82.92,82.79,1973300,0.0,0.0
2022-09-27,83.69,85.42,83.08,83.97,83.84,1777800,0.0,0.0
2022-09-28,84.11,85.53,83.18,85.02,84.89,1564300,0.0,0.0
2022-09-29,85.05,86.21,82.07,83.04,82.91,1823700,0.0,0.0
2022-09-30,83.28,84.45,82.22,83.19,83.06,3267800,0.0,0.0
2022-10-03,85.03,86.91,83.87,86.59,86.46,2026700,0.0,0.0
2022-10-04,88.3,89.46,87.16,89.34,89.2,1679100,0.0,0.0
2022-10-05,87.68,89.47,85.59,88.17,88.04,1766700,0.0,0.0
2022-10-06,88.23,89.91,85.95,86.28,86.15,1677300,0.0,0.0
2022-10-07,85.71,85.75,83.37,84.39,84.26,2017200,0.0,0.0
2022-10-10,84.95,85.63,83.93,84.72,84.59,982800,0.0,0.0
2022-10-11,84.41,85.32,82.55,82.88,82.75,1534200,0.0,0.0
2022-10-12,83.11,83.59,81.68,82.16,82.03,1878400,0.0,0.0
2022-10-13,80.56,84.32,79.3,83.82,83.69,2746500,0.0,0.0
2022-10-14,84.21,84.76,80.71,81.26,81.14,1693300,0.0,0.0
2022-10-17,83.22,86.29,83.14,85.19,85.06,1678900,0.0,0.0
2022-10-18,86.5,87.4,84.51,86.51,86.38,1598900,0.0,0.0
2022-10-19,85.09,86.23,84.56,85.69,85.56,1325800,0.0,0.0
2022-10-20,86.37,86.73,84.18,84.56,84.43,2076500,0.0,0.0
2022-10-21,84.7,87.46,83.66,87.28,87.15,1749200,0.0,0.0
2022-10-24,87.57,87.71,85.57,87.58,87.45,1325000,0.0,0.0
2022-10-25,87.5,88.56,86.75,88.15,88.02,1647200,0.0,0.0
2022-10-26,89.68,89.68,87.33,88.78,88.64,1370100,0.0,0.0
2022-10-27,89.81,93.14,89.81,93.04,92.9,3345800,0.0,0.0
2022-10-28,92.89,95.25,91.82,93.75,93.61,1958000,0.0,0.0
2022-10-31,94.14,95.42,93.38,94.54,94.4,2276600,0.0,0.0
2022-11-01,95.24,96.24,94.0,95.52,95.37,1467400,0.0,0.0
2022-11-02,94.68,96.29,92.98,93.09,92.95,1966100,0.0,0.0
