Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1997-10-16,5.81,5.81,5.56,5.69,3.67,7436400,0.0,0.0
1997-10-17,5.66,5.75,5.41,5.59,3.61,3390400,0.0,0.0
1997-10-20,5.5,5.62,5.47,5.53,3.57,3068000,0.0,0.0
1997-10-21,5.56,5.69,5.5,5.59,3.61,2382400,0.0,0.0
1997-10-22,5.69,5.75,5.59,5.72,3.69,1525200,0.0,0.0
1997-10-23,5.69,5.69,5.53,5.59,3.61,1622400,0.0,0.0
1997-10-24,5.66,5.72,5.56,5.72,3.69,813600,0.0,0.0
1997-10-27,5.66,5.75,5.38,5.42,3.5,1507200,0.0,0.0
1997-10-28,5.25,5.69,4.94,5.59,3.61,2955600,0.0,0.0
1997-10-29,5.69,5.72,5.59,5.66,3.65,1859200,0.0,0.0
1997-10-30,5.53,5.56,5.38,5.5,3.55,856000,0.0,0.0
1997-10-31,5.44,5.64,5.44,5.5,3.55,561600,0.0,0.0
1997-11-03,5.62,5.84,5.53,5.73,3.7,1004000,0.0,0.0
1997-11-04,5.75,5.88,5.69,5.78,3.73,364000,0.0,0.0
1997-11-05,5.81,6.06,5.78,5.91,3.81,324400,0.0,0.0
1997-11-06,5.88,6.25,5.88,6.25,4.03,361600,0.0,0.0
1997-11-07,6.19,6.62,6.03,6.44,4.15,662400,0.0,0.0
1997-11-10,6.31,6.5,6.16,6.16,3.97,266800,0.0,0.0
1997-11-11,5.94,6.0,5.75,6.0,3.87,618000,0.0,0.0
1997-11-12,6.0,6.0,5.56,5.69,3.67,314800,0.0,0.0
1997-11-13,5.56,5.62,5.47,5.5,3.55,500000,0.0,0.0
1997-11-14,5.44,5.5,5.31,5.44,3.51,438000,0.0,0.0
1997-11-17,5.5,5.84,5.5,5.81,3.75,284000,0.0,0.0
1997-11-18,5.88,5.88,5.69,5.72,3.69,1429600,0.0,0.0
1997-11-19,5.72,5.81,5.56,5.56,3.59,148400,0.0,0.0
