Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1980-03-17,0.0,0.1,0.1,0.1,0.07,138396,0.0,0.0
1980-03-18,0.0,0.1,0.1,0.1,0.07,530518,0.0,0.0
1980-03-19,0.0,0.1,0.1,0.1,0.07,738113,0.0,0.0
1980-03-20,0.0,0.11,0.1,0.1,0.07,1360895,0.0,0.0
1980-03-21,0.0,0.11,0.11,0.11,0.08,461320,0.0,0.0
1980-03-24,0.0,0.11,0.11,0.11,0.07,322924,0.0,0.0
1980-03-25,0.0,0.11,0.1,0.1,0.07,738113,0.0,0.0
1980-03-26,0.0,0.11,0.1,0.1,0.07,23066,0.0,0.0
1980-03-27,0.0,0.09,0.08,0.08,0.06,2168205,0.0,0.0
1980-03-28,0.0,0.09,0.09,0.09,0.06,553584,0.0,0.0
1980-03-31,0.0,0.1,0.09,0.09,0.06,392122,0.0,0.0
1980-04-01,0.0,0.1,0.09,0.09,0.07,253726,0.0,0.0
1980-04-02,0.0,0.1,0.09,0.09,0.07,46132,0.0,0.0
1980-04-03,0.0,0.1,0.09,0.09,0.07,92264,0.0,0.0
1980-04-07,0.0,0.1,0.09,0.09,0.06,230660,0.0,0.0
1980-04-08,0.0,0.1,0.09,0.09,0.06,23066,0.0,0.0
1980-04-09,0.0,0.1,0.09,0.09,0.06,184528,0.0,0.0
1980-04-10,0.0,0.1,0.09,0.09,0.07,691980,0.0,0.0
1980-04-11,0.0,0.1,0.09,0.09,0.07,415188,0.0,0.0
1980-04-14,0.0,0.1,0.09,0.09,0.07,253726,0.0,0.0
1980-04-15,0.0,0.1,0.09,0.09,0.07,599716,0.0,0.0
1980-04-16,0.09,0.09,0.09,0.09,0.07,0,0.0,0.0
1980-04-17,0.09,0.09,0.09,0.09,0.07,0,0.0,0.0
1980-04-18,0.0,0.1,0.09,0.09,0.07,46132,0.0,0.0
1980-04-21,0.0,0.1,0.09,0.09,0.07,23066,0.0,0.0
1980-04-22,0.09,0.09,0.09,0.09,0.07,0,0.0,0.0
1980-04-23,0.0,0.1,0.09,0.09,0.07,230660,0.0,0.0
1980-04-24,0.0,0.1,0.09,0.09,0.07,253726,0.0,0.0
1980-04-25,0.0,0.1,0.1,0.1,0.07,784245,0.0,0.0
1980-04-28,0.0,0.1,0.1,0.1,0.07,276792,0.0,0.0
1980-04-29,0.0,0.1,0.1,0.1,0.07,299858,0.0,0.0
1980-04-30,0.1,0.1,0.1,0.1,0.07,0,0.0,0.0
1980-05-01,0.0,0.1,0.1,0.1,0.07,253726,0.0,0.0
1980-05-02,0.0,0.1,0.1,0.1,0.07,161462,0.0,0.0
1980-05-05,0.0,0.1,0.1,0.1,0.07,92264,0.0,0.0
1980-05-06,0.0,0.11,0.1,0.1,0.07,161462,0.0,0.0
1980-05-07,0.0,0.11,0.1,0.1,0.07,299858,0.0,0.0
1980-05-08,0.0,0.11,0.1,0.1,0.07,484386,0.0,0.0
1980-05-09,0.0,0.11,0.11,0.11,0.07,853443,0.0,0.0
1980-05-12,0.0,0.11,0.11,0.11,0.08,369056,0.0,0.0
1980-05-13,0.0,0.12,0.12,0.12,0.08,1130235,0.0,0.0
1980-05-14,0.0,0.11,0.11,0.11,0.08,830377,0.0,0.0
1980-05-15,0.0,0.12,0.11,0.11,0.08,345990,0.0,0.0
