Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1986-07-09,10.69,11.06,10.56,11.0,7.66,1116800,0.0,0.0
1986-07-10,11.06,11.12,10.69,10.94,7.61,595600,0.0,0.0
1986-07-11,10.88,10.94,10.56,10.56,7.35,800400,0.0,0.0
1986-07-14,10.62,10.62,10.12,10.25,7.13,738000,0.0,0.0
1986-07-15,10.19,10.19,9.31,9.94,6.92,2059200,0.0,0.0
1986-07-16,9.94,10.5,9.94,10.12,7.05,1160400,0.0,0.0
1986-07-17,10.12,10.25,10.0,10.19,7.09,1046000,0.0,0.0
1986-07-18,10.19,10.34,10.0,10.25,7.13,1420000,0.0,0.0
1986-07-21,10.25,10.31,10.19,10.25,7.13,322800,0.0,0.0
1986-07-22,10.25,10.28,10.19,10.19,7.09,390800,0.0,0.0
1986-07-23,10.25,10.25,10.0,10.06,7.0,1004000,0.0,0.0
1986-07-24,10.06,10.12,9.81,9.94,6.92,1071600,0.0,0.0
1986-07-25,9.94,10.12,9.88,10.06,7.0,688400,0.0,0.0
1986-07-28,10.06,10.25,9.97,10.12,7.05,414800,0.0,0.0
1986-07-29,10.0,10.19,10.0,10.19,7.09,278400,0.0,0.0
1986-07-30,10.06,10.12,9.88,10.12,7.05,459200,0.0,0.0
1986-07-31,10.12,10.25,10.0,10.06,7.0,1213600,0.0,0.0
1986-08-01,10.0,10.12,9.75,9.75,6.79,1118000,0.0,0.0
1986-08-04,9.81,9.81,9.53,9.75,6.79,892400,0.0,0.0
1986-08-05,9.75,9.75,9.5,9.56,6.66,868800,0.0,0.0
1986-08-06,9.56,9.62,9.12,9.12,6.35,550400,0.0,0.0
1986-08-07,9.0,9.06,8.12,8.38,5.83,7560000,0.0,0.0
1986-08-08,8.44,8.94,8.38,8.88,6.18,2802000,0.0,0.0
1986-08-11,9.0,9.12,8.88,9.12,6.35,1428000,0.0,0.0
1986-08-12,9.12,9.44,9.12,9.38,6.53,1155200,0.0,0.0
1986-08-13,9.44,10.09,9.38,9.69,6.74,865600,0.0,0.0
1986-08-14,9.75,9.81,9.38,9.5,6.61,762000,0.0,0.0
1986-08-15,9.5,9.5,9.19,9.38,6.53,654400,0.0,0.0
1986-08-18,9.44,9.88,9.25,9.69,6.74,606800,0.0,0.0
1986-08-19,9.75,9.75,9.5,9.56,6.66,2744000,0.0,0.0
1986-08-20,9.56,9.56,9.38,9.5,6.61,500000,0.0,0.0
1986-08-21,9.5,9.56,9.44,9.44,6.57,353200,0.0,0.0
1986-08-22,9.5,9.56,9.38,9.38,6.53,286000,0.0,0.0
1986-08-25,9.5,9.5,9.12,9.25,6.44,766400,0.0,0.0
1986-08-26,9.19,9.38,9.19,9.38,6.53,408800,0.0,0.0
1986-08-27,9.38,9.38,9.19,9.31,6.48,686400,0.0,0.0
1986-08-28,9.31,9.31,9.12,9.19,6.4,286000,0.0,0.0
