Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1994-03-17,0.28,0.31,0.27,0.3,0.3,94171200,0.0,0.0
1994-03-18,0.31,0.32,0.3,0.32,0.32,18096000,0.0,0.0
1994-03-21,0.32,0.33,0.31,0.32,0.32,4584000,0.0,0.0
1994-03-22,0.33,0.33,0.32,0.32,0.32,7243200,0.0,0.0
1994-03-23,0.32,0.32,0.31,0.32,0.32,3216000,0.0,0.0
1994-03-24,0.32,0.32,0.31,0.32,0.32,2606400,0.0,0.0
1994-03-25,0.32,0.33,0.31,0.33,0.33,2587200,0.0,0.0
1994-03-28,0.33,0.33,0.31,0.32,0.32,4838400,0.0,0.0
1994-03-29,0.32,0.32,0.3,0.3,0.3,1699200,0.0,0.0
1994-03-30,0.3,0.31,0.3,0.3,0.3,2289600,0.0,0.0
1994-03-31,0.3,0.3,0.28,0.29,0.29,1972800,0.0,0.0
1994-04-04,0.29,0.29,0.28,0.28,0.28,4161600,0.0,0.0
1994-04-05,0.28,0.29,0.28,0.29,0.29,969600,0.0,0.0
1994-04-06,0.29,0.3,0.29,0.29,0.29,873600,0.0,0.0
1994-04-07,0.3,0.31,0.3,0.31,0.31,196800,0.0,0.0
1994-04-08,0.31,0.31,0.3,0.3,0.3,379200,0.0,0.0
1994-04-11,0.31,0.31,0.3,0.31,0.31,297600,0.0,0.0
1994-04-12,0.31,0.32,0.31,0.31,0.31,1684800,0.0,0.0
1994-04-13,0.31,0.31,0.3,0.31,0.31,1488000,0.0,0.0
1994-04-14,0.3,0.31,0.3,0.31,0.31,33600,0.0,0.0
1994-04-15,0.3,0.3,0.3,0.3,0.3,1656000,0.0,0.0
1994-04-18,0.3,0.3,0.29,0.3,0.3,1761600,0.0,0.0
1994-04-19,0.3,0.3,0.29,0.3,0.3,844800,0.0,0.0
1994-04-20,0.29,0.3,0.29,0.29,0.29,153600,0.0,0.0
1994-04-21,0.29,0.29,0.29,0.29,0.29,6710400,0.0,0.0
1994-04-22,0.29,0.29,0.29,0.29,0.29,1032000,0.0,0.0
1994-04-25,0.29,0.3,0.29,0.29,0.29,9633600,0.0,0.0
1994-04-26,0.3,0.3,0.29,0.3,0.3,5203200,0.0,0.0
1994-04-28,0.31,0.31,0.3,0.3,0.3,384000,0.0,0.0
1994-04-29,0.3,0.31,0.3,0.3,0.3,2524800,0.0,0.0
1994-05-02,0.31,0.31,0.31,0.31,0.31,1200000,0.0,0.0
1994-05-03,0.31,0.33,0.31,0.32,0.32,2428800,0.0,0.0
1994-05-04,0.32,0.33,0.32,0.33,0.33,4104000,0.0,0.0
1994-05-05,0.33,0.33,0.33,0.33,0.33,4776000,0.0,0.0
1994-05-06,0.33,0.33,0.32,0.33,0.33,1056000,0.0,0.0
1994-05-09,0.32,0.33,0.32,0.32,0.32,408000,0.0,0.0
1994-05-10,0.33,0.33,0.32,0.33,0.33,316800,0.0,0.0
1994-05-11,0.33,0.33,0.32,0.32,0.32,11894400,0.0,0.0
1994-05-12,0.32,0.33,0.32,0.32,0.32,3667200,0.0,0.0
1994-05-13,0.33,0.33,0.33,0.33,0.33,19200,0.0,0.0
1994-05-16,0.32,0.33,0.32,0.32,0.32,830400,0.0,0.0
1994-05-17,0.32,0.33,0.32,0.32,0.32,388800,0.0,0.0
1994-05-18,0.33,0.33,0.32,0.32,0.32,907200,0.0,0.0
1994-05-19,0.32,0.32,0.32,0.32,0.32,163200,0.0,0.0
1994-05-20,0.32,0.33,0.32,0.32,0.32,1526400,0.0,0.0
1994-05-23,0.32,0.32,0.32,0.32,0.32,360000,0.0,0.0
1994-05-24,0.32,0.32,0.32,0.32,0.32,9600,0.0,0.0
1994-05-25,0.32,0.33,0.32,0.33,0.33,91200,0.0,0.0
1994-05-26,0.33,0.33,0.32,0.32,0.32,964800,0.0,0.0
1994-05-27,0.32,0.32,0.32,0.32,0.32,168000,0.0,0.0
1994-05-31,0.33,0.33,0.32,0.33,0.33,4440000,0.0,0.0
1994-06-01,0.33,0.33,0.32,0.32,0.32,288000,0.0,0.0
1994-06-02,0.32,0.34,0.32,0.34,0.34,1800000,0.0,0.0
1994-06-03,0.33,0.35,0.33,0.35,0.35,1896000,0.0,0.0
1994-06-06,0.35,0.35,0.35,0.35,0.35,1828800,0.0,0.0
1994-06-07,0.35,0.35,0.34,0.35,0.35,1041600,0.0,0.0
1994-06-08,0.35,0.35,0.34,0.34,0.34,648000,0.0,0.0
1994-06-09,0.34,0.34,0.32,0.32,0.32,3192000,0.0,0.0
1994-06-10,0.32,0.32,0.31,0.32,0.32,1531200,0.0,0.0
1994-06-13,0.31,0.32,0.31,0.32,0.32,2409600,0.0,0.0
1994-06-14,0.32,0.33,0.32,0.32,0.32,340800,0.0,0.0
1994-06-15,0.33,0.33,0.32,0.33,0.33,652800,0.0,0.0
1994-06-16,0.32,0.33,0.32,0.33,0.33,1670400,0.0,0.0
1994-06-17,0.32,0.32,0.32,0.32,0.32,57600,0.0,0.0
1994-06-20,0.33,0.33,0.33,0.33,0.33,9600,0.0,0.0
1994-06-21,0.33,0.33,0.31,0.31,0.31,2376000,0.0,0.0
1994-06-22,0.3,0.31,0.3,0.31,0.31,235200,0.0,0.0
1994-06-23,0.31,0.31,0.3,0.3,0.3,1099200,0.0,0.0
1994-06-24,0.3,0.3,0.29,0.3,0.3,1003200,0.0,0.0
1994-06-27,0.3,0.3,0.29,0.3,0.3,192000,0.0,0.0
1994-06-28,0.3,0.31,0.29,0.31,0.31,2913600,0.0,0.0
1994-06-29,0.3,0.31,0.3,0.31,0.31,1996800,0.0,0.0
1994-06-30,0.31,0.32,0.31,0.32,0.32,1929600,0.0,0.0
1994-07-01,0.32,0.32,0.31,0.32,0.32,379200,0.0,0.0
1994-07-05,0.32,0.32,0.31,0.31,0.31,499200,0.0,0.0
1994-07-06,0.31,0.31,0.29,0.3,0.3,1497600,0.0,0.0
1994-07-07,0.3,0.3,0.3,0.3,0.3,427200,0.0,0.0
1994-07-08,0.3,0.3,0.3,0.3,0.3,0,0.0,0.0
1994-07-11,0.29,0.3,0.29,0.3,0.3,1300800,0.0,0.0
1994-07-12,0.3,0.3,0.29,0.29,0.29,187200,0.0,0.0
1994-07-13,0.29,0.31,0.29,0.31,0.31,5563200,0.0,0.0
1994-07-14,0.3,0.31,0.3,0.31,0.31,336000,0.0,0.0
1994-07-15,0.3,0.31,0.3,0.31,0.31,2284800,0.0,0.0
1994-07-18,0.31,0.31,0.31,0.31,0.31,0,0.0,0.0
1994-07-19,0.3,0.31,0.3,0.31,0.31,96000,0.0,0.0
1994-07-20,0.31,0.31,0.31,0.31,0.31,28800,0.0,0.0
1994-07-21,0.31,0.31,0.31,0.31,0.31,0,0.0,0.0
1994-07-22,0.3,0.3,0.3,0.3,0.3,336000,0.0,0.0
1994-07-25,0.3,0.3,0.3,0.3,0.3,792000,0.0,0.0
1994-07-26,0.3,0.31,0.3,0.3,0.3,504000,0.0,0.0
1994-07-27,0.31,0.31,0.3,0.3,0.3,926400,0.0,0.0
