Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1980-11-03,0.39,0.39,0.38,0.39,0.13,4460400,0.0,0.0
1980-11-05,0.39,0.42,0.39,0.39,0.13,8208000,0.0,0.0
1980-11-06,0.39,0.39,0.38,0.39,0.13,2613600,0.0,0.0
1980-11-07,0.39,0.39,0.38,0.38,0.13,1987200,0.0,0.0
1980-11-10,0.38,0.39,0.38,0.39,0.13,3261600,0.0,0.0
1980-11-11,0.39,0.4,0.39,0.4,0.13,6663600,0.0,0.0
1980-11-12,0.4,0.42,0.4,0.41,0.14,8607600,0.0,0.0
1980-11-13,0.41,0.42,0.41,0.42,0.14,6080400,0.0,0.0
1980-11-14,0.42,0.43,0.42,0.42,0.14,6264000,0.0,0.0
1980-11-17,0.42,0.42,0.42,0.42,0.14,7797600,0.0,0.0
1980-11-18,0.42,0.43,0.42,0.42,0.14,8704800,0.0,0.0
1980-11-19,0.42,0.43,0.42,0.42,0.14,17442000,0.0,0.0
1980-11-20,0.42,0.43,0.42,0.42,0.14,4428000,0.0,0.0
1980-11-21,0.42,0.42,0.42,0.42,0.14,15076800,0.0,0.0
1980-11-24,0.42,0.42,0.41,0.42,0.14,10303200,0.0,0.0
1980-11-25,0.42,0.42,0.42,0.42,0.14,7128000,0.0,0.0
1980-11-26,0.42,0.42,0.42,0.42,0.14,8812800,0.0,0.0
1980-11-28,0.42,0.42,0.42,0.42,0.14,4633200,0.0,0.0
1980-12-01,0.42,0.42,0.41,0.42,0.14,12592800,0.0,0.0
1980-12-02,0.42,0.42,0.41,0.41,0.14,6534000,0.0,0.0
1980-12-03,0.41,0.42,0.41,0.42,0.14,6166800,0.0,0.0
1980-12-04,0.42,0.42,0.42,0.42,0.14,8143200,0.0,0.0
1980-12-05,0.42,0.42,0.41,0.41,0.14,7808400,0.0,0.0
1980-12-08,0.41,0.41,0.4,0.4,0.14,8748000,0.0,0.0
1980-12-09,0.4,0.41,0.4,0.41,0.14,7365600,0.0,0.0
1980-12-10,0.41,0.41,0.41,0.41,0.14,9925200,0.0,0.0
1980-12-11,0.4,0.4,0.39,0.39,0.13,9774000,0.0,0.0
1980-12-12,0.39,0.4,0.39,0.4,0.13,5778000,0.0,0.0
1980-12-15,0.4,0.41,0.4,0.41,0.14,11383200,0.0,0.0
1980-12-16,0.41,0.41,0.4,0.4,0.13,61732800,0.0,0.0
1980-12-17,0.4,0.41,0.4,0.41,0.14,5929200,0.0,0.0
1980-12-18,0.41,0.42,0.41,0.41,0.14,8964000,0.0,0.0
1980-12-19,0.41,0.42,0.41,0.42,0.14,2062800,0.0,0.0
1980-12-22,0.42,0.43,0.42,0.42,0.14,5032800,0.0,0.0
1980-12-23,0.43,0.44,0.43,0.43,0.15,7657200,0.0,0.0
1980-12-24,0.43,0.45,0.43,0.45,0.15,7808400,0.0,0.0
1980-12-26,0.45,0.46,0.44,0.45,0.15,3596400,0.0,0.0
1980-12-29,0.45,0.45,0.44,0.44,0.15,5659200,0.0,0.0
1980-12-30,0.44,0.44,0.43,0.44,0.15,2667600,0.0,0.0
1980-12-31,0.44,0.44,0.44,0.44,0.15,4752000,0.0,0.0
1981-01-02,0.44,0.45,0.44,0.44,0.15,3261600,0.0,0.0
1981-01-05,0.44,0.45,0.44,0.45,0.15,6717600,0.0,0.0
1981-01-06,0.45,0.46,0.45,0.45,0.15,12387600,0.0,0.0
1981-01-07,0.45,0.45,0.42,0.44,0.15,24094800,0.0,0.0
1981-01-08,0.44,0.45,0.44,0.44,0.15,15411600,0.0,0.0
1981-01-09,0.44,0.45,0.43,0.43,0.15,17280000,0.0,0.0
1981-01-12,0.43,0.44,0.43,0.44,0.15,19839600,0.0,0.0
1981-01-13,0.44,0.44,0.43,0.43,0.15,14245200,0.0,0.0
1981-01-14,0.43,0.44,0.43,0.43,0.14,8294400,0.0,0.0
1981-01-15,0.43,0.44,0.43,0.44,0.15,4903200,0.0,0.0
1981-01-16,0.44,0.45,0.44,0.45,0.15,8985600,0.0,0.0
1981-01-19,0.45,0.46,0.45,0.46,0.15,10864800,0.0,0.0
1981-01-20,0.46,0.48,0.46,0.46,0.16,12117600,0.0,0.0
1981-01-21,0.46,0.47,0.45,0.46,0.16,12636000,0.0,0.0
1981-01-22,0.46,0.47,0.46,0.46,0.15,4557600,0.0,0.0
1981-01-23,0.46,0.47,0.46,0.46,0.15,7689600,0.0,0.0
1981-01-26,0.46,0.46,0.45,0.45,0.15,5983200,0.0,0.0
1981-01-27,0.45,0.47,0.45,0.47,0.16,5562000,0.0,0.0
1981-01-28,0.47,0.47,0.46,0.47,0.16,5421600,0.0,0.0
1981-01-29,0.47,0.48,0.47,0.47,0.16,5313600,0.0,0.0
1981-01-30,0.48,0.49,0.48,0.49,0.16,17226000,0.0,0.0
1981-02-02,0.48,0.48,0.47,0.47,0.16,10897200,0.0,0.0
1981-02-03,0.47,0.48,0.47,0.48,0.16,13478400,0.0,0.0
1981-02-04,0.48,0.48,0.47,0.48,0.16,22474800,0.0,0.0
1981-02-05,0.48,0.48,0.48,0.48,0.16,12560400,0.0,0.0
1981-02-06,0.48,0.49,0.48,0.48,0.16,29484000,0.0,0.0
1981-02-09,0.48,0.48,0.46,0.46,0.15,5691600,0.0,0.0
1981-02-10,0.46,0.46,0.46,0.46,0.15,8434800,0.0,0.0
1981-02-11,0.46,0.46,0.45,0.45,0.15,6652800,0.0,0.0
1981-02-12,0.44,0.44,0.42,0.43,0.14,9860400,0.0,0.0
1981-02-13,0.43,0.43,0.41,0.42,0.14,9212400,0.0,0.0
1981-02-17,0.42,0.43,0.42,0.43,0.15,12042000,0.01,0.0
1981-02-18,0.44,0.44,0.44,0.44,0.15,6620400,0.0,0.0
1981-02-19,0.44,0.45,0.44,0.44,0.15,6771600,0.0,0.0
1981-02-20,0.44,0.44,0.42,0.43,0.15,4849200,0.0,0.0
1981-02-23,0.43,0.44,0.42,0.43,0.15,5162400,0.0,0.0
1981-02-24,0.44,0.45,0.44,0.44,0.15,11232000,0.0,0.0
1981-02-25,0.44,0.44,0.43,0.44,0.15,6739200,0.0,0.0
1981-02-26,0.44,0.45,0.44,0.44,0.15,5562000,0.0,0.0
1981-02-27,0.44,0.45,0.43,0.44,0.15,9050400,0.0,0.0
1981-03-02,0.44,0.44,0.42,0.43,0.15,6836400,0.0,0.0
1981-03-03,0.43,0.44,0.43,0.43,0.15,8218800,0.0,0.0
1981-03-04,0.44,0.44,0.44,0.44,0.15,3952800,0.0,0.0
1981-03-05,0.44,0.44,0.43,0.43,0.15,3164400,0.0,0.0
1981-03-06,0.43,0.44,0.43,0.43,0.15,1360800,0.0,0.0
1981-03-09,0.43,0.43,0.43,0.43,0.15,3715200,0.0,0.0
1981-03-10,0.43,0.43,0.43,0.43,0.15,7657200,0.0,0.0
1981-03-11,0.43,0.43,0.42,0.42,0.14,6933600,0.0,0.0
1981-03-12,0.44,0.46,0.44,0.45,0.15,15454800,0.0,0.0
1981-03-13,0.46,0.47,0.46,0.46,0.16,15973200,0.0,0.0
1981-03-16,0.46,0.47,0.46,0.47,0.16,5346000,0.0,0.0
1981-03-17,0.47,0.48,0.47,0.47,0.16,7624800,0.0,0.0
1981-03-18,0.47,0.47,0.46,0.47,0.16,6966000,0.0,0.0
1981-03-19,0.47,0.47,0.46,0.46,0.16,9730800,0.0,0.0
1981-03-20,0.46,0.47,0.46,0.47,0.16,9309600,0.0,0.0
1981-03-23,0.47,0.48,0.47,0.48,0.16,16642800,0.0,0.0
1981-03-24,0.48,0.48,0.48,0.48,0.16,17539200,0.0,0.0
1981-03-25,0.48,0.5,0.48,0.5,0.17,20692800,0.0,0.0
1981-03-26,0.5,0.51,0.5,0.5,0.17,13597200,0.0,0.0
1981-03-27,0.5,0.51,0.5,0.5,0.17,10065600,0.0,0.0
1981-03-30,0.5,0.51,0.49,0.5,0.17,8683200,0.0,0.0
1981-03-31,0.5,0.52,0.5,0.51,0.18,6890400,0.0,0.0
1981-04-01,0.5,0.5,0.5,0.5,0.17,25790400,0.0,0.0
1981-04-02,0.49,0.49,0.48,0.48,0.17,25898400,0.0,0.0
1981-04-03,0.48,0.48,0.48,0.48,0.16,12484800,0.0,0.0
1981-04-06,0.48,0.48,0.47,0.47,0.16,6480000,0.0,0.0
1981-04-07,0.47,0.48,0.47,0.48,0.16,6134400,0.0,0.0
1981-04-08,0.48,0.5,0.48,0.5,0.17,8877600,0.0,0.0
1981-04-09,0.5,0.5,0.5,0.5,0.17,6922800,0.0,0.0
1981-04-10,0.5,0.5,0.5,0.5,0.17,6642000,0.0,0.0
1981-04-13,0.5,0.5,0.49,0.49,0.17,2775600,0.0,0.0
1981-04-14,0.49,0.5,0.49,0.49,0.17,4546800,0.0,0.0
1981-04-15,0.49,0.5,0.49,0.5,0.17,3423600,0.0,0.0
1981-04-16,0.5,0.51,0.5,0.5,0.17,5572800,0.0,0.0
1981-04-20,0.5,0.5,0.49,0.49,0.17,4406400,0.0,0.0
1981-04-21,0.49,0.49,0.48,0.48,0.16,13413600,0.0,0.0
1981-04-22,0.48,0.48,0.48,0.48,0.16,3542400,0.0,0.0
1981-04-23,0.48,0.5,0.48,0.49,0.17,6663600,0.0,0.0
1981-04-24,0.49,0.5,0.49,0.5,0.17,5551200,0.0,0.0
1981-04-27,0.5,0.5,0.49,0.49,0.17,4428000,0.0,0.0
1981-04-28,0.49,0.49,0.49,0.49,0.17,3801600,0.0,0.0
1981-04-29,0.49,0.49,0.48,0.48,0.16,7549200,0.0,0.0
1981-04-30,0.48,0.48,0.47,0.47,0.16,15390000,0.0,0.0
1981-05-01,0.47,0.47,0.45,0.46,0.16,9709200,0.0,0.0
1981-05-04,0.46,0.46,0.45,0.46,0.16,4719600,0.0,0.0
1981-05-05,0.46,0.46,0.45,0.46,0.16,9676800,0.0,0.0
1981-05-06,0.46,0.47,0.46,0.47,0.16,8748000,0.0,0.0
1981-05-07,0.47,0.48,0.47,0.48,0.16,2937600,0.0,0.0
1981-05-08,0.48,0.48,0.48,0.48,0.16,3034800,0.0,0.0
1981-05-11,0.48,0.48,0.46,0.47,0.16,20541600,0.0,0.0
1981-05-12,0.47,0.47,0.47,0.47,0.16,9687600,0.0,0.0
1981-05-13,0.47,0.47,0.47,0.47,0.16,7970400,0.0,0.0
1981-05-14,0.47,0.47,0.47,0.47,0.16,7884000,0.0,0.0
1981-05-15,0.47,0.47,0.47,0.47,0.16,4849200,0.0,0.0
1981-05-18,0.47,0.47,0.46,0.47,0.16,3207600,0.01,0.0
1981-05-19,0.47,0.47,0.47,0.47,0.16,5054400,0.0,0.0
1981-05-20,0.47,0.47,0.47,0.47,0.16,2030400,0.0,0.0
1981-05-21,0.47,0.47,0.47,0.47,0.16,8056800,0.0,0.0
1981-05-22,0.47,0.48,0.47,0.47,0.16,2635200,0.0,0.0
1981-05-26,0.47,0.48,0.47,0.48,0.17,2030400,0.0,0.0
1981-05-27,0.48,0.49,0.48,0.49,0.17,2289600,0.0,0.0
1981-05-28,0.49,0.5,0.49,0.49,0.17,18068400,0.0,0.0
1981-05-29,0.49,0.5,0.49,0.5,0.17,6652800,0.0,0.0
1981-06-01,0.5,0.5,0.5,0.5,0.17,7786800,0.0,0.0
1981-06-02,0.5,0.5,0.49,0.49,0.17,2473200,0.0,0.0
1981-06-03,0.49,0.49,0.47,0.48,0.17,13078800,0.0,0.0
1981-06-04,0.48,0.49,0.48,0.48,0.17,3164400,0.0,0.0
1981-06-05,0.48,0.49,0.48,0.49,0.17,4104000,0.0,0.0
1981-06-08,0.49,0.51,0.49,0.5,0.17,16524000,0.0,0.0
1981-06-09,0.5,0.51,0.5,0.5,0.17,15498000,0.0,0.0
1981-06-10,0.5,0.51,0.5,0.51,0.17,7344000,0.0,0.0
1981-06-11,0.51,0.52,0.5,0.52,0.18,7905600,0.0,0.0
1981-06-12,0.52,0.52,0.51,0.52,0.18,17193600,0.0,0.0
1981-06-15,0.52,0.52,0.51,0.51,0.18,4093200,0.0,0.0
1981-06-16,0.51,0.52,0.51,0.51,0.18,7948800,0.0,0.0
1981-06-17,0.51,0.51,0.51,0.51,0.18,5626800,0.0,0.0
1981-06-18,0.51,0.52,0.51,0.51,0.18,3304800,0.0,0.0
1981-06-19,0.51,0.52,0.51,0.51,0.18,6242400,0.0,0.0
1981-06-22,0.51,0.51,0.51,0.51,0.18,7182000,0.0,0.0
1981-06-23,0.51,0.51,0.51,0.51,0.18,8100000,0.0,0.0
1981-06-24,0.51,0.52,0.51,0.51,0.18,12247200,0.0,0.0
1981-06-25,0.51,0.51,0.51,0.51,0.18,2786400,0.0,0.0
1981-06-26,0.51,0.51,0.51,0.51,0.18,1123200,0.0,0.0
1981-06-29,0.51,0.51,0.51,0.51,0.17,2624400,0.0,0.0
1981-06-30,0.51,0.51,0.51,0.51,0.18,3369600,0.0,0.0
1981-07-01,0.51,0.51,0.51,0.51,0.18,10022400,0.0,0.0
1981-07-02,0.51,0.51,0.5,0.5,0.17,6922800,0.0,0.0
1981-07-06,0.5,0.5,0.48,0.48,0.17,5832000,0.0,0.0
1981-07-07,0.48,0.48,0.47,0.48,0.16,10162800,0.0,0.0
1981-07-08,0.48,0.48,0.48,0.48,0.17,6307200,0.0,0.0
1981-07-09,0.48,0.5,0.48,0.49,0.17,14547600,0.0,0.0
1981-07-10,0.49,0.5,0.49,0.5,0.17,4212000,0.0,0.0
1981-07-13,0.5,0.5,0.5,0.5,0.17,1782000,0.0,0.0
1981-07-14,0.5,0.5,0.49,0.49,0.17,3024000,0.0,0.0
1981-07-15,0.49,0.5,0.48,0.49,0.17,7700400,0.0,0.0
1981-07-16,0.49,0.5,0.49,0.5,0.17,3045600,0.0,0.0
1981-07-17,0.5,0.5,0.5,0.5,0.17,2332800,0.0,0.0
1981-07-20,0.5,0.5,0.49,0.49,0.17,2808000,0.0,0.0
1981-07-21,0.49,0.49,0.48,0.49,0.17,4773600,0.0,0.0
1981-07-22,0.49,0.49,0.49,0.49,0.17,4136400,0.0,0.0
1981-07-23,0.49,0.49,0.47,0.47,0.16,16297200,0.0,0.0
1981-07-24,0.47,0.48,0.47,0.48,0.16,2440800,0.0,0.0
1981-07-27,0.48,0.49,0.48,0.48,0.17,2138400,0.0,0.0
1981-07-28,0.48,0.49,0.48,0.49,0.17,1706400,0.0,0.0
1981-07-29,0.49,0.49,0.48,0.48,0.17,4870800,0.0,0.0
1981-07-30,0.48,0.49,0.48,0.49,0.17,9687600,0.0,0.0
1981-07-31,0.49,0.49,0.48,0.48,0.17,3736800,0.0,0.0
1981-08-03,0.48,0.48,0.47,0.47,0.16,2268000,0.0,0.0
1981-08-04,0.47,0.47,0.47,0.47,0.16,17107200,0.0,0.0
1981-08-05,0.47,0.47,0.47,0.47,0.16,7430400,0.0,0.0
1981-08-06,0.47,0.47,0.47,0.47,0.16,4525200,0.0,0.0
1981-08-07,0.47,0.47,0.47,0.47,0.16,1825200,0.0,0.0
1981-08-10,0.47,0.47,0.46,0.46,0.16,7030800,0.0,0.0
1981-08-11,0.46,0.46,0.45,0.45,0.15,26859600,0.0,0.0
1981-08-12,0.45,0.46,0.45,0.45,0.16,7830000,0.0,0.0
1981-08-13,0.45,0.46,0.45,0.46,0.16,6685200,0.0,0.0
1981-08-14,0.46,0.47,0.46,0.46,0.16,3369600,0.0,0.0
1981-08-17,0.46,0.46,0.45,0.45,0.16,6901200,0.0,0.0
1981-08-18,0.45,0.46,0.45,0.45,0.16,3520800,0.01,0.0
1981-08-19,0.45,0.46,0.45,0.46,0.16,4028400,0.0,0.0
1981-08-20,0.46,0.46,0.46,0.46,0.16,5907600,0.0,0.0
1981-08-21,0.46,0.46,0.45,0.45,0.16,4568400,0.0,0.0
1981-08-24,0.45,0.45,0.43,0.44,0.15,5356800,0.0,0.0
1981-08-25,0.44,0.44,0.43,0.44,0.15,8532000,0.0,0.0
1981-08-26,0.44,0.44,0.44,0.44,0.16,5972400,0.0,0.0
1981-08-27,0.44,0.44,0.44,0.44,0.15,4870800,0.0,0.0
1981-08-28,0.44,0.44,0.43,0.43,0.15,8326800,0.0,0.0
1981-08-31,0.43,0.44,0.43,0.43,0.15,7279200,0.0,0.0
1981-09-01,0.43,0.43,0.43,0.43,0.15,3380400,0.0,0.0
1981-09-02,0.43,0.44,0.43,0.43,0.15,4827600,0.0,0.0
1981-09-03,0.43,0.44,0.43,0.43,0.15,10519200,0.0,0.0
1981-09-04,0.43,0.44,0.43,0.43,0.15,6847200,0.0,0.0
1981-09-08,0.43,0.43,0.42,0.42,0.15,5680800,0.0,0.0
1981-09-09,0.42,0.42,0.42,0.42,0.15,5540400,0.0,0.0
1981-09-10,0.42,0.43,0.42,0.42,0.15,3812400,0.0,0.0
1981-09-11,0.42,0.42,0.41,0.42,0.15,3747600,0.0,0.0
1981-09-14,0.42,0.42,0.41,0.42,0.15,6588000,0.0,0.0
1981-09-15,0.42,0.43,0.41,0.42,0.15,3812400,0.0,0.0
1981-09-16,0.42,0.42,0.41,0.42,0.15,8056800,0.0,0.0
1981-09-17,0.42,0.43,0.42,0.42,0.15,3024000,0.0,0.0
1981-09-18,0.42,0.42,0.42,0.42,0.15,3682800,0.0,0.0
1981-09-21,0.42,0.42,0.41,0.42,0.15,11836800,0.0,0.0
1981-09-22,0.42,0.42,0.41,0.41,0.14,6480000,0.0,0.0
