Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1983-08-19,0.0,0.97,0.95,0.95,0.68,1996200,0.0,0.0
1983-08-22,0.0,0.97,0.96,0.96,0.68,1621800,0.0,0.0
1983-08-23,0.0,0.97,0.96,0.96,0.68,1972800,0.0,0.0
1983-08-24,0.0,0.99,0.97,0.97,0.69,819000,0.0,0.0
1983-08-25,0.0,1.0,0.98,0.98,0.7,347400,0.0,0.0
1983-08-26,0.0,1.02,0.99,0.99,0.71,549000,0.0,0.0
1983-08-29,0.0,1.04,1.01,1.01,0.72,552600,0.0,0.0
1983-08-30,0.0,1.08,1.06,1.06,0.76,777600,0.0,0.0
1983-08-31,0.0,1.08,1.06,1.06,0.76,1432800,0.0,0.0
1983-09-01,0.0,1.07,1.06,1.06,0.75,271800,0.0,0.0
1983-09-02,0.0,1.08,1.06,1.06,0.75,120600,0.0,0.0
1983-09-06,0.0,1.08,1.06,1.06,0.75,165600,0.0,0.0
1983-09-07,0.0,1.06,1.05,1.05,0.75,1135800,0.0,0.0
1983-09-08,0.0,1.06,1.05,1.05,0.75,124200,0.0,0.0
1983-09-09,0.0,1.06,1.06,1.06,0.75,82800,0.0,0.0
1983-09-12,0.0,1.07,1.06,1.06,0.75,703800,0.0,0.0
1983-09-13,0.0,1.06,1.06,1.06,0.75,79200,0.0,0.0
1983-09-14,0.0,1.06,1.06,1.06,0.75,77400,0.0,0.0
1983-09-15,0.0,1.06,1.04,1.04,0.74,212400,0.0,0.0
1983-09-16,0.0,1.06,1.04,1.04,0.74,82800,0.0,0.0
1983-09-19,0.0,1.06,1.04,1.04,0.74,39600,0.0,0.0
1983-09-20,0.0,1.06,1.04,1.04,0.74,59400,0.0,0.0
1983-09-21,0.0,1.07,1.06,1.06,0.75,25200,0.0,0.0
1983-09-22,0.0,1.07,1.06,1.06,0.75,90000,0.0,0.0
1983-09-23,0.0,1.07,1.06,1.06,0.75,37800,0.0,0.0
1983-09-26,0.0,1.07,1.06,1.06,0.75,304200,0.0,0.0
1983-09-27,0.0,1.07,1.06,1.06,0.75,46800,0.0,0.0
1983-09-28,0.0,1.06,1.06,1.06,0.75,27000,0.0,0.0
1983-09-29,0.0,1.1,1.08,1.08,0.77,275400,0.0,0.0
1983-09-30,0.0,1.1,1.1,1.1,0.78,325800,0.0,0.0
1983-10-03,0.0,1.12,1.11,1.11,0.79,275400,0.0,0.0
1983-10-04,0.0,1.12,1.11,1.11,0.79,43200,0.0,0.0
1983-10-05,0.0,1.14,1.12,1.12,0.79,351000,0.0,0.0
1983-10-06,0.0,1.12,1.12,1.12,0.79,259200,0.0,0.0
1983-10-07,0.0,1.12,1.12,1.12,0.79,999000,0.0,0.0
1983-10-10,0.0,1.12,1.12,1.12,0.79,34200,0.0,0.0
