Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1998-06-19,0.21,0.22,0.2,0.21,0.19,61454400,0.0,0.0
1998-06-22,0.21,0.21,0.21,0.21,0.19,6979200,0.0,0.0
1998-06-23,0.21,0.21,0.2,0.21,0.19,9638400,0.0,0.0
1998-06-24,0.21,0.21,0.21,0.21,0.2,1732800,0.0,0.0
1998-06-25,0.22,0.24,0.22,0.23,0.22,18417600,0.0,0.0
1998-06-26,0.24,0.27,0.23,0.25,0.24,10267200,0.0,0.0
1998-06-29,0.25,0.27,0.25,0.26,0.24,4588800,0.0,0.0
1998-06-30,0.26,0.26,0.25,0.25,0.23,4747200,0.0,0.0
1998-07-01,0.25,0.25,0.25,0.25,0.23,16401600,0.0,0.0
1998-07-02,0.25,0.25,0.25,0.25,0.23,3355200,0.0,0.0
1998-07-06,0.25,0.25,0.25,0.25,0.24,2208000,0.0,0.0
1998-07-07,0.25,0.25,0.25,0.25,0.23,3652800,0.0,0.0
1998-07-08,0.25,0.25,0.25,0.25,0.24,1286400,0.0,0.0
1998-07-09,0.25,0.33,0.25,0.29,0.27,14769600,0.0,0.0
1998-07-10,0.29,0.3,0.29,0.3,0.28,1291200,0.0,0.0
1998-07-13,0.31,0.31,0.29,0.29,0.27,5025600,0.0,0.0
1998-07-14,0.29,0.32,0.29,0.32,0.29,5457600,0.0,0.0
1998-07-15,0.32,0.37,0.32,0.33,0.31,8016000,0.0,0.0
1998-07-16,0.33,0.34,0.31,0.33,0.3,4713600,0.0,0.0
1998-07-17,0.33,0.34,0.32,0.34,0.31,974400,0.0,0.0
1998-07-20,0.34,0.37,0.33,0.35,0.33,5347200,0.0,0.0
1998-07-21,0.37,0.39,0.36,0.37,0.35,10684800,0.0,0.0
1998-07-22,0.38,0.38,0.32,0.36,0.34,4641600,0.0,0.0
1998-07-23,0.36,0.37,0.33,0.35,0.33,2116800,0.0,0.0
1998-07-24,0.35,0.35,0.32,0.34,0.31,1881600,0.0,0.0
1998-07-27,0.33,0.34,0.32,0.34,0.31,46747200,0.0,0.0
1998-07-28,0.34,0.34,0.31,0.32,0.3,3052800,0.0,0.0
1998-07-29,0.33,0.33,0.31,0.33,0.31,2534400,0.0,0.0
1998-07-30,0.33,0.34,0.32,0.34,0.32,3014400,0.0,0.0
1998-07-31,0.34,0.34,0.33,0.33,0.31,921600,0.0,0.0
1998-08-03,0.33,0.34,0.33,0.33,0.31,4032000,0.0,0.0
1998-08-04,0.33,0.34,0.33,0.33,0.31,3633600,0.0,0.0
1998-08-05,0.33,0.37,0.33,0.35,0.32,8592000,0.0,0.0
1998-08-06,0.34,0.34,0.33,0.33,0.31,211200,0.0,0.0
1998-08-07,0.35,0.36,0.35,0.35,0.33,3302400,0.0,0.0
1998-08-10,0.38,0.38,0.35,0.36,0.33,2184000,0.0,0.0
1998-08-11,0.36,0.36,0.32,0.35,0.33,2265600,0.0,0.0
1998-08-12,0.36,0.37,0.35,0.36,0.33,1320000,0.0,0.0
1998-08-13,0.36,0.37,0.36,0.36,0.34,1699200,0.0,0.0
1998-08-14,0.37,0.38,0.36,0.37,0.35,2092800,0.0,0.0
1998-08-17,0.37,0.37,0.36,0.36,0.34,2284800,0.0,0.0
1998-08-18,0.37,0.41,0.37,0.4,0.37,9902400,0.0,0.0
1998-08-19,0.4,0.41,0.39,0.39,0.36,6028800,0.0,0.0
1998-08-20,0.4,0.4,0.38,0.38,0.36,1041600,0.0,0.0
1998-08-21,0.37,0.38,0.34,0.38,0.35,3796800,0.0,0.0
1998-08-24,0.39,0.39,0.36,0.37,0.35,2697600,0.0,0.0
1998-08-25,0.39,0.4,0.38,0.39,0.37,4881600,0.0,0.0
1998-08-26,0.38,0.38,0.36,0.37,0.34,6859200,0.0,0.0
1998-08-27,0.35,0.36,0.32,0.33,0.31,7881600,0.0,0.0
1998-08-28,0.33,0.34,0.31,0.32,0.3,4603200,0.0,0.0
1998-08-31,0.33,0.33,0.25,0.25,0.23,6499200,0.0,0.0
1998-09-01,0.26,0.33,0.24,0.31,0.29,5654400,0.0,0.0
1998-09-02,0.32,0.35,0.3,0.31,0.29,4756800,0.0,0.0
1998-09-03,0.27,0.3,0.27,0.3,0.28,2174400,0.0,0.0
1998-09-04,0.3,0.32,0.29,0.3,0.28,1459200,0.0,0.0
1998-09-08,0.32,0.35,0.3,0.34,0.32,2947200,0.0,0.0
1998-09-09,0.33,0.34,0.31,0.33,0.3,1368000,0.0,0.0
1998-09-10,0.31,0.32,0.31,0.32,0.3,6283200,0.0,0.0
1998-09-11,0.33,0.33,0.31,0.32,0.3,403200,0.0,0.0
1998-09-14,0.33,0.34,0.32,0.33,0.31,662400,0.0,0.0
1998-09-15,0.33,0.33,0.32,0.32,0.3,796800,0.0,0.0
1998-09-16,0.32,0.32,0.31,0.31,0.29,1262400,0.0,0.0
1998-09-17,0.3,0.31,0.3,0.31,0.29,2899200,0.0,0.0
1998-09-18,0.3,0.31,0.3,0.31,0.29,129600,0.0,0.0
1998-09-21,0.3,0.32,0.3,0.32,0.3,1377600,0.0,0.0
1998-09-22,0.32,0.32,0.32,0.32,0.29,2164800,0.0,0.0
1998-09-23,0.32,0.34,0.32,0.33,0.31,3364800,0.0,0.0
1998-09-24,0.32,0.34,0.32,0.32,0.3,1651200,0.0,0.0
1998-09-25,0.32,0.34,0.32,0.33,0.31,1790400,0.0,0.0
1998-09-28,0.33,0.34,0.33,0.33,0.31,1536000,0.0,0.0
1998-09-29,0.33,0.34,0.32,0.33,0.31,1684800,0.0,0.0
1998-09-30,0.32,0.33,0.32,0.32,0.3,1540800,0.0,0.0
1998-10-01,0.32,0.33,0.31,0.32,0.3,1296000,0.0,0.0
1998-10-02,0.32,0.34,0.32,0.34,0.31,1065600,0.0,0.0
1998-10-05,0.33,0.33,0.32,0.32,0.3,4780800,0.0,0.0
1998-10-06,0.32,0.32,0.27,0.27,0.25,3484800,0.0,0.0
1998-10-07,0.25,0.26,0.25,0.26,0.24,1200000,0.0,0.0
