Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1995-06-21,2.25,2.25,2.12,2.12,1.51,23654400,0.0,0.0
1995-06-22,2.12,2.16,1.94,2.0,1.43,6014400,0.0,0.0
1995-06-23,2.0,2.03,2.0,2.0,1.43,1333600,0.0,0.0
1995-06-26,2.03,2.03,2.0,2.03,1.45,1188000,0.0,0.0
1995-06-27,2.03,2.03,1.78,1.88,1.34,2978400,0.0,0.0
1995-06-28,1.88,1.89,1.81,1.84,1.31,1576000,0.0,0.0
1995-06-29,1.84,1.91,1.84,1.91,1.36,291200,0.0,0.0
1995-06-30,1.91,1.91,1.84,1.91,1.36,420800,0.0,0.0
1995-07-03,1.91,1.91,1.84,1.84,1.31,192000,0.0,0.0
1995-07-05,1.91,1.91,1.81,1.81,1.29,2457600,0.0,0.0
1995-07-06,1.88,1.88,1.81,1.81,1.29,1080800,0.0,0.0
1995-07-07,1.89,1.89,1.81,1.81,1.29,108000,0.0,0.0
1995-07-10,1.81,1.89,1.81,1.84,1.31,540800,0.0,0.0
1995-07-11,1.89,1.89,1.81,1.81,1.29,422400,0.0,0.0
1995-07-12,1.81,1.88,1.81,1.88,1.34,1376800,0.0,0.0
1995-07-13,1.88,1.91,1.81,1.91,1.36,107200,0.0,0.0
1995-07-14,1.88,1.94,1.88,1.94,1.38,200000,0.0,0.0
1995-07-17,1.92,1.97,1.88,1.94,1.38,343200,0.0,0.0
1995-07-18,1.94,2.03,1.89,1.94,1.38,1123200,0.0,0.0
1995-07-19,2.0,2.0,1.88,1.88,1.34,499200,0.0,0.0
1995-07-20,1.97,1.97,1.81,1.81,1.29,609600,0.0,0.0
1995-07-21,1.91,1.91,1.81,1.84,1.31,911200,0.0,0.0
1995-07-24,1.91,1.91,1.81,1.91,1.36,37600,0.0,0.0
1995-07-25,1.81,1.91,1.81,1.81,1.29,48000,0.0,0.0
1995-07-26,1.91,1.91,1.81,1.81,1.29,692000,0.0,0.0
1995-07-27,1.81,1.91,1.81,1.81,1.29,48800,0.0,0.0
1995-07-28,1.81,1.91,1.81,1.88,1.34,993600,0.0,0.0
1995-07-31,1.81,1.91,1.81,1.91,1.36,162400,0.0,0.0
1995-08-01,1.84,1.91,1.84,1.84,1.31,105600,0.0,0.0
1995-08-02,1.91,1.91,1.84,1.91,1.36,351200,0.0,0.0
1995-08-03,1.91,1.91,1.84,1.84,1.31,112000,0.0,0.0
1995-08-04,1.84,1.91,1.84,1.91,1.36,68800,0.0,0.0
1995-08-07,1.91,1.91,1.84,1.84,1.31,315200,0.0,0.0
1995-08-08,1.91,1.91,1.86,1.91,1.36,138400,0.0,0.0
1995-08-09,1.84,1.91,1.84,1.91,1.36,314400,0.0,0.0
1995-08-10,1.91,1.91,1.84,1.88,1.34,699200,0.0,0.0
1995-08-11,1.91,1.91,1.88,1.91,1.36,97600,0.0,0.0
1995-08-14,1.91,1.91,1.89,1.89,1.35,107200,0.0,0.0
1995-08-15,1.88,1.94,1.88,1.88,1.34,454400,0.0,0.0
1995-08-16,1.88,1.91,1.88,1.88,1.34,400800,0.0,0.0
1995-08-17,1.91,1.91,1.88,1.91,1.36,86400,0.0,0.0
1995-08-18,1.91,1.91,1.88,1.88,1.34,37600,0.0,0.0
1995-08-21,1.88,1.91,1.88,1.88,1.34,75200,0.0,0.0
1995-08-22,1.88,1.91,1.88,1.88,1.34,189600,0.0,0.0
1995-08-23,1.88,1.94,1.84,1.88,1.34,3002400,0.0,0.0
1995-08-24,1.88,2.0,1.88,1.97,1.4,869600,0.0,0.0
1995-08-25,2.03,2.06,1.94,1.94,1.38,269600,0.0,0.0
1995-08-28,1.94,2.03,1.94,1.94,1.38,228000,0.0,0.0
1995-08-29,2.03,2.03,1.91,2.0,1.43,264800,0.0,0.0
1995-08-30,1.88,2.03,1.88,2.03,1.45,2692800,0.0,0.0
1995-08-31,2.03,2.03,1.91,2.0,1.43,176000,0.0,0.0
1995-09-01,2.03,2.03,1.91,1.97,1.4,59200,0.0,0.0
1995-09-05,2.03,2.03,1.91,1.94,1.38,449600,0.0,0.0
1995-09-06,2.0,2.0,1.91,2.0,1.43,657600,0.0,0.0
1995-09-07,1.98,2.03,1.94,1.94,1.38,311200,0.0,0.0
1995-09-08,2.03,2.06,1.97,2.02,1.44,530400,0.0,0.0
1995-09-11,2.0,2.06,1.97,2.06,1.47,52800,0.0,0.0
1995-09-12,2.06,2.06,1.97,2.0,1.43,201600,0.0,0.0
1995-09-13,1.97,2.06,1.97,2.06,1.47,206400,0.0,0.0
1995-09-14,2.05,2.06,1.97,2.02,1.44,266400,0.0,0.0
1995-09-15,1.97,2.06,1.97,1.97,1.4,392000,0.0,0.0
1995-09-18,1.97,2.03,1.97,1.97,1.4,218400,0.0,0.0
1995-09-19,1.97,2.06,1.97,2.03,1.45,2748800,0.0,0.0
1995-09-20,2.12,2.12,2.06,2.12,1.51,1516800,0.0,0.0
1995-09-21,2.12,2.12,2.06,2.06,1.47,136000,0.0,0.0
1995-09-22,2.06,2.12,2.06,2.06,1.47,257600,0.0,0.0
