Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1995-03-07,1.12,1.17,1.05,1.17,1.17,33796744,0.0,0.0
1995-03-08,1.17,1.17,1.07,1.09,1.09,6521513,0.0,0.0
1995-03-09,1.09,1.12,1.09,1.11,1.11,2101950,0.0,0.0
1995-03-10,1.14,1.19,1.11,1.16,1.16,2832469,0.0,0.0
1995-03-13,1.19,1.19,1.15,1.15,1.15,982631,0.0,0.0
1995-03-14,1.19,1.2,1.15,1.17,1.17,1029713,0.0,0.0
1995-03-15,1.17,1.23,1.14,1.2,1.2,4979981,0.0,0.0
1995-03-16,1.23,1.25,1.17,1.17,1.17,900619,0.0,0.0
1995-03-17,1.17,1.2,1.17,1.17,1.17,1731375,0.0,0.0
1995-03-20,1.17,1.21,1.17,1.17,1.17,1728338,0.0,0.0
1995-03-21,1.19,1.22,1.18,1.18,1.18,3614625,0.0,0.0
1995-03-22,1.19,1.22,1.18,1.19,1.19,3474900,0.0,0.0
1995-03-23,1.2,1.2,1.18,1.19,1.19,2789944,0.0,0.0
1995-03-24,1.22,1.22,1.19,1.19,1.19,536119,0.0,0.0
1995-03-27,1.22,1.28,1.19,1.27,1.27,773044,0.0,0.0
1995-03-28,1.27,1.33,1.23,1.33,1.33,1257525,0.0,0.0
1995-03-29,1.33,1.38,1.23,1.28,1.28,1635694,0.0,0.0
1995-03-30,1.28,1.35,1.25,1.32,1.32,1085906,0.0,0.0
1995-03-31,1.35,1.38,1.3,1.35,1.35,552825,0.0,0.0
1995-04-03,1.38,1.5,1.37,1.45,1.45,3178744,0.0,0.0
1995-04-04,1.45,1.48,1.38,1.38,1.38,1746563,0.0,0.0
1995-04-05,1.38,1.45,1.38,1.44,1.44,1278788,0.0,0.0
1995-04-06,1.44,1.44,1.42,1.42,1.42,1328906,0.0,0.0
1995-04-07,1.44,1.44,1.37,1.42,1.42,747225,0.0,0.0
1995-04-10,1.37,1.42,1.37,1.42,1.42,214144,0.0,0.0
1995-04-11,1.42,1.43,1.38,1.43,1.43,83531,0.0,0.0
1995-04-12,1.4,1.43,1.4,1.4,1.4,1742006,0.0,0.0
1995-04-13,1.4,1.43,1.4,1.43,1.43,30375,0.0,0.0
1995-04-17,1.43,1.44,1.4,1.4,1.4,200475,0.0,0.0
1995-04-18,1.4,1.43,1.38,1.38,1.38,991744,0.0,0.0
1995-04-19,1.43,1.43,1.38,1.43,1.43,145800,0.0,0.0
1995-04-20,1.41,1.42,1.37,1.37,1.37,176175,0.0,0.0
1995-04-21,1.37,1.42,1.37,1.37,1.37,252113,0.0,0.0
1995-04-24,1.37,1.37,1.37,1.37,1.37,6075,0.0,0.0
1995-04-25,1.37,1.39,1.34,1.35,1.35,911250,0.0,0.0
1995-04-26,1.34,1.37,1.33,1.34,1.34,352350,0.0,0.0
1995-04-27,1.34,1.4,1.34,1.4,1.4,1198294,0.0,0.0
1995-04-28,1.38,1.5,1.37,1.48,1.48,850500,0.0,0.0
1995-05-01,1.45,1.55,1.45,1.53,1.53,944663,0.0,0.0
1995-05-02,1.55,1.63,1.53,1.58,1.58,1327388,0.0,0.0
1995-05-03,1.63,1.63,1.58,1.61,1.61,280969,0.0,0.0
1995-05-04,1.58,1.61,1.58,1.61,1.61,59231,0.0,0.0
1995-05-05,1.58,1.61,1.56,1.61,1.61,718369,0.0,0.0
1995-05-08,1.56,1.61,1.56,1.59,1.59,133650,0.0,0.0
1995-05-09,1.61,1.61,1.56,1.59,1.59,59231,0.0,0.0
1995-05-10,1.56,1.61,1.56,1.61,1.61,10631,0.0,0.0
1995-05-11,1.56,1.6,1.56,1.56,1.56,21263,0.0,0.0
1995-05-12,1.56,1.66,1.56,1.66,1.66,508781,0.0,0.0
1995-05-15,1.65,1.71,1.65,1.66,1.66,572569,0.0,0.0
1995-05-16,1.7,1.71,1.66,1.69,1.69,1142100,0.0,0.0
1995-05-17,1.68,1.69,1.68,1.69,1.69,739631,0.0,0.0
1995-05-18,1.66,1.67,1.51,1.55,1.55,1240819,0.0,0.0
1995-05-19,1.58,1.58,1.56,1.58,1.58,103275,0.0,0.0
1995-05-22,1.56,1.58,1.53,1.53,1.53,156431,0.0,0.0
1995-05-23,1.53,1.58,1.53,1.58,1.58,205031,0.0,0.0
1995-05-24,1.58,1.58,1.42,1.45,1.45,1000856,0.0,0.0
1995-05-25,1.5,1.5,1.45,1.45,1.45,18225,0.0,0.0
1995-05-26,1.5,1.5,1.45,1.5,1.5,50119,0.0,0.0
1995-05-30,1.47,1.5,1.45,1.45,1.45,82013,0.0,0.0
1995-05-31,1.45,1.48,1.45,1.48,1.48,119981,0.0,0.0
1995-06-01,1.5,1.5,1.45,1.45,1.45,136688,0.0,0.0
1995-06-02,1.45,1.5,1.45,1.47,1.47,39488,0.0,0.0
1995-06-05,1.5,1.51,1.45,1.5,1.5,195919,0.0,0.0
1995-06-06,1.53,1.53,1.5,1.5,1.5,127575,0.0,0.0
1995-06-07,1.51,1.56,1.5,1.56,1.56,558900,0.0,0.0
1995-06-08,1.56,1.66,1.56,1.65,1.65,446513,0.0,0.0
1995-06-09,1.65,1.66,1.61,1.63,1.63,332606,0.0,0.0
1995-06-12,1.66,1.66,1.63,1.65,1.65,215663,0.0,0.0
1995-06-13,1.66,1.66,1.63,1.63,1.63,28856,0.0,0.0
1995-06-14,1.63,1.65,1.63,1.63,1.63,36450,0.0,0.0
1995-06-15,1.66,1.66,1.63,1.63,1.63,24300,0.0,0.0
1995-06-16,1.63,1.66,1.63,1.65,1.65,10631,0.0,0.0
1995-06-19,1.63,1.65,1.56,1.57,1.57,373613,0.0,0.0
1995-06-20,1.61,1.61,1.58,1.6,1.6,180731,0.0,0.0
1995-06-21,1.59,1.61,1.58,1.58,1.58,80494,0.0,0.0
1995-06-22,1.56,1.58,1.55,1.58,1.58,782156,0.0,0.0
1995-06-23,1.58,1.68,1.55,1.65,1.65,479925,0.0,0.0
1995-06-26,1.65,1.65,1.64,1.64,1.64,33413,0.0,0.0
1995-06-27,1.64,1.68,1.64,1.68,1.68,51638,0.0,0.0
1995-06-28,1.64,1.7,1.64,1.7,1.7,167063,0.0,0.0
