Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2000-08-11,408.0,448.0,384.0,420.0,332.25,792528,0.0,0.0
2000-08-14,419.0,420.0,384.0,384.0,303.78,80228,0.0,0.0
2000-08-15,389.0,396.0,384.0,388.0,306.94,48422,0.0,0.0
2000-08-16,386.0,418.0,386.0,396.0,313.27,42166,0.0,0.0
2000-08-17,392.0,400.0,382.0,384.0,303.78,47247,0.0,0.0
2000-08-18,401.0,460.0,396.0,458.0,362.32,60400,0.0,0.0
2000-08-21,482.0,520.0,446.0,486.0,384.47,66547,0.0,0.0
2000-08-22,492.0,502.0,432.0,432.0,341.75,33878,0.0,0.0
2000-08-23,434.0,440.0,408.0,416.0,329.09,17925,0.0,0.0
2000-08-24,414.0,418.0,386.0,386.0,305.36,18441,0.0,0.0
2000-08-25,402.0,414.0,388.0,412.0,325.93,20113,0.0,0.0
2000-08-28,429.0,433.5,400.0,420.0,332.25,19491,0.0,0.0
2000-08-29,430.0,432.0,404.0,428.0,338.58,22728,0.0,0.0
2000-08-30,427.0,470.0,424.0,454.0,359.15,19891,0.0,0.0
2000-08-31,482.0,528.0,476.0,518.0,409.78,87397,0.0,0.0
2000-09-01,516.0,520.0,480.0,504.0,398.71,27738,0.0,0.0
2000-09-05,506.0,520.0,496.0,498.0,393.96,23025,0.0,0.0
2000-09-06,516.0,520.0,488.0,496.0,392.38,20559,0.0,0.0
2000-09-07,512.0,512.0,428.0,460.0,363.9,23959,0.0,0.0
2000-09-08,456.5,464.0,440.0,448.0,354.4,15956,0.0,0.0
2000-09-11,442.0,448.0,432.0,444.0,351.24,34547,0.0,0.0
2000-09-12,435.0,442.0,412.0,416.0,329.09,33853,0.0,0.0
2000-09-13,408.0,420.0,396.0,400.0,316.43,10363,0.0,0.0
2000-09-14,444.0,444.0,400.0,406.0,321.18,8109,0.0,0.0
2000-09-15,402.0,416.0,400.0,402.0,318.02,3600,0.0,0.0
2000-09-18,420.0,424.0,382.0,386.0,305.36,18659,0.0,0.0
2000-09-19,419.0,420.0,344.0,360.0,284.79,48038,0.0,0.0
2000-09-20,368.0,370.0,312.0,332.0,262.64,24103,0.0,0.0
