Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1992-06-09,0.2,0.21,0.2,0.2,0.16,103564800,0.0,0.0
1992-06-10,0.2,0.21,0.2,0.2,0.16,37843200,0.0,0.0
1992-06-11,0.2,0.21,0.2,0.2,0.16,13107200,0.0,0.0
1992-06-12,0.2,0.21,0.2,0.2,0.16,6240000,0.0,0.0
1992-06-15,0.2,0.21,0.2,0.2,0.16,1600000,0.0,0.0
1992-06-16,0.21,0.21,0.2,0.21,0.16,3680000,0.0,0.0
1992-06-17,0.2,0.21,0.2,0.2,0.16,11289600,0.0,0.0
1992-06-18,0.21,0.21,0.2,0.21,0.16,5740800,0.0,0.0
1992-06-19,0.21,0.21,0.2,0.21,0.16,18572800,0.0,0.0
1992-06-22,0.2,0.21,0.2,0.2,0.16,5158400,0.0,0.0
1992-06-23,0.2,0.21,0.2,0.2,0.16,2374400,0.0,0.0
1992-06-24,0.2,0.21,0.2,0.2,0.16,915200,0.0,0.0
1992-06-25,0.2,0.21,0.2,0.2,0.16,4256000,0.0,0.0
1992-06-26,0.2,0.2,0.2,0.2,0.16,6937600,0.0,0.0
1992-06-29,0.2,0.21,0.2,0.2,0.16,857600,0.0,0.0
1992-06-30,0.2,0.21,0.2,0.2,0.15,22688000,0.0,0.0
1992-07-01,0.2,0.21,0.2,0.2,0.15,5465600,0.0,0.0
1992-07-02,0.2,0.2,0.2,0.2,0.16,4512000,0.0,0.0
1992-07-06,0.2,0.2,0.2,0.2,0.15,640000,0.0,0.0
1992-07-07,0.2,0.2,0.2,0.2,0.15,1228800,0.0,0.0
1992-07-08,0.2,0.2,0.2,0.2,0.16,3628800,0.0,0.0
1992-07-09,0.2,0.21,0.2,0.2,0.15,928000,0.0,0.0
1992-07-10,0.2,0.21,0.2,0.2,0.16,1548800,0.0,0.0
1992-07-13,0.2,0.2,0.2,0.2,0.15,4985600,0.0,0.0
1992-07-14,0.2,0.21,0.2,0.2,0.16,1235200,0.0,0.0
1992-07-15,0.21,0.21,0.2,0.21,0.16,2585600,0.0,0.0
1992-07-16,0.21,0.22,0.21,0.21,0.16,684800,0.0,0.0
1992-07-17,0.21,0.22,0.21,0.21,0.16,22240000,0.0,0.0
1992-07-20,0.21,0.22,0.21,0.21,0.16,774400,0.0,0.0
1992-07-21,0.22,0.22,0.21,0.22,0.17,2758400,0.0,0.0
1992-07-22,0.21,0.22,0.21,0.21,0.17,2521600,0.0,0.0
