Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1973-05-02,0.0,7.98,7.98,7.98,0.28,52715,0.0,0.0
1973-05-03,0.0,8.02,7.98,7.98,0.28,33087,0.0,0.0
1973-05-04,0.0,8.02,7.98,8.02,0.28,50472,0.0,0.0
1973-05-07,0.0,8.07,7.98,8.02,0.28,42340,0.0,0.0
1973-05-08,0.0,8.07,7.98,8.02,0.28,32246,0.0,0.0
1973-05-09,0.0,8.07,8.02,8.02,0.28,46827,0.0,0.0
1973-05-10,0.0,8.07,8.02,8.02,0.28,24956,0.0,0.0
1973-05-11,0.0,8.07,8.02,8.02,0.28,34489,0.0,0.0
1973-05-14,0.0,8.07,7.98,7.98,0.28,69820,0.0,0.0
1973-05-15,0.0,8.02,7.94,7.98,0.28,30283,0.0,0.0
1973-05-16,0.0,7.98,7.94,7.94,0.28,49631,0.0,0.0
1973-05-17,0.0,7.98,7.94,7.94,0.28,19628,0.0,0.0
1973-05-18,0.0,7.98,7.85,7.94,0.28,56921,0.0,0.0
1973-05-21,0.0,7.94,7.8,7.94,0.28,46266,0.0,0.0
1973-05-22,0.0,8.07,7.85,7.98,0.28,22152,0.0,0.0
1973-05-23,0.0,7.98,7.85,7.94,0.28,44864,0.0,0.0
1973-05-24,0.0,8.02,7.85,8.02,0.28,20189,0.0,0.0
1973-05-25,0.0,7.89,7.76,7.8,0.28,49350,0.15,0.0
1973-05-29,0.0,7.89,7.8,7.85,0.28,27199,0.0,0.0
1973-05-30,0.0,7.85,7.62,7.67,0.27,56641,0.0,0.0
1973-05-31,0.0,7.76,7.62,7.67,0.27,31685,0.0,0.0
1973-06-01,0.0,7.76,7.67,7.76,0.28,17665,0.0,0.0
1973-06-04,0.0,7.76,7.71,7.71,0.27,20750,0.0,0.0
1973-06-05,0.0,7.76,7.67,7.67,0.27,30003,0.0,0.0
1973-06-06,0.0,7.8,7.71,7.8,0.28,21310,0.0,0.0
1973-06-07,0.0,7.8,7.71,7.8,0.28,26077,0.0,0.0
1973-06-08,0.0,7.85,7.71,7.71,0.27,19628,0.0,0.0
1973-06-11,0.0,7.8,7.71,7.76,0.28,28040,0.0,0.0
1973-06-12,0.0,7.8,7.76,7.8,0.28,17946,0.0,0.0
1973-06-13,0.0,7.8,7.76,7.8,0.28,43182,0.0,0.0
1973-06-14,0.0,7.85,7.76,7.85,0.28,27199,0.0,0.0
1973-06-15,0.0,7.85,7.76,7.76,0.28,29162,0.0,0.0
1973-06-18,0.0,7.76,7.67,7.71,0.27,26358,0.0,0.0
1973-06-19,0.0,7.8,7.71,7.71,0.27,25516,0.0,0.0
1973-06-20,0.0,7.76,7.67,7.76,0.28,26918,0.0,0.0
1973-06-21,0.0,7.76,7.67,7.67,0.27,23273,0.0,0.0
1973-06-22,0.0,7.76,7.67,7.67,0.27,26918,0.0,0.0
1973-06-25,0.0,7.67,7.58,7.62,0.27,36452,0.0,0.0
1973-06-26,0.0,7.62,7.53,7.53,0.27,23273,0.0,0.0
1973-06-27,0.0,7.62,7.49,7.53,0.27,50752,0.0,0.0
1973-06-28,0.0,7.62,7.49,7.58,0.27,45986,0.0,0.0
1973-06-29,0.0,7.71,7.58,7.67,0.27,24395,0.0,0.0
1973-07-02,0.0,7.67,7.58,7.62,0.27,22432,0.0,0.0
1973-07-03,0.0,7.62,7.53,7.62,0.27,30844,0.0,0.0
1973-07-05,0.0,7.67,7.53,7.67,0.27,23554,0.0,0.0
1973-07-06,0.0,7.67,7.58,7.58,0.27,28040,0.0,0.0
1973-07-09,0.0,7.62,7.53,7.53,0.27,24675,0.0,0.0
1973-07-10,0.0,7.67,7.53,7.62,0.27,42621,0.0,0.0
1973-07-11,0.0,7.67,7.49,7.62,0.27,58043,0.0,0.0
1973-07-12,0.0,7.62,7.53,7.62,0.27,32526,0.0,0.0
1973-07-13,0.0,7.62,7.53,7.53,0.27,14581,0.0,0.0
1973-07-16,0.0,7.62,7.53,7.62,0.27,24114,0.0,0.0
1973-07-17,0.0,7.67,7.53,7.58,0.27,32246,0.0,0.0
1973-07-18,0.0,7.62,7.53,7.58,0.27,32246,0.0,0.0
1973-07-19,0.0,7.62,7.58,7.62,0.27,22152,0.0,0.0
1973-07-20,0.0,7.62,7.53,7.58,0.27,33928,0.0,0.0
1973-07-23,0.0,7.58,7.36,7.36,0.26,43182,0.0,0.0
1973-07-24,0.0,7.4,7.31,7.36,0.26,48790,0.0,0.0
1973-07-25,0.0,7.36,7.27,7.27,0.26,54678,0.0,0.0
1973-07-26,0.0,7.31,7.22,7.27,0.26,69820,0.0,0.0
1973-07-27,0.0,7.27,7.18,7.27,0.26,33648,0.0,0.0
1973-07-30,0.0,7.27,7.22,7.27,0.26,37013,0.0,0.0
1973-07-31,0.0,7.22,7.13,7.13,0.25,56360,0.0,0.0
1973-08-01,0.0,7.18,7.13,7.13,0.25,54678,0.0,0.0
1973-08-02,0.0,7.18,7.09,7.13,0.25,65614,0.0,0.0
1973-08-03,0.0,7.13,7.04,7.09,0.25,72904,0.0,0.0
1973-08-06,0.0,7.13,7.04,7.13,0.25,54398,0.0,0.0
1973-08-07,0.0,7.18,7.09,7.18,0.26,26638,0.0,0.0
1973-08-08,0.0,7.18,7.04,7.09,0.25,44023,0.0,0.0
1973-08-09,0.0,7.13,7.09,7.13,0.25,35330,0.0,0.0
1973-08-10,0.0,7.13,7.04,7.04,0.25,24675,0.0,0.0
