Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2005-07-21,48.22,49.2,47.84,48.04,31.64,109200,0.0,0.0
2005-07-22,49.24,49.8,47.9,49.72,32.75,56800,0.0,0.0
2005-07-25,49.8,49.8,48.3,48.48,31.93,39600,0.0,0.0
2005-07-26,48.7,48.7,47.5,48.0,31.61,102450,0.0,0.0
2005-07-27,48.0,48.24,47.3,48.14,31.71,98100,0.0,0.0
2005-07-28,48.2,48.24,47.82,48.1,31.68,93600,0.0,0.0
2005-07-29,48.2,48.7,47.7,48.68,32.06,60700,0.0,0.0
2005-08-01,48.46,49.0,48.2,48.7,32.08,164950,0.0,0.0
2005-08-02,52.0,52.0,47.28,48.1,31.68,299700,0.0,0.0
2005-08-03,48.54,48.54,47.52,47.7,31.42,147750,0.0,0.0
2005-08-04,47.54,47.78,46.7,47.2,31.09,141200,0.0,0.0
2005-08-05,47.38,47.38,46.3,46.74,30.78,207050,0.0,0.0
2005-08-08,47.0,47.3,42.52,45.0,29.64,6384200,0.0,0.0
2005-08-09,46.54,47.7,45.04,47.7,31.42,4870350,0.0,0.0
2005-08-10,48.38,49.04,47.34,47.4,31.22,2559000,0.0,0.0
2005-08-11,47.16,47.56,45.56,45.74,30.13,1705150,0.0,0.0
2005-08-12,45.46,45.5,43.0,44.6,29.38,1688950,0.0,0.0
2005-08-15,45.0,45.16,42.6,42.88,28.24,1489850,0.0,0.0
2005-08-16,42.58,43.2,41.38,42.9,28.26,2345600,0.0,0.0
2005-08-17,42.36,43.98,42.3,43.38,28.57,1120650,0.0,0.0
2005-08-18,42.58,44.0,42.58,43.5,28.65,1339950,0.0,0.0
2005-08-19,43.22,43.8,43.08,43.3,28.52,736700,0.0,0.0
2005-08-22,43.4,43.6,42.4,43.2,28.45,1630650,0.0,0.0
2005-08-23,42.76,43.28,42.42,42.9,28.26,1077250,0.0,0.0
2005-08-24,42.6,43.56,42.44,43.2,28.45,1159600,0.0,0.0
2005-08-25,42.86,44.62,42.86,44.32,29.19,789650,0.0,0.0
2005-08-26,44.28,45.06,43.8,44.22,29.12,539950,0.0,0.0
2005-08-29,44.1,45.0,43.8,44.68,29.43,465050,0.0,0.0
2005-08-30,44.08,45.0,44.0,44.8,29.51,606100,0.0,0.0
2005-08-31,44.54,44.86,44.0,44.52,29.32,826950,0.0,0.0
2005-09-01,44.28,44.88,44.12,44.44,29.27,740500,0.0,0.0
2005-09-02,44.38,45.26,43.44,44.74,29.47,918500,0.0,0.0
2005-09-06,43.38,45.1,43.38,44.18,29.1,1242250,0.0,0.0
2005-09-07,43.9,45.18,43.82,44.56,29.35,683450,0.0,0.0
2005-09-08,44.34,45.94,44.04,44.9,29.57,640200,0.0,0.0
2005-09-09,44.0,44.7,43.5,44.12,29.06,1995900,0.0,0.0
2005-09-12,43.9,45.58,43.9,44.2,29.11,1010650,0.0,0.0
2005-09-13,44.68,44.82,44.0,44.14,29.07,748300,0.0,0.0
2005-09-14,43.88,44.28,43.5,43.64,28.74,727350,0.0,0.0
2005-09-15,43.46,43.7,42.1,42.82,28.2,1261450,0.0,0.0
2005-09-16,42.5,42.92,41.5,42.0,27.66,951900,0.0,0.0
2005-09-19,41.6,42.62,41.52,42.1,27.73,1082050,0.0,0.0
2005-09-20,42.14,42.14,41.52,41.88,27.58,665300,0.0,0.0
2005-09-21,42.88,43.0,37.22,41.3,27.2,896600,0.0,0.0
2005-09-22,41.32,41.34,39.26,40.5,26.67,972650,0.0,0.0
2005-09-23,40.58,40.6,39.5,40.16,26.45,690250,0.0,0.0
2005-09-26,40.06,40.66,39.8,40.08,26.4,765550,0.0,0.0
2005-09-27,40.08,40.54,39.3,39.84,26.24,676500,0.0,0.0
2005-09-28,39.76,39.86,39.28,39.46,25.99,651600,0.0,0.0
2005-09-29,39.22,40.22,39.08,40.04,26.37,1144150,0.0,0.0
2005-09-30,39.3,39.98,39.04,39.62,26.1,1072950,0.0,0.0
2005-10-03,40.82,42.5,40.4,40.82,26.89,1023300,0.0,0.0
2005-10-04,40.88,42.04,40.8,41.18,27.12,672800,0.0,0.0
2005-10-05,41.2,41.54,39.84,40.18,26.46,538700,0.0,0.0
2005-10-06,40.6,40.6,39.32,40.08,26.4,367750,0.0,0.0
2005-10-07,39.84,40.8,39.44,40.2,26.48,546500,0.0,0.0
2005-10-10,40.0,41.0,39.8,40.6,26.74,442300,0.0,0.0
2005-10-11,40.62,41.16,39.8,40.1,26.41,446050,0.0,0.0
2005-10-12,39.9,40.5,39.08,39.3,25.88,620350,0.0,0.0
2005-10-13,39.04,39.82,38.6,39.52,26.03,621500,0.0,0.0
2005-10-14,39.62,41.92,39.4,40.28,26.53,479800,0.0,0.0
2005-10-17,40.16,41.0,39.5,40.84,26.9,600700,0.0,0.0
2005-10-18,40.94,41.16,39.4,39.74,26.17,300700,0.0,0.0
2005-10-19,39.7,39.98,38.9,39.18,25.81,467450,0.0,0.0
2005-10-20,39.04,39.4,37.96,39.0,25.69,588100,0.0,0.0
2005-10-21,38.72,39.88,38.42,39.16,25.79,417250,0.0,0.0
2005-10-24,39.24,39.24,37.72,38.54,25.38,794050,0.0,0.0
2005-10-25,38.18,38.48,37.5,37.66,24.8,491150,0.0,0.0
2005-10-26,37.62,38.06,37.02,37.48,24.69,471600,0.0,0.0
2005-10-27,38.16,38.2,37.4,37.66,24.8,572650,0.0,0.0
2005-10-28,37.18,37.78,37.16,37.56,24.74,607300,0.0,0.0
2005-10-31,37.22,38.46,36.98,37.7,24.83,903800,0.0,0.0
2005-11-01,37.36,38.38,37.36,38.08,25.08,820850,0.0,0.0
2005-11-02,37.88,39.08,37.6,38.8,25.56,824000,0.0,0.0
2005-11-03,41.0,41.94,40.26,41.42,27.28,2266850,0.0,0.0
2005-11-04,46.96,48.24,44.4,45.46,29.94,4354650,0.0,0.0
2005-11-07,45.6,45.74,44.12,45.26,29.81,723600,0.0,0.0
2005-11-08,44.84,45.8,43.8,45.18,29.76,704750,0.0,0.0
2005-11-09,45.24,45.58,44.04,44.6,29.38,823250,0.0,0.0
2005-11-10,44.2,44.92,43.82,44.0,28.98,647100,0.0,0.0
2005-11-11,43.98,44.24,42.76,43.0,28.32,686900,0.0,0.0
2005-11-14,43.0,43.64,42.3,43.14,28.41,949850,0.0,0.0
2005-11-15,42.92,43.18,42.16,43.02,28.33,661400,0.0,0.0
2005-11-16,43.38,44.16,42.74,42.82,28.2,575300,0.0,0.0
2005-11-17,42.9,43.74,42.32,43.3,28.52,1132600,0.0,0.0
2005-11-18,43.3,43.82,43.1,43.4,28.58,833900,0.0,0.0
2005-11-21,43.36,45.8,43.36,45.2,29.77,2279850,0.0,0.0
2005-11-22,45.44,47.38,44.84,46.8,30.82,1898650,0.0,0.0
2005-11-23,46.2,46.8,45.1,45.6,30.03,1132350,0.0,0.0
2005-11-25,45.88,46.84,45.88,46.28,30.48,193350,0.0,0.0
2005-11-28,46.7,46.94,45.84,46.38,30.55,645500,0.0,0.0
2005-11-29,46.26,48.5,46.2,47.32,31.17,1951850,0.0,0.0
2005-11-30,47.94,49.98,47.48,49.78,32.79,2771550,0.0,0.0
2005-12-01,49.78,50.16,49.26,49.68,32.72,1448950,0.0,0.0
2005-12-02,49.3,49.86,48.8,49.8,32.8,470850,0.0,0.0
2005-12-05,49.94,49.94,48.28,48.76,32.12,1101300,0.0,0.0
2005-12-06,49.26,49.58,48.42,48.62,32.02,676450,0.0,0.0
2005-12-07,48.42,49.6,48.42,49.16,32.38,995950,0.0,0.0
2005-12-08,49.0,49.54,48.4,49.24,32.43,528500,0.0,0.0
2005-12-09,49.1,50.24,48.66,49.8,32.8,980950,0.0,0.0
2005-12-12,50.5,50.6,49.2,50.4,33.2,704450,0.0,0.0
2005-12-13,50.3,50.86,49.46,50.24,33.09,891550,0.0,0.0
2005-12-14,50.42,50.96,49.62,50.72,33.41,693100,0.0,0.0
2005-12-15,50.86,51.16,50.06,50.86,33.5,834850,0.0,0.0
2005-12-16,51.3,52.64,49.92,52.2,34.38,8207950,0.0,0.0
2005-12-19,51.32,51.88,49.6,50.84,33.49,2319800,0.0,0.0
2005-12-20,50.98,51.12,48.9,49.52,32.62,1073350,0.0,0.0
2005-12-21,49.32,49.52,48.3,48.64,32.04,1044650,0.0,0.0
2005-12-22,48.82,49.12,47.22,48.36,31.85,1500000,0.0,0.0
2005-12-23,48.52,48.78,47.54,47.92,31.56,498550,0.0,0.0
2005-12-27,47.8,48.44,46.3,47.44,31.25,550500,0.0,0.0
2005-12-28,47.14,48.12,46.2,47.9,31.55,946950,0.0,0.0
2005-12-29,48.0,48.46,47.36,47.66,31.39,449450,0.0,0.0
2005-12-30,47.36,48.38,46.8,47.92,31.56,529050,0.0,0.0
2006-01-03,48.0,48.4,46.9,48.0,31.61,1029700,0.0,0.0
2006-01-04,48.0,48.6,47.18,48.5,31.94,1135550,0.0,0.0
2006-01-05,48.66,48.7,47.6,48.0,31.61,618850,0.0,0.0
2006-01-06,48.48,48.68,47.22,48.02,31.63,1600500,0.0,0.0
2006-01-09,48.08,49.02,47.6,48.84,32.17,1079550,0.0,0.0
2006-01-10,49.72,50.8,49.04,50.62,33.34,1861150,0.0,0.0
2006-01-11,50.56,51.3,50.1,50.88,33.51,966900,0.0,0.0
2006-01-12,50.5,51.4,50.1,51.26,33.76,854700,0.0,0.0
2006-01-13,51.06,51.6,50.74,51.44,33.88,635100,0.0,0.0
2006-01-17,51.68,51.98,51.44,51.74,34.08,1292000,0.0,0.0
2006-01-18,51.34,52.26,51.34,51.92,34.2,1305900,0.0,0.0
2006-01-19,51.9,52.22,51.26,51.96,34.22,437250,0.0,0.0
2006-01-20,51.46,52.0,50.42,50.7,33.39,760550,0.0,0.0
2006-01-23,50.54,51.54,50.0,51.32,33.8,634200,0.0,0.0
2006-01-24,51.32,51.76,50.5,50.98,33.58,1179400,0.0,0.0
2006-01-25,50.84,51.0,49.4,50.6,33.33,589100,0.0,0.0
2006-01-26,51.2,51.8,50.62,51.34,33.81,605000,0.0,0.0
