Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2012-10-12,17.82,18.28,17.5,17.5,15.34,6467100,0.0,0.0
2012-10-15,17.55,17.83,17.5,17.75,15.56,633100,0.0,0.0
2012-10-16,17.57,17.95,17.25,17.79,15.6,180300,0.0,0.0
2012-10-17,17.7,18.07,17.5,17.7,15.52,121000,0.0,0.0
2012-10-18,17.6,17.87,17.52,17.7,15.52,146100,0.0,0.0
2012-10-19,17.72,17.8,17.41,17.41,15.26,298100,0.0,0.0
2012-10-22,17.5,17.51,16.93,17.03,14.93,359800,0.0,0.0
2012-10-23,16.85,17.3,16.75,17.13,15.02,166100,0.0,0.0
2012-10-24,16.92,17.47,16.92,17.39,15.25,158200,0.0,0.0
2012-10-25,17.98,17.98,16.25,17.03,14.93,206900,0.0,0.0
2012-10-26,17.51,17.51,16.6,17.14,15.03,199500,0.0,0.0
2012-10-31,16.5,17.03,16.5,17.03,14.93,36400,0.0,0.0
2012-11-01,17.1,17.48,16.51,17.23,15.11,203000,0.0,0.0
2012-11-02,16.99,17.23,16.56,17.0,14.9,72100,0.0,0.0
2012-11-05,16.79,17.0,16.5,16.71,14.65,33300,0.0,0.0
2012-11-06,16.52,17.48,16.09,17.01,14.91,370600,0.0,0.0
2012-11-07,16.75,17.4,16.75,17.06,14.96,155800,0.0,0.0
2012-11-08,16.29,17.27,16.29,16.75,14.68,141600,0.0,0.0
2012-11-09,16.33,16.94,16.33,16.55,14.51,209600,0.0,0.0
2012-11-12,16.46,16.55,16.36,16.5,14.47,12800,0.0,0.0
2012-11-13,16.52,16.76,15.97,16.04,14.06,47600,0.0,0.0
2012-11-14,15.97,16.47,15.65,16.05,14.07,123400,0.0,0.0
2012-11-15,16.38,17.26,15.71,16.7,14.64,367000,0.0,0.0
2012-11-16,16.91,17.69,16.27,16.82,14.75,104600,0.0,0.0
2012-11-19,16.85,17.25,16.5,17.12,15.01,77200,0.0,0.0
2012-11-20,17.14,17.29,16.83,17.13,15.02,251400,0.0,0.0
2012-11-21,17.12,17.48,16.85,17.2,15.08,33100,0.0,0.0
2012-11-23,17.25,17.55,17.06,17.32,15.18,94000,0.0,0.0
2012-11-26,17.3,17.42,17.06,17.26,15.13,77400,0.0,0.0
2012-11-27,17.07,17.33,16.93,17.23,15.11,55800,0.0,0.0
2012-11-28,17.45,17.49,16.98,17.25,15.12,94000,0.0,0.0
2012-11-29,17.46,18.35,17.2,18.16,15.92,164400,0.0,0.0
2012-11-30,18.44,18.48,17.77,18.0,15.78,44200,0.0,0.0
2012-12-03,18.01,18.5,17.39,18.1,15.87,47600,0.0,0.0
2012-12-04,18.23,18.23,17.41,17.83,15.63,30100,0.0,0.0
2012-12-05,17.58,18.1,17.58,17.98,15.76,33000,0.0,0.0
2012-12-06,17.76,17.78,17.32,17.62,15.45,41900,0.0,0.0
2012-12-07,17.68,17.85,17.6,17.75,15.56,42500,0.0,0.0
2012-12-10,17.89,17.92,17.36,17.62,15.45,72300,0.0,0.0
2012-12-11,17.41,17.84,17.2,17.54,15.38,72200,0.0,0.0
2012-12-12,17.47,17.78,17.47,17.64,15.46,58000,0.0,0.0
2012-12-13,17.41,17.98,17.29,17.88,15.67,135900,0.0,0.0
2012-12-14,17.43,17.65,17.25,17.57,15.4,44700,0.0,0.0
2012-12-17,17.66,18.5,17.5,17.98,15.76,107600,0.0,0.0
2012-12-18,17.93,19.25,17.7,18.8,16.48,142600,0.0,0.0
2012-12-19,18.8,19.89,18.13,19.18,16.81,192600,0.0,0.0
2012-12-20,18.95,19.02,18.44,19.02,16.67,200500,0.0,0.0
2012-12-21,18.62,19.18,17.68,18.98,16.64,1936500,0.0,0.0
2012-12-24,19.05,19.45,18.01,18.64,16.34,159000,0.0,0.0
2012-12-26,18.75,19.0,18.27,18.65,16.35,81300,0.0,0.0
2012-12-27,18.57,19.49,18.39,18.54,16.25,162100,0.0,0.0
2012-12-28,18.41,18.92,18.31,18.78,16.46,66400,0.0,0.0
2012-12-31,18.74,19.22,18.57,19.12,16.76,125600,0.0,0.0
2013-01-02,19.46,19.92,18.6,19.24,16.87,189700,0.0,0.0
2013-01-03,19.24,19.46,18.65,19.14,16.78,89100,0.0,0.0
2013-01-04,19.25,20.49,18.97,20.05,17.58,173300,0.0,0.0
2013-01-07,19.89,21.24,19.64,20.77,18.21,210300,0.0,0.0
2013-01-08,20.69,21.1,20.38,20.6,18.06,229400,0.0,0.0
2013-01-09,20.71,20.97,20.4,20.47,17.95,171800,0.0,0.0
2013-01-10,20.54,21.99,20.34,21.63,18.96,235200,0.0,0.0
2013-01-11,21.6,21.78,20.55,21.67,19.0,166300,0.0,0.0
2013-01-14,21.68,22.47,21.68,21.8,19.11,130400,0.0,0.0
2013-01-15,21.67,22.9,21.17,21.72,19.04,59300,0.0,0.0
2013-01-16,21.08,21.52,20.06,21.28,18.66,239500,0.0,0.0
2013-01-17,21.37,21.81,20.76,21.12,18.52,129800,0.0,0.0
2013-01-18,21.17,21.79,20.31,20.54,18.01,119400,0.0,0.0
2013-01-22,20.6,21.89,20.6,21.79,19.1,160100,0.0,0.0
2013-01-23,21.74,21.74,20.95,21.43,18.79,42700,0.0,0.0
2013-01-24,21.24,22.59,21.19,21.43,18.79,114500,0.0,0.0
2013-01-25,21.55,22.71,21.55,22.0,19.29,71200,0.0,0.0
2013-01-28,22.2,22.25,21.34,21.64,18.97,91000,0.0,0.0
2013-01-29,21.68,22.16,21.63,22.13,19.4,113700,0.0,0.0
2013-01-30,22.04,22.88,22.04,22.67,19.87,340500,0.0,0.0
2013-01-31,22.53,22.53,21.55,22.42,19.66,260400,0.0,0.0
2013-02-01,22.56,22.95,22.36,22.7,19.9,93600,0.0,0.0
2013-02-04,22.65,22.71,21.85,22.54,19.76,80100,0.0,0.0
2013-02-05,22.58,22.65,22.16,22.63,19.84,38700,0.0,0.0
