Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1987-08-20,0.0,0.07,0.06,0.06,0.04,66969600,0.0,0.0
1987-08-21,0.0,0.06,0.06,0.06,0.04,17932800,0.0,0.0
1987-08-24,0.0,0.06,0.06,0.06,0.04,8889600,0.0,0.0
1987-08-25,0.0,0.07,0.07,0.07,0.04,20774400,0.0,0.0
1987-08-26,0.0,0.07,0.07,0.07,0.04,25593600,0.0,0.0
1987-08-27,0.0,0.07,0.07,0.07,0.04,2630400,0.0,0.0
1987-08-28,0.0,0.07,0.07,0.07,0.04,7180800,0.0,0.0
1987-08-31,0.0,0.07,0.07,0.07,0.04,4435200,0.0,0.0
1987-09-01,0.0,0.07,0.07,0.07,0.04,3321600,0.0,0.0
1987-09-02,0.0,0.07,0.06,0.06,0.04,7372800,0.0,0.0
1987-09-03,0.0,0.07,0.06,0.06,0.04,2246400,0.0,0.0
1987-09-04,0.0,0.07,0.06,0.07,0.04,1094400,0.0,0.0
1987-09-08,0.0,0.07,0.06,0.06,0.04,1363200,0.0,0.0
1987-09-09,0.0,0.07,0.06,0.07,0.04,518400,0.0,0.0
1987-09-10,0.0,0.07,0.06,0.07,0.04,614400,0.0,0.0
1987-09-11,0.0,0.07,0.06,0.07,0.04,5529600,0.0,0.0
1987-09-14,0.0,0.07,0.07,0.07,0.04,883200,0.0,0.0
1987-09-15,0.0,0.08,0.07,0.07,0.05,10425600,0.0,0.0
1987-09-16,0.0,0.08,0.07,0.07,0.05,21369600,0.0,0.0
1987-09-17,0.0,0.08,0.07,0.07,0.05,6892800,0.0,0.0
1987-09-18,0.0,0.08,0.07,0.07,0.05,3110400,0.0,0.0
1987-09-21,0.0,0.08,0.07,0.08,0.05,6700800,0.0,0.0
1987-09-22,0.0,0.08,0.07,0.08,0.05,6336000,0.0,0.0
1987-09-23,0.0,0.08,0.07,0.08,0.05,6316800,0.0,0.0
1987-09-24,0.0,0.08,0.08,0.08,0.05,748800,0.0,0.0
1987-09-25,0.0,0.08,0.08,0.08,0.05,2265600,0.0,0.0
1987-09-28,0.0,0.08,0.08,0.08,0.05,2361600,0.0,0.0
1987-09-29,0.0,0.08,0.08,0.08,0.05,4012800,0.0,0.0
1987-09-30,0.0,0.08,0.08,0.08,0.05,6585600,0.0,0.0
1987-10-01,0.0,0.08,0.08,0.08,0.05,6508800,0.0,0.0
1987-10-02,0.0,0.09,0.08,0.09,0.06,9561600,0.0,0.0
1987-10-05,0.0,0.09,0.09,0.09,0.06,17683200,0.0,0.0
1987-10-06,0.0,0.09,0.09,0.09,0.06,9177600,0.0,0.0
1987-10-07,0.0,0.09,0.09,0.09,0.06,2995200,0.0,0.0
1987-10-08,0.0,0.09,0.09,0.09,0.06,6374400,0.0,0.0
1987-10-09,0.0,0.09,0.09,0.09,0.06,4320000,0.0,0.0
1987-10-12,0.0,0.09,0.09,0.09,0.06,4761600,0.0,0.0
1987-10-13,0.0,0.09,0.08,0.08,0.05,3628800,0.0,0.0
1987-10-14,0.0,0.08,0.08,0.08,0.05,6316800,0.0,0.0
1987-10-15,0.0,0.08,0.08,0.08,0.05,710400,0.0,0.0
1987-10-16,0.0,0.08,0.08,0.08,0.05,288000,0.0,0.0
1987-10-19,0.0,0.08,0.06,0.07,0.04,9100800,0.0,0.0
1987-10-20,0.0,0.07,0.06,0.06,0.04,3033600,0.0,0.0
1987-10-21,0.0,0.07,0.06,0.07,0.04,6374400,0.0,0.0
1987-10-22,0.0,0.07,0.07,0.07,0.04,1958400,0.0,0.0
1987-10-23,0.0,0.07,0.07,0.07,0.04,1785600,0.0,0.0
1987-10-26,0.0,0.07,0.06,0.06,0.04,2265600,0.0,0.0
1987-10-27,0.0,0.06,0.05,0.05,0.04,3513600,0.0,0.0
1987-10-28,0.0,0.06,0.05,0.06,0.04,1190400,0.0,0.0
1987-10-29,0.0,0.06,0.05,0.06,0.04,5894400,0.0,0.0
1987-10-30,0.0,0.07,0.06,0.07,0.04,1555200,0.0,0.0
1987-11-02,0.0,0.07,0.06,0.07,0.04,288000,0.0,0.0
1987-11-03,0.0,0.07,0.07,0.07,0.04,672000,0.0,0.0
1987-11-04,0.0,0.07,0.07,0.07,0.04,76800,0.0,0.0
1987-11-05,0.0,0.07,0.07,0.07,0.04,441600,0.0,0.0
1987-11-06,0.0,0.07,0.07,0.07,0.04,249600,0.0,0.0
1987-11-09,0.0,0.07,0.07,0.07,0.04,518400,0.0,0.0
1987-11-10,0.0,0.06,0.06,0.06,0.04,748800,0.0,0.0
1987-11-11,0.0,0.07,0.06,0.07,0.04,2265600,0.0,0.0
1987-11-12,0.0,0.07,0.07,0.07,0.04,268800,0.0,0.0
1987-11-13,0.0,0.07,0.07,0.07,0.04,403200,0.0,0.0
1987-11-16,0.0,0.07,0.07,0.07,0.04,8889600,0.0,0.0
1987-11-17,0.0,0.07,0.06,0.06,0.04,652800,0.0,0.0
1987-11-18,0.06,0.06,0.06,0.06,0.04,0,0.0,0.0
1987-11-19,0.06,0.06,0.06,0.06,0.04,0,0.0,0.0
1987-11-20,0.06,0.06,0.06,0.06,0.04,0,0.0,0.0
1987-11-23,0.0,0.07,0.07,0.07,0.04,38400,0.0,0.0
1987-11-24,0.0,0.07,0.07,0.07,0.04,3974400,0.0,0.0
1987-11-25,0.07,0.07,0.07,0.07,0.04,0,0.0,0.0
1987-11-27,0.07,0.07,0.07,0.07,0.04,0,0.0,0.0
1987-11-30,0.0,0.07,0.07,0.07,0.04,19200,0.0,0.0
1987-12-01,0.0,0.07,0.07,0.07,0.04,2112000,0.0,0.0
1987-12-02,0.0,0.07,0.07,0.07,0.04,19200,0.0,0.0
1987-12-03,0.0,0.07,0.06,0.07,0.04,1574400,0.0,0.0
1987-12-04,0.0,0.07,0.06,0.06,0.04,499200,0.0,0.0
1987-12-07,0.0,0.06,0.06,0.06,0.04,134400,0.0,0.0
1987-12-08,0.0,0.07,0.06,0.06,0.04,268800,0.0,0.0
1987-12-09,0.0,0.07,0.06,0.07,0.04,2822400,0.0,0.0
1987-12-10,0.0,0.07,0.07,0.07,0.04,2054400,0.0,0.0
1987-12-11,0.0,0.07,0.07,0.07,0.04,1075200,0.0,0.0
1987-12-14,0.0,0.07,0.07,0.07,0.04,979200,0.0,0.0
1987-12-15,0.0,0.07,0.07,0.07,0.05,2016000,0.0,0.0
