Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1994-03-18,1.91,1.91,1.78,1.81,1.81,15342400,0.0,0.0
1994-03-21,1.78,1.84,1.78,1.78,1.78,2456000,0.0,0.0
1994-03-22,1.75,1.81,1.75,1.75,1.75,981600,0.0,0.0
1994-03-23,1.75,1.81,1.75,1.75,1.75,613600,0.0,0.0
1994-03-24,1.75,1.78,1.72,1.72,1.72,1198400,0.0,0.0
1994-03-25,1.72,1.78,1.72,1.73,1.73,26400,0.0,0.0
1994-03-28,1.72,1.75,1.72,1.72,1.72,350400,0.0,0.0
1994-03-29,1.72,1.72,1.69,1.69,1.69,2008000,0.0,0.0
1994-03-30,1.69,1.69,1.59,1.59,1.59,415200,0.0,0.0
1994-03-31,1.59,1.59,1.56,1.56,1.56,135200,0.0,0.0
1994-04-04,1.53,1.53,1.5,1.5,1.5,50400,0.0,0.0
1994-04-05,1.55,1.55,1.5,1.5,1.5,251200,0.0,0.0
1994-04-06,1.53,1.53,1.5,1.5,1.5,272800,0.0,0.0
1994-04-07,1.5,1.53,1.5,1.53,1.53,28000,0.0,0.0
1994-04-08,1.53,1.55,1.5,1.5,1.5,281600,0.0,0.0
1994-04-11,1.5,1.53,1.5,1.53,1.53,124000,0.0,0.0
1994-04-12,1.59,1.66,1.59,1.59,1.59,433600,0.0,0.0
1994-04-13,1.62,1.66,1.56,1.62,1.62,2951200,0.0,0.0
1994-04-14,1.59,1.62,1.56,1.56,1.56,136000,0.0,0.0
1994-04-15,1.62,1.62,1.56,1.59,1.59,34400,0.0,0.0
1994-04-18,1.56,1.61,1.53,1.53,1.53,117600,0.0,0.0
1994-04-19,1.5,1.5,1.34,1.38,1.38,100000,0.0,0.0
1994-04-20,1.38,1.38,1.09,1.2,1.2,620000,0.0,0.0
1994-04-21,1.19,1.25,1.16,1.19,1.19,253600,0.0,0.0
1994-04-22,1.22,1.22,1.16,1.22,1.22,450400,0.0,0.0
1994-04-25,1.22,1.25,1.22,1.25,1.25,24800,0.0,0.0
1994-04-26,1.34,1.38,1.33,1.38,1.38,100000,0.0,0.0
1994-04-28,1.31,1.38,1.31,1.38,1.38,4800,0.0,0.0
1994-04-29,1.41,1.41,1.34,1.38,1.38,40000,0.0,0.0
1994-05-02,1.41,1.66,1.38,1.5,1.5,333600,0.0,0.0
1994-05-03,1.59,1.62,1.56,1.62,1.62,180800,0.0,0.0
1994-05-04,1.59,1.75,1.59,1.72,1.72,320000,0.0,0.0
1994-05-05,1.75,1.75,1.69,1.75,1.75,136000,0.0,0.0
1994-05-06,1.66,1.66,1.53,1.59,1.59,380800,0.0,0.0
1994-05-09,1.59,1.62,1.5,1.5,1.5,745600,0.0,0.0
1994-05-10,1.5,1.56,1.5,1.56,1.56,56000,0.0,0.0
1994-05-11,1.56,1.56,1.53,1.53,1.53,16000,0.0,0.0
1994-05-12,1.5,1.5,1.5,1.5,1.5,21600,0.0,0.0
1994-05-13,1.56,1.59,1.5,1.56,1.56,254400,0.0,0.0
1994-05-16,1.52,1.56,1.47,1.5,1.5,732000,0.0,0.0
1994-05-17,1.56,1.59,1.53,1.55,1.55,364800,0.0,0.0
1994-05-18,1.53,1.56,1.5,1.5,1.5,695200,0.0,0.0
1994-05-19,1.56,1.56,1.5,1.5,1.5,32000,0.0,0.0
1994-05-20,1.5,1.5,1.5,1.5,1.5,15200,0.0,0.0
1994-05-23,1.56,1.56,1.5,1.53,1.53,280800,0.0,0.0
1994-05-24,1.5,1.56,1.5,1.56,1.56,296000,0.0,0.0
1994-05-25,1.56,1.56,1.44,1.5,1.5,99200,0.0,0.0
1994-05-26,1.47,1.53,1.47,1.5,1.5,74400,0.0,0.0
1994-05-27,1.53,1.53,1.45,1.48,1.48,33600,0.0,0.0
1994-05-31,1.44,1.5,1.44,1.5,1.5,29600,0.0,0.0
1994-06-01,1.44,1.44,1.33,1.34,1.34,352800,0.0,0.0
1994-06-02,1.34,1.38,1.34,1.34,1.34,60800,0.0,0.0
1994-06-03,1.41,1.41,1.32,1.34,1.34,104000,0.0,0.0
1994-06-06,1.41,1.41,1.31,1.31,1.31,48000,0.0,0.0
1994-06-07,1.38,1.38,1.31,1.31,1.31,8000,0.0,0.0
1994-06-08,1.41,1.41,1.31,1.31,1.31,69600,0.0,0.0
1994-06-09,1.33,1.44,1.31,1.44,1.44,1534400,0.0,0.0
1994-06-10,1.44,1.5,1.44,1.47,1.47,508800,0.0,0.0
1994-06-13,1.44,1.45,1.44,1.44,1.44,164000,0.0,0.0
1994-06-14,1.47,1.53,1.47,1.47,1.47,71200,0.0,0.0
1994-06-15,1.53,1.53,1.48,1.5,1.5,54400,0.0,0.0
1994-06-16,1.48,1.53,1.48,1.53,1.53,31200,0.0,0.0
1994-06-17,1.48,1.53,1.47,1.53,1.53,10400,0.0,0.0
1994-06-20,1.47,1.53,1.47,1.53,1.53,24000,0.0,0.0
1994-06-21,1.47,1.47,1.38,1.38,1.38,168000,0.0,0.0
1994-06-22,1.39,1.44,1.38,1.44,1.44,41600,0.0,0.0
1994-06-23,1.38,1.38,1.31,1.31,1.31,40000,0.0,0.0
1994-06-24,1.28,1.28,1.22,1.28,1.28,140000,0.0,0.0
1994-06-27,1.22,1.26,1.09,1.09,1.09,558400,0.0,0.0
1994-06-28,1.16,1.17,1.12,1.16,1.16,5164800,0.0,0.0
1994-06-29,1.16,1.27,1.12,1.22,1.22,548000,0.0,0.0
1994-06-30,1.25,1.25,1.17,1.17,1.17,243200,0.0,0.0
1994-07-01,1.22,1.22,1.16,1.19,1.19,30400,0.0,0.0
1994-07-05,1.19,1.22,1.19,1.22,1.22,68000,0.0,0.0
1994-07-06,1.23,1.25,1.19,1.25,1.25,427200,0.0,0.0
1994-07-07,1.25,1.31,1.22,1.3,1.3,236800,0.0,0.0
1994-07-08,1.31,1.31,1.25,1.25,1.25,1600,0.0,0.0
1994-07-11,1.25,1.25,1.25,1.25,1.25,4000,0.0,0.0
1994-07-12,1.31,1.31,1.25,1.28,1.28,161600,0.0,0.0
1994-07-13,1.28,1.31,1.28,1.3,1.3,85600,0.0,0.0
1994-07-14,1.31,1.31,1.24,1.28,1.28,644800,0.0,0.0
1994-07-15,1.28,1.38,1.28,1.36,1.36,433600,0.0,0.0
1994-07-18,1.41,1.47,1.34,1.41,1.41,518400,0.0,0.0
1994-07-19,1.38,1.38,1.28,1.34,1.34,228800,0.0,0.0
1994-07-20,1.28,1.38,1.28,1.38,1.38,5600,0.0,0.0
1994-07-21,1.38,1.38,1.31,1.38,1.38,52000,0.0,0.0
1994-07-22,1.38,1.41,1.38,1.38,1.38,84000,0.0,0.0
1994-07-25,1.41,1.41,1.34,1.41,1.41,35200,0.0,0.0
1994-07-26,1.41,1.44,1.38,1.39,1.39,592000,0.0,0.0
1994-07-27,1.44,1.44,1.38,1.39,1.39,57600,0.0,0.0
1994-07-28,1.38,1.41,1.34,1.41,1.41,77600,0.0,0.0
1994-07-29,1.34,1.41,1.34,1.34,1.34,283200,0.0,0.0
1994-08-01,1.38,1.38,1.3,1.31,1.31,53600,0.0,0.0
1994-08-02,1.28,1.31,1.28,1.28,1.28,488800,0.0,0.0
1994-08-03,1.34,1.34,1.28,1.28,1.28,25600,0.0,0.0
1994-08-04,1.28,1.28,1.28,1.28,1.28,0,0.0,0.0
1994-08-05,1.28,1.28,1.28,1.28,1.28,24800,0.0,0.0
1994-08-08,1.28,1.28,1.16,1.16,1.16,561600,0.0,0.0
1994-08-09,1.16,1.16,1.12,1.12,1.12,12000,0.0,0.0
1994-08-10,1.22,1.41,1.22,1.38,1.38,2401600,0.0,0.0
1994-08-11,1.41,1.44,1.34,1.39,1.39,1650400,0.0,0.0
1994-08-12,1.44,1.44,1.39,1.42,1.42,25600,0.0,0.0
1994-08-15,1.34,1.42,1.34,1.36,1.36,586400,0.0,0.0
1994-08-16,1.44,1.44,1.44,1.44,1.44,800,0.0,0.0
1994-08-17,1.44,1.47,1.38,1.47,1.47,305600,0.0,0.0
1994-08-18,1.47,1.47,1.47,1.47,1.47,800,0.0,0.0
1994-08-19,1.44,1.47,1.38,1.39,1.39,807200,0.0,0.0
1994-08-22,1.47,1.5,1.47,1.5,1.5,376000,0.0,0.0
1994-08-23,1.5,1.62,1.47,1.53,1.53,184000,0.0,0.0
1994-08-24,1.62,1.62,1.53,1.59,1.59,246400,0.0,0.0
1994-08-25,1.56,1.61,1.56,1.61,1.61,170400,0.0,0.0
1994-08-26,1.62,1.62,1.56,1.62,1.62,264000,0.0,0.0
1994-08-29,1.56,1.62,1.56,1.56,1.56,292800,0.0,0.0
1994-08-30,1.62,1.69,1.62,1.66,1.66,224000,0.0,0.0
1994-08-31,1.72,1.81,1.69,1.75,1.75,280000,0.0,0.0
1994-09-01,1.81,1.81,1.72,1.78,1.78,584800,0.0,0.0
1994-09-02,1.75,1.84,1.75,1.84,1.84,199200,0.0,0.0
1994-09-06,1.81,1.84,1.75,1.78,1.78,48000,0.0,0.0
1994-09-07,1.75,1.78,1.72,1.78,1.78,178400,0.0,0.0
1994-09-08,1.78,1.84,1.69,1.77,1.77,394400,0.0,0.0
1994-09-09,1.75,1.88,1.75,1.84,1.84,782400,0.0,0.0
1994-09-12,1.88,1.94,1.78,1.94,1.94,500800,0.0,0.0
1994-09-13,2.03,2.06,1.78,1.85,1.85,2921600,0.0,0.0
1994-09-14,1.91,1.91,1.78,1.78,1.78,249600,0.0,0.0
1994-09-15,1.86,1.88,1.78,1.88,1.88,2437600,0.0,0.0
1994-09-16,1.84,1.88,1.81,1.88,1.88,98400,0.0,0.0
1994-09-19,1.88,1.88,1.62,1.62,1.62,704800,0.0,0.0
1994-09-20,1.59,1.72,1.59,1.66,1.66,456000,0.0,0.0
1994-09-21,1.62,1.69,1.62,1.69,1.69,176800,0.0,0.0
1994-09-22,1.69,1.69,1.62,1.62,1.62,260000,0.0,0.0
1994-09-23,1.62,1.62,1.62,1.62,1.62,4800,0.0,0.0
1994-09-26,1.62,1.72,1.62,1.69,1.69,304800,0.0,0.0
1994-09-27,1.72,1.78,1.69,1.73,1.73,56800,0.0,0.0
1994-09-28,1.78,1.81,1.75,1.81,1.81,2433600,0.0,0.0
1994-09-29,1.84,1.84,1.75,1.84,1.84,1387200,0.0,0.0
1994-09-30,1.84,1.84,1.78,1.83,1.83,468000,0.0,0.0
1994-10-03,1.84,1.84,1.78,1.84,1.84,91200,0.0,0.0
1994-10-04,1.78,1.84,1.75,1.75,1.75,687200,0.0,0.0
1994-10-05,1.69,1.78,1.53,1.59,1.59,425600,0.0,0.0
1994-10-06,1.62,1.62,1.56,1.62,1.62,62400,0.0,0.0
1994-10-07,1.62,1.64,1.56,1.64,1.64,137600,0.0,0.0
1994-10-10,1.66,1.66,1.64,1.66,1.66,40000,0.0,0.0
1994-10-11,1.66,1.66,1.59,1.62,1.62,64800,0.0,0.0
1994-10-12,1.59,1.66,1.59,1.61,1.61,105600,0.0,0.0
1994-10-13,1.66,1.66,1.59,1.61,1.61,166400,0.0,0.0
1994-10-14,1.61,1.61,1.61,1.61,1.61,0,0.0,0.0
1994-10-17,1.66,1.66,1.59,1.62,1.62,152800,0.0,0.0
1994-10-18,1.66,1.66,1.61,1.61,1.61,217600,0.0,0.0
1994-10-19,1.62,1.69,1.62,1.64,1.64,268000,0.0,0.0
1994-10-20,1.72,1.72,1.62,1.69,1.69,1922400,0.0,0.0
1994-10-21,1.62,1.69,1.59,1.62,1.62,805600,0.0,0.0
1994-10-24,1.67,1.69,1.59,1.66,1.66,93600,0.0,0.0
1994-10-25,1.69,1.69,1.67,1.67,1.67,15200,0.0,0.0
1994-10-26,1.72,1.72,1.62,1.72,1.72,90400,0.0,0.0
1994-10-27,1.72,1.72,1.66,1.66,1.66,60800,0.0,0.0
1994-10-28,1.66,1.72,1.66,1.66,1.66,50400,0.0,0.0
1994-10-31,1.69,1.84,1.66,1.78,1.78,1092800,0.0,0.0
1994-11-01,1.78,1.78,1.72,1.76,1.76,59200,0.0,0.0
1994-11-02,1.78,1.78,1.59,1.62,1.62,280000,0.0,0.0
1994-11-03,1.66,1.67,1.56,1.62,1.62,468000,0.0,0.0
1994-11-04,1.72,1.72,1.66,1.69,1.69,1279200,0.0,0.0
1994-11-07,1.72,1.72,1.66,1.7,1.7,473600,0.0,0.0
1994-11-08,1.66,1.69,1.62,1.63,1.63,82400,0.0,0.0
1994-11-09,1.7,1.72,1.62,1.62,1.62,764000,0.0,0.0
1994-11-10,1.69,1.69,1.62,1.62,1.62,130400,0.0,0.0
1994-11-11,1.72,1.72,1.59,1.69,1.69,181600,0.0,0.0
1994-11-14,1.72,1.81,1.67,1.81,1.81,452800,0.0,0.0
1994-11-15,1.81,1.88,1.72,1.75,1.75,299200,0.0,0.0
