Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1993-04-08,1.65,1.65,1.51,1.63,1.63,5215388,0.0,0.0
1993-04-12,1.63,1.63,1.53,1.58,1.58,924413,0.0,0.0
1993-04-13,1.63,1.63,1.53,1.6,1.6,891000,0.0,0.0
1993-04-14,1.56,1.6,1.53,1.56,1.56,912263,0.0,0.0
1993-04-15,1.6,1.63,1.53,1.58,1.58,1076794,0.0,0.0
1993-04-16,1.63,1.63,1.53,1.53,1.53,453094,0.0,0.0
1993-04-19,1.6,1.6,1.48,1.53,1.53,110363,0.0,0.0
1993-04-20,1.58,1.58,1.51,1.51,1.51,362475,0.0,0.0
1993-04-21,1.56,1.58,1.53,1.58,1.58,402975,0.0,0.0
1993-04-22,1.63,1.63,1.56,1.63,1.63,701663,0.0,0.0
1993-04-23,1.63,1.63,1.58,1.63,1.63,297169,0.0,0.0
1993-04-26,1.58,1.63,1.48,1.53,1.53,377156,0.0,0.0
1993-04-27,1.6,1.6,1.51,1.58,1.58,77456,0.0,0.0
1993-04-28,1.53,1.63,1.53,1.63,1.63,173644,0.0,0.0
1993-04-29,1.58,1.63,1.48,1.56,1.56,358931,0.0,0.0
1993-04-30,1.51,1.73,1.48,1.65,1.65,1380038,0.0,0.0
1993-05-03,1.73,1.73,1.63,1.65,1.65,352350,0.0,0.0
1993-05-04,1.68,1.85,1.68,1.8,1.8,963900,0.0,0.0
1993-05-05,1.8,1.85,1.75,1.75,1.75,480431,0.0,0.0
1993-05-06,1.83,1.83,1.73,1.75,1.75,309319,0.0,0.0
1993-05-07,1.75,1.95,1.75,1.88,1.88,2161688,0.0,0.0
1993-05-10,1.98,1.98,1.78,1.88,1.88,517894,0.0,0.0
1993-05-11,1.75,1.85,1.75,1.85,1.85,331088,0.0,0.0
1993-05-12,1.88,1.88,1.8,1.8,1.8,332606,0.0,0.0
1993-05-13,1.85,1.85,1.7,1.8,1.8,232875,0.0,0.0
1993-05-14,1.8,1.8,1.7,1.73,1.73,308306,0.0,0.0
1993-05-17,1.78,1.78,1.7,1.73,1.73,374119,0.0,0.0
1993-05-18,1.7,1.78,1.7,1.7,1.7,62775,0.0,0.0
1993-05-19,1.75,1.8,1.7,1.8,1.8,362475,0.0,0.0
1993-05-20,1.8,1.8,1.73,1.78,1.78,401963,0.0,0.0
1993-05-21,1.8,1.85,1.78,1.85,1.85,685969,0.0,0.0
1993-05-24,1.88,1.95,1.83,1.95,1.95,193388,0.0,0.0
1993-05-25,1.95,2.05,1.85,1.95,1.95,719381,0.0,0.0
1993-05-26,1.88,1.98,1.88,1.93,1.93,182250,0.0,0.0
1993-05-27,1.98,2.02,1.93,1.98,1.98,345263,0.0,0.0
1993-05-28,1.98,2.02,1.93,2.0,2.0,342225,0.0,0.0
1993-06-01,2.05,2.17,1.98,2.17,2.17,832275,0.0,0.0
1993-06-02,2.17,2.27,2.07,2.17,2.17,520425,0.0,0.0
1993-06-03,2.17,2.2,2.1,2.17,2.17,98719,0.0,0.0
1993-06-04,2.15,2.22,2.12,2.2,2.2,157444,0.0,0.0
1993-06-07,2.12,2.2,2.12,2.2,2.2,165544,0.0,0.0
1993-06-08,2.2,2.2,2.1,2.1,2.1,93656,0.0,0.0
1993-06-09,2.17,2.17,2.07,2.07,2.07,174150,0.0,0.0
1993-06-10,2.07,2.17,2.07,2.12,2.12,153900,0.0,0.0
1993-06-11,2.17,2.17,2.07,2.17,2.17,209588,0.0,0.0
1993-06-14,2.17,2.22,2.07,2.17,2.17,296663,0.0,0.0
1993-06-15,2.2,2.2,2.1,2.17,2.17,74925,0.0,0.0
1993-06-16,2.17,2.2,2.12,2.17,2.17,127575,0.0,0.0
1993-06-17,2.15,2.22,2.15,2.17,2.17,455119,0.0,0.0
1993-06-18,2.17,2.17,2.07,2.15,2.15,140738,0.0,0.0
1993-06-21,2.1,2.15,2.1,2.15,2.15,131119,0.0,0.0
1993-06-22,2.15,2.15,2.07,2.07,2.07,212119,0.0,0.0
1993-06-23,2.07,2.2,1.98,1.98,1.98,314888,0.0,0.0
1993-06-24,2.07,2.07,1.93,1.95,1.95,169088,0.0,0.0
1993-06-25,1.98,2.05,1.93,1.98,1.98,170100,0.0,0.0
1993-06-28,1.93,2.02,1.93,1.98,1.98,73913,0.0,0.0
1993-06-29,1.95,2.05,1.95,2.05,2.05,182250,0.0,0.0
1993-06-30,2.05,2.17,2.0,2.15,2.15,293119,0.0,0.0
1993-07-01,2.17,2.17,2.1,2.12,2.12,1113244,0.0,0.0
1993-07-02,2.1,2.17,2.1,2.12,2.12,658631,0.0,0.0
1993-07-06,2.1,2.17,2.1,2.12,2.12,238950,0.0,0.0
1993-07-07,2.17,2.17,2.1,2.1,2.1,150863,0.0,0.0
1993-07-08,2.1,2.17,2.1,2.1,2.1,147319,0.0,0.0
1993-07-09,2.12,2.2,2.1,2.17,2.17,946181,0.0,0.0
1993-07-12,2.17,2.2,2.12,2.17,2.17,52650,0.0,0.0
1993-07-13,2.2,2.22,2.12,2.17,2.17,26831,0.0,0.0
1993-07-14,2.15,2.22,2.12,2.22,2.22,180731,0.0,0.0
1993-07-15,2.22,2.35,2.17,2.32,2.32,1035281,0.0,0.0
1993-07-16,2.35,2.35,2.25,2.35,2.35,187819,0.0,0.0
1993-07-19,2.35,2.35,2.25,2.35,2.35,158963,0.0,0.0
1993-07-20,2.3,2.35,2.17,2.2,2.2,249581,0.0,0.0
1993-07-21,2.3,2.3,2.2,2.25,2.25,154406,0.0,0.0
1993-07-22,2.22,2.27,2.15,2.15,2.15,179719,0.0,0.0
1993-07-23,2.15,2.27,2.15,2.2,2.2,134156,0.0,0.0
1993-07-26,2.3,2.3,2.2,2.3,2.3,42525,0.0,0.0
1993-07-27,2.2,2.3,2.2,2.3,2.3,50625,0.0,0.0
1993-07-28,2.2,2.3,2.2,2.2,2.2,51638,0.0,0.0
1993-07-29,2.2,2.27,2.17,2.2,2.2,191363,0.0,0.0
1993-07-30,2.25,2.27,2.17,2.27,2.27,44044,0.0,0.0
1993-08-02,2.17,2.27,2.17,2.27,2.27,5063,0.0,0.0
1993-08-03,2.27,2.27,2.15,2.15,2.15,76444,0.0,0.0
1993-08-04,2.15,2.22,2.02,2.02,2.02,176175,0.0,0.0
1993-08-05,2.12,2.17,2.02,2.17,2.17,103275,0.0,0.0
1993-08-06,2.17,2.27,2.1,2.22,2.22,98719,0.0,0.0
1993-08-09,2.27,2.3,2.05,2.12,2.12,318431,0.0,0.0
1993-08-10,2.12,2.12,2.05,2.12,2.12,52144,0.0,0.0
1993-08-11,2.12,2.12,2.05,2.05,2.05,17213,0.0,0.0
1993-08-12,2.12,2.12,2.05,2.07,2.07,27844,0.0,0.0
1993-08-13,2.12,2.12,2.05,2.07,2.07,153394,0.0,0.0
1993-08-16,2.07,2.27,2.07,2.22,2.22,128081,0.0,0.0
1993-08-17,2.17,2.3,2.17,2.25,2.25,110363,0.0,0.0
1993-08-18,2.17,2.32,2.17,2.32,2.32,143775,0.0,0.0
1993-08-19,2.32,2.32,2.22,2.22,2.22,87075,0.0,0.0
1993-08-20,2.22,2.4,2.22,2.27,2.27,181238,0.0,0.0
1993-08-23,2.27,2.4,2.27,2.4,2.4,164531,0.0,0.0
1993-08-24,2.32,2.4,2.27,2.4,2.4,38475,0.0,0.0
1993-08-25,2.4,2.4,2.22,2.22,2.22,247556,0.0,0.0
1993-08-26,2.37,2.37,2.05,2.17,2.17,300206,0.0,0.0
1993-08-27,2.17,2.17,2.05,2.05,2.05,34931,0.0,0.0
1993-08-30,2.17,2.17,2.05,2.07,2.07,49106,0.0,0.0
1993-08-31,2.12,2.17,2.05,2.17,2.17,138713,0.0,0.0
1993-09-01,2.17,2.17,2.02,2.15,2.15,518906,0.0,0.0
1993-09-02,2.17,2.17,2.02,2.02,2.02,26325,0.0,0.0
1993-09-03,2.1,2.17,2.07,2.17,2.17,85050,0.0,0.0
1993-09-07,2.02,2.17,2.02,2.02,2.02,11644,0.0,0.0
