Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2019-03-13,38.6,39.3,38.0,39.2,37.07,306000,0.0,0.0
2019-03-14,39.5,40.65,39.32,39.96,37.79,279700,0.0,0.0
2019-03-15,40.55,41.05,40.5,41.02,38.79,164200,0.0,0.0
2019-03-18,41.73,41.73,40.47,40.86,38.64,581700,0.0,0.0
2019-03-19,41.4,41.4,39.05,39.55,37.4,2540200,0.0,0.0
2019-03-20,39.85,39.85,37.46,37.6,35.55,5147900,0.0,0.0
2019-03-21,38.0,38.91,37.84,38.88,36.76,8865500,0.0,0.0
2019-03-22,38.76,38.84,36.55,37.46,35.42,4902500,0.0,0.0
2019-03-25,37.57,37.81,36.35,36.45,34.47,4035100,0.0,0.0
2019-03-26,36.46,37.35,36.46,36.71,34.71,3350900,0.0,0.0
2019-03-27,36.75,37.17,36.06,36.2,34.23,2871300,0.0,0.0
2019-03-28,36.14,36.47,35.55,35.67,33.73,2220600,0.0,0.0
2019-03-29,35.88,36.17,35.39,35.88,33.93,2679200,0.0,0.0
2019-04-01,36.17,36.34,35.94,36.15,34.18,4338400,0.0,0.0
2019-04-02,36.21,36.46,35.21,35.7,33.76,1491200,0.0,0.0
2019-04-03,35.78,35.89,35.3,35.5,33.57,2831600,0.0,0.0
2019-04-04,35.56,36.07,35.39,36.03,34.07,2223200,0.0,0.0
2019-04-05,35.99,37.09,35.94,36.98,34.97,2116200,0.0,0.0
2019-04-08,36.94,36.94,36.65,36.85,34.85,1929000,0.0,0.0
2019-04-09,36.81,37.07,36.59,36.89,34.88,1793900,0.0,0.0
2019-04-10,36.91,37.05,35.86,35.93,33.98,843600,0.0,0.0
2019-04-11,35.98,36.5,35.53,36.41,34.43,978200,0.0,0.0
2019-04-12,36.47,37.08,35.92,36.95,34.94,3175200,0.0,0.0
2019-04-15,36.91,36.99,36.47,36.98,34.97,891200,0.0,0.0
2019-04-16,37.11,37.28,36.93,37.21,35.19,1869000,0.0,0.0
2019-04-17,37.18,38.25,37.18,38.21,36.13,2122100,0.0,0.0
2019-04-18,38.34,38.37,37.92,37.92,35.86,2315200,0.0,0.0
2019-04-22,37.84,37.88,37.11,37.24,35.21,1665000,0.0,0.0
2019-04-23,37.22,37.82,37.07,37.6,35.55,5455100,0.0,0.0
2019-04-24,37.51,37.76,37.33,37.45,35.41,1230800,0.0,0.0
2019-04-25,37.48,37.68,37.04,37.64,35.59,1422800,0.0,0.0
2019-04-26,37.8,37.94,37.4,37.91,35.85,2505700,0.0,0.0
2019-04-29,37.74,38.91,37.69,38.73,36.62,1716800,0.0,0.0
2019-04-30,38.59,38.78,37.89,38.5,36.41,1810000,0.0,0.0
2019-05-01,38.66,38.8,38.09,38.74,36.63,1475000,0.0,0.0
2019-05-02,38.75,38.8,36.5,36.84,34.84,2627700,0.0,0.0
2019-05-03,36.86,37.26,36.64,37.02,35.01,1229700,0.0,0.0
2019-05-06,36.72,37.4,36.47,37.31,35.28,1533900,0.0,0.0
2019-05-07,36.97,37.22,36.58,36.7,34.7,1412300,0.0,0.0
2019-05-08,36.56,37.08,36.27,36.82,34.82,2108700,0.0,0.0
2019-05-09,38.08,38.63,36.95,37.97,35.9,3458200,0.0,0.0
2019-05-10,37.9,38.25,36.98,38.05,35.98,1633500,0.0,0.0
2019-05-13,37.48,38.15,37.22,37.5,35.46,1598400,0.0,0.0
2019-05-14,37.54,38.03,37.4,37.48,35.44,1663100,0.0,0.0
2019-05-15,37.24,37.48,37.13,37.23,35.2,873900,0.0,0.0
2019-05-16,37.28,37.6,36.28,36.32,34.34,2680000,0.0,0.0
2019-05-17,36.08,37.07,36.08,36.83,35.05,1084400,0.23,0.0
2019-05-20,36.54,37.14,36.54,36.68,34.91,996400,0.0,0.0
2019-05-21,36.82,37.53,36.64,37.18,35.38,1272400,0.0,0.0
2019-05-22,37.1,37.29,36.62,36.67,34.9,830200,0.0,0.0
2019-05-23,36.39,36.63,36.18,36.51,34.74,1860100,0.0,0.0
2019-05-24,36.51,36.76,36.4,36.45,34.69,828100,0.0,0.0
2019-05-28,36.59,36.95,36.11,36.16,34.41,2384600,0.0,0.0
2019-05-29,36.0,36.16,35.28,35.3,33.59,1437600,0.0,0.0
2019-05-30,35.36,35.69,34.69,34.81,33.13,1079700,0.0,0.0
2019-05-31,34.55,34.81,34.25,34.71,33.03,1736500,0.0,0.0
2019-06-03,34.61,34.81,33.32,33.78,32.15,2219500,0.0,0.0
2019-06-04,34.03,34.81,33.75,34.09,32.44,2276200,0.0,0.0
2019-06-05,34.24,34.57,33.9,34.02,32.37,1346900,0.0,0.0
2019-06-06,34.01,34.23,33.6,33.74,32.11,1209100,0.0,0.0
2019-06-07,33.84,34.05,33.66,33.68,32.05,925100,0.0,0.0
2019-06-10,33.86,34.04,33.56,33.74,32.11,1142800,0.0,0.0
2019-06-11,33.77,34.04,33.65,33.83,32.19,1201800,0.0,0.0
2019-06-12,33.81,34.74,33.8,34.7,33.02,2240300,0.0,0.0
2019-06-13,34.96,35.12,34.6,34.94,33.25,1315400,0.0,0.0
2019-06-14,34.99,35.16,34.56,34.96,33.27,2414700,0.0,0.0
2019-06-17,35.18,35.97,35.04,35.8,34.07,2288000,0.0,0.0
2019-06-18,36.09,36.72,35.71,35.83,34.1,2680900,0.0,0.0
2019-06-19,35.88,36.08,35.35,35.74,34.01,2011500,0.0,0.0
2019-06-20,36.15,36.15,35.31,35.35,33.64,1879700,0.0,0.0
2019-06-21,35.36,37.0,35.04,35.88,34.14,4338300,0.0,0.0
2019-06-24,35.72,35.79,35.39,35.54,33.82,1621000,0.0,0.0
2019-06-25,35.45,35.52,34.9,35.19,33.49,1853700,0.0,0.0
2019-06-26,35.46,35.89,35.16,35.31,33.6,2271900,0.0,0.0
2019-06-27,35.36,36.12,35.06,35.75,34.02,2880900,0.0,0.0
2019-06-28,35.89,36.64,35.67,36.53,34.76,4921100,0.0,0.0
2019-07-01,36.82,36.87,35.72,35.96,34.22,2608800,0.0,0.0
2019-07-02,35.96,36.57,35.96,36.53,34.76,1431200,0.0,0.0
2019-07-03,36.7,36.77,36.31,36.35,34.59,918900,0.0,0.0
2019-07-05,36.28,36.77,36.07,36.56,34.79,1190600,0.0,0.0
2019-07-08,36.36,36.94,36.05,36.13,34.38,910700,0.0,0.0
2019-07-09,35.98,36.29,35.79,36.01,34.27,1661300,0.0,0.0
2019-07-10,36.11,36.41,36.03,36.14,34.39,1177600,0.0,0.0
2019-07-11,36.13,36.37,35.85,36.31,34.55,1206500,0.0,0.0
2019-07-12,36.32,37.01,36.32,36.96,35.17,1582900,0.0,0.0
2019-07-15,37.12,37.21,36.61,37.04,35.25,1344900,0.0,0.0
2019-07-16,37.08,37.11,36.61,36.69,34.91,1613100,0.0,0.0
2019-07-17,36.62,36.72,36.09,36.17,34.42,1892200,0.0,0.0
2019-07-18,36.1,36.76,36.0,36.61,34.84,3001300,0.0,0.0
2019-07-19,36.71,36.76,36.2,36.45,34.69,1934300,0.0,0.0
2019-07-22,36.47,36.64,36.28,36.32,34.56,1557800,0.0,0.0
2019-07-23,36.35,36.75,35.99,36.51,34.74,2003200,0.0,0.0
2019-07-24,36.46,37.08,36.44,36.89,35.11,1233500,0.0,0.0
2019-07-25,36.91,37.54,36.9,37.43,35.62,1411800,0.0,0.0
2019-07-26,37.37,38.03,37.33,37.49,35.68,915600,0.0,0.0
2019-07-29,37.44,37.84,37.34,37.69,35.87,885800,0.0,0.0
2019-07-30,37.5,38.06,37.5,37.85,36.02,1825500,0.0,0.0
2019-07-31,37.7,37.7,36.77,37.2,35.4,1831300,0.0,0.0
2019-08-01,37.16,37.45,36.69,36.84,35.06,1757900,0.0,0.0
2019-08-02,36.84,36.85,36.29,36.56,34.79,1113400,0.0,0.0
2019-08-05,36.28,36.48,35.75,36.0,34.26,2043700,0.0,0.0
2019-08-06,35.93,36.51,35.85,36.4,34.64,1536300,0.0,0.0
2019-08-07,36.05,36.93,35.76,36.79,35.01,1784900,0.0,0.0
2019-08-08,37.34,37.34,34.89,35.0,33.31,3361100,0.0,0.0
2019-08-09,34.95,35.56,34.88,35.37,33.66,1337100,0.0,0.0
2019-08-12,35.28,35.28,34.67,34.81,33.13,1335100,0.0,0.0
2019-08-13,34.67,35.53,34.67,35.0,33.31,1708100,0.0,0.0
2019-08-14,34.78,34.78,33.37,33.66,32.03,1372300,0.0,0.0
2019-08-15,33.65,34.03,32.71,32.81,31.22,2007500,0.0,0.0
2019-08-16,33.09,33.29,32.71,33.01,31.41,1399300,0.0,0.0
2019-08-19,33.31,33.9,33.3,33.6,31.97,1622600,0.0,0.0
2019-08-20,33.5,33.82,33.25,33.36,31.75,1711200,0.0,0.0
2019-08-21,33.47,33.51,32.87,33.15,31.55,1408700,0.0,0.0
2019-08-22,33.19,33.34,32.73,32.82,31.23,1438800,0.0,0.0
2019-08-23,32.66,32.72,31.33,31.44,29.92,1459900,0.0,0.0
2019-08-26,31.67,31.82,31.28,31.71,30.18,1508600,0.0,0.0
2019-08-27,31.9,32.05,31.61,31.62,30.09,1763500,0.0,0.0
2019-08-28,31.67,31.94,31.33,31.56,30.03,1002000,0.0,0.0
2019-08-29,31.78,32.8,31.67,32.45,30.88,1727100,0.0,0.0
2019-08-30,33.27,33.31,32.47,32.8,31.21,1295500,0.0,0.0
2019-09-03,32.4,32.74,32.16,32.43,31.08,904800,0.23,0.0
2019-09-04,32.65,33.26,32.53,33.21,31.83,970400,0.0,0.0
2019-09-05,33.52,34.03,33.23,33.91,32.5,965300,0.0,0.0
2019-09-06,33.95,34.35,33.73,33.87,32.46,875100,0.0,0.0
2019-09-09,33.68,34.02,33.31,33.99,32.57,792500,0.0,0.0
2019-09-10,33.76,34.42,33.76,34.22,32.79,1421800,0.0,0.0
2019-09-11,34.1,34.23,33.62,33.97,32.55,1073800,0.0,0.0
2019-09-12,34.12,34.12,33.59,33.7,32.3,1159600,0.0,0.0
2019-09-13,33.68,34.08,33.45,33.71,32.31,938800,0.0,0.0
2019-09-16,33.52,33.66,33.35,33.49,32.09,653100,0.0,0.0
2019-09-17,33.46,33.46,32.72,32.82,31.45,890000,0.0,0.0
2019-09-18,32.68,32.84,32.03,32.5,31.15,1207900,0.0,0.0
2019-09-19,32.57,32.66,31.9,31.97,30.64,629400,0.0,0.0
2019-09-20,31.89,32.3,31.63,32.08,30.74,1538800,0.0,0.0
2019-09-23,32.16,32.33,31.88,32.18,30.84,841400,0.0,0.0
2019-09-24,32.32,32.35,31.4,31.53,30.22,1201700,0.0,0.0
2019-09-25,31.48,32.17,31.48,32.0,30.67,1456400,0.0,0.0
2019-09-26,32.06,32.06,31.35,31.47,30.16,1314000,0.0,0.0
2019-09-27,31.51,31.71,31.13,31.48,30.17,860400,0.0,0.0
2019-09-30,31.68,31.85,31.34,31.54,30.23,700200,0.0,0.0
2019-10-01,31.7,32.01,31.13,31.18,29.88,880700,0.0,0.0
2019-10-02,30.99,31.2,30.26,30.31,29.05,1123900,0.0,0.0
2019-10-03,30.25,30.43,29.67,30.39,29.12,1061100,0.0,0.0
2019-10-04,30.5,30.78,30.34,30.49,29.21,996300,0.0,0.0
2019-10-07,30.51,31.04,30.48,30.49,29.22,951500,0.0,0.0
2019-10-08,30.21,30.21,29.61,30.03,28.78,1232500,0.0,0.0
2019-10-09,30.21,30.41,29.94,30.26,29.0,1147600,0.0,0.0
2019-10-10,30.22,30.53,30.05,30.42,29.16,1161300,0.0,0.0
2019-10-11,30.65,31.48,30.63,31.16,29.86,1571700,0.0,0.0
2019-10-14,31.06,31.13,30.75,31.01,29.72,1178700,0.0,0.0
2019-10-15,31.02,31.51,30.8,31.44,30.13,1148900,0.0,0.0
2019-10-16,31.35,31.59,31.26,31.58,30.27,1159900,0.0,0.0
2019-10-17,31.5,31.72,31.15,31.49,30.18,2047600,0.0,0.0
2019-10-18,31.63,32.07,31.48,31.52,30.21,2453800,0.0,0.0
2019-10-21,31.71,32.15,31.57,32.09,30.75,1581800,0.0,0.0
2019-10-22,32.16,32.86,31.93,32.77,31.4,1518800,0.0,0.0
2019-10-23,32.87,33.01,32.5,32.61,31.25,905100,0.0,0.0
2019-10-24,32.56,32.73,31.2,31.6,30.28,1454000,0.0,0.0
2019-10-25,31.62,32.06,31.62,31.7,30.38,1280500,0.0,0.0
2019-10-28,31.72,32.66,31.72,32.21,30.87,2133600,0.0,0.0
2019-10-29,32.16,32.21,31.84,32.05,30.71,1105600,0.0,0.0
2019-10-30,31.98,32.06,31.3,31.36,30.05,1198100,0.0,0.0
2019-10-31,31.17,31.26,30.94,31.24,29.94,1528000,0.0,0.0
2019-11-01,31.36,31.96,31.18,31.86,30.53,2991700,0.0,0.0
2019-11-04,32.04,32.04,31.73,31.9,30.57,1461400,0.0,0.0
2019-11-05,31.9,32.45,31.9,32.15,30.81,2289200,0.0,0.0
2019-11-06,32.18,32.46,31.67,32.33,30.98,1425800,0.0,0.0
2019-11-07,33.15,34.26,32.74,34.25,32.82,2728600,0.0,0.0
2019-11-08,34.14,34.52,33.91,34.43,33.0,1551500,0.0,0.0
2019-11-11,34.24,34.33,33.94,34.22,32.79,768800,0.0,0.0
2019-11-12,34.21,34.37,33.76,33.81,32.4,995800,0.0,0.0
2019-11-13,33.63,33.96,33.47,33.57,32.17,994800,0.0,0.0
2019-11-14,33.46,33.78,33.28,33.45,32.06,1251300,0.0,0.0
2019-11-15,33.75,33.97,33.39,33.6,32.2,1682400,0.0,0.0
2019-11-18,33.58,34.48,33.55,34.46,33.02,1344300,0.0,0.0
2019-11-19,34.67,35.48,34.47,35.43,33.95,1301600,0.0,0.0
2019-11-20,35.19,35.55,34.9,34.99,33.54,1548900,0.0,0.0
2019-11-21,35.0,35.43,34.69,34.78,33.33,979500,0.0,0.0
2019-11-22,34.77,35.17,34.75,34.88,33.42,1139800,0.0,0.0
2019-11-25,34.88,35.0,34.58,34.85,33.4,1108800,0.0,0.0
2019-11-26,34.88,35.29,34.78,35.19,33.72,1473000,0.0,0.0
2019-11-27,35.3,35.39,34.9,35.03,33.57,757300,0.0,0.0
2019-11-29,34.9,35.21,34.62,34.98,33.52,528700,0.0,0.0
2019-12-02,34.96,35.23,34.74,34.81,33.36,1014400,0.0,0.0
2019-12-03,34.54,34.63,33.99,34.35,32.92,1072000,0.0,0.0
2019-12-04,34.29,34.84,34.19,34.64,33.2,1198100,0.0,0.0
2019-12-05,34.79,35.0,34.45,34.63,33.19,1203100,0.0,0.0
2019-12-06,34.88,35.05,34.53,34.6,33.16,892900,0.0,0.0
2019-12-09,34.67,35.18,34.51,34.79,33.34,1049300,0.0,0.0
2019-12-10,34.77,35.16,34.48,34.92,33.47,1210700,0.0,0.0
2019-12-11,35.02,35.71,35.02,35.29,33.82,1647300,0.0,0.0
2019-12-12,35.38,36.06,35.24,35.96,34.46,1350800,0.0,0.0
2019-12-13,35.92,36.11,35.64,35.86,34.37,1363600,0.0,0.0
2019-12-16,36.03,36.18,35.81,35.89,34.39,1097800,0.0,0.0
2019-12-17,35.87,36.33,35.56,36.24,34.73,1019300,0.0,0.0
2019-12-18,36.28,36.4,35.96,36.0,34.5,1880800,0.0,0.0
2019-12-19,35.9,36.22,35.84,36.05,34.55,1098600,0.0,0.0
2019-12-20,36.14,36.39,35.85,36.22,34.71,2579000,0.0,0.0
2019-12-23,36.16,36.79,36.16,36.63,35.1,1149200,0.0,0.0
2019-12-24,36.61,36.8,36.49,36.5,34.98,347100,0.0,0.0
2019-12-26,36.64,36.86,36.5,36.8,35.27,696700,0.0,0.0
2019-12-27,36.95,36.95,36.55,36.72,35.2,832800,0.0,0.0
2019-12-30,36.79,36.86,36.39,36.44,34.92,894000,0.0,0.0
2019-12-31,36.32,36.53,36.15,36.4,34.88,988400,0.0,0.0
2020-01-02,36.5,36.75,35.97,36.46,34.94,1153800,0.0,0.0
2020-01-03,36.01,36.35,36.01,36.1,34.6,940300,0.0,0.0
2020-01-06,35.94,36.14,35.73,36.01,34.51,792600,0.0,0.0
2020-01-07,35.89,36.58,35.83,36.47,34.95,955700,0.0,0.0
2020-01-08,36.58,36.92,36.36,36.42,34.9,1799500,0.0,0.0
2020-01-09,36.5,36.67,36.2,36.5,34.98,851000,0.0,0.0
2020-01-10,36.55,36.59,35.99,36.08,34.58,1067100,0.0,0.0
2020-01-13,36.09,36.47,35.82,36.3,34.79,1207000,0.0,0.0
2020-01-14,36.13,36.77,35.91,36.54,35.02,1441500,0.0,0.0
2020-01-15,36.57,36.86,36.48,36.79,35.26,889600,0.0,0.0
2020-01-16,36.91,38.26,36.87,38.23,36.64,1835100,0.0,0.0
2020-01-17,38.31,38.84,38.31,38.58,36.97,1662700,0.0,0.0
2020-01-21,38.4,38.54,38.09,38.41,36.81,1416700,0.0,0.0
2020-01-22,38.41,38.6,38.13,38.4,36.8,1321200,0.0,0.0
2020-01-23,38.11,38.13,36.7,36.9,35.36,2407400,0.0,0.0
2020-01-24,36.94,36.94,35.64,36.04,34.54,2762300,0.0,0.0
2020-01-27,35.81,36.42,35.66,36.37,34.85,1838800,0.0,0.0
2020-01-28,36.5,36.82,36.17,36.62,35.09,1353100,0.0,0.0
2020-01-29,36.38,36.63,35.88,35.99,34.49,876100,0.0,0.0
2020-01-30,35.6,36.48,35.53,36.46,34.94,978500,0.0,0.0
2020-01-31,36.35,36.57,35.85,36.33,34.82,1604300,0.0,0.0
2020-02-03,36.5,37.25,36.41,36.83,35.3,1084600,0.0,0.0
2020-02-04,37.27,37.57,36.99,37.4,35.84,1072200,0.0,0.0
2020-02-05,37.81,38.21,37.45,37.93,36.35,1984500,0.0,0.0
2020-02-06,38.26,38.44,36.18,36.5,34.98,2530200,0.0,0.0
2020-02-07,36.45,36.46,35.89,36.37,34.85,1047900,0.0,0.0
2020-02-10,36.22,36.85,36.1,36.78,35.25,1442000,0.0,0.0
2020-02-11,36.85,36.85,36.18,36.61,35.08,926900,0.0,0.0
2020-02-12,36.77,37.22,36.72,37.16,35.61,907700,0.0,0.0
2020-02-13,36.95,37.74,36.95,37.52,35.96,1059400,0.0,0.0
2020-02-14,37.53,37.59,37.0,37.31,35.76,750500,0.0,0.0
2020-02-18,37.26,37.4,36.94,37.22,35.67,965600,0.0,0.0
2020-02-19,37.24,37.72,37.1,37.53,35.97,674100,0.0,0.0
2020-02-20,37.18,37.34,35.9,36.54,35.02,1605200,0.0,0.0
2020-02-21,36.29,36.84,35.48,35.5,34.02,1593500,0.0,0.0
2020-02-24,35.27,35.44,34.09,34.27,32.84,1503900,0.0,0.0
2020-02-25,34.41,34.55,32.65,32.83,31.46,1922800,0.0,0.0
2020-02-26,33.36,33.41,32.08,32.4,31.05,2761100,0.0,0.0
2020-02-27,31.99,32.56,30.99,30.99,29.7,2763400,0.0,0.0
2020-02-28,30.2,31.32,29.86,30.45,29.18,3917400,0.0,0.0
2020-03-02,30.48,31.79,30.07,31.79,30.47,2871300,0.0,0.0
2020-03-03,31.19,32.28,30.34,30.71,29.65,4065400,0.23,0.0
2020-03-04,31.04,31.27,30.13,30.67,29.61,2778700,0.0,0.0
2020-03-05,29.83,30.04,28.91,29.12,28.11,2206300,0.0,0.0
2020-03-06,27.71,28.79,27.55,28.52,27.53,2821300,0.0,0.0
2020-03-09,26.75,27.63,26.38,27.13,26.19,4129700,0.0,0.0
2020-03-10,27.96,28.98,26.77,28.76,27.76,3554900,0.0,0.0
2020-03-11,27.82,28.28,27.3,27.52,26.57,3077300,0.0,0.0
2020-03-12,26.55,26.66,24.29,25.56,24.67,3106700,0.0,0.0
2020-03-13,26.4,27.78,24.24,25.38,24.5,2710400,0.0,0.0
2020-03-16,23.3,24.38,22.68,23.19,22.39,3320300,0.0,0.0
2020-03-17,23.5,24.44,22.17,23.79,22.97,3157000,0.0,0.0
2020-03-18,22.54,23.26,20.64,21.41,20.67,3549300,0.0,0.0
2020-03-19,21.43,22.73,20.1,21.94,21.18,2025500,0.0,0.0
2020-03-20,22.3,22.77,19.92,20.05,19.35,3236800,0.0,0.0
2020-03-23,20.13,20.55,19.13,19.81,19.12,2577600,0.0,0.0
2020-03-24,20.82,21.73,20.17,21.65,20.9,2434900,0.0,0.0
2020-03-25,21.65,24.54,21.26,23.34,22.53,3077500,0.0,0.0
2020-03-26,23.46,24.78,23.46,24.6,23.75,2435300,0.0,0.0
2020-03-27,23.71,23.95,21.95,22.04,21.28,1979800,0.0,0.0
2020-03-30,22.11,23.97,21.52,23.77,22.95,1575000,0.0,0.0
2020-03-31,23.95,24.32,22.76,22.88,22.09,2087600,0.0,0.0
2020-04-01,21.85,22.18,21.26,21.57,20.82,1584700,0.0,0.0
2020-04-02,21.56,22.71,21.22,21.84,21.08,2515500,0.0,0.0
2020-04-03,21.73,21.97,21.2,21.59,20.84,1208700,0.0,0.0
2020-04-06,22.78,24.62,22.69,24.45,23.6,1489800,0.0,0.0
2020-04-07,25.69,26.44,24.9,24.97,24.1,1670400,0.0,0.0
2020-04-08,25.04,26.03,25.0,25.82,24.92,1529100,0.0,0.0
2020-04-09,25.92,26.56,25.17,25.64,24.75,1596300,0.0,0.0
2020-04-13,25.46,25.51,24.32,25.4,24.52,1554400,0.0,0.0
2020-04-14,25.8,26.18,25.39,26.01,25.11,967100,0.0,0.0
2020-04-15,25.15,25.25,24.55,25.17,24.3,1167800,0.0,0.0
2020-04-16,25.16,25.29,24.42,25.13,24.26,1872800,0.0,0.0
2020-04-17,25.75,26.33,25.52,26.23,25.32,1085600,0.0,0.0
2020-04-20,25.46,26.44,25.46,25.69,24.8,1896900,0.0,0.0
2020-04-21,24.91,25.38,24.78,25.05,24.18,1442400,0.0,0.0
2020-04-22,25.68,25.88,24.53,24.59,23.74,1501900,0.0,0.0
2020-04-23,24.63,25.1,23.91,24.45,23.6,1512000,0.0,0.0
2020-04-24,24.48,24.67,24.13,24.52,23.67,1423000,0.0,0.0
2020-04-27,24.83,26.24,24.78,26.01,25.11,1128200,0.0,0.0
2020-04-28,26.65,27.71,26.5,26.97,26.03,1157500,0.0,0.0
2020-04-29,27.73,28.24,27.69,27.95,26.98,1215400,0.0,0.0
2020-04-30,27.4,27.4,25.17,25.56,24.67,1787900,0.0,0.0
2020-05-01,25.0,25.38,24.67,25.02,24.15,803100,0.0,0.0
2020-05-04,24.85,24.96,24.21,24.63,23.78,1180100,0.0,0.0
2020-05-05,24.82,25.01,23.63,23.85,23.02,1413200,0.0,0.0
2020-05-06,23.89,24.72,23.39,24.61,23.76,1949600,0.0,0.0
2020-05-07,26.25,26.73,24.86,25.01,24.14,1810900,0.0,0.0
2020-05-08,25.62,25.95,25.32,25.73,24.84,949500,0.0,0.0
2020-05-11,25.81,25.81,24.78,25.45,24.57,845300,0.0,0.0
2020-05-12,25.59,25.76,24.89,24.89,24.03,995000,0.0,0.0
2020-05-13,24.72,24.75,23.38,24.06,23.23,1172600,0.0,0.0
2020-05-14,23.67,25.2,23.36,25.12,24.25,1753200,0.0,0.0
2020-05-15,24.97,25.57,24.69,25.5,24.62,1056400,0.0,0.0
2020-05-18,26.66,27.04,26.22,26.85,25.92,1144500,0.0,0.0
2020-05-19,26.72,27.48,26.46,26.94,26.01,741900,0.0,0.0
2020-05-20,27.04,27.76,27.03,27.37,26.42,941700,0.0,0.0
2020-05-21,27.07,27.63,27.07,27.23,26.29,666400,0.0,0.0
2020-05-22,27.16,27.48,27.04,27.37,26.42,739000,0.0,0.0
2020-05-26,28.4,28.77,28.08,28.59,27.6,856000,0.0,0.0
2020-05-27,28.99,29.73,28.68,29.3,28.28,923800,0.0,0.0
2020-05-28,29.42,29.62,28.53,28.66,27.67,937100,0.0,0.0
2020-05-29,28.56,28.93,28.07,28.78,27.78,1740100,0.0,0.0
2020-06-01,28.89,29.41,28.8,29.14,28.13,740700,0.0,0.0
2020-06-02,29.18,29.36,28.58,28.87,27.87,827600,0.0,0.0
2020-06-03,29.21,30.59,29.21,30.22,29.17,1326900,0.0,0.0
2020-06-04,30.03,30.43,29.58,29.94,28.91,1132000,0.0,0.0
2020-06-05,30.96,31.51,30.12,30.25,29.2,1659300,0.0,0.0
2020-06-08,30.39,32.05,30.39,31.68,30.58,2308800,0.0,0.0
2020-06-09,31.27,31.36,30.26,30.33,29.28,1187400,0.0,0.0
2020-06-10,30.13,30.25,29.12,29.73,28.7,1454400,0.0,0.0
2020-06-11,28.71,28.78,27.51,27.62,26.66,1697400,0.0,0.0
2020-06-12,28.38,28.62,27.28,27.95,26.98,1495500,0.0,0.0
2020-06-15,26.97,29.36,26.86,28.86,27.86,1310500,0.0,0.0
