Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2019-03-12,38.0,38.0,38.0,38.0,36.01,10000,0.0,0.0
2019-03-13,39.0,39.9,38.7,39.75,37.67,20477400,0.0,0.0
2019-03-14,39.75,41.4,39.75,40.65,38.52,6248600,0.0,0.0
2019-03-15,41.38,41.87,41.24,41.7,39.52,7107300,0.0,0.0
2019-03-18,41.95,41.95,41.05,41.7,39.52,4020900,0.0,0.0
2019-03-19,41.55,41.7,39.84,40.34,38.23,10118500,0.0,0.0
2019-03-20,40.49,40.81,38.24,38.62,36.6,15683200,0.0,0.0
2019-03-21,39.0,40.07,38.75,40.02,37.93,12751700,0.0,0.0
2019-03-22,39.93,39.99,37.69,38.72,36.69,10898000,0.0,0.0
2019-03-25,38.89,38.96,37.39,37.44,35.48,9338900,0.0,0.0
2019-03-26,37.65,38.28,37.51,37.54,35.58,6287100,0.0,0.0
2019-03-27,37.52,37.91,36.76,36.92,34.99,5578100,0.0,0.0
2019-03-28,36.85,37.15,36.34,36.4,34.5,5326200,0.0,0.0
2019-03-29,36.55,36.91,36.15,36.71,34.79,5895300,0.0,0.0
2019-04-01,36.91,37.15,36.71,36.85,34.92,5311200,0.0,0.0
2019-04-02,36.96,37.18,35.9,36.28,34.38,6704600,0.0,0.0
2019-04-03,36.37,36.56,35.9,36.08,34.19,8393500,0.0,0.0
2019-04-04,36.2,36.8,36.01,36.76,34.84,4908400,0.0,0.0
2019-04-05,36.79,37.85,36.69,37.68,35.71,7344900,0.0,0.0
2019-04-08,37.6,37.68,37.26,37.47,35.51,3393300,0.0,0.0
2019-04-09,37.42,37.65,37.17,37.31,35.36,5725900,0.0,0.0
2019-04-10,37.33,37.53,36.36,36.48,34.57,4828400,0.0,0.0
2019-04-11,36.57,37.16,35.99,37.09,35.15,4791400,0.0,0.0
2019-04-12,37.15,37.62,36.47,37.53,35.57,6368500,0.0,0.0
2019-04-15,37.46,37.57,36.99,37.53,35.57,3927100,0.0,0.0
2019-04-16,37.67,37.85,37.47,37.75,35.78,5722000,0.0,0.0
2019-04-17,37.87,38.85,37.76,38.84,36.81,7603800,0.0,0.0
2019-04-18,38.91,39.0,38.43,38.44,36.43,4737400,0.0,0.0
2019-04-22,38.36,38.44,37.62,37.7,35.73,7675300,0.0,0.0
2019-04-23,37.79,38.39,37.63,38.08,36.09,6328800,0.0,0.0
2019-04-24,37.95,38.31,37.81,37.96,35.97,5323500,0.0,0.0
2019-04-25,37.98,38.2,37.54,38.15,36.15,5309700,0.0,0.0
2019-04-26,38.08,38.53,37.9,38.48,36.47,5297400,0.0,0.0
2019-04-29,38.54,39.53,38.31,39.2,37.15,6885200,0.0,0.0
2019-04-30,39.19,39.33,38.47,38.99,36.95,5044400,0.0,0.0
