Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1992-01-22,0.54,0.68,0.54,0.63,0.49,168022400,0.0,0.0
1992-01-23,0.66,0.71,0.63,0.69,0.53,38368000,0.0,0.0
1992-01-24,0.7,0.73,0.67,0.7,0.54,12044800,0.0,0.0
1992-01-27,0.73,0.75,0.7,0.75,0.58,10716800,0.0,0.0
1992-01-28,0.74,0.76,0.71,0.73,0.57,19913600,0.0,0.0
1992-01-29,0.71,0.73,0.68,0.68,0.52,13238400,0.0,0.0
1992-01-30,0.69,0.7,0.61,0.61,0.47,10848000,0.0,0.0
1992-01-31,0.62,0.65,0.61,0.65,0.5,2496000,0.0,0.0
1992-02-03,0.66,0.66,0.63,0.64,0.49,2320000,0.0,0.0
1992-02-04,0.65,0.68,0.65,0.68,0.52,2499200,0.0,0.0
1992-02-05,0.68,0.68,0.66,0.66,0.51,1148800,0.0,0.0
1992-02-06,0.68,0.69,0.66,0.69,0.53,5504000,0.0,0.0
1992-02-07,0.67,0.69,0.65,0.65,0.5,4560000,0.0,0.0
1992-02-10,0.65,0.67,0.61,0.62,0.48,14140800,0.0,0.0
1992-02-11,0.62,0.62,0.56,0.56,0.43,9868800,0.0,0.0
1992-02-12,0.57,0.57,0.55,0.57,0.44,3942400,0.0,0.0
1992-02-13,0.57,0.57,0.54,0.55,0.43,3241600,0.0,0.0
1992-02-14,0.56,0.56,0.53,0.54,0.41,13753600,0.0,0.0
1992-02-18,0.55,0.55,0.48,0.49,0.38,3046400,0.0,0.0
1992-02-19,0.48,0.52,0.48,0.51,0.39,4284800,0.0,0.0
1992-02-20,0.56,0.6,0.55,0.57,0.44,4784000,0.0,0.0
1992-02-21,0.57,0.59,0.55,0.59,0.46,1865600,0.0,0.0
1992-02-24,0.59,0.64,0.59,0.6,0.46,3129600,0.0,0.0
1992-02-25,0.62,0.62,0.55,0.55,0.42,3129600,0.0,0.0
1992-02-26,0.54,0.56,0.54,0.55,0.42,1657600,0.0,0.0
1992-02-27,0.56,0.56,0.54,0.55,0.43,204800,0.0,0.0
1992-02-28,0.55,0.56,0.54,0.55,0.43,227200,0.0,0.0
1992-03-02,0.56,0.56,0.5,0.51,0.39,5177600,0.0,0.0
1992-03-03,0.52,0.54,0.5,0.54,0.42,531200,0.0,0.0
1992-03-04,0.54,0.56,0.52,0.55,0.42,464000,0.0,0.0
