Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1985-02-13,0.0,0.7,0.62,0.62,0.42,19680,0.0,0.0
1985-02-14,0.0,0.7,0.62,0.62,0.42,65920,0.0,0.0
1985-02-15,0.0,0.7,0.62,0.62,0.42,31360,0.0,0.0
1985-02-19,0.0,0.62,0.62,0.62,0.42,9120,0.0,0.0
1985-02-20,0.0,0.62,0.62,0.62,0.42,40000,0.0,0.0
1985-02-21,0.0,0.62,0.62,0.62,0.42,28960,0.0,0.0
1985-02-22,0.0,0.62,0.55,0.55,0.37,65600,0.0,0.0
1985-02-25,0.0,0.62,0.55,0.55,0.37,53600,0.0,0.0
1985-02-26,0.0,0.62,0.55,0.55,0.37,28800,0.0,0.0
1985-02-27,0.0,0.62,0.55,0.55,0.37,15200,0.0,0.0
1985-02-28,0.0,0.62,0.55,0.55,0.37,34560,0.0,0.0
1985-03-01,0.0,0.62,0.55,0.55,0.37,64000,0.0,0.0
1985-03-04,0.0,0.62,0.62,0.62,0.42,8000,0.0,0.0
1985-03-05,0.0,0.62,0.55,0.55,0.37,19200,0.0,0.0
1985-03-06,0.0,0.62,0.55,0.55,0.37,71200,0.0,0.0
1985-03-07,0.0,0.62,0.55,0.55,0.37,50560,0.0,0.0
1985-03-08,0.0,0.55,0.55,0.55,0.37,252320,0.0,0.0
1985-03-11,0.0,0.55,0.55,0.55,0.37,55200,0.0,0.0
1985-03-12,0.0,0.55,0.55,0.55,0.37,87040,0.0,0.0
1985-03-13,0.0,0.62,0.55,0.55,0.37,16480,0.0,0.0
1985-03-14,0.0,0.62,0.55,0.55,0.37,8320,0.0,0.0
1985-03-15,0.0,0.62,0.55,0.55,0.37,8800,0.0,0.0
1985-03-18,0.0,0.62,0.62,0.62,0.42,58880,0.0,0.0
1985-03-19,0.0,0.7,0.7,0.7,0.47,150240,0.0,0.0
1985-03-20,0.0,0.7,0.62,0.62,0.42,58880,0.0,0.0
1985-03-21,0.0,0.7,0.62,0.62,0.42,46880,0.0,0.0
1985-03-22,0.0,0.7,0.7,0.7,0.47,25600,0.0,0.0
1985-03-25,0.0,0.7,0.62,0.62,0.42,47840,0.0,0.0
1985-03-26,0.0,0.7,0.62,0.62,0.42,25600,0.0,0.0
1985-03-27,0.0,0.7,0.62,0.62,0.42,7840,0.0,0.0
1985-03-28,0.0,0.7,0.62,0.62,0.42,46080,0.0,0.0
1985-03-29,0.0,0.7,0.62,0.62,0.42,19360,0.0,0.0
1985-04-01,0.0,0.7,0.62,0.62,0.42,54720,0.0,0.0
1985-04-02,0.0,0.62,0.62,0.62,0.42,76000,0.0,0.0
1985-04-03,0.0,0.62,0.62,0.62,0.42,13280,0.0,0.0
1985-04-04,0.0,0.62,0.62,0.62,0.42,76000,0.0,0.0
1985-04-08,0.62,0.62,0.62,0.62,0.42,0,0.0,0.0
1985-04-09,0.0,0.62,0.55,0.55,0.37,19040,0.0,0.0
1985-04-10,0.0,0.62,0.55,0.55,0.37,13440,0.0,0.0
1985-04-11,0.0,0.62,0.55,0.55,0.37,30880,0.0,0.0
1985-04-12,0.0,0.62,0.55,0.55,0.37,28160,0.0,0.0
1985-04-15,0.0,0.62,0.55,0.55,0.37,41760,0.0,0.0
1985-04-16,0.0,0.62,0.62,0.62,0.42,16640,0.0,0.0
1985-04-17,0.0,0.62,0.62,0.62,0.42,41600,0.0,0.0
1985-04-18,0.0,0.62,0.55,0.62,0.42,3200,0.0,0.0
1985-04-19,0.0,0.7,0.62,0.7,0.47,7680,0.0,0.0
1985-04-22,0.0,0.62,0.62,0.62,0.42,51360,0.0,0.0
1985-04-23,0.0,0.62,0.62,0.62,0.42,37440,0.0,0.0
1985-04-24,0.0,0.62,0.55,0.62,0.42,24160,0.0,0.0
1985-04-25,0.0,0.62,0.55,0.62,0.42,73920,0.0,0.0
1985-04-26,0.0,0.62,0.55,0.55,0.37,9600,0.0,0.0
1985-04-29,0.0,0.62,0.55,0.62,0.42,420160,0.0,0.0
1985-04-30,0.0,0.62,0.62,0.62,0.42,28320,0.0,0.0
1985-05-01,0.0,0.62,0.62,0.62,0.42,12640,0.0,0.0
1985-05-02,0.0,0.62,0.55,0.62,0.42,12160,0.0,0.0
1985-05-03,0.0,0.62,0.62,0.62,0.42,39040,0.0,0.0
1985-05-06,0.0,0.62,0.55,0.55,0.37,79360,0.0,0.0
1985-05-07,0.0,0.62,0.55,0.62,0.42,13120,0.0,0.0
1985-05-08,0.0,0.62,0.55,0.55,0.37,18080,0.0,0.0
1985-05-09,0.0,0.62,0.55,0.62,0.42,102400,0.0,0.0
1985-05-10,0.0,0.62,0.55,0.62,0.42,69920,0.0,0.0
1985-05-13,0.0,0.62,0.55,0.62,0.42,19680,0.0,0.0
1985-05-14,0.0,0.62,0.62,0.62,0.42,294240,0.0,0.0
1985-05-15,0.0,0.62,0.62,0.62,0.42,22240,0.0,0.0
1985-05-16,0.0,0.62,0.62,0.62,0.42,36960,0.0,0.0
1985-05-17,0.0,0.62,0.62,0.62,0.42,51840,0.0,0.0
1985-05-20,0.0,0.7,0.62,0.62,0.42,58240,0.0,0.0
1985-05-21,0.0,0.7,0.62,0.62,0.42,136320,0.0,0.0
1985-05-22,0.0,0.7,0.62,0.62,0.42,20320,0.0,0.0
1985-05-23,0.0,0.62,0.62,0.62,0.42,20800,0.0,0.0
1985-05-24,0.0,0.62,0.62,0.62,0.42,81600,0.0,0.0
