Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2000-12-08,7.91,11.44,7.56,10.0,5.56,17149800,0.0,0.0
2000-12-11,11.34,11.38,9.94,10.59,5.89,2919200,0.0,0.0
2000-12-12,10.61,10.62,9.69,9.94,5.52,1077400,0.0,0.0
2000-12-13,10.38,10.44,9.88,9.94,5.52,422400,0.0,0.0
2000-12-14,9.99,10.12,9.94,10.06,5.59,265400,0.0,0.0
2000-12-15,10.12,10.12,9.0,10.06,5.59,950200,0.0,0.0
2000-12-18,10.25,10.25,9.72,10.03,5.57,483600,0.0,0.0
2000-12-19,10.02,10.03,9.62,9.81,5.45,457400,0.0,0.0
2000-12-20,9.69,9.81,9.0,9.12,5.07,1228800,0.0,0.0
2000-12-21,9.03,9.25,8.88,9.09,5.05,1017400,0.0,0.0
2000-12-22,9.31,9.69,9.25,9.62,5.35,416000,0.0,0.0
2000-12-26,9.66,9.69,9.44,9.5,5.28,754000,0.0,0.0
2000-12-27,9.45,9.56,9.12,9.28,5.16,361400,0.0,0.0
2000-12-28,9.31,9.69,9.16,9.31,5.17,1048600,0.0,0.0
2000-12-29,9.5,10.06,9.38,9.88,5.49,232800,0.0,0.0
2001-01-02,10.09,10.12,9.34,9.62,5.35,330400,0.0,0.0
2001-01-03,9.39,9.69,8.75,8.81,4.9,545400,0.0,0.0
2001-01-04,8.97,9.5,8.81,9.03,5.02,287600,0.0,0.0
2001-01-05,9.05,9.25,8.88,9.06,5.04,962000,0.0,0.0
2001-01-08,9.0,9.09,8.75,8.75,4.86,631000,0.0,0.0
2001-01-09,8.95,9.0,8.5,8.62,4.79,821800,0.0,0.0
2001-01-10,8.59,8.62,8.38,8.5,4.72,976800,0.0,0.0
2001-01-11,8.52,9.25,8.5,9.09,5.05,1357000,0.0,0.0
2001-01-12,9.3,9.62,9.25,9.56,5.31,566200,0.0,0.0
2001-01-16,9.81,10.25,9.44,9.5,5.28,663200,0.0,0.0
2001-01-17,9.55,9.94,9.44,9.69,5.38,486000,0.0,0.0
2001-01-18,9.74,9.75,9.25,9.5,5.28,292800,0.0,0.0
2001-01-19,9.53,9.62,9.12,9.19,5.1,254200,0.0,0.0
2001-01-22,9.31,9.31,8.81,8.94,4.97,764600,0.0,0.0
2001-01-23,9.12,9.19,8.94,8.94,4.97,442600,0.0,0.0
2001-01-24,8.95,9.0,8.47,8.5,4.72,1197200,0.0,0.0
2001-01-25,8.62,9.0,8.12,8.94,4.97,985800,0.0,0.0
2001-01-26,8.75,9.69,8.69,9.31,5.17,249000,0.0,0.0
2001-01-29,9.49,10.0,9.31,9.97,5.54,206600,0.0,0.0
2001-01-30,9.97,10.03,9.47,10.03,5.57,188800,0.0,0.0
2001-01-31,9.88,10.03,9.69,9.72,5.4,84200,0.0,0.0
2001-02-01,9.69,10.03,9.69,9.94,5.52,100600,0.0,0.0
2001-02-02,10.03,10.88,10.0,10.81,6.01,477200,0.0,0.0
2001-02-05,11.03,12.19,10.88,11.94,6.63,562400,0.0,0.0
2001-02-06,12.12,12.84,11.94,12.38,6.88,585600,0.0,0.0
2001-02-07,12.06,12.5,11.94,12.19,6.77,189400,0.0,0.0
2001-02-08,12.13,12.69,12.12,12.56,6.98,451400,0.0,0.0
2001-02-09,12.53,12.59,12.0,12.0,6.67,730200,0.0,0.0
2001-02-12,12.12,12.19,11.75,11.75,6.53,2362200,0.0,0.0
2001-02-13,11.91,12.31,11.69,12.19,6.77,228600,0.0,0.0
2001-02-14,12.25,12.31,10.69,11.12,6.18,1363600,0.0,0.0
2001-02-15,11.38,11.5,10.38,10.62,5.9,359400,0.0,0.0
2001-02-16,10.59,11.19,10.06,10.69,5.94,264200,0.0,0.0
2001-02-20,11.0,11.0,9.56,9.81,5.45,391400,0.0,0.0
2001-02-21,9.63,10.06,9.44,9.81,5.45,196800,0.0,0.0
2001-02-22,9.8,9.81,9.28,9.28,5.16,197400,0.0,0.0
2001-02-23,9.25,10.28,9.19,10.25,5.7,122800,0.0,0.0
2001-02-26,10.25,10.75,10.23,10.61,5.89,118600,0.0,0.0
2001-02-27,10.75,11.0,10.69,11.0,6.11,271800,0.0,0.0
2001-02-28,11.06,11.06,10.91,10.94,6.08,142600,0.0,0.0
2001-03-01,10.88,10.94,9.44,10.0,5.56,232000,0.0,0.0
2001-03-02,10.09,10.12,9.62,10.06,5.59,167000,0.0,0.0
2001-03-05,10.25,10.56,10.09,10.44,5.8,110000,0.0,0.0
2001-03-06,10.5,10.69,10.0,10.0,5.56,257000,0.0,0.0
2001-03-07,10.36,10.44,10.03,10.31,5.73,175800,0.0,0.0
2001-03-08,10.38,10.38,9.75,9.94,5.52,137000,0.0,0.0
2001-03-09,9.98,10.25,9.75,9.81,5.45,140000,0.0,0.0
2001-03-12,9.62,9.81,9.06,9.06,5.04,255000,0.0,0.0
2001-03-13,9.19,9.5,9.09,9.44,5.24,229200,0.0,0.0
2001-03-14,9.25,10.12,9.12,9.91,5.5,184000,0.0,0.0
2001-03-15,9.97,10.25,9.94,10.12,5.63,57200,0.0,0.0
2001-03-16,10.19,10.19,9.84,9.84,5.47,75800,0.0,0.0
2001-03-19,9.84,9.88,9.44,9.69,5.38,120800,0.0,0.0
2001-03-20,9.75,10.25,9.56,9.56,5.31,309800,0.0,0.0
2001-03-21,9.56,10.06,9.56,9.97,5.54,75200,0.0,0.0
2001-03-22,10.05,10.06,9.62,9.81,5.45,126800,0.0,0.0
2001-03-23,10.0,10.31,9.81,10.0,5.56,339800,0.0,0.0
2001-03-26,10.0,10.31,9.94,10.12,5.63,491400,0.0,0.0
2001-03-27,9.94,10.12,9.88,9.88,5.49,230800,0.0,0.0
2001-03-28,9.81,9.94,9.0,9.38,5.21,172400,0.0,0.0
2001-03-29,9.38,9.56,9.06,9.53,5.3,129600,0.0,0.0
2001-03-30,9.5,10.0,9.5,9.94,5.52,97200,0.0,0.0
2001-04-02,9.69,10.0,9.69,9.88,5.49,125000,0.0,0.0
2001-04-03,10.0,10.06,9.25,9.25,5.14,224600,0.0,0.0
2001-04-04,9.44,10.12,9.19,10.03,5.57,190000,0.0,0.0
2001-04-05,10.12,10.19,9.97,10.12,5.63,109600,0.0,0.0
2001-04-06,10.06,10.06,9.5,9.56,5.31,138800,0.0,0.0
2001-04-09,9.46,9.46,8.98,9.12,5.07,801400,0.0,0.0
2001-04-10,9.32,9.38,9.23,9.27,5.15,488200,0.0,0.0
2001-04-11,9.45,9.45,9.13,9.16,5.09,347600,0.0,0.0
2001-04-12,9.1,9.25,9.05,9.05,5.03,120000,0.0,0.0
2001-04-16,9.05,9.22,8.95,9.02,5.01,149600,0.0,0.0
2001-04-17,9.08,9.25,9.08,9.2,5.11,80600,0.0,0.0
2001-04-18,9.27,9.5,8.9,9.0,5.0,599400,0.0,0.0
