Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1980-03-17,0.0,0.11,0.11,0.11,0.05,11391,0.0,0.0
1980-03-18,0.0,0.1,0.1,0.1,0.05,28477,0.0,0.0
1980-03-19,0.0,0.11,0.1,0.11,0.06,96820,0.0,0.0
1980-03-20,0.0,0.11,0.11,0.11,0.06,17086,0.0,0.0
1980-03-21,0.0,0.11,0.11,0.11,0.05,5695,0.0,0.0
1980-03-24,0.0,0.1,0.1,0.1,0.05,45563,0.0,0.0
1980-03-25,0.0,0.1,0.09,0.09,0.05,68344,0.0,0.0
1980-03-26,0.0,0.09,0.09,0.09,0.05,5695,0.0,0.0
1980-03-27,0.0,0.09,0.08,0.08,0.04,74039,0.0,0.0
1980-03-28,0.0,0.09,0.08,0.09,0.04,130992,0.0,0.0
1980-03-31,0.0,0.09,0.08,0.09,0.05,153773,0.0,0.0
1980-04-01,0.09,0.09,0.09,0.09,0.05,0,0.0,0.0
1980-04-02,0.0,0.09,0.09,0.09,0.05,11391,0.0,0.0
1980-04-03,0.0,0.09,0.09,0.09,0.05,34172,0.0,0.0
1980-04-07,0.09,0.09,0.09,0.09,0.05,0,0.0,0.0
1980-04-08,0.0,0.09,0.09,0.09,0.05,5695,0.0,0.0
1980-04-09,0.0,0.09,0.09,0.09,0.05,5695,0.0,0.0
1980-04-10,0.0,0.1,0.09,0.1,0.05,68344,0.0,0.0
1980-04-11,0.0,0.1,0.1,0.1,0.05,28477,0.0,0.0
1980-04-14,0.0,0.1,0.1,0.1,0.05,56953,0.0,0.0
1980-04-15,0.0,0.1,0.09,0.09,0.05,113906,0.0,0.0
1980-04-16,0.0,0.09,0.09,0.09,0.05,5695,0.0,0.0
1980-04-17,0.0,0.09,0.09,0.09,0.05,68344,0.0,0.0
1980-04-18,0.0,0.09,0.09,0.09,0.05,56953,0.0,0.0
1980-04-21,0.0,0.1,0.09,0.09,0.05,62648,0.0,0.0
1980-04-22,0.0,0.11,0.09,0.11,0.05,392977,0.0,0.0
1980-04-23,0.0,0.11,0.11,0.11,0.06,51258,0.0,0.0
1980-04-24,0.0,0.12,0.11,0.12,0.06,239203,0.0,0.0
1980-04-25,0.0,0.12,0.11,0.11,0.06,79734,0.0,0.0
1980-04-28,0.0,0.12,0.11,0.12,0.06,91125,0.0,0.0
1980-04-29,0.0,0.12,0.12,0.12,0.06,62648,0.0,0.0
1980-04-30,0.0,0.12,0.11,0.11,0.06,45563,0.0,0.0
1980-05-01,0.0,0.11,0.11,0.11,0.06,56953,0.0,0.0
1980-05-02,0.0,0.11,0.11,0.11,0.06,68344,0.0,0.0
1980-05-05,0.0,0.11,0.11,0.11,0.06,28477,0.0,0.0
1980-05-06,0.0,0.12,0.11,0.11,0.06,108211,0.0,0.0
1980-05-07,0.0,0.12,0.11,0.11,0.06,17086,0.0,0.0
1980-05-08,0.0,0.11,0.11,0.11,0.06,28477,0.0,0.0
1980-05-09,0.0,0.11,0.11,0.11,0.06,5695,0.0,0.0
1980-05-12,0.0,0.12,0.11,0.12,0.06,17086,0.0,0.0
1980-05-13,0.0,0.11,0.11,0.11,0.06,5695,0.0,0.0
1980-05-14,0.0,0.12,0.11,0.11,0.06,22781,0.0,0.0
1980-05-15,0.11,0.11,0.11,0.11,0.06,0,0.0,0.0
1980-05-16,0.0,0.11,0.11,0.11,0.06,17086,0.0,0.0
1980-05-19,0.0,0.11,0.11,0.11,0.06,17086,0.0,0.0
1980-05-20,0.0,0.12,0.11,0.12,0.06,39867,0.0,0.0
1980-05-21,0.12,0.12,0.12,0.12,0.06,0,0.0,0.0
1980-05-22,0.0,0.11,0.11,0.11,0.06,74039,0.0,0.0
1980-05-23,0.0,0.11,0.11,0.11,0.06,5695,0.0,0.0
1980-05-27,0.0,0.12,0.11,0.12,0.06,108211,0.0,0.0
1980-05-28,0.0,0.11,0.11,0.11,0.06,34172,0.0,0.0
1980-05-29,0.0,0.12,0.11,0.12,0.06,113906,0.0,0.0
1980-05-30,0.0,0.12,0.11,0.12,0.06,51258,0.0,0.0
1980-06-02,0.0,0.12,0.11,0.11,0.06,39867,0.0,0.0
1980-06-03,0.0,0.11,0.11,0.11,0.06,28477,0.0,0.0
1980-06-04,0.0,0.12,0.11,0.12,0.06,159469,0.0,0.0
1980-06-05,0.0,0.13,0.12,0.12,0.06,467016,0.0,0.0
1980-06-06,0.0,0.12,0.12,0.12,0.06,11391,0.0,0.0
1980-06-09,0.0,0.12,0.12,0.12,0.06,85430,0.0,0.0
1980-06-10,0.0,0.12,0.12,0.12,0.06,51258,0.0,0.0
1980-06-11,0.0,0.12,0.11,0.11,0.06,17086,0.0,0.0
1980-06-12,0.0,0.12,0.11,0.12,0.06,85430,0.0,0.0
1980-06-13,0.0,0.11,0.11,0.11,0.06,68344,0.0,0.0
1980-06-16,0.11,0.11,0.11,0.11,0.06,0,0.0,0.0
