Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1962-01-02,0.0,8.33,8.27,8.31,1.1,40740,0.0,0.0
1962-01-03,0.0,8.4,8.33,8.4,1.12,83483,0.0,0.0
1962-01-04,0.0,8.53,8.42,8.46,1.12,74801,0.0,0.0
1962-01-05,0.0,8.53,8.42,8.44,1.12,42744,0.0,0.0
1962-01-08,0.0,8.53,8.35,8.48,1.13,90830,0.0,0.0
1962-01-09,0.0,8.52,8.42,8.46,1.12,62780,0.0,0.0
1962-01-10,0.0,8.46,8.27,8.29,1.1,38736,0.0,0.0
1962-01-11,0.0,8.31,8.2,8.29,1.1,46751,0.0,0.0
1962-01-12,0.0,8.35,8.2,8.22,1.09,30054,0.0,0.0
1962-01-15,0.0,8.22,8.01,8.07,1.07,36733,0.0,0.0
1962-01-16,0.0,8.07,7.95,7.95,1.06,26047,0.0,0.0
1962-01-17,0.0,7.97,7.95,7.97,1.06,39404,0.0,0.0
1962-01-18,0.0,7.97,7.95,7.97,1.06,31390,0.0,0.0
1962-01-19,0.0,8.01,7.97,7.97,1.06,38068,0.0,0.0
1962-01-22,0.0,7.97,7.88,7.88,1.05,50758,0.0,0.0
1962-01-23,0.0,7.9,7.86,7.88,1.05,43411,0.0,0.0
1962-01-24,0.0,7.82,7.73,7.8,1.04,48754,0.0,0.0
1962-01-25,0.0,7.82,7.79,7.79,1.03,41408,0.0,0.0
1962-01-26,0.0,7.79,7.71,7.71,1.02,54765,0.0,0.0
1962-01-29,0.0,7.77,7.67,7.73,1.03,32058,0.0,0.0
1962-01-30,0.0,7.84,7.75,7.84,1.04,34729,0.0,0.0
1962-01-31,0.0,7.97,7.8,7.95,1.06,60776,0.0,0.0
1962-02-01,0.0,8.03,7.88,7.95,1.06,66119,0.0,0.0
1962-02-02,0.0,8.01,7.92,7.97,1.06,36733,0.0,0.0
1962-02-05,0.0,8.05,7.95,8.05,1.07,50090,0.0,0.0
1962-02-06,0.0,8.03,7.99,8.03,1.08,38736,0.07,0.0
1962-02-07,0.0,8.12,7.99,8.12,1.09,57437,0.0,0.0
1962-02-08,0.0,8.16,8.09,8.12,1.09,71462,0.0,0.0
1962-02-09,0.0,8.14,8.1,8.1,1.09,35397,0.0,0.0
1962-02-12,0.0,8.12,8.09,8.1,1.09,20704,0.0,0.0
1962-02-13,0.0,8.1,8.05,8.05,1.08,48086,0.0,0.0
1962-02-14,0.0,8.05,7.88,7.88,1.06,40072,0.0,0.0
1962-02-15,0.0,7.95,7.8,7.9,1.06,54765,0.0,0.0
1962-02-16,0.0,7.94,7.82,7.84,1.05,94169,0.0,0.0
1962-02-19,0.0,8.01,7.86,7.88,1.06,66787,0.0,0.0
1962-02-20,0.0,7.86,7.8,7.84,1.05,57437,0.0,0.0
1962-02-21,0.0,7.79,7.67,7.69,1.03,83483,0.0,0.0
1962-02-23,0.0,7.71,7.52,7.56,1.01,106859,0.0,0.0
1962-02-26,0.0,7.6,7.39,7.43,1.0,112870,0.0,0.0
1962-02-27,0.0,7.64,7.43,7.56,1.01,96173,0.0,0.0
1962-02-28,0.0,7.73,7.6,7.73,1.04,103520,0.0,0.0
1962-03-01,0.0,7.77,7.65,7.71,1.03,96841,0.0,0.0
1962-03-02,0.0,7.73,7.67,7.67,1.03,68123,0.0,0.0
1962-03-05,0.0,7.71,7.56,7.6,1.02,80812,0.0,0.0
1962-03-06,0.0,7.6,7.45,7.49,1.0,84151,0.0,0.0
1962-03-07,0.0,7.49,7.34,7.37,0.99,100848,0.0,0.0
1962-03-08,0.0,7.56,7.34,7.51,1.01,49422,0.0,0.0
1962-03-09,0.0,7.6,7.51,7.54,1.01,60776,0.0,0.0
1962-03-12,0.0,7.54,7.41,7.41,0.99,68790,0.0,0.0
1962-03-13,0.0,7.56,7.41,7.51,1.01,72130,0.0,0.0
1962-03-14,0.0,7.56,7.3,7.52,1.01,116209,0.0,0.0
1962-03-15,0.0,7.51,7.43,7.47,1.0,94169,0.0,0.0
1962-03-16,0.0,7.52,7.45,7.47,1.0,74133,0.0,0.0
1962-03-19,0.0,7.47,7.37,7.47,1.0,60776,0.0,0.0
1962-03-20,0.0,7.47,7.43,7.47,1.0,33393,0.0,0.0
1962-03-21,0.0,7.45,7.36,7.37,0.99,79476,0.0,0.0
1962-03-22,0.0,7.39,7.3,7.3,0.98,70126,0.0,0.0
1962-03-23,0.0,7.36,7.24,7.24,0.97,126895,0.0,0.0
1962-03-26,0.0,7.3,7.19,7.19,0.96,55433,0.0,0.0
1962-03-27,0.0,7.22,7.09,7.09,0.95,80812,0.0,0.0
1962-03-28,0.0,7.09,6.93,7.09,0.95,106191,0.0,0.0
1962-03-29,0.0,7.15,6.94,7.02,0.94,170306,0.0,0.0
1962-03-30,0.0,7.02,6.93,7.0,0.94,56101,0.0,0.0
1962-04-02,0.0,6.94,6.81,6.89,0.92,122220,0.0,0.0
1962-04-03,0.0,6.93,6.85,6.85,0.92,94169,0.0,0.0
1962-04-04,0.0,6.93,6.81,6.81,0.91,58772,0.0,0.0
1962-04-05,0.0,6.96,6.79,6.94,0.93,89494,0.0,0.0
1962-04-06,0.0,7.04,6.93,7.0,0.94,72130,0.0,0.0
1962-04-09,0.0,6.96,6.89,6.89,0.92,62780,0.0,0.0
1962-04-10,0.0,6.96,6.89,6.96,0.93,52094,0.0,0.0
1962-04-11,0.0,7.02,6.91,6.96,0.93,76137,0.0,0.0
1962-04-12,0.0,6.94,6.83,6.89,0.92,52094,0.0,0.0
1962-04-13,0.0,6.96,6.81,6.94,0.93,37401,0.0,0.0
1962-04-16,0.0,6.94,6.85,6.85,0.92,64115,0.0,0.0
1962-04-17,0.0,6.96,6.85,6.96,0.93,50758,0.0,0.0
1962-04-18,0.0,7.02,6.89,6.89,0.92,79476,0.0,0.0
1962-04-19,0.0,6.89,6.81,6.89,0.92,110866,0.0,0.0
1962-04-23,0.0,6.91,6.81,6.83,0.92,71462,0.0,0.0
1962-04-24,0.0,6.85,6.74,6.79,0.91,92834,0.0,0.0
1962-04-25,0.0,6.76,6.48,6.61,0.88,144259,0.0,0.0
1962-04-26,0.0,6.63,6.48,6.55,0.88,87491,0.0,0.0
1962-04-27,0.0,6.66,6.46,6.51,0.87,128231,0.0,0.0
1962-04-30,0.0,6.63,6.51,6.57,0.88,68123,0.0,0.0
1962-05-01,0.0,6.68,6.44,6.66,0.89,99512,0.0,0.0
1962-05-02,0.0,6.72,6.61,6.64,0.89,74133,0.0,0.0
1962-05-03,0.0,6.78,6.68,6.74,0.9,107527,0.0,0.0
1962-05-04,0.0,6.72,6.61,6.68,0.89,38736,0.0,0.0
1962-05-07,0.0,6.74,6.59,6.68,0.89,75469,0.0,0.0
