Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1962-01-02,7.37,7.37,7.29,7.29,1.63,407940,0.0,0.0
1962-01-03,7.29,7.36,7.29,7.36,1.65,305955,0.0,0.0
1962-01-04,7.36,7.36,7.28,7.28,1.63,274575,0.0,0.0
1962-01-05,7.27,7.27,7.13,7.14,1.6,384405,0.0,0.0
1962-01-08,7.13,7.13,6.95,7.0,1.57,572685,0.0,0.0
1962-01-09,7.04,7.18,7.04,7.09,1.59,517770,0.0,0.0
1962-01-10,7.1,7.13,7.1,7.1,1.59,313800,0.0,0.0
1962-01-11,7.12,7.18,7.12,7.18,1.61,337335,0.0,0.0
1962-01-12,7.19,7.24,7.19,7.19,1.61,462855,0.0,0.0
1962-01-15,7.21,7.24,7.21,7.22,1.62,266730,0.0,0.0
1962-01-16,7.21,7.21,7.14,7.14,1.6,266730,0.0,0.0
1962-01-17,7.11,7.11,7.01,7.03,1.57,439320,0.0,0.0
1962-01-18,7.05,7.12,7.05,7.05,1.58,392250,0.0,0.0
1962-01-19,7.05,7.07,6.97,7.06,1.58,423630,0.0,0.0
1962-01-22,7.06,7.13,7.04,7.04,1.58,290265,0.0,0.0
1962-01-23,7.04,7.05,6.96,6.97,1.56,392250,0.0,0.0
1962-01-24,6.97,7.01,6.94,7.01,1.57,431475,0.0,0.0
1962-01-25,7.01,7.07,6.92,6.93,1.55,337335,0.0,0.0
1962-01-26,6.93,6.96,6.9,6.9,1.55,258885,0.0,0.0
1962-01-29,6.9,6.95,6.78,6.78,1.52,611910,0.0,0.0
1962-01-30,6.78,6.82,6.7,6.7,1.5,776655,0.0,0.0
1962-01-31,6.76,6.91,6.76,6.91,1.55,800190,0.0,0.0
1962-02-01,6.98,7.09,6.98,7.07,1.58,674670,0.0,0.0
1962-02-02,7.07,7.11,7.04,7.11,1.59,533460,0.0,0.0
1962-02-05,7.11,7.11,6.99,7.02,1.57,329490,0.0,0.0
1962-02-06,7.02,7.04,7.0,7.03,1.57,274575,0.0,0.0
1962-02-07,7.04,7.07,7.04,7.04,1.58,266730,0.0,0.0
1962-02-08,7.04,7.07,7.04,7.04,1.58,23535,0.0,0.0
1962-02-09,7.04,7.09,7.01,7.09,1.59,455010,0.0,0.0
1962-02-12,7.09,7.15,7.09,7.1,1.59,298110,0.0,0.0
1962-02-13,7.1,7.11,6.99,6.99,1.56,274575,0.0,0.0
1962-02-14,6.99,7.01,6.96,6.97,1.56,219660,0.0,0.0
1962-02-15,6.97,6.97,6.94,6.95,1.56,243195,0.0,0.0
1962-02-16,6.95,6.97,6.94,6.94,1.55,235350,0.0,0.0
1962-02-19,6.94,6.97,6.86,6.87,1.54,298110,0.0,0.0
1962-02-20,6.87,6.91,6.87,6.87,1.54,305955,0.0,0.0
1962-02-21,6.87,6.92,6.82,6.82,1.53,384405,0.0,0.0
1962-02-23,6.83,6.86,6.83,6.85,1.53,305955,0.0,0.0
1962-02-26,6.85,6.85,6.81,6.82,1.53,313800,0.0,0.0
1962-02-27,6.82,6.88,6.78,6.83,1.53,368715,0.0,0.0
1962-02-28,6.83,6.85,6.79,6.85,1.53,282420,0.0,0.0
1962-03-01,6.87,6.93,6.87,6.93,1.55,298110,0.0,0.0
1962-03-02,6.99,7.02,6.99,6.99,1.56,258885,0.0,0.0
1962-03-05,6.99,6.99,6.93,6.96,1.56,376560,0.0,0.0
1962-03-06,6.96,6.99,6.95,6.97,1.56,196125,0.0,0.0
1962-03-07,6.97,6.99,6.95,6.99,1.57,133365,0.0,0.0
1962-03-08,6.99,7.0,6.95,7.0,1.57,196125,0.0,0.0
1962-03-09,7.01,7.05,7.01,7.05,1.58,305955,0.0,0.0
1962-03-12,7.05,7.07,7.02,7.04,1.58,298110,0.0,0.0
1962-03-13,7.04,7.04,7.01,7.04,1.58,133365,0.0,0.0
1962-03-14,7.04,7.06,7.01,7.02,1.57,211815,0.0,0.0
1962-03-15,7.02,7.06,7.01,7.01,1.57,258885,0.0,0.0
1962-03-16,7.01,7.04,7.01,7.04,1.58,172590,0.0,0.0
1962-03-19,7.06,7.09,7.06,7.06,1.58,392250,0.0,0.0
1962-03-20,7.05,7.05,7.02,7.02,1.57,172590,0.0,0.0
1962-03-21,7.02,7.04,7.0,7.02,1.57,274575,0.0,0.0
1962-03-22,7.0,7.0,6.95,6.95,1.56,251040,0.0,0.0
1962-03-23,6.95,6.99,6.95,6.97,1.56,196125,0.0,0.0
1962-03-26,6.97,7.0,6.96,6.97,1.56,141210,0.0,0.0
1962-03-27,6.95,6.95,6.83,6.84,1.53,368715,0.0,0.0
1962-03-28,6.85,6.9,6.85,6.88,1.54,345180,0.0,0.0
1962-03-29,6.88,6.91,6.86,6.86,1.54,243195,0.0,0.0
1962-03-30,6.85,6.85,6.76,6.79,1.52,462855,0.0,0.0
1962-04-02,6.79,6.79,6.7,6.7,1.5,392250,0.0,0.0
1962-04-03,6.69,6.69,6.46,6.53,1.46,957090,0.0,0.0
1962-04-04,6.53,6.59,6.5,6.5,1.46,682515,0.0,0.0
1962-04-05,6.54,6.64,6.54,6.64,1.49,957090,0.0,0.0
1962-04-06,6.64,6.69,6.59,6.63,1.49,455010,0.0,0.0
1962-04-09,6.63,6.67,6.59,6.64,1.49,23535,0.0,0.0
1962-04-10,6.64,6.67,6.6,6.67,1.49,274575,0.0,0.0
1962-04-11,6.67,6.72,6.58,6.58,1.47,556995,0.0,0.0
1962-04-12,6.58,6.59,6.51,6.51,1.46,423630,0.0,0.0
1962-04-13,6.51,6.6,6.5,6.6,1.48,658980,0.0,0.0
1962-04-16,6.6,6.65,6.53,6.6,1.48,533460,0.0,0.0
1962-04-17,6.6,6.63,6.56,6.63,1.48,313800,0.0,0.0
1962-04-18,6.63,6.69,6.61,6.62,1.48,447165,0.0,0.0
1962-04-19,6.62,6.64,6.59,6.62,1.48,407940,0.0,0.0
1962-04-23,6.62,6.62,6.58,6.61,1.48,329490,0.0,0.0
1962-04-24,6.61,6.65,6.6,6.6,1.48,478545,0.0,0.0
1962-04-25,6.6,6.63,6.53,6.53,1.46,486390,0.0,0.0
1962-04-26,6.53,6.53,6.37,6.37,1.43,972780,0.0,0.0
1962-04-27,6.37,6.44,6.12,6.19,1.39,1710210,0.0,0.0
1962-04-30,6.19,6.25,5.74,5.79,1.3,2455485,0.0,0.0
1962-05-01,5.79,5.92,5.48,5.89,1.32,5562105,0.0,0.0
1962-05-02,5.99,6.17,5.99,6.02,1.35,2675145,0.0,0.0
1962-05-03,6.02,6.17,5.98,6.15,1.38,1427790,0.0,0.0
1962-05-04,6.15,6.2,6.09,6.2,1.39,815880,0.0,0.0
1962-05-07,6.2,6.24,6.06,6.06,1.36,870795,0.0,0.0
1962-05-08,6.05,6.05,5.86,5.86,1.31,1082610,0.0,0.0
1962-05-09,5.86,5.91,5.74,5.75,1.29,1678830,0.0,0.0
1962-05-10,5.75,5.86,5.72,5.77,1.29,2000475,0.0,0.0
1962-05-11,5.77,5.86,5.66,5.69,1.27,1984785,0.0,0.0
1962-05-14,5.69,5.79,5.59,5.79,1.3,2855580,0.0,0.0
1962-05-15,5.79,5.9,5.76,5.76,1.29,1765125,0.0,0.0
1962-05-16,5.76,5.86,5.76,5.83,1.31,925710,0.0,0.0
1962-05-17,5.83,5.83,5.7,5.72,1.28,1019850,0.0,0.0
1962-05-18,5.72,5.76,5.68,5.76,1.29,768810,0.0,0.0
1962-05-21,5.76,5.76,5.69,5.74,1.29,415785,0.0,0.0
1962-05-22,5.73,5.73,5.54,5.54,1.24,1051230,0.0,0.0
1962-05-23,5.54,5.58,5.29,5.29,1.19,3028170,0.0,0.0
