Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1980-03-17,0.33,0.33,0.33,0.33,0.19,10924800,0.0,0.0
1980-03-18,0.33,0.33,0.32,0.32,0.19,17068800,0.0,0.0
1980-03-19,0.33,0.34,0.33,0.33,0.19,18508800,0.0,0.0
1980-03-20,0.33,0.33,0.33,0.33,0.19,11174400,0.0,0.0
1980-03-21,0.32,0.32,0.32,0.32,0.18,12172800,0.0,0.0
1980-03-24,0.32,0.32,0.31,0.31,0.18,8966400,0.0,0.0
1980-03-25,0.31,0.32,0.31,0.31,0.18,11347200,0.0,0.0
1980-03-26,0.31,0.32,0.31,0.31,0.18,16262400,0.0,0.0
1980-03-27,0.3,0.3,0.3,0.3,0.17,26918400,0.0,0.0
1980-03-28,0.31,0.32,0.31,0.31,0.18,20102400,0.0,0.0
1980-03-31,0.32,0.33,0.32,0.32,0.19,9004800,0.0,0.0
1980-04-01,0.32,0.33,0.32,0.32,0.19,8179200,0.0,0.0
1980-04-02,0.33,0.33,0.33,0.33,0.19,12556800,0.0,0.0
1980-04-03,0.32,0.32,0.32,0.32,0.18,6988800,0.0,0.0
1980-04-07,0.32,0.32,0.31,0.31,0.18,13478400,0.0,0.0
1980-04-08,0.31,0.32,0.31,0.31,0.18,29184000,0.0,0.0
1980-04-09,0.31,0.31,0.31,0.31,0.18,11558400,0.0,0.0
1980-04-10,0.31,0.31,0.3,0.3,0.18,14784000,0.0,0.0
1980-04-11,0.3,0.31,0.3,0.3,0.18,9523200,0.0,0.0
1980-04-14,0.31,0.31,0.31,0.31,0.18,8025600,0.0,0.0
1980-04-15,0.31,0.31,0.3,0.3,0.18,10598400,0.0,0.0
1980-04-16,0.3,0.3,0.29,0.29,0.17,10752000,0.0,0.0
1980-04-17,0.29,0.29,0.29,0.29,0.17,17702400,0.0,0.0
1980-04-18,0.29,0.3,0.29,0.29,0.17,18739200,0.0,0.0
1980-04-21,0.29,0.29,0.29,0.29,0.17,9043200,0.0,0.0
1980-04-22,0.3,0.31,0.3,0.3,0.17,20428800,0.0,0.0
1980-04-23,0.32,0.32,0.32,0.32,0.18,14822400,0.0,0.0
1980-04-24,0.32,0.33,0.32,0.32,0.19,8832000,0.0,0.0
1980-04-25,0.32,0.32,0.32,0.32,0.18,7104000,0.0,0.0
1980-04-28,0.32,0.32,0.31,0.31,0.18,6931200,0.0,0.0
1980-04-29,0.32,0.32,0.32,0.32,0.18,6297600,0.0,0.0
1980-04-30,0.32,0.32,0.32,0.32,0.18,7065600,0.0,0.0
1980-05-01,0.32,0.33,0.32,0.32,0.19,7008000,0.0,0.0
1980-05-02,0.33,0.33,0.33,0.33,0.19,5510400,0.0,0.0
1980-05-05,0.33,0.33,0.33,0.33,0.19,3513600,0.0,0.0
1980-05-06,0.33,0.33,0.33,0.33,0.19,6988800,0.0,0.0
1980-05-07,0.33,0.33,0.33,0.33,0.19,6393600,0.0,0.0
1980-05-08,0.33,0.33,0.32,0.32,0.19,7468800,0.0,0.0
1980-05-09,0.33,0.33,0.33,0.33,0.19,16684800,0.0,0.0
1980-05-12,0.33,0.33,0.33,0.33,0.19,8582400,0.0,0.0
1980-05-13,0.33,0.34,0.33,0.33,0.19,7372800,0.0,0.0
1980-05-14,0.34,0.34,0.34,0.34,0.2,4742400,0.0,0.0
1980-05-15,0.34,0.35,0.34,0.34,0.2,8102400,0.0,0.0
1980-05-16,0.35,0.35,0.35,0.35,0.2,4838400,0.0,0.0
1980-05-19,0.35,0.35,0.35,0.35,0.2,8640000,0.0,0.0
1980-05-20,0.35,0.35,0.34,0.34,0.2,21811200,0.0,0.0
