Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1993-03-12,2.29,2.75,2.25,2.65,2.38,28573200,0.0,0.0
1993-03-15,2.69,2.71,2.58,2.61,2.35,6580800,0.0,0.0
1993-03-16,2.58,2.62,2.52,2.55,2.3,3928800,0.0,0.0
1993-03-17,2.52,2.56,2.42,2.46,2.21,3170400,0.0,0.0
1993-03-18,2.52,2.54,2.46,2.54,2.29,735600,0.0,0.0
1993-03-19,2.48,2.54,2.48,2.52,2.27,542400,0.0,0.0
1993-03-22,2.5,2.54,2.38,2.38,2.14,1749600,0.0,0.0
1993-03-23,2.42,2.54,2.33,2.54,2.29,2000400,0.0,0.0
1993-03-24,2.5,2.54,2.42,2.48,2.23,1009200,0.0,0.0
1993-03-25,2.48,2.48,2.38,2.38,2.14,1035600,0.0,0.0
1993-03-26,2.42,2.42,2.38,2.38,2.14,1326000,0.0,0.0
1993-03-29,2.42,2.46,2.33,2.36,2.13,518400,0.0,0.0
1993-03-30,2.42,2.42,2.33,2.38,2.14,649200,0.0,0.0
1993-03-31,2.38,2.38,2.31,2.31,2.08,1665600,0.0,0.0
1993-04-01,2.31,2.38,2.29,2.31,2.08,316800,0.0,0.0
1993-04-02,2.31,2.31,2.15,2.21,1.99,1820400,0.0,0.0
1993-04-05,2.23,2.29,2.15,2.25,2.03,1450800,0.0,0.0
1993-04-06,2.33,2.33,2.25,2.25,2.03,1084800,0.0,0.0
1993-04-07,2.21,2.27,2.17,2.17,1.95,1216800,0.0,0.0
1993-04-08,2.15,2.23,2.1,2.12,1.91,990000,0.0,0.0
1993-04-12,2.08,2.12,2.06,2.1,1.89,1232400,0.0,0.0
1993-04-13,2.08,2.12,2.02,2.04,1.84,2005200,0.0,0.0
1993-04-14,2.08,2.12,2.04,2.12,1.91,3022800,0.0,0.0
1993-04-15,2.12,2.12,2.06,2.06,1.86,412800,0.0,0.0
1993-04-16,2.06,2.12,2.06,2.06,1.86,188400,0.0,0.0
1993-04-19,2.1,2.1,2.04,2.04,1.84,628800,0.0,0.0
1993-04-20,2.04,2.08,2.04,2.04,1.84,214800,0.0,0.0
1993-04-21,2.08,2.08,2.0,2.02,1.82,588000,0.0,0.0
1993-04-22,2.06,2.12,2.02,2.12,1.91,382800,0.0,0.0
1993-04-23,2.15,2.15,2.06,2.15,1.93,118800,0.0,0.0
1993-04-26,2.15,2.15,2.06,2.06,1.86,187200,0.0,0.0
1993-04-27,2.1,2.29,2.04,2.29,2.06,1040400,0.0,0.0
1993-04-28,2.29,2.29,2.23,2.27,2.04,348000,0.0,0.0
1993-04-29,2.23,2.23,2.19,2.23,2.01,319200,0.0,0.0
1993-04-30,2.21,2.35,2.21,2.29,2.06,1194000,0.0,0.0
1993-05-03,2.29,2.42,2.29,2.42,2.18,499200,0.0,0.0
1993-05-04,2.42,2.42,2.35,2.42,2.18,242400,0.0,0.0
1993-05-05,2.35,2.62,2.35,2.54,2.29,1215600,0.0,0.0
1993-05-06,2.54,2.58,2.44,2.48,2.23,598800,0.0,0.0
1993-05-07,2.48,2.58,2.48,2.52,2.27,472800,0.0,0.0
1993-05-10,2.52,2.65,2.52,2.58,2.33,349200,0.0,0.0
1993-05-11,2.62,2.62,2.56,2.56,2.31,391200,0.0,0.0
1993-05-12,2.56,2.6,2.56,2.56,2.31,145200,0.0,0.0
1993-05-13,2.6,2.6,2.54,2.58,2.33,303600,0.0,0.0
1993-05-14,2.58,2.6,2.54,2.56,2.31,204000,0.0,0.0
1993-05-17,2.6,2.62,2.56,2.58,2.33,142800,0.0,0.0
1993-05-18,2.62,2.62,2.58,2.58,2.33,802800,0.0,0.0
1993-05-19,2.62,2.69,2.62,2.67,2.4,1312800,0.0,0.0
1993-05-20,2.65,2.71,2.65,2.71,2.44,265200,0.0,0.0
1993-05-21,2.65,2.69,2.65,2.65,2.38,223200,0.0,0.0
1993-05-24,2.67,2.67,2.65,2.65,2.38,222000,0.0,0.0
1993-05-25,2.67,2.67,2.58,2.62,2.36,372000,0.0,0.0
1993-05-26,2.56,2.58,2.5,2.53,2.28,844800,0.0,0.0
1993-05-27,2.56,2.56,2.48,2.48,2.23,200400,0.0,0.0
1993-05-28,2.48,2.5,2.38,2.42,2.18,676800,0.0,0.0
1993-06-01,2.42,2.42,2.38,2.38,2.14,94800,0.0,0.0
1993-06-02,2.4,2.42,2.38,2.42,2.18,452400,0.0,0.0
1993-06-03,2.4,2.42,2.38,2.42,2.18,670800,0.0,0.0
1993-06-04,2.38,2.44,2.38,2.38,2.14,874800,0.0,0.0
1993-06-07,2.35,2.42,2.25,2.34,2.11,1143600,0.0,0.0
