Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2000-06-16,2.01,2.06,2.0,2.03,2.03,521550,0.0,0.0
2000-06-19,2.03,2.06,2.0,2.0,2.0,1363050,0.0,0.0
2000-06-20,2.01,2.18,1.75,2.08,2.08,1177650,0.0,0.0
2000-06-21,2.22,2.47,2.14,2.44,2.44,2342250,0.0,0.0
2000-06-22,2.46,2.47,2.12,2.19,2.19,857700,0.0,0.0
2000-06-23,2.26,2.36,2.22,2.31,2.31,615150,0.0,0.0
2000-06-26,2.33,2.36,2.17,2.22,2.22,458550,0.0,0.0
2000-06-27,2.22,2.32,2.0,2.11,2.11,616050,0.0,0.0
2000-06-28,2.14,2.19,2.03,2.14,2.14,828000,0.0,0.0
2000-06-29,2.19,2.19,2.0,2.0,2.0,834300,0.0,0.0
2000-06-30,2.07,2.14,2.03,2.1,2.1,859500,0.0,0.0
2000-07-03,2.17,2.17,2.11,2.14,2.14,144450,0.0,0.0
2000-07-05,2.17,2.22,2.11,2.22,2.22,621900,0.0,0.0
2000-07-06,2.22,2.24,2.1,2.17,2.17,584550,0.0,0.0
2000-07-07,2.23,2.58,2.12,2.28,2.28,3571650,0.0,0.0
2000-07-10,2.46,2.94,2.32,2.79,2.79,2830500,0.0,0.0
2000-07-11,3.01,3.17,2.64,2.83,2.83,6016500,0.0,0.0
2000-07-12,3.1,3.43,2.82,3.33,3.33,4926150,0.0,0.0
2000-07-13,4.0,4.03,3.58,3.72,3.72,5490900,0.0,0.0
2000-07-14,3.92,3.94,3.31,3.44,3.44,2537100,0.0,0.0
2000-07-17,3.56,3.58,3.39,3.47,3.47,829800,0.0,0.0
2000-07-18,3.49,3.54,3.19,3.22,3.22,604350,0.0,0.0
2000-07-19,3.19,3.22,2.92,3.11,3.11,792900,0.0,0.0
2000-07-20,3.07,3.69,3.03,3.53,3.53,1184400,0.0,0.0
2000-07-21,3.53,3.81,3.47,3.81,3.81,857700,0.0,0.0
2000-07-24,3.78,3.94,3.57,3.72,3.72,837900,0.0,0.0
2000-07-25,3.75,3.83,3.44,3.58,3.58,435150,0.0,0.0
2000-07-26,3.58,3.89,3.14,3.86,3.86,884250,0.0,0.0
2000-07-27,3.72,4.22,3.67,3.81,3.81,1004400,0.0,0.0
2000-07-28,3.81,3.82,3.44,3.61,3.61,681750,0.0,0.0
