Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1983-11-22,0.0,1.58,1.54,1.54,1.1,5736000,0.0,0.0
1983-11-23,0.0,1.6,1.56,1.56,1.11,2424000,0.0,0.0
1983-11-25,0.0,1.65,1.62,1.62,1.16,741600,0.0,0.0
1983-11-28,0.0,1.56,1.52,1.52,1.08,1251600,0.0,0.0
1983-11-29,0.0,1.58,1.56,1.56,1.11,1209600,0.0,0.0
1983-11-30,0.0,1.6,1.56,1.56,1.11,632400,0.0,0.0
1983-12-01,0.0,1.6,1.56,1.56,1.11,422400,0.0,0.0
1983-12-02,0.0,1.6,1.54,1.54,1.1,985200,0.0,0.0
1983-12-05,0.0,1.58,1.52,1.52,1.08,229200,0.0,0.0
1983-12-06,0.0,1.54,1.5,1.5,1.07,220800,0.0,0.0
1983-12-07,0.0,1.56,1.5,1.5,1.07,85200,0.0,0.0
1983-12-08,0.0,1.56,1.52,1.52,1.08,264000,0.0,0.0
1983-12-09,0.0,1.56,1.52,1.52,1.08,246000,0.0,0.0
1983-12-12,0.0,1.56,1.52,1.52,1.08,164400,0.0,0.0
1983-12-13,0.0,1.58,1.54,1.54,1.1,687600,0.0,0.0
1983-12-14,0.0,1.58,1.54,1.54,1.1,164400,0.0,0.0
1983-12-15,0.0,1.58,1.54,1.54,1.1,81600,0.0,0.0
1983-12-16,0.0,1.58,1.54,1.54,1.1,135600,0.0,0.0
1983-12-19,0.0,1.58,1.54,1.54,1.1,150000,0.0,0.0
1983-12-20,0.0,1.6,1.56,1.56,1.11,126000,0.0,0.0
1983-12-21,0.0,1.6,1.56,1.56,1.11,362400,0.0,0.0
1983-12-22,0.0,1.58,1.56,1.56,1.11,24000,0.0,0.0
1983-12-23,0.0,1.6,1.58,1.58,1.13,130800,0.0,0.0
1983-12-27,0.0,1.65,1.6,1.6,1.14,338400,0.0,0.0
1983-12-28,0.0,1.65,1.6,1.6,1.14,54000,0.0,0.0
1983-12-29,0.0,1.65,1.56,1.56,1.11,58800,0.0,0.0
1983-12-30,0.0,1.65,1.58,1.58,1.13,205200,0.0,0.0
1984-01-03,0.0,1.65,1.6,1.6,1.14,18000,0.0,0.0
1984-01-04,0.0,1.62,1.58,1.58,1.13,352800,0.0,0.0
1984-01-05,0.0,1.65,1.6,1.6,1.14,499200,0.0,0.0
1984-01-06,0.0,1.71,1.67,1.67,1.19,218400,0.0,0.0
1984-01-09,0.0,1.71,1.65,1.65,1.17,22800,0.0,0.0
1984-01-10,0.0,1.73,1.67,1.67,1.19,26400,0.0,0.0
1984-01-11,0.0,1.73,1.67,1.67,1.19,99600,0.0,0.0
1984-01-12,0.0,1.73,1.67,1.67,1.19,67200,0.0,0.0
1984-01-13,0.0,1.75,1.67,1.67,1.19,446400,0.0,0.0
1984-01-16,0.0,1.75,1.69,1.69,1.2,328800,0.0,0.0
1984-01-17,0.0,1.81,1.75,1.75,1.25,637200,0.0,0.0
1984-01-18,0.0,1.81,1.77,1.77,1.26,73200,0.0,0.0
