Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2014-05-22,21.75,22.8,20.24,20.9,20.39,84449700,0.0,0.0
2014-05-23,21.25,21.25,19.94,20.1,19.61,20890300,0.0,0.0
2014-05-27,20.28,22.98,20.25,22.97,22.4,15338100,0.0,0.0
2014-05-28,22.98,25.3,22.8,24.78,24.17,16783000,0.0,0.0
2014-05-29,25.04,25.69,24.24,25.4,24.77,8525900,0.0,0.0
2014-05-30,25.27,25.56,23.79,25.0,24.38,6302800,0.0,0.0
2014-06-02,25.4,25.44,24.07,24.6,23.99,3808800,0.0,0.0
2014-06-03,24.17,25.25,24.03,25.1,24.48,3388500,0.0,0.0
2014-06-04,24.99,25.28,24.44,24.54,23.94,2990800,0.0,0.0
2014-06-05,24.8,26.75,24.6,25.78,25.15,7933500,0.0,0.0
2014-06-06,26.5,27.04,26.31,26.58,25.93,4317500,0.0,0.0
2014-06-09,27.0,29.09,26.58,28.43,27.73,10659800,0.0,0.0
2014-06-10,28.82,28.86,27.7,28.35,27.65,5617200,0.0,0.0
2014-06-11,28.1,29.49,28.1,29.0,28.29,6555600,0.0,0.0
2014-06-12,29.59,29.6,26.34,27.17,26.5,9159600,0.0,0.0
2014-06-13,27.68,28.2,27.13,27.79,27.11,5161800,0.0,0.0
2014-06-16,27.22,27.44,26.38,26.89,26.23,6160000,0.0,0.0
2014-06-17,27.22,27.45,26.63,27.02,26.35,3652000,0.0,0.0
2014-06-18,27.44,27.89,26.03,26.52,25.87,5278300,0.0,0.0
2014-06-19,27.0,27.0,25.8,25.83,25.19,3716900,0.0,0.0
2014-06-20,25.75,25.97,24.92,25.45,24.82,7613400,0.0,0.0
2014-06-23,25.11,26.46,25.1,26.37,25.72,5590900,0.0,0.0
2014-06-24,26.51,27.34,26.51,27.04,26.37,5737700,0.0,0.0
2014-06-25,27.25,27.35,26.45,27.07,26.4,1923600,0.0,0.0
2014-06-26,27.14,28.35,26.81,28.3,27.6,3622300,0.0,0.0
2014-06-27,28.36,28.5,27.71,28.01,27.32,3066300,0.0,0.0
2014-06-30,28.17,28.53,27.68,28.51,27.81,3986200,0.0,0.0
2014-07-01,29.0,31.22,28.86,29.69,28.96,12626000,0.0,0.0
2014-07-02,30.4,30.41,28.5,28.96,28.25,6108200,0.0,0.0
2014-07-03,29.28,29.35,27.53,27.79,27.11,4398200,0.0,0.0
2014-07-07,28.01,28.73,27.45,27.63,26.95,3826200,0.0,0.0
2014-07-08,28.08,28.08,25.81,26.47,25.82,6454700,0.0,0.0
2014-07-09,27.09,27.15,26.05,26.36,25.71,4549900,0.0,0.0
2014-07-10,25.83,27.8,25.28,27.7,27.02,4717600,0.0,0.0
2014-07-11,27.51,27.9,26.85,27.04,26.37,3315400,0.0,0.0
2014-07-14,27.63,28.23,27.5,28.04,27.35,2850400,0.0,0.0
2014-07-15,28.2,28.4,27.75,28.21,27.52,3427000,0.0,0.0
2014-07-16,28.5,29.3,28.3,29.11,28.39,3785400,0.0,0.0
2014-07-17,28.82,29.39,27.5,27.56,26.88,3749200,0.0,0.0
2014-07-18,27.74,28.33,27.5,27.82,27.14,1993900,0.0,0.0
2014-07-21,27.67,28.66,27.67,28.54,27.84,2098800,0.0,0.0
2014-07-22,28.84,29.38,28.5,28.73,28.02,2304200,0.0,0.0
2014-07-23,28.89,29.06,27.81,27.88,27.19,2476900,0.0,0.0
2014-07-24,28.0,29.23,27.9,29.05,28.34,2733300,0.0,0.0
2014-07-25,29.1,29.48,28.5,29.03,28.32,3872000,0.0,0.0
2014-07-28,29.26,30.35,29.07,29.49,28.76,5040700,0.0,0.0
2014-07-29,29.83,30.22,29.5,29.62,28.89,3316500,0.0,0.0
2014-07-30,30.06,30.1,29.02,29.07,28.35,3085100,0.0,0.0
2014-07-31,28.5,28.9,28.1,28.58,27.88,2979500,0.0,0.0
2014-08-01,28.55,28.79,27.3,27.94,27.25,4572400,0.0,0.0
2014-08-04,28.2,28.3,27.56,27.79,27.11,5315300,0.0,0.0
2014-08-05,27.7,28.19,27.5,27.73,27.05,2893700,0.0,0.0
2014-08-06,27.56,27.73,27.3,27.51,26.83,2412100,0.0,0.0
2014-08-07,27.75,28.07,27.38,27.48,26.8,3863500,0.0,0.0
2014-08-08,27.84,28.38,27.6,28.36,27.66,3737900,0.0,0.0
2014-08-11,28.8,29.0,28.09,28.21,27.52,4218700,0.0,0.0
2014-08-12,28.3,28.98,28.3,28.77,28.06,2742600,0.0,0.0
2014-08-13,28.95,30.56,28.95,30.47,29.72,8378200,0.0,0.0
2014-08-14,30.4,30.7,29.71,30.01,29.27,5536900,0.0,0.0
2014-08-15,28.69,30.7,28.1,29.58,28.85,10580600,0.0,0.0
2014-08-18,30.08,30.61,29.52,30.04,29.3,6617900,0.0,0.0
2014-08-19,30.42,31.81,29.89,30.21,29.47,10274700,0.0,0.0
2014-08-20,30.08,31.15,30.07,30.93,30.17,4141000,0.0,0.0
2014-08-21,31.02,31.45,30.53,30.82,30.06,4314800,0.0,0.0
2014-08-22,30.81,31.2,30.81,30.96,30.2,2418200,0.0,0.0
2014-08-25,31.31,31.45,30.74,31.34,30.57,3470900,0.0,0.0
2014-08-26,31.19,32.08,31.12,32.01,31.22,5343000,0.0,0.0
2014-08-27,31.85,33.1,31.83,32.64,31.84,7758900,0.0,0.0
2014-08-28,32.3,32.31,31.38,31.44,30.67,6761400,0.0,0.0
2014-08-29,31.54,32.07,31.3,31.92,31.13,3442200,0.0,0.0
2014-09-02,32.0,32.35,30.32,31.07,30.31,7451100,0.0,0.0
2014-09-03,31.5,31.55,30.57,30.81,30.05,2753800,0.0,0.0
2014-09-04,30.81,31.47,29.68,30.26,29.52,3774500,0.0,0.0
2014-09-05,30.34,30.42,28.9,29.03,28.32,7136500,0.0,0.0
2014-09-08,29.0,29.6,28.93,29.13,28.41,3337100,0.0,0.0
2014-09-09,29.22,29.57,28.99,29.06,28.34,3332200,0.0,0.0
2014-09-10,29.04,29.23,28.02,28.35,27.65,7511800,0.0,0.0
2014-09-11,28.67,29.17,28.18,29.12,28.4,5500600,0.0,0.0
2014-09-12,29.32,29.89,29.01,29.25,28.53,4192600,0.0,0.0
2014-09-15,29.59,29.6,28.36,28.87,28.16,5209900,0.0,0.0
2014-09-16,28.55,28.76,27.05,27.8,27.12,7236700,0.0,0.0
2014-09-17,27.98,28.24,27.73,28.1,27.41,3438400,0.0,0.0
2014-09-18,27.87,29.77,27.87,29.55,28.82,7522900,0.0,0.0
2014-09-19,30.0,30.2,27.64,28.35,27.65,12505800,0.0,0.0
2014-09-22,27.68,28.33,26.68,26.97,26.31,8150400,0.0,0.0
2014-09-23,27.02,27.16,25.84,26.57,25.92,5964700,0.0,0.0
2014-09-24,27.01,27.43,26.8,27.18,26.51,2863900,0.0,0.0
2014-09-25,27.46,27.65,26.09,26.57,25.92,5455200,0.0,0.0
2014-09-26,26.6,27.0,26.53,26.93,26.27,2482700,0.0,0.0
2014-09-29,26.48,26.7,26.0,26.33,25.68,3475400,0.0,0.0
2014-09-30,26.33,26.35,25.3,25.82,25.18,5396500,0.0,0.0
2014-10-01,25.52,26.16,24.98,25.02,24.4,4900200,0.0,0.0
2014-10-02,25.02,26.18,24.99,25.69,25.06,4961200,0.0,0.0
2014-10-03,25.98,26.38,25.8,25.98,25.34,2125100,0.0,0.0
2014-10-06,26.34,26.79,25.85,25.96,25.32,2441900,0.0,0.0
2014-10-07,25.8,26.04,25.28,25.35,24.73,4094400,0.0,0.0
2014-10-08,25.34,26.43,25.01,26.4,25.75,4149300,0.0,0.0
2014-10-09,26.3,26.4,25.56,25.66,25.03,4066600,0.0,0.0
2014-10-10,25.21,25.41,24.1,25.01,24.39,5530100,0.0,0.0
2014-10-13,25.0,25.2,23.83,24.06,23.47,7505700,0.0,0.0
2014-10-14,24.17,24.4,22.6,23.9,23.31,7695200,0.0,0.0
2014-10-15,23.25,24.33,22.89,24.3,23.7,4349400,0.0,0.0
2014-10-16,23.65,25.05,23.33,25.02,24.4,3851500,0.0,0.0
2014-10-17,25.64,26.27,24.38,25.07,24.45,4941400,0.0,0.0
2014-10-20,25.4,25.77,24.61,25.41,24.78,3292300,0.0,0.0
2014-10-21,25.46,25.8,24.9,25.4,24.77,3216300,0.0,0.0
2014-10-22,25.5,26.0,25.08,25.44,24.81,2541400,0.0,0.0
2014-10-23,25.73,25.98,24.6,24.66,24.05,3985600,0.0,0.0
2014-10-24,24.65,24.74,23.3,24.02,23.43,8052100,0.0,0.0
2014-10-27,23.75,24.55,23.7,24.13,23.54,3532900,0.0,0.0
2014-10-28,24.31,24.8,24.16,24.78,24.17,2725800,0.0,0.0
2014-10-29,24.7,24.88,24.09,24.1,23.51,2875600,0.0,0.0
2014-10-30,24.2,24.35,23.51,23.88,23.29,4398500,0.0,0.0
2014-10-31,24.29,24.5,23.73,23.89,23.3,5523600,0.0,0.0
2014-11-03,23.6,25.4,23.57,24.77,24.16,5740700,0.0,0.0
2014-11-04,24.76,25.06,24.3,24.91,24.3,4505100,0.0,0.0
2014-11-05,25.36,25.36,23.88,23.91,23.32,4620700,0.0,0.0
2014-11-06,23.95,24.6,23.61,24.53,23.93,3420200,0.0,0.0
2014-11-07,24.48,24.96,24.4,24.74,24.13,2588600,0.0,0.0
2014-11-10,25.25,27.07,25.22,26.25,25.6,7731100,0.0,0.0
2014-11-11,26.35,26.45,25.4,25.81,25.17,3538900,0.0,0.0
2014-11-12,26.0,28.25,25.85,27.65,26.97,9204700,0.0,0.0
