Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2008-05-07,25.2,25.8,24.8,25.5,2.97,38943400,0.0,0.0
2008-05-08,25.58,25.83,24.74,25.4,2.96,12468400,0.0,0.0
2008-05-09,25.1,25.4,24.94,25.24,2.94,9747000,0.0,0.0
2008-05-12,25.11,26.85,25.1,25.57,2.98,7921800,0.0,0.0
2008-05-13,25.38,25.92,25.2,25.9,3.02,4518800,0.0,0.0
2008-05-14,25.5,26.31,24.6,26.17,3.05,4295600,0.0,0.0
2008-05-15,25.75,26.41,25.58,26.03,3.03,3969300,0.0,0.0
2008-05-16,25.86,26.75,25.67,26.5,3.09,11418200,0.0,0.0
2008-05-19,26.15,26.45,25.97,26.07,3.04,5645100,0.0,0.0
2008-05-20,25.7,25.94,25.0,25.55,2.98,8338100,0.0,0.0
2008-05-21,25.37,25.78,25.26,25.51,2.97,1729100,0.0,0.0
2008-05-22,25.14,26.13,25.12,25.72,3.0,7980000,0.0,0.0
2008-05-23,25.52,25.72,25.26,25.42,2.96,2421100,0.0,0.0
2008-05-27,25.36,25.53,25.12,25.38,2.96,1899300,0.0,0.0
2008-05-28,25.22,25.47,25.05,25.21,2.94,5346300,0.0,0.0
2008-05-29,25.01,25.14,24.85,24.95,2.91,6850900,0.0,0.0
2008-05-30,24.82,25.47,24.77,25.18,2.94,5456400,0.0,0.0
2008-06-02,24.97,25.07,24.11,24.12,2.81,2692600,0.0,0.0
2008-06-03,23.8,24.25,23.59,24.2,2.82,4636400,0.0,0.0
2008-06-04,23.95,24.19,23.88,23.9,2.79,2871200,0.0,0.0
2008-06-05,24.8,26.38,24.7,25.56,2.98,10802100,0.0,0.0
2008-06-06,25.12,25.37,24.93,24.98,2.91,4040900,0.0,0.0
2008-06-09,24.8,25.3,24.69,24.97,2.91,2018400,0.0,0.0
2008-06-10,24.88,25.1,24.85,24.93,2.91,3237600,0.0,0.0
2008-06-11,24.98,24.98,24.06,24.33,2.84,2352300,0.0,0.0
2008-06-12,24.77,24.85,24.0,24.18,2.82,1885800,0.0,0.0
2008-06-13,24.15,24.73,24.03,24.67,2.88,2718300,0.0,0.0
2008-06-16,24.73,24.77,23.5,23.71,2.76,2799100,0.0,0.0
2008-06-17,23.72,23.74,23.22,23.46,2.73,3945100,0.0,0.0
2008-06-18,23.1,24.0,23.06,23.79,2.77,1883200,0.0,0.0
2008-06-19,23.85,24.01,23.4,23.89,2.78,2262100,0.0,0.0
2008-06-20,23.35,24.0,23.32,24.0,2.8,2339500,0.0,0.0
2008-06-23,24.0,24.0,23.56,23.6,2.75,1562800,0.0,0.0
2008-06-24,23.25,23.25,22.2,22.54,2.63,4845600,0.0,0.0
2008-06-25,22.33,22.88,22.29,22.54,2.63,2268100,0.0,0.0
2008-06-26,22.15,22.56,22.07,22.17,2.58,2938500,0.0,0.0
2008-06-27,22.02,22.08,21.52,21.6,2.52,3329000,0.0,0.0
2008-06-30,21.58,21.58,20.62,20.98,2.45,3048100,0.0,0.0
2008-07-01,20.8,20.84,20.03,20.6,2.4,3516700,0.0,0.0
2008-07-02,20.91,21.49,20.79,21.34,2.49,1593500,0.0,0.0
2008-07-03,21.21,21.34,20.54,20.94,2.44,1530400,0.0,0.0
2008-07-07,21.05,21.57,20.94,21.32,2.49,1491700,0.0,0.0
2008-07-08,21.15,21.91,21.13,21.5,2.51,3116200,0.0,0.0
2008-07-09,21.59,21.78,21.51,21.65,2.52,1155500,0.0,0.0
2008-07-10,21.97,22.02,21.46,21.85,2.55,1238400,0.0,0.0
2008-07-11,21.42,21.97,21.23,21.64,2.52,1310900,0.0,0.0
2008-07-14,21.9,22.14,21.4,21.79,2.54,1323800,0.0,0.0
2008-07-15,21.6,21.73,20.46,21.0,2.45,1486900,0.0,0.0
2008-07-16,20.86,21.08,20.75,21.03,2.45,1055600,0.0,0.0
2008-07-17,20.87,20.91,19.37,20.4,2.38,3484300,0.0,0.0
2008-07-18,20.44,20.48,19.92,20.2,2.35,1702100,0.0,0.0
2008-07-21,20.6,20.88,20.21,20.56,2.4,1737700,0.0,0.0
2008-07-22,20.27,20.84,20.15,20.76,2.42,1582300,0.0,0.0
2008-07-23,20.7,20.7,20.08,20.21,2.36,1757200,0.0,0.0
2008-07-24,20.1,20.61,20.1,20.45,2.38,912300,0.0,0.0
2008-07-25,20.45,20.74,20.21,20.29,2.37,862800,0.0,0.0
2008-07-28,20.09,20.3,20.07,20.18,2.35,1285100,0.0,0.0
2008-07-29,20.4,20.58,20.17,20.25,2.36,2786700,0.0,0.0
2008-07-30,20.26,20.71,20.26,20.67,2.41,3516900,0.0,0.0
2008-07-31,20.35,20.86,20.35,20.67,2.41,1119000,0.0,0.0
2008-08-01,20.79,21.02,20.6,20.92,2.44,1795300,0.0,0.0
2008-08-04,20.82,20.86,20.49,20.72,2.42,2325300,0.0,0.0
2008-08-05,20.85,21.11,20.7,21.0,2.45,960400,0.0,0.0
2008-08-06,20.98,21.28,20.93,21.07,2.46,1260000,0.0,0.0
2008-08-07,21.29,21.48,21.05,21.07,2.46,1239900,0.0,0.0
2008-08-08,21.07,22.05,21.05,21.95,2.56,2200600,0.0,0.0
2008-08-11,21.89,22.55,21.83,21.98,2.56,3210200,0.0,0.0
2008-08-12,21.96,22.11,21.49,21.66,2.52,3140400,0.0,0.0
2008-08-13,22.21,23.77,22.12,22.79,2.66,6515600,0.0,0.0
2008-08-14,22.75,23.54,22.75,23.25,2.71,3319000,0.0,0.0
2008-08-15,23.5,24.03,23.5,23.82,2.78,2482400,0.0,0.0
2008-08-18,23.67,24.1,23.53,23.88,2.78,2105100,0.0,0.0
