Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2015-07-06,71.0,74.29,71.0,72.96,53.37,3809700,0.0,0.0
2015-07-07,73.73,74.71,72.96,74.63,54.59,5794300,0.0,0.0
2015-07-08,74.3,75.5,74.04,75.4,55.16,4276600,0.0,0.0
2015-07-09,76.47,77.07,74.5,74.8,54.72,4267100,0.0,0.0
2015-07-10,75.05,77.8,75.0,77.31,56.55,4983000,0.0,0.0
2015-07-13,79.5,79.7,77.91,78.83,57.66,9078900,0.0,0.0
2015-07-14,79.45,79.5,77.65,78.0,57.06,18746100,0.0,0.0
2015-07-15,77.65,78.17,76.4,76.71,56.11,6330500,0.0,0.0
2015-07-16,76.97,78.84,76.95,78.75,57.61,5634100,0.0,0.0
2015-07-17,79.43,79.69,77.26,79.63,58.25,6100900,0.0,0.0
2015-07-20,79.95,81.2,79.13,80.11,58.6,10284500,0.0,0.0
2015-07-21,79.97,80.68,79.4,80.22,58.68,6088600,0.0,0.0
2015-07-22,80.83,80.9,78.58,78.64,57.53,5201200,0.0,0.0
2015-07-23,78.42,78.57,76.64,76.74,56.53,2975400,0.55,0.0
2015-07-24,76.92,77.43,75.95,76.41,56.29,3116000,0.0,0.0
2015-07-27,76.63,77.98,76.29,77.38,57.0,5774300,0.0,0.0
2015-07-28,78.44,78.65,77.5,78.32,57.7,1895900,0.0,0.0
2015-07-29,78.26,78.3,77.0,77.91,57.39,2278600,0.0,0.0
2015-07-30,78.21,79.69,77.6,79.21,58.35,3247000,0.0,0.0
2015-07-31,79.94,79.94,78.86,79.47,58.54,2685500,0.0,0.0
2015-08-03,80.0,81.03,79.91,80.37,59.21,2681800,0.0,0.0
2015-08-04,80.57,81.0,79.67,79.81,58.79,2429600,0.0,0.0
2015-08-05,80.01,81.0,79.85,80.48,59.29,4324300,0.0,0.0
2015-08-06,81.05,81.19,79.51,79.76,58.76,3708600,0.0,0.0
2015-08-07,79.14,79.38,77.29,78.46,57.8,3274100,0.0,0.0
2015-08-10,79.43,79.8,78.57,78.81,58.06,3252300,0.0,0.0
2015-08-11,77.63,80.48,77.07,77.97,57.44,3889100,0.0,0.0
2015-08-12,77.83,78.31,76.09,76.69,56.49,3688800,0.0,0.0
2015-08-13,77.01,77.07,75.8,75.99,55.98,2917500,0.0,0.0
2015-08-14,76.07,76.74,75.12,76.42,56.3,2572800,0.0,0.0
2015-08-17,75.86,76.41,75.51,75.8,55.84,2260300,0.0,0.0
2015-08-18,75.72,75.95,75.06,75.19,55.39,2009700,0.0,0.0
2015-08-19,75.0,75.29,73.92,74.78,55.09,3025700,0.0,0.0
2015-08-20,74.02,74.76,73.78,74.25,54.7,2207000,0.0,0.0
2015-08-21,73.31,74.25,72.26,72.27,53.24,5564500,0.0,0.0
2015-08-24,68.24,72.24,61.42,70.87,52.21,9844600,0.0,0.0
2015-08-25,71.54,72.4,70.0,70.21,51.72,4423400,0.0,0.0
2015-08-26,71.72,74.11,69.53,73.91,54.45,5356300,0.0,0.0
2015-08-27,73.17,75.25,73.12,75.18,55.38,5937800,0.0,0.0
2015-08-28,74.4,75.19,73.82,74.69,55.02,2150100,0.0,0.0
2015-08-31,74.21,74.43,72.57,72.66,53.53,2688400,0.0,0.0
2015-09-01,71.23,72.54,69.64,70.12,51.65,4671400,0.0,0.0
2015-09-02,70.84,72.07,70.31,72.07,53.09,2986500,0.0,0.0
