Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1980-10-08,0.0,1.18,1.16,1.16,0.63,2889600,0.0,0.0
1980-10-09,0.0,1.18,1.17,1.17,0.63,1176000,0.0,0.0
1980-10-10,0.0,1.3,1.27,1.27,0.69,1824000,0.0,0.0
1980-10-13,0.0,1.39,1.36,1.36,0.74,679200,0.0,0.0
1980-10-14,0.0,1.3,1.28,1.28,0.69,640800,0.0,0.0
1980-10-15,0.0,1.35,1.32,1.32,0.72,408000,0.0,0.0
1980-10-16,0.0,1.31,1.29,1.29,0.7,554400,0.0,0.0
1980-10-17,0.0,1.32,1.3,1.3,0.71,456000,0.0,0.0
1980-10-20,0.0,1.36,1.34,1.34,0.73,213600,0.0,0.0
1980-10-21,0.0,1.3,1.28,1.28,0.69,405600,0.0,0.0
1980-10-22,0.0,1.32,1.3,1.3,0.71,141600,0.0,0.0
1980-10-23,0.0,1.31,1.28,1.28,0.69,180000,0.0,0.0
1980-10-24,0.0,1.34,1.31,1.31,0.71,115200,0.0,0.0
1980-10-27,0.0,1.32,1.29,1.29,0.7,136800,0.0,0.0
1980-10-28,0.0,1.29,1.27,1.27,0.69,168000,0.0,0.0
1980-10-29,0.0,1.3,1.28,1.28,0.69,144000,0.0,0.0
1980-10-30,0.0,1.25,1.23,1.23,0.67,163200,0.0,0.0
1980-10-31,0.0,1.27,1.24,1.24,0.67,124800,0.0,0.0
1980-11-03,0.0,1.28,1.25,1.25,0.68,74400,0.0,0.0
1980-11-05,0.0,1.29,1.26,1.26,0.68,105600,0.0,0.0
1980-11-06,0.0,1.24,1.21,1.21,0.65,72000,0.0,0.0
1980-11-07,0.0,1.21,1.18,1.18,0.64,139200,0.0,0.0
1980-11-10,0.0,1.26,1.23,1.23,0.67,105600,0.0,0.0
1980-11-11,0.0,1.34,1.33,1.33,0.72,134400,0.0,0.0
1980-11-12,0.0,1.43,1.39,1.39,0.75,84000,0.0,0.0
1980-11-13,0.0,1.43,1.4,1.4,0.76,88800,0.0,0.0
1980-11-14,0.0,1.47,1.44,1.44,0.78,172800,0.0,0.0
1980-11-17,0.0,1.55,1.52,1.52,0.82,112800,0.0,0.0
1980-11-18,0.0,1.59,1.56,1.56,0.85,206400,0.0,0.0
1980-11-19,0.0,1.59,1.57,1.57,0.85,55200,0.0,0.0
1980-11-20,0.0,1.53,1.5,1.5,0.81,132000,0.0,0.0
1980-11-21,0.0,1.53,1.5,1.5,0.81,64800,0.0,0.0
1980-11-24,0.0,1.53,1.49,1.49,0.81,57600,0.0,0.0
1980-11-25,0.0,1.64,1.6,1.6,0.87,50400,0.0,0.0
1980-11-26,0.0,1.62,1.59,1.59,0.86,50400,0.0,0.0
1980-11-28,0.0,1.62,1.59,1.59,0.86,64800,0.0,0.0
1980-12-01,0.0,1.58,1.56,1.56,0.85,88800,0.0,0.0
1980-12-02,0.0,1.58,1.55,1.55,0.84,67200,0.0,0.0
1980-12-03,0.0,1.58,1.55,1.55,0.84,93600,0.0,0.0
1980-12-04,0.0,1.58,1.55,1.55,0.84,72000,0.0,0.0
