Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1996-08-02,13.0,13.5,12.33,13.5,8.34,5576850,0.0,0.0
1996-08-05,13.17,13.83,13.17,13.5,8.34,757200,0.0,0.0
1996-08-06,13.17,13.83,13.17,13.42,8.29,405300,0.0,0.0
1996-08-07,13.33,14.0,13.33,13.75,8.5,172950,0.0,0.0
1996-08-08,14.0,14.17,13.33,13.67,8.45,279300,0.0,0.0
1996-08-09,13.67,14.67,13.67,14.33,8.86,127050,0.0,0.0
1996-08-12,14.17,15.0,14.17,14.67,9.06,191850,0.0,0.0
1996-08-13,15.17,15.17,14.33,14.5,8.96,322650,0.0,0.0
1996-08-14,14.67,16.33,14.0,15.83,9.78,541950,0.0,0.0
1996-08-15,16.0,17.17,15.83,17.0,10.51,552750,0.0,0.0
1996-08-16,16.83,18.33,16.83,17.83,11.02,516750,0.0,0.0
1996-08-19,18.33,18.33,17.83,18.17,11.23,385200,0.0,0.0
1996-08-20,18.0,18.33,15.67,16.67,10.3,676800,0.0,0.0
1996-08-21,16.67,17.83,16.67,17.67,10.92,250200,0.0,0.0
1996-08-22,18.0,18.0,17.33,17.67,10.92,198450,0.0,0.0
1996-08-23,17.5,17.5,17.0,17.0,10.51,166800,0.0,0.0
1996-08-26,17.0,17.5,15.5,16.08,9.94,404100,0.0,0.0
1996-08-27,16.17,16.83,16.17,16.67,10.3,353850,0.0,0.0
1996-08-28,17.33,19.17,16.83,18.83,11.64,744300,0.0,0.0
1996-08-29,19.17,19.5,18.5,18.83,11.64,131700,0.0,0.0
1996-08-30,18.5,19.17,18.5,18.67,11.53,125850,0.0,0.0
1996-09-03,18.0,19.33,18.0,19.33,11.95,189750,0.0,0.0
1996-09-04,19.5,20.42,19.17,20.17,12.46,296550,0.0,0.0
1996-09-05,20.0,20.67,20.0,20.17,12.46,279150,0.0,0.0
1996-09-06,20.0,20.33,20.0,20.0,12.36,93750,0.0,0.0
1996-09-09,19.83,20.33,19.83,19.83,12.26,24300,0.0,0.0
1996-09-10,19.83,20.67,19.83,20.58,12.72,88200,0.0,0.0
1996-09-11,20.17,20.67,20.17,20.33,12.56,39000,0.0,0.0
1996-09-12,21.0,21.33,20.33,20.67,12.77,147750,0.0,0.0
1996-09-13,20.67,21.33,20.67,21.33,13.18,166500,0.0,0.0
1996-09-16,21.33,21.33,20.67,20.67,12.77,109350,0.0,0.0
1996-09-17,20.67,21.33,20.67,20.75,12.82,94650,0.0,0.0
1996-09-18,21.0,21.33,20.67,20.67,12.77,19500,0.0,0.0
1996-09-19,20.67,22.5,20.67,22.5,13.9,157650,0.0,0.0
1996-09-20,21.83,24.33,21.83,24.25,14.99,287400,0.0,0.0
1996-09-23,23.67,25.33,23.67,25.25,15.6,135600,0.0,0.0
1996-09-24,25.17,25.17,24.5,24.83,15.35,655350,0.0,0.0
1996-09-25,25.0,25.83,25.0,25.67,15.86,170850,0.0,0.0
1996-09-26,26.0,26.33,25.5,26.33,16.27,173100,0.0,0.0
1996-09-27,26.33,27.17,26.17,27.17,16.79,125700,0.0,0.0
1996-09-30,27.17,27.67,26.83,27.67,17.1,86400,0.0,0.0
1996-10-01,27.17,28.33,26.5,26.58,16.43,156750,0.0,0.0
1996-10-02,26.83,26.83,22.83,24.17,14.93,1183650,0.0,0.0
1996-10-03,24.0,24.17,23.67,23.67,14.62,90900,0.0,0.0
1996-10-04,23.67,24.83,23.67,24.75,15.29,189000,0.0,0.0
1996-10-07,24.67,26.0,24.33,25.67,15.86,588450,0.0,0.0
1996-10-08,26.0,26.0,24.58,24.67,15.24,99300,0.0,0.0
1996-10-09,25.17,25.17,23.67,23.67,14.62,122700,0.0,0.0
1996-10-10,23.67,24.17,23.17,23.17,14.32,40350,0.0,0.0
1996-10-11,23.67,23.67,23.17,23.33,14.42,230550,0.0,0.0
1996-10-14,23.17,23.5,23.17,23.33,14.42,77700,0.0,0.0
1996-10-15,23.17,24.5,23.17,24.0,14.83,246600,0.0,0.0
1996-10-16,24.33,24.5,23.75,24.5,15.14,585000,0.0,0.0
1996-10-17,24.5,24.5,24.0,24.33,15.04,15450,0.0,0.0
1996-10-18,24.5,25.17,24.0,25.17,15.55,68550,0.0,0.0
1996-10-21,25.17,25.17,23.33,23.83,14.73,101700,0.0,0.0
1996-10-22,23.5,24.0,22.0,22.0,13.59,361050,0.0,0.0
1996-10-23,22.17,23.08,20.83,20.83,12.87,312000,0.0,0.0
1996-10-24,20.67,21.33,19.67,20.17,12.46,108600,0.0,0.0
1996-10-25,20.17,20.17,19.83,19.83,12.26,606900,0.0,0.0
1996-10-28,19.83,20.17,18.0,18.33,11.33,99000,0.0,0.0
1996-10-29,18.17,19.17,17.0,17.67,10.92,601050,0.0,0.0
1996-10-30,17.5,18.83,17.5,18.58,11.48,140850,0.0,0.0
1996-10-31,18.83,18.83,18.0,18.33,11.33,305550,0.0,0.0
1996-11-01,18.0,18.67,18.0,18.33,11.33,45450,0.0,0.0
1996-11-04,18.5,18.5,18.0,18.04,11.15,21000,0.0,0.0
1996-11-05,18.5,18.5,17.0,17.33,10.71,52650,0.0,0.0
1996-11-06,17.5,17.5,17.0,17.5,10.81,30300,0.0,0.0
1996-11-07,16.67,17.0,16.0,16.5,10.2,155100,0.0,0.0
1996-11-08,16.5,17.33,16.5,17.0,10.51,103200,0.0,0.0
1996-11-11,16.83,17.33,15.83,16.08,9.94,202650,0.0,0.0
1996-11-12,15.83,16.5,15.83,16.33,10.09,90450,0.0,0.0
1996-11-13,15.83,16.33,15.83,16.17,9.99,315600,0.0,0.0
1996-11-14,16.0,17.5,16.0,17.5,10.81,249300,0.0,0.0
1996-11-15,17.5,17.83,16.67,17.0,10.51,58200,0.0,0.0
1996-11-18,17.0,18.0,16.83,17.58,10.87,99750,0.0,0.0
1996-11-19,17.83,18.17,17.5,17.67,10.92,132450,0.0,0.0
1996-11-20,17.83,17.83,17.33,17.33,10.71,23700,0.0,0.0
1996-11-21,17.83,17.83,15.33,16.17,9.99,109050,0.0,0.0
1996-11-22,15.33,15.67,15.25,15.58,9.63,2316900,0.0,0.0
1996-11-25,15.58,15.83,15.58,15.58,9.63,666300,0.0,0.0
1996-11-26,15.58,15.83,15.42,15.5,9.58,358950,0.0,0.0
1996-11-27,15.5,15.83,15.5,15.5,9.58,102300,0.0,0.0
1996-11-29,15.5,15.83,15.5,15.5,9.58,34650,0.0,0.0
1996-12-02,15.5,17.08,15.5,16.92,10.45,218100,0.0,0.0
1996-12-03,17.0,17.0,16.33,16.33,10.09,157650,0.0,0.0
1996-12-04,16.33,16.67,16.0,16.33,10.09,169200,0.0,0.0
1996-12-05,16.0,16.5,16.0,16.5,10.2,40650,0.0,0.0
1996-12-06,15.33,16.33,15.33,15.83,9.78,142350,0.0,0.0
1996-12-09,15.83,17.17,15.83,16.83,10.4,661500,0.0,0.0
1996-12-10,17.0,18.17,16.67,17.67,10.92,317700,0.0,0.0
1996-12-11,17.33,17.5,16.83,17.25,10.66,112500,0.0,0.0
1996-12-12,17.5,17.5,17.0,17.0,10.51,186150,0.0,0.0
1996-12-13,17.0,17.5,17.0,17.0,10.51,124650,0.0,0.0
1996-12-16,16.83,17.83,16.83,17.38,10.74,287400,0.0,0.0
1996-12-17,17.17,17.67,16.83,16.83,10.4,183000,0.0,0.0
1996-12-18,17.0,17.0,16.67,16.67,10.3,31350,0.0,0.0
1996-12-19,17.0,17.0,16.67,16.67,10.3,17100,0.0,0.0
1996-12-20,16.67,17.0,16.5,16.67,10.3,32550,0.0,0.0
1996-12-23,16.33,16.5,16.17,16.42,10.14,157200,0.0,0.0
1996-12-24,16.17,16.5,16.17,16.33,10.09,24600,0.0,0.0
1996-12-26,16.0,16.33,16.0,16.0,9.89,3750,0.0,0.0
1996-12-27,16.0,16.5,15.0,15.83,9.78,291150,0.0,0.0
1996-12-30,15.5,15.83,15.5,15.5,9.58,195750,0.0,0.0
1996-12-31,16.17,16.17,15.5,16.17,9.99,39750,0.0,0.0
1997-01-02,16.17,16.5,16.0,16.0,9.89,56550,0.0,0.0
1997-01-03,16.0,17.0,16.0,16.5,10.2,91950,0.0,0.0
1997-01-06,17.0,17.0,16.5,17.0,10.51,22950,0.0,0.0
1997-01-07,17.0,17.0,16.17,16.67,10.3,65250,0.0,0.0
1997-01-08,16.83,17.08,16.33,16.33,10.09,133050,0.0,0.0
1997-01-09,16.33,16.67,15.92,16.17,9.99,144000,0.0,0.0
1997-01-10,16.17,16.33,16.17,16.33,10.09,13350,0.0,0.0
1997-01-13,16.5,16.67,16.17,16.67,10.3,58650,0.0,0.0
1997-01-14,17.0,17.0,16.0,16.33,10.09,126300,0.0,0.0
1997-01-15,16.0,16.33,15.67,16.17,9.99,256950,0.0,0.0
1997-01-16,15.83,16.33,15.75,15.92,9.84,559800,0.0,0.0
1997-01-17,16.33,16.5,15.83,16.17,9.99,67650,0.0,0.0
1997-01-20,16.17,16.33,15.83,16.08,9.94,11550,0.0,0.0
1997-01-21,16.0,17.0,16.0,16.5,10.2,336600,0.0,0.0
1997-01-22,16.5,16.83,16.17,16.17,9.99,31350,0.0,0.0
1997-01-23,16.17,16.5,16.0,16.0,9.89,31500,0.0,0.0
1997-01-24,16.0,16.5,14.5,15.83,9.78,103650,0.0,0.0
1997-01-27,15.83,16.0,15.42,16.0,9.89,33150,0.0,0.0
1997-01-28,15.67,17.0,15.67,16.75,10.35,98550,0.0,0.0
1997-01-29,16.5,16.83,16.33,16.83,10.4,62550,0.0,0.0
1997-01-30,16.33,16.83,16.17,16.67,10.3,59400,0.0,0.0
1997-01-31,16.67,16.67,15.92,16.33,10.09,18750,0.0,0.0
1997-02-03,16.33,16.33,14.5,14.83,9.17,130950,0.0,0.0
1997-02-04,14.83,15.5,14.67,15.0,9.27,70050,0.0,0.0
1997-02-05,16.0,16.0,15.0,15.33,9.48,27600,0.0,0.0
1997-02-06,15.5,15.5,14.83,15.33,9.48,17550,0.0,0.0
1997-02-07,15.33,16.0,15.33,16.0,9.89,285000,0.0,0.0
1997-02-10,15.83,16.83,14.83,15.33,9.48,126300,0.0,0.0
1997-02-11,15.17,15.5,14.33,14.5,8.96,41550,0.0,0.0
1997-02-12,14.67,15.0,14.0,14.67,9.06,66150,0.0,0.0
1997-02-13,14.83,15.5,14.5,15.5,9.58,47700,0.0,0.0
1997-02-14,15.67,15.83,15.33,15.83,9.78,51150,0.0,0.0
1997-02-18,15.5,15.67,15.0,15.33,9.48,12750,0.0,0.0
1997-02-19,15.0,15.33,15.0,15.33,9.48,8700,0.0,0.0
1997-02-20,15.17,15.33,15.0,15.0,9.27,29850,0.0,0.0
1997-02-21,14.67,15.0,13.33,13.33,8.24,63450,0.0,0.0
1997-02-24,13.33,13.67,12.88,13.0,8.03,68700,0.0,0.0
1997-02-25,13.17,13.33,12.67,13.17,8.14,84600,0.0,0.0
1997-02-26,13.17,13.67,12.5,12.83,7.93,108600,0.0,0.0
1997-02-27,12.5,13.0,12.5,12.83,7.93,278550,0.0,0.0
1997-02-28,12.83,12.83,12.0,12.33,7.62,542100,0.0,0.0
1997-03-03,12.0,12.5,11.83,12.33,7.62,233550,0.0,0.0
1997-03-04,12.33,12.67,12.33,12.67,7.83,121500,0.0,0.0
1997-03-05,12.67,13.0,12.67,12.83,7.93,264000,0.0,0.0
1997-03-06,13.0,13.67,13.0,13.33,8.24,122400,0.0,0.0
1997-03-07,13.67,14.33,13.67,14.17,8.75,79050,0.0,0.0
1997-03-10,14.17,15.33,14.17,14.67,9.06,78300,0.0,0.0
1997-03-11,14.83,14.83,14.67,14.83,9.17,24600,0.0,0.0
1997-03-12,15.0,15.0,14.33,14.67,9.06,22050,0.0,0.0
1997-03-13,14.67,14.67,14.33,14.33,8.86,4500,0.0,0.0
1997-03-14,14.33,14.83,14.33,14.83,9.17,24900,0.0,0.0
1997-03-17,14.83,14.83,13.67,14.0,8.65,46350,0.0,0.0
1997-03-18,14.5,14.67,14.17,14.42,8.91,22350,0.0,0.0
1997-03-19,14.17,14.33,14.04,14.25,8.81,29850,0.0,0.0
1997-03-20,14.0,14.33,13.67,13.75,8.5,29700,0.0,0.0
1997-03-21,13.5,13.67,13.25,13.25,8.19,19950,0.0,0.0
1997-03-24,13.25,13.5,13.25,13.5,8.34,11400,0.0,0.0
1997-03-25,13.25,13.5,13.17,13.17,8.14,10500,0.0,0.0
1997-03-26,13.33,14.17,13.0,13.67,8.45,168150,0.0,0.0
1997-03-27,13.5,13.83,13.25,13.25,8.19,44850,0.0,0.0
1997-03-31,13.5,13.5,13.17,13.5,8.34,32550,0.0,0.0
1997-04-01,13.33,13.5,13.17,13.25,8.19,51900,0.0,0.0
1997-04-02,13.25,13.5,13.17,13.17,8.14,24300,0.0,0.0
