Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2004-06-03,19.67,20.01,19.55,20.01,9.77,2457992,0.0,0.0
2004-06-04,19.42,19.93,19.42,19.67,9.61,1671082,0.0,0.0
2004-06-07,19.6,19.7,19.55,19.67,9.61,2195950,0.0,0.0
2004-06-08,19.42,19.42,18.37,18.94,9.25,9365419,0.0,0.0
2004-06-09,18.91,18.96,18.33,18.37,8.98,9626874,0.0,0.0
2004-06-10,18.34,18.88,18.3,18.88,9.22,4715979,0.0,0.0
2004-06-14,18.73,18.96,18.73,18.91,9.24,4332994,0.0,0.0
2004-06-15,18.78,18.93,18.39,18.49,9.03,7314679,0.0,0.0
2004-06-16,18.41,18.51,18.36,18.43,9.01,4807371,0.0,0.0
2004-06-17,18.49,18.55,18.4,18.42,9.0,3647457,0.0,0.0
2004-06-18,18.5,18.51,18.4,18.51,9.05,3450387,0.0,0.0
2004-06-21,18.43,18.54,18.4,18.45,9.01,1912380,0.0,0.0
2004-06-22,18.47,18.47,18.08,18.17,8.88,2209453,0.0,0.0
2004-06-23,18.1,18.29,18.07,18.14,8.86,1951325,0.0,0.0
2004-06-24,18.24,18.24,17.4,17.7,8.65,3465260,0.0,0.0
2004-06-25,17.61,18.28,17.36,18.14,8.86,2904775,0.0,0.0
2004-06-28,17.88,18.16,17.62,17.75,8.67,1848191,0.0,0.0
2004-06-29,17.76,18.29,17.74,18.24,8.91,1313343,0.0,0.0
2004-06-30,18.27,18.96,18.14,18.96,9.26,5865325,0.0,0.0
2004-07-01,18.82,18.91,18.35,18.46,9.02,2259357,0.0,0.0
2004-07-02,18.49,18.52,18.22,18.24,8.91,1549553,0.0,0.0
2004-07-06,18.34,18.42,17.74,17.84,8.72,2139392,0.0,0.0
2004-07-07,17.86,17.97,17.45,17.76,8.68,2349379,0.0,0.0
2004-07-08,17.68,17.85,17.5,17.71,8.65,1770106,0.0,0.0
2004-07-09,17.63,18.07,17.56,17.74,8.67,2470321,0.0,0.0
2004-07-12,17.73,17.84,17.65,17.73,8.66,1213144,0.0,0.0
2004-07-13,17.83,17.83,17.4,17.53,8.57,1329390,0.0,0.0
2004-07-14,17.48,17.49,17.29,17.38,8.49,1532527,0.0,0.0
2004-07-15,17.5,17.5,17.28,17.47,8.54,1363246,0.0,0.0
2004-07-16,17.48,17.71,17.38,17.61,8.61,1365399,0.0,0.0
2004-07-19,17.68,17.68,17.56,17.63,8.61,1154826,0.0,0.0
2004-07-20,17.59,17.84,17.59,17.84,8.72,1734880,0.0,0.0
2004-07-21,17.76,17.84,17.48,17.73,8.66,1945845,0.0,0.0
2004-07-22,17.66,17.68,17.42,17.53,8.56,1768345,0.0,0.0
2004-07-23,17.48,17.53,17.32,17.38,8.49,1637422,0.0,0.0
2004-07-26,17.17,17.32,16.04,16.55,8.54,3580331,0.92,0.0
2004-07-27,16.51,16.52,16.25,16.34,8.43,4425756,0.0,0.0
2004-07-28,16.32,16.33,16.17,16.19,8.35,2061895,0.0,0.0
2004-07-29,16.2,16.23,15.89,15.99,8.25,3337468,0.0,0.0
2004-07-30,16.09,16.12,15.75,15.93,8.22,2728449,0.0,0.0
2004-08-02,15.84,15.96,15.79,15.91,8.21,2093599,0.0,0.0
2004-08-03,15.84,15.94,15.82,15.94,8.23,2584414,0.0,0.0
2004-08-04,15.84,15.88,15.23,15.33,7.91,3492266,0.0,0.0
2004-08-05,15.3,15.4,15.18,15.36,7.93,2985404,0.0,0.0
2004-08-06,15.23,15.53,15.08,15.38,7.94,1738599,0.0,0.0
2004-08-09,15.26,15.38,14.77,15.0,7.74,2035671,0.0,0.0
2004-08-10,14.87,15.02,14.72,14.94,7.71,3213003,0.0,0.0
2004-08-11,14.78,14.92,14.61,14.9,7.69,2197711,0.0,0.0
2004-08-12,15.04,15.07,14.75,14.93,7.7,2545666,0.0,0.0
2004-08-13,14.9,15.94,14.87,15.88,8.19,4420080,0.0,0.0
