Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2005-09-08,12.35,12.45,11.98,11.98,11.98,8704000,0.0,0.0
2005-09-09,12.0,12.12,11.76,12.02,12.02,6069600,0.0,0.0
2005-09-12,11.98,12.9,11.98,12.82,12.82,4062800,0.0,0.0
2005-09-13,12.72,13.03,12.65,12.99,12.99,2285200,0.0,0.0
2005-09-14,12.62,13.19,12.6,13.02,13.02,6112400,0.0,0.0
2005-09-15,12.97,13.04,12.85,12.91,12.91,1121400,0.0,0.0
2005-09-16,12.76,13.06,12.75,12.9,12.9,1735000,0.0,0.0
2005-09-19,12.82,13.05,12.5,12.52,12.52,2627600,0.0,0.0
2005-09-20,12.94,12.94,12.59,12.75,12.75,1373000,0.0,0.0
2005-09-21,12.85,12.9,12.58,12.63,12.63,3027000,0.0,0.0
2005-09-22,12.6,12.66,12.48,12.49,12.49,2100000,0.0,0.0
2005-09-23,12.52,12.9,12.45,12.74,12.74,1359600,0.0,0.0
2005-09-26,12.74,12.86,12.48,12.48,12.48,1013000,0.0,0.0
2005-09-27,12.67,12.67,12.5,12.5,12.5,1860600,0.0,0.0
2005-09-28,12.48,12.6,12.32,12.32,12.32,1641000,0.0,0.0
2005-09-29,12.32,12.45,12.01,12.15,12.15,3970600,0.0,0.0
2005-09-30,12.02,12.94,12.02,12.88,12.88,3393200,0.0,0.0
2005-10-03,12.93,13.01,12.55,12.77,12.77,2520200,0.0,0.0
2005-10-04,12.67,12.99,12.65,12.93,12.93,2201200,0.0,0.0
2005-10-05,12.81,13.0,12.76,12.77,12.77,2986000,0.0,0.0
2005-10-06,12.75,12.95,12.69,12.75,12.75,1042000,0.0,0.0
2005-10-07,12.66,12.92,12.49,12.54,12.54,1250600,0.0,0.0
2005-10-10,12.4,12.52,12.38,12.4,12.4,423200,0.0,0.0
2005-10-11,12.38,12.56,12.29,12.34,12.34,7816400,0.0,0.0
2005-10-12,12.28,12.35,11.95,12.05,12.05,3273000,0.0,0.0
2005-10-13,11.98,12.06,11.5,11.65,11.65,3515000,0.0,0.0
2005-10-14,11.7,11.87,11.4,11.82,11.82,1237600,0.0,0.0
2005-10-17,11.77,11.81,11.63,11.7,11.7,2007400,0.0,0.0
2005-10-18,11.82,11.91,11.52,11.61,11.61,2749600,0.0,0.0
2005-10-19,11.55,11.69,11.27,11.65,11.65,1957200,0.0,0.0
2005-10-20,11.61,11.9,11.61,11.78,11.78,815800,0.0,0.0
2005-10-21,11.77,12.02,11.74,11.99,11.99,1290800,0.0,0.0
2005-10-24,11.94,12.18,11.88,12.16,12.16,799000,0.0,0.0
2005-10-25,11.98,12.23,11.98,12.15,12.15,626800,0.0,0.0
2005-10-26,12.05,12.19,11.98,11.98,11.98,1196200,0.0,0.0
2005-10-27,11.98,12.12,11.65,11.68,11.68,1527000,0.0,0.0
2005-10-28,11.66,11.82,11.55,11.66,11.66,1115600,0.0,0.0
2005-10-31,11.69,11.86,11.55,11.84,11.84,2314400,0.0,0.0
2005-11-01,11.79,11.9,11.55,11.57,11.57,1313800,0.0,0.0
2005-11-02,11.5,11.73,11.45,11.67,11.67,2005600,0.0,0.0
2005-11-03,11.6,11.92,11.6,11.88,11.88,730800,0.0,0.0
2005-11-04,11.86,11.98,11.77,11.85,11.85,546800,0.0,0.0
2005-11-07,11.88,11.98,11.78,11.94,11.94,621000,0.0,0.0
2005-11-08,11.8,12.15,11.8,12.07,12.07,1021600,0.0,0.0
2005-11-09,12.0,12.15,11.85,11.98,11.98,466400,0.0,0.0
2005-11-10,11.89,12.12,11.89,12.07,12.07,1539200,0.0,0.0
2005-11-11,12.07,12.23,11.78,11.95,11.95,709800,0.0,0.0
2005-11-14,11.93,12.09,11.93,12.06,12.06,1361400,0.0,0.0
2005-11-15,12.0,12.06,11.68,11.77,11.77,1824600,0.0,0.0
2005-11-16,11.66,11.76,11.53,11.75,11.75,2123200,0.0,0.0
2005-11-17,11.62,11.9,11.62,11.76,11.76,572600,0.0,0.0
2005-11-18,11.65,11.9,11.65,11.77,11.77,1489000,0.0,0.0
2005-11-21,11.69,11.8,11.69,11.75,11.75,2914600,0.0,0.0
2005-11-22,11.68,11.77,11.65,11.68,11.68,663600,0.0,0.0
2005-11-23,11.62,11.65,11.43,11.48,11.48,1632000,0.0,0.0
2005-11-25,11.5,11.6,11.46,11.52,11.52,652000,0.0,0.0
2005-11-28,11.51,11.55,11.25,11.28,11.28,817800,0.0,0.0
2005-11-29,11.36,11.36,11.03,11.14,11.14,2046800,0.0,0.0
2005-11-30,11.07,11.11,10.38,10.39,10.39,6047600,0.0,0.0
2005-12-01,10.43,10.89,10.41,10.8,10.8,3202600,0.0,0.0
2005-12-02,10.78,10.81,10.68,10.75,10.75,1104400,0.0,0.0
2005-12-05,10.63,10.8,10.44,10.61,10.61,1442400,0.0,0.0
2005-12-06,10.5,10.77,10.36,10.67,10.67,1132600,0.0,0.0
2005-12-07,10.67,10.94,10.67,10.85,10.85,1316000,0.0,0.0
2005-12-08,10.85,10.88,10.52,10.7,10.7,893600,0.0,0.0
2005-12-09,10.62,10.65,10.41,10.65,10.65,939000,0.0,0.0
2005-12-12,10.6,10.76,10.55,10.67,10.67,649400,0.0,0.0
2005-12-13,10.63,10.84,10.63,10.68,10.68,861600,0.0,0.0
2005-12-14,10.57,10.75,10.57,10.6,10.6,1144600,0.0,0.0
2005-12-15,10.67,10.68,10.55,10.58,10.58,1639000,0.0,0.0
2005-12-16,10.55,10.64,10.4,10.55,10.55,1416600,0.0,0.0
2005-12-19,10.5,10.6,10.34,10.37,10.37,687000,0.0,0.0
2005-12-20,10.35,10.73,10.32,10.6,10.6,4267800,0.0,0.0
2005-12-21,10.52,10.68,10.44,10.45,10.45,1652000,0.0,0.0
2005-12-22,10.44,10.49,10.3,10.34,10.34,2845600,0.0,0.0
2005-12-23,10.32,10.4,10.3,10.38,10.38,2573600,0.0,0.0
2005-12-27,10.45,10.45,10.37,10.43,10.43,1651200,0.0,0.0
2005-12-28,10.38,10.51,10.3,10.45,10.45,2301200,0.0,0.0
2005-12-29,10.41,10.63,10.4,10.61,10.61,738600,0.0,0.0
2005-12-30,10.49,10.66,10.48,10.6,10.6,1254400,0.0,0.0
2006-01-03,10.55,10.56,10.31,10.49,10.49,1317200,0.0,0.0
2006-01-04,10.38,10.52,10.36,10.48,10.48,1389400,0.0,0.0
2006-01-05,10.43,10.5,10.33,10.44,10.44,1664000,0.0,0.0
2006-01-06,10.46,10.5,10.35,10.46,10.46,1657200,0.0,0.0
2006-01-09,10.45,10.45,10.29,10.35,10.35,2351800,0.0,0.0
2006-01-10,10.26,10.31,10.01,10.19,10.19,3095600,0.0,0.0
2006-01-11,10.16,10.45,10.12,10.35,10.35,2873800,0.0,0.0
2006-01-12,10.39,10.43,10.31,10.38,10.38,2665000,0.0,0.0
2006-01-13,10.43,10.49,10.36,10.4,10.4,580600,0.0,0.0
2006-01-17,10.31,10.44,10.17,10.2,10.2,1772200,0.0,0.0
2006-01-18,10.16,10.41,10.12,10.22,10.22,1515000,0.0,0.0
2006-01-19,10.21,10.4,10.14,10.34,10.34,4896600,0.0,0.0
2006-01-20,10.19,10.48,10.17,10.22,10.22,2082000,0.0,0.0
2006-01-23,10.25,10.35,10.03,10.2,10.2,2836200,0.0,0.0
2006-01-24,10.19,10.22,10.1,10.15,10.15,2932800,0.0,0.0
2006-01-25,10.18,10.27,10.06,10.09,10.09,3305000,0.0,0.0
2006-01-26,10.1,10.16,9.97,10.12,10.12,3969400,0.0,0.0
2006-01-27,10.12,10.19,10.02,10.02,10.02,1659600,0.0,0.0
2006-01-30,9.98,10.2,9.98,10.1,10.1,1331400,0.0,0.0
2006-01-31,10.07,10.23,10.02,10.11,10.11,1623200,0.0,0.0
2006-02-01,10.02,10.22,10.02,10.12,10.12,6236000,0.0,0.0
2006-02-02,10.14,10.14,9.9,9.96,9.96,6139200,0.0,0.0
2006-02-03,9.96,10.01,9.66,9.68,9.68,3389200,0.0,0.0
2006-02-06,9.75,9.75,9.52,9.56,9.56,2259800,0.0,0.0
2006-02-07,9.52,9.65,9.44,9.49,9.49,2803200,0.0,0.0
2006-02-08,9.48,9.82,9.44,9.45,9.45,2367200,0.0,0.0
2006-02-09,9.48,9.7,9.43,9.58,9.58,1957000,0.0,0.0
2006-02-10,9.56,9.62,9.48,9.55,9.55,1469600,0.0,0.0
2006-02-13,9.5,9.8,9.47,9.62,9.62,2190200,0.0,0.0
2006-02-14,9.57,9.81,9.57,9.73,9.73,2058600,0.0,0.0
2006-02-15,9.81,9.81,9.57,9.69,9.69,1122600,0.0,0.0
2006-02-16,9.6,9.85,9.56,9.8,9.8,965400,0.0,0.0
2006-02-17,9.77,9.85,9.66,9.8,9.8,1158200,0.0,0.0
2006-02-21,9.74,9.85,9.64,9.73,9.73,806000,0.0,0.0
2006-02-22,9.78,9.78,9.6,9.7,9.7,926000,0.0,0.0
2006-02-23,9.65,9.78,9.59,9.7,9.7,971200,0.0,0.0
2006-02-24,9.7,9.77,9.62,9.74,9.74,870800,0.0,0.0
2006-02-27,9.71,10.0,9.69,9.96,9.96,1400400,0.0,0.0
2006-02-28,9.92,9.98,9.62,9.7,9.7,3911600,0.0,0.0
2006-03-01,9.72,9.75,9.48,9.61,9.61,2231800,0.0,0.0
2006-03-02,9.56,9.81,9.52,9.73,9.73,957800,0.0,0.0
2006-03-03,9.66,10.0,9.66,9.77,9.77,507200,0.0,0.0
2006-03-06,9.75,9.81,9.62,9.68,9.68,1444600,0.0,0.0
2006-03-07,9.62,9.69,9.59,9.6,9.6,1484800,0.0,0.0
2006-03-08,9.6,9.68,9.52,9.56,9.56,6805200,0.0,0.0
2006-03-09,9.52,9.6,9.45,9.49,9.49,3556200,0.0,0.0
2006-03-10,9.45,9.51,9.34,9.38,9.38,3617400,0.0,0.0
2006-03-13,9.33,9.55,9.31,9.34,9.34,1971200,0.0,0.0
2006-03-14,9.43,9.49,9.24,9.27,9.27,3855600,0.0,0.0
2006-03-15,9.25,9.75,9.1,9.18,9.18,3796200,0.0,0.0
2006-03-16,9.15,9.18,8.94,8.95,8.95,4929200,0.0,0.0
2006-03-17,8.98,9.06,8.72,8.77,8.77,4734600,0.0,0.0
2006-03-20,8.8,8.88,8.74,8.8,8.8,3556200,0.0,0.0
2006-03-21,8.83,8.9,8.77,8.8,8.8,2154400,0.0,0.0
2006-03-22,8.8,8.97,8.8,8.93,8.93,4476200,0.0,0.0
2006-03-23,9.22,9.6,9.15,9.48,9.48,8676800,0.0,0.0
2006-03-24,9.51,9.57,9.43,9.49,9.49,4963400,0.0,0.0
2006-03-27,9.49,9.49,9.4,9.43,9.43,2490600,0.0,0.0
2006-03-28,9.33,9.4,9.24,9.24,9.24,2622800,0.0,0.0
2006-03-29,9.25,9.53,9.17,9.47,9.47,1921400,0.0,0.0
2006-03-30,9.44,9.68,9.44,9.66,9.66,3184800,0.0,0.0
2006-03-31,9.59,9.88,9.55,9.88,9.88,1406800,0.0,0.0
2006-04-03,9.88,10.07,9.85,10.07,10.07,1886800,0.0,0.0
2006-04-04,10.05,10.22,10.01,10.13,10.13,2297400,0.0,0.0
2006-04-05,10.11,10.43,10.05,10.11,10.11,3722400,0.0,0.0
2006-04-06,10.06,10.24,10.06,10.16,10.16,1900000,0.0,0.0
2006-04-07,10.16,10.36,10.03,10.12,10.12,460200,0.0,0.0
2006-04-10,10.04,10.24,9.98,9.99,9.99,3301000,0.0,0.0
2006-04-11,9.96,10.12,9.91,10.07,10.07,12576800,0.0,0.0
2006-04-12,9.95,10.19,9.89,10.12,10.12,1467000,0.0,0.0
2006-04-13,10.03,10.25,10.01,10.14,10.14,1619400,0.0,0.0
