Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2015-05-07,185.5,210.14,180.6,209.3,209.3,235893,0.0,0.0
2015-05-08,210.28,272.72,210.28,269.78,269.78,46807,0.0,0.0
2015-05-11,282.94,303.8,274.4,290.5,290.5,39136,0.0,0.0
2015-05-12,303.52,306.46,269.36,301.98,301.98,19400,0.0,0.0
2015-05-13,301.98,308.0,254.8,274.26,274.26,26650,0.0,0.0
2015-05-14,268.66,298.76,256.9,288.12,288.12,7171,0.0,0.0
2015-05-15,294.98,300.86,264.38,281.82,281.82,10307,0.0,0.0
2015-05-18,275.94,283.22,264.6,278.6,278.6,6643,0.0,0.0
2015-05-19,285.46,285.46,273.49,281.4,281.4,2793,0.0,0.0
2015-05-20,280.56,324.24,267.12,320.32,320.32,10929,0.0,0.0
2015-05-21,324.8,389.48,320.6,336.0,336.0,13200,0.0,0.0
2015-05-22,332.64,363.58,322.0,345.94,345.94,5393,0.0,0.0
2015-05-26,352.8,371.0,336.42,354.76,354.76,16507,0.0,0.0
2015-05-27,361.62,375.9,329.56,345.66,345.66,11493,0.0,0.0
2015-05-28,339.08,351.96,334.74,335.72,335.72,8114,0.0,0.0
2015-05-29,330.26,336.0,309.82,320.46,320.46,11800,0.0,0.0
2015-06-01,338.38,339.78,317.66,328.72,328.72,7914,0.0,0.0
2015-06-02,330.54,368.76,320.24,353.36,353.36,11950,0.0,0.0
2015-06-03,349.86,395.22,341.04,390.32,390.32,27186,0.0,0.0
2015-06-04,396.06,396.06,372.4,382.62,382.62,4500,0.0,0.0
2015-06-05,375.76,386.65,350.84,362.18,362.18,5107,0.0,0.0
2015-06-08,360.08,377.86,346.5,349.02,349.02,6614,0.0,0.0
2015-06-09,349.44,349.44,305.2,309.96,309.96,11136,0.0,0.0
2015-06-10,316.12,329.59,284.06,315.56,315.56,6129,0.0,0.0
2015-06-11,315.98,327.04,290.54,303.24,303.24,6614,0.0,0.0
2015-06-12,302.82,321.02,295.89,311.22,311.22,6507,0.0,0.0
2015-06-15,308.0,325.64,305.76,317.1,317.1,9621,0.0,0.0
2015-06-16,312.9,321.86,304.5,307.3,307.3,7729,0.0,0.0
2015-06-17,305.9,321.65,302.68,313.88,313.88,4593,0.0,0.0
2015-06-18,311.78,324.24,303.3,309.26,309.26,5621,0.0,0.0
2015-06-19,310.8,324.66,302.54,305.48,305.48,18679,0.0,0.0
2015-06-22,302.4,320.74,302.4,319.9,319.9,6521,0.0,0.0
2015-06-23,319.9,321.44,302.4,307.16,307.16,6536,0.0,0.0
2015-06-24,304.08,314.02,304.08,307.02,307.02,9164,0.0,0.0
2015-06-25,305.62,313.18,271.14,274.4,274.4,18821,0.0,0.0
2015-06-26,272.44,281.82,262.5,275.24,275.24,63743,0.0,0.0
2015-06-29,276.08,276.08,259.14,263.9,263.9,4029,0.0,0.0
2015-06-30,263.34,268.52,254.73,259.28,259.28,3071,0.0,0.0
2015-07-01,258.58,263.06,232.4,238.0,238.0,7079,0.0,0.0
2015-07-02,238.0,238.0,226.24,230.86,230.86,4871,0.0,0.0
2015-07-06,231.0,238.28,220.92,227.36,227.36,4364,0.0,0.0
2015-07-07,226.38,232.96,215.6,226.24,226.24,5407,0.0,0.0
2015-07-08,224.84,224.84,206.64,209.44,209.44,9114,0.0,0.0
2015-07-09,211.12,219.27,211.12,214.62,214.62,4143,0.0,0.0
2015-07-10,218.82,260.82,217.14,257.04,257.04,11729,0.0,0.0
2015-07-13,259.7,274.96,257.6,272.3,272.3,11157,0.0,0.0
2015-07-14,269.5,270.84,247.8,251.44,251.44,9021,0.0,0.0
2015-07-15,249.9,251.16,231.84,244.86,244.86,6671,0.0,0.0
2015-07-16,246.26,254.94,243.46,250.18,250.18,6086,0.0,0.0
2015-07-17,251.3,261.94,237.3,237.72,237.72,9114,0.0,0.0
2015-07-20,240.94,240.94,221.48,223.86,223.86,7707,0.0,0.0
2015-07-21,225.4,225.4,216.3,221.2,221.2,4579,0.0,0.0
2015-07-22,220.08,240.31,220.08,233.8,233.8,7800,0.0,0.0
2015-07-23,245.0,246.23,229.88,233.38,233.38,9186,0.0,0.0
2015-07-24,233.24,256.76,214.56,247.94,247.94,10364,0.0,0.0
2015-07-27,245.98,249.34,239.6,245.28,245.28,2157,0.0,0.0
2015-07-28,240.94,272.86,240.8,264.74,264.74,9814,0.0,0.0
2015-07-29,263.2,263.34,244.44,246.96,246.96,8114,0.0,0.0
2015-07-30,244.38,260.54,244.38,253.96,253.96,4064,0.0,0.0
2015-07-31,256.2,270.31,247.1,262.5,262.5,5757,0.0,0.0
2015-08-03,261.38,284.2,257.74,272.86,272.86,5643,0.0,0.0
2015-08-04,274.68,285.98,274.68,278.32,278.32,3329,0.0,0.0
2015-08-05,282.24,294.0,275.94,291.9,291.9,4136,0.0,0.0
2015-08-06,291.76,291.76,255.5,262.5,262.5,5571,0.0,0.0
2015-08-07,262.5,266.0,259.28,259.28,259.28,3121,0.0,0.0
2015-08-10,260.26,260.26,250.74,253.82,253.82,4807,0.0,0.0
2015-08-11,252.14,252.14,234.78,238.84,238.84,3750,0.0,0.0
2015-08-12,238.28,244.3,228.62,238.42,238.42,2214,0.0,0.0
2015-08-13,237.72,238.56,204.82,206.64,206.64,5800,0.0,0.0
2015-08-14,206.08,209.16,198.38,200.62,200.62,2686,0.0,0.0
2015-08-17,200.34,237.86,200.34,225.4,225.4,7286,0.0,0.0
2015-08-18,225.68,226.66,210.0,211.54,211.54,4650,0.0,0.0
2015-08-19,210.84,216.02,200.62,204.68,204.68,8071,0.0,0.0
2015-08-20,202.72,209.3,199.51,202.86,202.86,3400,0.0,0.0
2015-08-21,197.96,203.0,193.23,196.56,196.56,3571,0.0,0.0
2015-08-24,177.66,203.63,168.7,192.08,192.08,5629,0.0,0.0
2015-08-25,197.4,204.12,186.2,192.22,192.22,9714,0.0,0.0
2015-08-26,197.96,200.2,187.46,200.2,200.2,3293,0.0,0.0
2015-08-27,201.46,222.04,199.5,217.7,217.7,3136,0.0,0.0
2015-08-28,214.9,219.1,200.06,207.06,207.06,8557,0.0,0.0
2015-08-31,203.84,203.84,196.0,202.72,202.72,3000,0.0,0.0
2015-09-01,199.22,210.7,189.84,197.12,197.12,4943,0.0,0.0
2015-09-02,200.34,205.8,190.68,203.14,203.14,5736,0.0,0.0
2015-09-03,203.84,216.3,197.4,206.36,206.36,3457,0.0,0.0
2015-09-04,203.28,205.24,196.84,201.74,201.74,3757,0.0,0.0
2015-09-08,205.1,220.5,204.4,219.94,219.94,4057,0.0,0.0
2015-09-09,221.06,221.06,212.8,216.02,216.02,2900,0.0,0.0
2015-09-10,216.3,259.7,212.94,258.02,258.02,8264,0.0,0.0
2015-09-11,255.36,256.9,232.96,237.44,237.44,6107,0.0,0.0
2015-09-14,237.58,268.49,237.16,262.22,262.22,13771,0.0,0.0
2015-09-15,264.74,275.35,254.66,268.66,268.66,6171,0.0,0.0
2015-09-16,269.08,272.47,260.68,262.92,262.92,6686,0.0,0.0
2015-09-17,263.2,266.49,255.08,259.0,259.0,3814,0.0,0.0
2015-09-18,255.92,264.18,248.5,250.18,250.18,15636,0.0,0.0
2015-09-21,250.04,252.56,226.94,231.7,231.7,4929,0.0,0.0
2015-09-22,228.06,230.02,210.98,217.7,217.7,8893,0.0,0.0
2015-09-23,218.82,222.32,208.6,214.62,214.62,7443,0.0,0.0
2015-09-24,213.78,226.66,193.13,212.66,212.66,8929,0.0,0.0
2015-09-25,212.8,221.2,185.78,185.78,185.78,21321,0.0,0.0
2015-09-28,185.36,185.36,143.29,150.92,150.92,18771,0.0,0.0
2015-09-29,153.3,157.72,134.19,138.18,138.18,10643,0.0,0.0
2015-09-30,137.62,152.32,137.62,143.64,143.64,9221,0.0,0.0
2015-10-01,145.18,145.67,135.1,143.36,143.36,9264,0.0,0.0
2015-10-02,143.22,158.48,135.8,155.26,155.26,6407,0.0,0.0
2015-10-05,156.52,166.74,145.32,158.34,158.34,8586,0.0,0.0
2015-10-06,156.94,164.22,147.7,149.1,149.1,10557,0.0,0.0
2015-10-07,148.68,157.92,141.68,157.5,157.5,5786,0.0,0.0
2015-10-08,155.96,164.64,146.86,161.7,161.7,3579,0.0,0.0
2015-10-09,161.42,170.52,151.34,162.26,162.26,5750,0.0,0.0
2015-10-12,163.24,163.24,154.84,155.54,155.54,1493,0.0,0.0
2015-10-13,152.04,168.56,149.53,155.26,155.26,7207,0.0,0.0
2015-10-14,155.68,159.18,150.5,155.82,155.82,3321,0.0,0.0
2015-10-15,154.7,163.66,145.74,161.42,161.42,4400,0.0,0.0
2015-10-16,161.98,168.0,157.5,159.88,159.88,1679,0.0,0.0
2015-10-19,159.46,168.98,147.7,153.72,153.72,2486,0.0,0.0
2015-10-20,153.3,153.44,136.5,138.6,138.6,10343,0.0,0.0
2015-10-21,141.4,144.2,129.5,134.4,134.4,5471,0.0,0.0
2015-10-22,135.66,143.22,131.46,136.64,136.64,7314,0.0,0.0
2015-10-23,138.6,151.9,133.28,151.48,151.48,4200,0.0,0.0
2015-10-26,151.48,165.06,147.84,160.44,160.44,4043,0.0,0.0
2015-10-27,158.9,167.16,157.64,160.72,160.72,12229,0.0,0.0
2015-10-28,160.3,180.74,154.56,174.86,174.86,3886,0.0,0.0
2015-10-29,171.64,178.08,169.68,172.34,172.34,5057,0.0,0.0
2015-10-30,172.9,177.1,169.26,174.44,174.44,2757,0.0,0.0
2015-11-02,175.84,182.0,172.76,179.2,179.2,5143,0.0,0.0
2015-11-03,178.08,185.64,168.14,171.22,171.22,9671,0.0,0.0
2015-11-04,172.2,173.04,160.72,170.1,170.1,9757,0.0,0.0
2015-11-05,169.96,173.18,163.66,171.36,171.36,4093,0.0,0.0
2015-11-06,170.38,174.09,164.51,169.82,169.82,8600,0.0,0.0
2015-11-09,175.0,175.56,165.62,166.74,166.74,5364,0.0,0.0
2015-11-10,165.34,168.0,157.78,160.72,160.72,5079,0.0,0.0
2015-11-11,162.12,165.2,137.34,137.48,137.48,6000,0.0,0.0
2015-11-12,136.5,140.0,133.28,138.04,138.04,2500,0.0,0.0
2015-11-13,140.0,143.5,136.08,143.22,143.22,5036,0.0,0.0
2015-11-16,143.5,144.2,136.5,139.3,139.3,5879,0.0,0.0
2015-11-17,140.0,141.4,136.64,138.88,138.88,1907,0.0,0.0
2015-11-18,138.6,138.6,133.7,135.66,135.66,7643,0.0,0.0
2015-11-19,136.08,136.08,117.04,121.94,121.94,5557,0.0,0.0
2015-11-20,122.5,124.04,121.66,122.22,122.22,3264,0.0,0.0
2015-11-23,121.24,125.16,116.48,118.58,118.58,9943,0.0,0.0
2015-11-24,119.0,121.38,113.68,117.74,117.74,4936,0.0,0.0
2015-11-25,118.58,121.94,115.79,119.0,119.0,3929,0.0,0.0
2015-11-27,119.0,123.48,118.58,122.36,122.36,3507,0.0,0.0
2015-11-30,121.8,122.92,116.62,119.14,119.14,5043,0.0,0.0
2015-12-01,119.98,119.98,115.08,118.3,118.3,3657,0.0,0.0
2015-12-02,121.24,126.0,116.69,121.8,121.8,4521,0.0,0.0
2015-12-03,122.22,132.01,117.6,123.34,123.34,6464,0.0,0.0
2015-12-04,124.6,124.74,118.86,122.5,122.5,1993,0.0,0.0
2015-12-07,123.62,123.62,106.68,111.44,111.44,5200,0.0,0.0
2015-12-08,110.88,117.74,109.9,113.12,113.12,3479,0.0,0.0
2015-12-09,113.12,114.1,106.4,107.52,107.52,2671,0.0,0.0
2015-12-10,105.7,110.59,103.18,107.66,107.66,4679,0.0,0.0
2015-12-11,105.14,112.28,105.14,106.54,106.54,5521,0.0,0.0
2015-12-14,106.54,118.44,106.26,116.62,116.62,11593,0.0,0.0
2015-12-15,117.04,130.48,116.06,121.94,121.94,9114,0.0,0.0
2015-12-16,123.48,123.48,109.2,119.84,119.84,12671,0.0,0.0
2015-12-17,121.8,148.82,121.8,142.38,142.38,61443,0.0,0.0
2015-12-18,141.26,150.36,129.64,140.98,140.98,56143,0.0,0.0
2015-12-21,142.8,153.02,142.13,150.92,150.92,6243,0.0,0.0
2015-12-22,149.94,152.31,138.39,141.68,141.68,6100,0.0,0.0
2015-12-23,143.5,148.4,132.44,142.24,142.24,4164,0.0,0.0
2015-12-24,142.52,145.74,141.82,143.92,143.92,1493,0.0,0.0
2015-12-28,143.5,144.34,136.51,142.38,142.38,4650,0.0,0.0
2015-12-29,138.74,142.24,133.14,137.2,137.2,4671,0.0,0.0
2015-12-30,135.94,146.16,135.24,140.42,140.42,1836,0.0,0.0
2015-12-31,140.28,141.4,135.24,137.62,137.62,1636,0.0,0.0
2016-01-04,134.82,134.82,126.56,127.82,127.82,4450,0.0,0.0
2016-01-05,123.97,132.72,123.97,131.04,131.04,3007,0.0,0.0
2016-01-06,128.1,129.78,120.82,121.66,121.66,5600,0.0,0.0
2016-01-07,118.3,118.3,101.5,108.08,108.08,18136,0.0,0.0
2016-01-08,109.2,115.22,103.18,104.02,104.02,4207,0.0,0.0
2016-01-11,105.42,126.56,92.4,104.16,104.16,8500,0.0,0.0
2016-01-12,104.02,106.23,96.04,100.1,100.1,4371,0.0,0.0
2016-01-13,99.26,105.7,88.2,91.56,91.56,6700,0.0,0.0
2016-01-14,92.26,92.26,81.54,88.62,88.62,16757,0.0,0.0
2016-01-15,83.86,85.89,79.24,83.16,83.16,13279,0.0,0.0
2016-01-19,85.12,88.76,77.42,84.14,84.14,12293,0.0,0.0
2016-01-20,81.62,85.26,78.68,84.0,84.0,18479,0.0,0.0
2016-01-21,83.86,83.86,77.42,77.84,77.84,6071,0.0,0.0
2016-01-22,79.66,80.78,76.72,80.22,80.22,5364,0.0,0.0
2016-01-25,79.8,89.18,79.8,87.64,87.64,6979,0.0,0.0
2016-01-26,83.02,93.24,82.6,86.8,86.8,20457,0.0,0.0
2016-01-27,86.8,95.34,84.7,85.96,85.96,15050,0.0,0.0
2016-01-28,86.66,86.94,78.54,79.52,79.52,6914,0.0,0.0
2016-01-29,79.38,82.04,71.82,73.92,73.92,6186,0.0,0.0
2016-02-01,74.2,86.66,65.1,76.72,76.72,8614,0.0,0.0
2016-02-02,75.32,75.32,63.0,66.5,66.5,12514,0.0,0.0
2016-02-03,67.06,67.06,60.34,62.58,62.58,8171,0.0,0.0
2016-02-04,63.14,69.27,60.97,64.68,64.68,7379,0.0,0.0
2016-02-05,63.84,66.5,59.56,60.06,60.06,15343,0.0,0.0
2016-02-08,59.64,59.64,54.25,56.98,56.98,16871,0.0,0.0
2016-02-09,56.28,59.5,50.68,54.88,54.88,11793,0.0,0.0
2016-02-10,55.86,58.52,49.83,53.34,53.34,8350,0.0,0.0
2016-02-11,52.08,54.46,49.7,53.2,53.2,11371,0.0,0.0
2016-02-12,54.6,58.94,49.0,57.54,57.54,9300,0.0,0.0
2016-02-16,57.82,63.14,57.26,60.62,60.62,4457,0.0,0.0
2016-02-17,61.46,63.98,58.24,63.28,63.28,3343,0.0,0.0
2016-02-18,64.82,64.82,59.78,60.9,60.9,1964,0.0,0.0
2016-02-19,60.76,63.28,52.08,60.76,60.76,2050,0.0,0.0
2016-02-22,61.32,63.28,59.22,61.32,61.32,3679,0.0,0.0
2016-02-23,61.6,62.16,57.4,58.1,58.1,3343,0.0,0.0
2016-02-24,57.4,64.26,55.3,64.26,64.26,38029,0.0,0.0
2016-02-25,64.26,64.54,59.5,60.34,60.34,5664,0.0,0.0
2016-02-26,60.76,64.4,58.38,64.12,64.12,8564,0.0,0.0
2016-02-29,64.54,65.73,61.6,62.58,62.58,3964,0.0,0.0
2016-03-01,63.0,70.0,62.58,69.16,69.16,7443,0.0,0.0
2016-03-02,69.3,74.62,67.48,73.5,73.5,9379,0.0,0.0
2016-03-03,74.62,74.62,70.0,71.96,71.96,6679,0.0,0.0
2016-03-04,72.38,79.66,70.84,78.82,78.82,7571,0.0,0.0
2016-03-07,78.68,88.06,77.7,87.5,87.5,9929,0.0,0.0
2016-03-08,88.48,89.74,75.32,76.58,76.58,8621,0.0,0.0
2016-03-09,77.0,77.0,70.98,74.2,74.2,3907,0.0,0.0
2016-03-10,75.32,77.14,70.14,71.12,71.12,6464,0.0,0.0
2016-03-11,76.86,76.86,68.04,71.4,71.4,6543,0.0,0.0
2016-03-14,71.54,81.2,71.54,78.26,78.26,5907,0.0,0.0
2016-03-15,77.98,82.74,73.29,77.0,77.0,7279,0.0,0.0
2016-03-16,77.0,79.31,68.46,75.18,75.18,7429,0.0,0.0
2016-03-17,75.32,78.19,71.82,75.32,75.32,2593,0.0,0.0
2016-03-18,76.16,80.22,73.78,74.2,74.2,12729,0.0,0.0
2016-03-21,77.28,84.14,77.28,79.94,79.94,13064,0.0,0.0
2016-03-22,79.52,81.69,75.04,76.44,76.44,6721,0.0,0.0
2016-03-23,76.06,76.06,68.32,70.0,70.0,6207,0.0,0.0
2016-03-24,68.88,72.24,65.94,70.14,70.14,3400,0.0,0.0
2016-03-28,70.98,74.48,67.62,69.3,69.3,7021,0.0,0.0
2016-03-29,69.3,71.96,64.54,70.7,70.7,20964,0.0,0.0
2016-03-30,76.65,76.65,66.5,68.04,68.04,10879,0.0,0.0
2016-03-31,69.86,70.0,51.28,55.16,55.16,76736,0.0,0.0
2016-04-01,56.0,57.12,52.78,53.34,53.34,29036,0.0,0.0
2016-04-04,54.04,54.18,50.4,50.4,50.4,20136,0.0,0.0
2016-04-05,49.56,50.12,48.23,48.58,48.58,23300,0.0,0.0
2016-04-06,48.44,49.28,44.1,44.66,44.66,95500,0.0,0.0
2016-04-07,45.5,46.34,42.56,44.8,44.8,149543,0.0,0.0
2016-04-08,45.5,47.74,42.42,44.8,44.8,265721,0.0,0.0
2016-04-11,46.76,51.52,46.48,50.68,50.68,165943,0.0,0.0
2016-04-12,51.8,54.6,48.3,54.18,54.18,125850,0.0,0.0
2016-04-13,54.74,56.28,52.08,55.86,55.86,69279,0.0,0.0
2016-04-14,56.0,61.04,54.04,59.08,59.08,115121,0.0,0.0
2016-04-15,59.5,60.2,55.02,58.66,58.66,58864,0.0,0.0
2016-04-18,59.22,60.2,55.72,55.86,55.86,51929,0.0,0.0
2016-04-19,56.42,57.68,53.06,53.48,53.48,37557,0.0,0.0
2016-04-20,54.04,56.84,53.48,54.74,54.74,27714,0.0,0.0
2016-04-21,54.88,56.7,54.04,56.14,56.14,28164,0.0,0.0
2016-04-22,56.14,58.8,55.16,58.52,58.52,20179,0.0,0.0
2016-04-25,58.66,58.8,54.85,55.44,55.44,26293,0.0,0.0
2016-04-26,56.0,56.0,52.36,54.18,54.18,18614,0.0,0.0
2016-04-27,54.18,55.02,52.92,53.48,53.48,15843,0.0,0.0
2016-04-28,53.62,54.32,52.15,52.64,52.64,22629,0.0,0.0
2016-04-29,52.36,52.36,48.02,49.84,49.84,26621,0.0,0.0
2016-05-02,50.4,51.97,48.44,51.38,51.38,29921,0.0,0.0
2016-05-03,50.4,51.27,48.3,48.72,48.72,16814,0.0,0.0
2016-05-04,48.16,49.42,45.78,46.76,46.76,24307,0.0,0.0
2016-05-05,47.18,47.18,44.1,45.08,45.08,16664,0.0,0.0
2016-05-06,45.36,45.36,42.84,43.4,43.4,15043,0.0,0.0
2016-05-09,43.68,45.92,43.12,45.22,45.22,13950,0.0,0.0
2016-05-10,45.92,45.92,42.91,43.96,43.96,10921,0.0,0.0
2016-05-11,43.96,43.96,41.72,42.14,42.14,15493,0.0,0.0
2016-05-12,43.96,43.96,39.34,40.04,40.04,21221,0.0,0.0
2016-05-13,40.04,41.86,39.34,40.74,40.74,6671,0.0,0.0
2016-05-16,41.44,43.4,40.46,42.84,42.84,14293,0.0,0.0
2016-05-17,42.7,44.38,42.7,44.1,44.1,17271,0.0,0.0
2016-05-18,43.82,44.66,43.4,43.4,43.4,7036,0.0,0.0
2016-05-19,42.98,43.89,40.74,42.14,42.14,9950,0.0,0.0
2016-05-20,42.28,44.52,42.0,44.1,44.1,9836,0.0,0.0
2016-05-23,44.24,46.06,43.4,45.08,45.08,10757,0.0,0.0
2016-05-24,45.36,47.04,44.52,46.62,46.62,12636,0.0,0.0
2016-05-25,46.9,47.46,44.24,46.2,46.2,18264,0.0,0.0
2016-05-26,46.48,46.9,44.24,44.94,44.94,8336,0.0,0.0
2016-05-27,45.08,47.04,44.44,45.22,45.22,7136,0.0,0.0
2016-05-31,45.78,46.98,45.5,46.34,46.34,13171,0.0,0.0
2016-06-01,46.34,48.72,45.5,48.72,48.72,15664,0.0,0.0
2016-06-02,48.72,49.84,48.02,49.84,49.84,7621,0.0,0.0
2016-06-03,49.7,49.98,47.04,48.58,48.58,6971,0.0,0.0
2016-06-06,48.3,49.7,46.9,48.86,48.86,18607,0.0,0.0
2016-06-07,49.56,49.7,45.78,45.92,45.92,21857,0.0,0.0
2016-06-08,46.62,46.76,44.1,45.08,45.08,12607,0.0,0.0
2016-06-09,44.94,46.34,43.26,43.82,43.82,17707,0.0,0.0
2016-06-10,43.82,44.51,42.42,42.98,42.98,10571,0.0,0.0
2016-06-13,42.42,44.46,42.0,43.4,43.4,14150,0.0,0.0
2016-06-14,43.4,44.1,41.3,42.14,42.14,8129,0.0,0.0
2016-06-15,42.14,44.1,41.3,42.14,42.14,11457,0.0,0.0
2016-06-16,41.58,42.7,40.46,40.88,40.88,27343,0.0,0.0
2016-06-17,41.16,41.3,38.78,39.2,39.2,16657,0.0,0.0
2016-06-20,39.34,40.32,37.94,38.36,38.36,13914,0.0,0.0
2016-06-21,38.64,39.48,36.96,38.92,38.92,13036,0.0,0.0
2016-06-22,39.34,41.3,38.36,39.2,39.2,12500,0.0,0.0
2016-06-23,39.9,41.44,39.76,41.16,41.16,8643,0.0,0.0
2016-06-24,39.2,40.18,38.5,40.04,40.04,46943,0.0,0.0
2016-06-27,39.34,40.18,35.7,35.84,35.84,10979,0.0,0.0
2016-06-28,37.1,37.8,35.0,35.42,35.42,8793,0.0,0.0
2016-06-29,36.26,38.5,34.72,37.8,37.8,7736,0.0,0.0
2016-06-30,37.66,39.2,37.1,38.92,38.92,6071,0.0,0.0
2016-07-01,38.92,41.16,38.5,41.16,41.16,12343,0.0,0.0
2016-07-05,41.16,41.16,38.78,39.34,39.34,4207,0.0,0.0
2016-07-06,39.34,40.18,38.5,39.34,39.34,4721,0.0,0.0
2016-07-07,39.76,41.02,37.94,38.36,38.36,12936,0.0,0.0
2016-07-08,38.5,40.18,38.22,39.9,39.9,6629,0.0,0.0
2016-07-11,40.46,40.46,37.38,38.22,38.22,8471,0.0,0.0
2016-07-12,39.2,39.2,37.94,38.36,38.36,6457,0.0,0.0
2016-07-13,38.36,39.62,36.96,37.52,37.52,22350,0.0,0.0
2016-07-14,37.8,38.64,36.96,37.38,37.38,3550,0.0,0.0
2016-07-15,36.82,37.94,36.76,37.8,37.8,2179,0.0,0.0
2016-07-18,37.8,38.08,36.96,38.08,38.08,4014,0.0,0.0
2016-07-19,38.08,39.06,36.68,36.68,36.68,7279,0.0,0.0
2016-07-20,36.96,43.4,36.96,42.84,42.84,54364,0.0,0.0
2016-07-21,43.26,47.46,41.16,41.44,41.44,77857,0.0,0.0
2016-07-22,41.44,41.44,40.04,40.6,40.6,15436,0.0,0.0
2016-07-25,40.74,40.88,39.9,40.32,40.32,4800,0.0,0.0
2016-07-26,40.04,40.88,39.9,40.32,40.32,6086,0.0,0.0
2016-07-27,40.46,43.54,40.46,43.4,43.4,13121,0.0,0.0
2016-07-28,43.12,43.96,40.32,41.58,41.58,22600,0.0,0.0
2016-07-29,41.58,48.02,40.75,47.74,47.74,102057,0.0,0.0
2016-08-01,48.86,52.08,44.1,44.38,44.38,69186,0.0,0.0
2016-08-02,44.38,46.48,42.14,43.26,43.26,20736,0.0,0.0
2016-08-03,42.84,47.6,42.84,46.06,46.06,26857,0.0,0.0
2016-08-04,46.62,47.88,44.24,44.8,44.8,12114,0.0,0.0
2016-08-05,45.08,47.88,45.08,46.34,46.34,21179,0.0,0.0
2016-08-08,47.74,47.91,45.78,46.2,46.2,7671,0.0,0.0
2016-08-09,46.2,46.2,44.1,44.52,44.52,7214,0.0,0.0
2016-08-10,44.24,44.94,41.02,41.58,41.58,19450,0.0,0.0
2016-08-11,41.16,45.5,41.16,45.08,45.08,15550,0.0,0.0
2016-08-12,45.78,48.61,44.8,47.88,47.88,22364,0.0,0.0
2016-08-15,47.74,53.9,46.62,51.24,51.24,60650,0.0,0.0
2016-08-16,49.7,50.82,47.46,49.28,49.28,17586,0.0,0.0
2016-08-17,49.7,50.75,46.77,47.32,47.32,8857,0.0,0.0
2016-08-18,47.18,48.3,44.66,47.18,47.18,29307,0.0,0.0
2016-08-19,46.06,47.46,44.8,46.76,46.76,8464,0.0,0.0
