Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2015-07-02,41.48,52.87,41.48,46.76,46.76,796705,0.0,0.0
2015-07-06,46.64,47.24,43.96,47.13,47.13,848482,0.0,0.0
2015-07-07,46.99,47.54,43.69,44.21,44.21,452835,0.0,0.0
2015-07-08,43.28,44.27,41.74,42.07,42.07,850392,0.0,0.0
2015-07-09,41.87,42.43,40.26,40.58,40.58,688165,0.0,0.0
2015-07-10,39.22,42.57,39.21,41.89,41.89,900365,0.0,0.0
2015-07-13,41.43,45.27,40.75,45.08,45.08,736122,0.0,0.0
2015-07-14,44.99,44.99,42.58,43.46,43.46,400846,0.0,0.0
2015-07-15,43.12,43.3,42.41,43.15,43.15,224295,0.0,0.0
2015-07-16,43.18,43.49,42.72,43.21,43.21,344082,0.0,0.0
2015-07-17,43.37,47.3,43.06,46.76,46.76,318300,0.0,0.0
2015-07-20,46.91,46.91,45.06,45.61,45.61,198619,0.0,0.0
2015-07-21,45.8,45.82,44.42,44.63,44.63,158089,0.0,0.0
2015-07-22,44.84,45.85,44.09,44.37,44.37,237240,0.0,0.0
2015-07-23,44.3,44.44,43.83,43.91,43.91,101007,0.0,0.0
2015-07-24,43.86,44.3,42.5,42.51,42.51,183659,0.0,0.0
2015-07-27,42.32,42.7,41.0,41.24,41.24,212731,0.0,0.0
2015-07-28,41.53,42.46,39.96,41.37,41.37,270343,0.0,0.0
2015-07-29,41.39,41.76,40.26,40.58,40.58,148964,0.0,0.0
2015-07-30,40.3,42.45,40.3,40.89,40.89,93474,0.0,0.0
2015-07-31,40.56,42.41,40.08,40.3,40.3,245409,0.0,0.0
2015-08-03,41.09,41.9,39.89,40.1,40.1,113421,0.0,0.0
2015-08-04,40.1,40.61,39.97,40.49,40.49,216338,0.0,0.0
2015-08-05,40.58,41.47,40.11,40.26,40.26,320634,0.0,0.0
2015-08-06,40.25,40.25,38.7,39.19,39.19,206365,0.0,0.0
2015-08-07,39.17,39.31,37.27,37.76,37.76,216868,0.0,0.0
2015-08-10,37.96,38.11,37.44,37.81,37.81,328592,0.0,0.0
2015-08-11,37.7,38.07,36.99,37.27,37.27,467264,0.0,0.0
2015-08-12,37.26,37.35,36.51,36.66,36.66,383445,0.0,0.0
2015-08-13,36.67,36.8,36.29,36.69,36.69,420899,0.0,0.0
2015-08-14,36.7,37.35,36.5,37.05,37.05,110768,0.0,0.0
2015-08-17,36.99,37.45,36.73,36.8,36.8,300263,0.0,0.0
2015-08-18,36.78,36.97,36.48,36.64,36.64,218354,0.0,0.0
2015-08-19,36.24,36.5,35.86,35.99,35.99,184508,0.0,0.0
2015-08-20,35.82,35.85,34.86,34.93,34.93,158089,0.0,0.0
2015-08-21,34.57,35.02,34.35,34.59,34.59,129230,0.0,0.0
2015-08-24,32.95,34.49,31.88,33.12,33.12,181643,0.0,0.0
2015-08-25,34.01,34.01,31.24,31.7,31.7,283924,0.0,0.0
2015-08-26,32.38,32.38,31.23,31.57,31.57,153739,0.0,0.0
2015-08-27,31.69,32.64,31.69,32.56,32.56,168699,0.0,0.0
2015-08-28,32.37,33.13,32.37,32.91,32.91,110981,0.0,0.0
2015-08-31,32.9,32.98,32.14,32.39,32.39,91352,0.0,0.0
2015-09-01,31.55,32.36,30.3,30.4,30.4,156498,0.0,0.0
2015-09-02,31.12,31.12,30.28,30.68,30.68,81060,0.0,0.0
2015-09-03,30.57,31.65,30.52,31.1,31.1,43819,0.0,0.0
2015-09-04,30.74,30.86,30.1,30.74,30.74,120636,0.0,0.0
2015-09-08,31.29,33.18,31.29,32.9,32.9,123819,0.0,0.0
2015-09-09,33.2,34.22,33.06,33.66,33.66,67374,0.0,0.0
2015-09-10,33.6,36.43,33.6,36.16,36.16,110450,0.0,0.0
2015-09-11,35.82,36.96,35.69,36.54,36.54,253367,0.0,0.0
2015-09-14,36.54,36.99,34.27,34.5,34.5,97400,0.0,0.0
2015-09-15,34.32,34.89,34.21,34.82,34.82,78832,0.0,0.0
2015-09-16,34.9,34.95,33.99,34.39,34.39,70875,0.0,0.0
2015-09-17,34.45,35.07,34.4,34.82,34.82,124880,0.0,0.0
2015-09-18,33.73,34.54,33.73,34.24,34.24,284454,0.0,0.0
