Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1997-03-27,2.06,2.09,2.0,2.02,1.55,10659200,0.0,0.0
1997-03-31,2.05,2.05,2.0,2.03,1.56,1594400,0.0,0.0
1997-04-01,2.08,2.09,2.03,2.09,1.61,2324000,0.0,0.0
1997-04-02,2.13,2.14,2.06,2.06,1.58,745600,0.0,0.0
1997-04-03,2.09,2.11,2.05,2.09,1.61,651200,0.0,0.0
1997-04-04,2.09,2.14,2.09,2.13,1.64,1029600,0.0,0.0
1997-04-07,2.14,2.17,2.14,2.16,1.65,299200,0.0,0.0
1997-04-08,2.19,2.2,2.16,2.2,1.69,464800,0.0,0.0
1997-04-09,2.22,2.26,2.2,2.22,1.7,406400,0.0,0.0
1997-04-10,2.23,2.27,2.23,2.25,1.73,343200,0.0,0.0
1997-04-11,2.25,2.27,2.2,2.22,1.7,656800,0.0,0.0
1997-04-14,2.23,2.23,2.2,2.23,1.71,246400,0.0,0.0
1997-04-15,2.27,2.28,2.23,2.27,1.74,120000,0.0,0.0
1997-04-16,2.31,2.31,2.27,2.27,1.74,83200,0.0,0.0
1997-04-17,2.28,2.31,2.25,2.27,1.74,420000,0.0,0.0
1997-04-18,2.31,2.36,2.31,2.34,1.8,307200,0.0,0.0
1997-04-21,2.38,2.38,2.33,2.36,1.81,76000,0.0,0.0
1997-04-22,2.34,2.38,2.34,2.38,1.82,119200,0.0,0.0
1997-04-23,2.34,2.34,2.31,2.34,1.79,148000,0.0,0.0
1997-04-24,2.36,2.36,2.33,2.36,1.81,169600,0.0,0.0
1997-04-25,2.34,2.34,2.31,2.31,1.77,455200,0.0,0.0
1997-04-28,2.31,2.31,2.28,2.28,1.75,67200,0.0,0.0
1997-04-29,2.28,2.31,2.28,2.31,1.77,5600,0.0,0.0
1997-04-30,2.33,2.33,2.3,2.3,1.76,15200,0.0,0.0
1997-05-01,2.33,2.33,2.33,2.33,1.79,1600,0.0,0.0
1997-05-02,2.28,2.3,2.28,2.28,1.75,165600,0.0,0.0
1997-05-05,2.28,2.3,2.25,2.27,1.74,464000,0.0,0.0
1997-05-06,2.36,2.36,2.27,2.28,1.75,716800,0.0,0.0
1997-05-07,2.25,2.25,2.14,2.14,1.64,1116800,0.0,0.0
1997-05-08,2.16,2.2,2.16,2.2,1.69,239200,0.0,0.0
1997-05-09,2.23,2.24,2.19,2.19,1.68,714400,0.0,0.0
