Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1984-05-04,0.0,2.25,2.22,2.22,1.95,2578950,0.0,0.0
1984-05-07,0.0,2.25,2.19,2.19,1.92,102600,0.0,0.0
1984-05-08,0.0,2.22,2.19,2.19,1.92,137250,0.0,0.0
1984-05-09,0.0,2.22,2.19,2.19,1.92,741600,0.0,0.0
1984-05-10,0.0,2.19,2.14,2.14,1.88,303750,0.0,0.0
1984-05-11,0.0,2.17,2.11,2.11,1.85,228150,0.0,0.0
1984-05-14,0.0,2.19,2.11,2.11,1.85,49950,0.0,0.0
1984-05-15,0.0,2.22,2.17,2.17,1.9,43650,0.0,0.0
1984-05-16,0.0,2.22,2.17,2.17,1.9,35100,0.0,0.0
1984-05-17,0.0,2.19,2.17,2.17,1.9,65250,0.0,0.0
1984-05-18,0.0,1.94,1.89,1.89,1.66,384750,0.0,0.0
1984-05-21,0.0,1.94,1.89,1.89,1.66,225450,0.0,0.0
1984-05-22,0.0,1.94,1.89,1.89,1.66,12150,0.0,0.0
1984-05-23,0.0,1.94,1.92,1.92,1.68,14850,0.0,0.0
1984-05-24,0.0,1.94,1.92,1.92,1.68,23400,0.0,0.0
1984-05-25,0.0,1.94,1.92,1.92,1.68,158400,0.0,0.0
1984-05-29,0.0,1.97,1.92,1.92,1.68,19350,0.0,0.0
1984-05-30,0.0,1.94,1.92,1.92,1.68,33300,0.0,0.0
1984-05-31,0.0,1.94,1.92,1.92,1.68,450,0.0,0.0
1984-06-01,0.0,2.03,1.97,1.97,1.73,103050,0.0,0.0
1984-06-04,0.0,2.06,2.0,2.0,1.75,7200,0.0,0.0
1984-06-05,0.0,2.06,2.03,2.03,1.78,103500,0.0,0.0
1984-06-06,0.0,2.06,2.03,2.03,1.78,148950,0.0,0.0
1984-06-07,0.0,2.14,2.08,2.08,1.83,41400,0.0,0.0
1984-06-08,0.0,2.14,2.08,2.08,1.83,117450,0.0,0.0
1984-06-11,0.0,2.17,2.08,2.08,1.83,120150,0.0,0.0
1984-06-12,0.0,2.17,2.11,2.11,1.85,126450,0.0,0.0
1984-06-13,0.0,2.19,2.11,2.11,1.85,72900,0.0,0.0
1984-06-14,0.0,2.22,2.11,2.11,1.85,10350,0.0,0.0
1984-06-15,0.0,2.22,2.11,2.11,1.85,1350,0.0,0.0
1984-06-18,0.0,2.22,2.11,2.11,1.85,4500,0.0,0.0
1984-06-19,0.0,2.22,2.14,2.14,1.88,5850,0.0,0.0
1984-06-20,0.0,2.19,2.14,2.14,1.88,20700,0.0,0.0
1984-06-21,0.0,2.19,2.14,2.14,1.88,10800,0.0,0.0
1984-06-22,0.0,2.19,2.14,2.14,1.88,14850,0.0,0.0
1984-06-25,0.0,2.17,2.11,2.11,1.85,10800,0.0,0.0
1984-06-26,0.0,2.17,2.06,2.06,1.8,15300,0.0,0.0
1984-06-27,0.0,2.14,2.06,2.06,1.8,2700,0.0,0.0
1984-06-28,0.0,2.06,2.0,2.0,1.75,60300,0.0,0.0
1984-06-29,0.0,2.06,2.0,2.0,1.75,3600,0.0,0.0
1984-07-02,0.0,2.03,2.0,2.0,1.75,3600,0.0,0.0
1984-07-03,0.0,1.94,1.89,1.89,1.66,9000,0.0,0.0
1984-07-05,0.0,1.94,1.89,1.89,1.66,4050,0.0,0.0
1984-07-06,0.0,1.94,1.89,1.89,1.66,4500,0.0,0.0
1984-07-09,0.0,1.92,1.83,1.83,1.61,6750,0.0,0.0
1984-07-10,0.0,1.92,1.83,1.83,1.61,900,0.0,0.0
1984-07-11,0.0,1.94,1.86,1.86,1.63,48150,0.0,0.0
1984-07-12,0.0,1.92,1.86,1.86,1.63,382950,0.0,0.0
1984-07-13,0.0,1.94,1.86,1.86,1.63,45000,0.0,0.0
1984-07-16,0.0,1.94,1.86,1.86,1.63,44550,0.0,0.0
1984-07-17,0.0,1.94,1.86,1.86,1.63,1350,0.0,0.0
1984-07-18,0.0,1.94,1.89,1.89,1.66,2700,0.0,0.0
1984-07-19,0.0,2.0,1.92,1.92,1.68,74700,0.0,0.0
1984-07-20,0.0,2.0,1.92,1.92,1.68,13500,0.0,0.0
1984-07-23,0.0,1.97,1.92,1.92,1.68,11700,0.0,0.0
1984-07-24,0.0,1.97,1.92,1.92,1.68,4950,0.0,0.0
1984-07-25,0.0,1.97,1.92,1.92,1.68,9000,0.0,0.0
1984-07-26,0.0,1.97,1.92,1.92,1.68,1350,0.0,0.0
1984-07-27,0.0,1.97,1.92,1.92,1.68,13050,0.0,0.0
1984-07-30,0.0,1.97,1.89,1.89,1.66,26100,0.0,0.0
1984-07-31,0.0,1.97,1.89,1.89,1.66,2250,0.0,0.0
1984-08-01,0.0,1.97,1.89,1.89,1.66,13500,0.0,0.0
1984-08-02,0.0,1.97,1.92,1.92,1.68,112950,0.0,0.0
1984-08-03,0.0,2.08,2.03,2.03,1.78,177750,0.0,0.0
1984-08-06,0.0,2.19,2.14,2.14,1.88,56250,0.0,0.0
1984-08-07,0.0,2.19,2.11,2.11,1.85,38700,0.0,0.0
1984-08-08,0.0,2.19,2.11,2.11,1.85,15750,0.0,0.0
1984-08-09,0.0,2.19,2.11,2.11,1.85,111150,0.0,0.0
1984-08-10,0.0,2.22,2.11,2.11,1.85,159300,0.0,0.0
1984-08-13,0.0,2.22,2.17,2.17,1.9,49500,0.0,0.0
1984-08-14,0.0,2.22,2.17,2.17,1.9,10800,0.0,0.0
1984-08-15,0.0,2.22,2.17,2.17,1.9,79650,0.0,0.0
1984-08-16,0.0,2.22,2.17,2.17,1.9,106200,0.0,0.0
1984-08-17,0.0,2.22,2.17,2.17,1.9,40950,0.0,0.0
1984-08-20,0.0,2.22,2.17,2.17,1.9,29700,0.0,0.0
1984-08-21,0.0,2.22,2.17,2.17,1.9,58050,0.0,0.0
1984-08-22,0.0,2.33,2.28,2.28,2.0,629550,0.0,0.0
1984-08-23,0.0,2.28,2.22,2.22,1.95,37350,0.0,0.0
1984-08-24,0.0,2.28,2.22,2.22,1.95,17100,0.0,0.0
1984-08-27,0.0,2.25,2.17,2.17,1.9,33750,0.0,0.0
1984-08-28,0.0,2.25,2.17,2.17,1.9,13050,0.0,0.0
1984-08-29,0.0,2.22,2.17,2.17,1.9,14850,0.0,0.0
1984-08-30,0.0,2.28,2.19,2.19,1.92,192150,0.0,0.0
1984-08-31,0.0,2.28,2.19,2.19,1.92,7650,0.0,0.0
1984-09-04,0.0,2.28,2.22,2.22,1.95,43650,0.0,0.0
1984-09-05,0.0,2.28,2.22,2.22,1.95,190350,0.0,0.0
1984-09-06,0.0,2.28,2.22,2.22,1.95,11700,0.0,0.0
1984-09-07,0.0,2.42,2.36,2.36,2.07,136350,0.0,0.0
1984-09-10,0.0,2.42,2.36,2.36,2.07,64350,0.0,0.0
1984-09-11,0.0,2.47,2.42,2.42,2.12,209250,0.0,0.0
1984-09-12,0.0,2.5,2.44,2.44,2.14,32850,0.0,0.0
1984-09-13,0.0,2.58,2.53,2.53,2.22,142200,0.0,0.0
1984-09-14,0.0,2.64,2.58,2.58,2.27,819900,0.0,0.0
1984-09-17,0.0,2.69,2.64,2.64,2.31,207450,0.0,0.0
1984-09-18,0.0,2.69,2.64,2.64,2.31,157050,0.0,0.0
1984-09-19,0.0,2.67,2.64,2.64,2.31,91350,0.0,0.0
1984-09-20,0.0,2.44,2.39,2.39,2.1,410400,0.0,0.0
1984-09-21,0.0,2.44,2.39,2.39,2.1,397350,0.0,0.0
1984-09-24,0.0,2.44,2.39,2.39,2.1,347400,0.0,0.0
1984-09-25,0.0,2.28,2.22,2.22,1.95,98550,0.0,0.0
1984-09-26,0.0,2.25,2.19,2.19,1.92,66600,0.0,0.0
1984-09-27,0.0,2.19,2.14,2.14,1.88,199800,0.0,0.0
1984-09-28,0.0,2.08,2.0,2.0,1.75,72000,0.0,0.0
1984-10-01,0.0,2.0,1.94,1.94,1.71,30600,0.0,0.0
1984-10-02,0.0,1.94,1.89,1.89,1.66,479700,0.0,0.0
1984-10-03,0.0,1.94,1.89,1.89,1.66,3150,0.0,0.0
1984-10-04,0.0,1.92,1.86,1.86,1.63,7200,0.0,0.0
1984-10-05,0.0,1.89,1.86,1.86,1.63,33300,0.0,0.0
1984-10-08,0.0,1.89,1.86,1.86,1.63,4500,0.0,0.0
1984-10-09,0.0,1.89,1.86,1.86,1.63,495000,0.0,0.0
1984-10-10,0.0,1.89,1.86,1.86,1.63,23850,0.0,0.0
1984-10-11,0.0,1.89,1.86,1.86,1.63,71100,0.0,0.0
1984-10-12,0.0,1.89,1.86,1.86,1.63,27000,0.0,0.0
1984-10-15,0.0,1.86,1.78,1.78,1.56,53550,0.0,0.0
1984-10-16,0.0,1.78,1.72,1.72,1.51,50400,0.0,0.0
1984-10-17,0.0,1.72,1.67,1.67,1.46,96750,0.0,0.0
1984-10-18,0.0,1.72,1.67,1.67,1.46,98100,0.0,0.0
1984-10-19,0.0,1.72,1.67,1.67,1.46,68400,0.0,0.0
1984-10-22,0.0,1.72,1.67,1.67,1.46,31050,0.0,0.0
1984-10-23,0.0,1.72,1.67,1.67,1.46,18450,0.0,0.0
1984-10-24,0.0,1.72,1.67,1.67,1.46,95850,0.0,0.0
1984-10-25,0.0,1.72,1.67,1.67,1.46,24750,0.0,0.0
1984-10-26,0.0,1.69,1.67,1.67,1.46,6300,0.0,0.0
1984-10-29,0.0,1.69,1.67,1.67,1.46,166500,0.0,0.0
1984-10-30,0.0,1.89,1.78,1.78,1.56,767700,0.0,0.0
1984-10-31,0.0,1.89,1.81,1.81,1.58,43200,0.0,0.0
1984-11-01,0.0,1.89,1.83,1.83,1.61,79200,0.0,0.0
1984-11-02,0.0,1.89,1.83,1.83,1.61,784350,0.0,0.0
1984-11-05,0.0,1.94,1.92,1.92,1.68,54450,0.0,0.0
1984-11-06,0.0,1.94,1.89,1.89,1.66,12150,0.0,0.0
1984-11-07,0.0,1.94,1.89,1.89,1.66,8100,0.0,0.0
1984-11-08,0.0,1.97,1.89,1.89,1.66,15750,0.0,0.0
1984-11-09,0.0,1.97,1.89,1.89,1.66,92700,0.0,0.0
1984-11-12,0.0,2.0,1.92,1.92,1.68,53100,0.0,0.0
1984-11-13,0.0,2.0,1.94,1.94,1.71,41400,0.0,0.0
1984-11-14,0.0,2.0,1.94,1.94,1.71,50850,0.0,0.0
1984-11-15,0.0,2.0,1.94,1.94,1.71,40050,0.0,0.0
1984-11-16,0.0,2.03,1.94,1.94,1.71,8100,0.0,0.0
1984-11-19,0.0,2.03,1.94,1.94,1.71,88650,0.0,0.0
1984-11-20,0.0,1.97,1.92,1.92,1.68,79650,0.0,0.0
1984-11-21,0.0,1.86,1.81,1.81,1.58,27450,0.0,0.0
1984-11-23,0.0,1.86,1.81,1.81,1.58,7650,0.0,0.0
1984-11-26,0.0,1.86,1.81,1.81,1.58,103050,0.0,0.0
1984-11-27,0.0,1.86,1.81,1.81,1.58,3600,0.0,0.0
1984-11-28,0.0,1.86,1.83,1.83,1.61,56700,0.0,0.0
1984-11-29,0.0,1.86,1.83,1.83,1.61,42300,0.0,0.0
1984-11-30,0.0,1.89,1.83,1.83,1.61,113850,0.0,0.0
1984-12-03,0.0,1.89,1.83,1.83,1.61,14850,0.0,0.0
1984-12-04,0.0,1.89,1.83,1.83,1.61,39150,0.0,0.0
1984-12-05,0.0,1.89,1.83,1.83,1.61,11250,0.0,0.0
1984-12-06,0.0,1.92,1.86,1.86,1.63,23850,0.0,0.0
1984-12-07,0.0,1.92,1.89,1.89,1.66,6750,0.0,0.0
1984-12-10,0.0,1.94,1.89,1.89,1.66,18900,0.0,0.0
1984-12-11,0.0,1.94,1.89,1.89,1.66,10800,0.0,0.0
1984-12-12,0.0,1.94,1.89,1.89,1.66,13500,0.0,0.0
1984-12-13,0.0,1.94,1.89,1.89,1.66,31950,0.0,0.0
1984-12-14,0.0,1.92,1.83,1.83,1.61,3150,0.0,0.0
1984-12-17,0.0,1.92,1.83,1.83,1.61,29250,0.0,0.0
1984-12-18,0.0,1.92,1.86,1.86,1.63,94950,0.0,0.0
1984-12-19,0.0,1.89,1.83,1.83,1.61,27450,0.0,0.0
1984-12-20,0.0,1.81,1.75,1.75,1.53,407250,0.0,0.0
1984-12-21,0.0,1.81,1.72,1.72,1.51,97200,0.0,0.0
1984-12-24,0.0,1.81,1.72,1.72,1.51,1800,0.0,0.0
1984-12-26,0.0,1.81,1.72,1.72,1.51,7650,0.0,0.0
1984-12-27,0.0,1.81,1.75,1.75,1.53,99450,0.0,0.0
1984-12-28,0.0,1.86,1.83,1.83,1.61,175050,0.0,0.0
1984-12-31,0.0,1.86,1.83,1.83,1.61,30150,0.0,0.0
1985-01-02,0.0,1.86,1.83,1.83,1.61,92700,0.0,0.0
1985-01-03,0.0,1.86,1.81,1.81,1.58,13950,0.0,0.0
1985-01-04,0.0,1.78,1.72,1.72,1.51,30600,0.0,0.0
1985-01-07,0.0,1.61,1.56,1.56,1.36,41400,0.0,0.0
1985-01-08,0.0,1.53,1.47,1.47,1.29,27000,0.0,0.0
1985-01-09,0.0,1.58,1.53,1.53,1.34,189000,0.0,0.0
1985-01-10,0.0,1.64,1.58,1.58,1.39,9450,0.0,0.0
1985-01-11,0.0,1.64,1.61,1.61,1.41,56250,0.0,0.0
1985-01-14,0.0,1.75,1.72,1.72,1.51,159750,0.0,0.0
1985-01-15,0.0,1.83,1.81,1.81,1.58,158850,0.0,0.0
1985-01-16,0.0,1.89,1.86,1.86,1.63,149400,0.0,0.0
1985-01-17,0.0,1.97,1.92,1.92,1.68,211500,0.0,0.0
1985-01-18,0.0,2.06,2.0,2.0,1.75,221850,0.0,0.0
1985-01-21,0.0,2.03,2.0,2.0,1.75,131400,0.0,0.0
1985-01-22,0.0,2.0,1.97,1.97,1.73,69300,0.0,0.0
1985-01-23,0.0,2.06,2.0,2.0,1.75,72450,0.0,0.0
1985-01-24,0.0,2.28,2.22,2.22,1.95,135450,0.0,0.0
1985-01-25,0.0,2.42,2.36,2.36,2.07,230850,0.0,0.0
1985-01-28,0.0,2.22,2.19,2.19,1.92,359100,0.0,0.0
1985-01-29,0.0,2.31,2.28,2.28,2.0,290250,0.0,0.0
1985-01-30,0.0,2.39,2.33,2.33,2.05,298350,0.0,0.0
1985-01-31,0.0,2.39,2.33,2.33,2.05,76950,0.0,0.0
1985-02-01,0.0,2.33,2.28,2.28,2.0,46800,0.0,0.0
1985-02-04,0.0,2.36,2.31,2.31,2.02,196200,0.0,0.0
1985-02-05,0.0,2.44,2.36,2.36,2.07,755100,0.0,0.0
1985-02-06,0.0,2.61,2.58,2.58,2.27,313200,0.0,0.0
1985-02-07,0.0,2.69,2.64,2.64,2.31,561600,0.0,0.0
1985-02-08,0.0,2.67,2.64,2.64,2.31,123300,0.0,0.0
1985-02-11,0.0,2.67,2.61,2.61,2.29,61650,0.0,0.0
1985-02-12,0.0,2.61,2.56,2.56,2.24,133650,0.0,0.0
1985-02-13,0.0,2.61,2.56,2.56,2.24,222750,0.0,0.0
1985-02-14,0.0,2.5,2.47,2.47,2.17,202050,0.0,0.0
1985-02-15,0.0,2.56,2.5,2.5,2.19,78750,0.0,0.0
1985-02-19,0.0,2.53,2.5,2.5,2.19,89550,0.0,0.0
1985-02-20,0.0,2.44,2.42,2.42,2.12,68400,0.0,0.0
1985-02-21,0.0,2.44,2.39,2.39,2.1,51750,0.0,0.0
1985-02-22,0.0,2.36,2.28,2.28,2.0,57150,0.0,0.0
1985-02-25,0.0,2.33,2.28,2.28,2.0,80550,0.0,0.0
1985-02-26,0.0,2.31,2.25,2.25,1.97,90000,0.0,0.0
1985-02-27,0.0,2.28,2.22,2.22,1.95,75600,0.0,0.0
1985-02-28,0.0,2.42,2.36,2.36,2.07,387000,0.0,0.0
1985-03-01,0.0,2.47,2.44,2.44,2.14,626850,0.0,0.0
1985-03-04,0.0,2.58,2.53,2.53,2.22,349200,0.0,0.0
1985-03-05,0.0,2.67,2.53,2.61,2.29,769050,0.0,0.0
1985-03-06,0.0,2.67,2.61,2.61,2.29,126900,0.0,0.0
1985-03-07,0.0,2.61,2.53,2.56,2.24,495000,0.0,0.0
1985-03-08,0.0,2.56,2.47,2.53,2.22,118350,0.0,0.0
1985-03-11,0.0,2.53,2.36,2.47,2.17,231300,0.0,0.0
1985-03-12,0.0,2.47,2.39,2.44,2.14,331650,0.0,0.0
1985-03-13,0.0,2.44,2.36,2.36,2.07,60300,0.0,0.0
1985-03-14,0.0,2.42,2.36,2.42,2.12,126900,0.0,0.0
1985-03-15,0.0,2.44,2.39,2.42,2.12,97200,0.0,0.0
1985-03-18,0.0,2.42,2.33,2.36,2.07,77400,0.0,0.0
1985-03-19,0.0,2.36,2.31,2.36,2.07,22050,0.0,0.0
1985-03-20,0.0,2.36,2.28,2.31,2.02,273600,0.0,0.0
1985-03-21,0.0,2.31,2.22,2.22,1.95,31500,0.0,0.0
1985-03-22,0.0,2.33,2.22,2.22,1.95,502650,0.0,0.0
1985-03-25,0.0,2.31,2.22,2.31,2.02,135900,0.0,0.0
1985-03-26,0.0,2.31,2.28,2.31,2.02,146700,0.0,0.0
1985-03-27,0.0,2.31,2.22,2.28,2.0,268200,0.0,0.0
1985-03-28,0.0,2.25,2.19,2.19,1.92,35550,0.0,0.0
1985-03-29,0.0,2.25,2.19,2.22,1.95,179100,0.0,0.0
1985-04-01,0.0,2.25,2.19,2.22,1.95,66600,0.0,0.0
1985-04-02,0.0,2.25,2.22,2.22,1.95,37800,0.0,0.0
1985-04-03,0.0,2.28,2.25,2.28,2.0,18450,0.0,0.0
1985-04-04,0.0,2.28,2.22,2.22,1.95,19350,0.0,0.0
1985-04-08,0.0,2.31,2.25,2.25,1.97,58500,0.0,0.0
1985-04-09,0.0,2.31,2.22,2.25,1.97,23400,0.0,0.0
1985-04-10,0.0,2.25,2.19,2.25,1.97,118800,0.0,0.0
1985-04-11,0.0,2.25,2.22,2.25,1.97,21600,0.0,0.0
1985-04-12,0.0,2.25,2.22,2.22,1.95,14850,0.0,0.0
1985-04-15,0.0,2.25,2.22,2.25,1.97,8550,0.0,0.0
1985-04-16,0.0,2.33,2.22,2.33,2.05,72000,0.0,0.0
1985-04-17,0.0,2.33,2.28,2.28,2.0,29250,0.0,0.0
1985-04-18,0.0,2.33,2.31,2.31,2.02,10800,0.0,0.0
1985-04-19,0.0,2.33,2.28,2.28,2.0,276300,0.0,0.0
