Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1998-03-23,16.78,16.78,16.78,16.78,13.42,1073,0.0,0.0
1998-03-24,17.01,17.42,17.01,17.42,13.94,116711,0.0,0.0
1998-03-25,17.65,17.68,17.48,17.68,14.15,27891,0.0,0.0
1998-03-26,17.57,17.6,17.39,17.6,14.08,76163,0.0,0.0
1998-03-27,17.54,17.54,16.95,17.19,13.75,847444,0.0,0.0
1998-03-30,16.95,17.16,16.66,16.75,13.4,384890,0.0,0.0
1998-03-31,16.84,16.98,16.55,16.69,13.35,644701,0.0,0.0
1998-04-01,16.31,16.37,15.73,16.26,13.0,1004918,0.0,0.0
1998-04-02,16.26,17.07,16.26,17.01,13.61,1046539,0.0,0.0
1998-04-03,16.95,17.36,16.66,17.28,13.82,766990,0.0,0.0
1998-04-06,17.22,17.33,16.78,16.78,13.42,417715,0.0,0.0
1998-04-07,16.9,16.9,16.08,16.46,13.17,1516388,0.0,0.0
1998-04-08,16.46,16.55,16.11,16.4,13.12,602007,0.0,0.0
1998-04-09,16.43,16.81,16.08,16.08,12.86,711209,0.0,0.0
1998-04-13,15.85,16.14,15.73,16.14,12.91,1257864,0.0,0.0
1998-04-14,16.2,16.9,16.2,16.87,13.49,1577532,0.0,0.0
1998-04-15,17.36,17.36,17.01,17.33,13.87,596858,0.0,0.0
1998-04-16,17.3,17.3,16.34,16.4,13.14,422864,0.02,0.0
1998-04-17,16.4,16.46,15.94,16.02,12.83,788444,0.0,0.0
1998-04-20,15.99,16.02,15.59,15.59,12.48,577120,0.0,0.0
1998-04-21,15.64,15.82,14.8,14.8,11.85,825346,0.0,0.0
1998-04-22,14.8,15.15,14.8,15.06,12.06,1218817,0.0,0.0
1998-04-23,14.86,14.97,14.68,14.97,11.99,976169,0.0,0.0
1998-04-24,14.92,15.21,14.92,15.15,12.13,862676,0.0,0.0
1998-04-27,15.06,15.21,14.92,15.15,12.13,861818,0.0,0.0
1998-04-28,15.18,15.73,15.15,15.53,12.44,305509,0.0,0.0
1998-04-29,15.64,15.64,15.32,15.44,12.37,948279,0.0,0.0
1998-04-30,15.41,15.5,14.92,14.92,11.95,1989240,0.0,0.0
1998-05-01,14.92,15.61,14.92,15.56,12.46,940341,0.0,0.0
1998-05-04,15.96,16.05,15.85,15.96,12.79,462340,0.0,0.0
1998-05-05,15.96,15.96,15.85,15.96,12.79,227844,0.0,0.0
1998-05-06,15.96,16.08,15.38,15.38,12.32,743605,0.0,0.0
1998-05-07,15.15,15.32,14.86,14.92,11.95,869542,0.0,0.0
1998-05-08,14.92,15.27,14.92,15.03,12.04,607156,0.0,0.0
1998-05-11,15.03,15.12,14.68,14.74,11.81,1053834,0.0,0.0
1998-05-12,14.71,14.83,14.22,14.22,11.39,1263871,0.0,0.0
1998-05-13,14.33,15.5,14.33,15.35,12.3,2205070,0.0,0.0
1998-05-14,15.24,15.32,14.86,15.27,12.23,356141,0.0,0.0
1998-05-15,15.27,15.61,15.06,15.47,12.39,380599,0.0,0.0
1998-05-18,15.59,15.85,15.53,15.61,12.51,539146,0.0,0.0
