Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1976-06-17,0.0,2.15,1.95,2.12,1.03,600220,0.0,0.0
1976-06-18,0.0,2.22,2.08,2.18,1.06,855469,0.0,0.0
1976-06-21,0.0,2.22,2.15,2.15,1.04,486328,0.0,0.0
1976-06-22,0.0,2.18,2.05,2.12,1.03,290039,0.0,0.0
1976-06-23,0.0,2.08,1.84,1.95,0.94,278320,0.0,0.0
1976-06-24,0.0,2.01,1.91,2.01,0.98,123413,0.0,0.0
1976-06-25,0.0,2.05,2.01,2.05,0.99,231079,0.0,0.0
1976-06-28,0.0,2.08,2.01,2.05,0.99,127441,0.0,0.0
1976-06-29,0.0,2.08,1.98,1.98,0.96,68848,0.0,0.0
1976-06-30,0.0,2.05,1.95,2.05,0.99,131470,0.0,0.0
1976-07-01,0.0,2.05,1.98,1.98,0.96,66284,0.0,0.0
1976-07-02,0.0,2.01,1.95,1.98,0.96,84961,0.0,0.0
1976-07-06,0.0,1.98,1.91,1.91,0.93,92651,0.0,0.0
1976-07-07,0.0,1.98,1.88,1.98,0.96,142456,0.0,0.0
1976-07-08,0.0,1.98,1.95,1.95,0.94,80933,0.0,0.0
1976-07-09,0.0,2.12,1.95,2.12,1.03,241699,0.0,0.0
1976-07-12,0.0,2.12,2.05,2.08,1.01,108398,0.0,0.0
1976-07-13,0.0,2.12,1.95,1.98,0.96,303223,0.0,0.0
1976-07-14,0.0,1.98,1.95,1.95,0.94,83496,0.0,0.0
1976-07-15,0.0,1.98,1.95,1.95,0.94,52368,0.0,0.0
1976-07-16,0.0,1.98,1.91,1.95,0.94,125977,0.0,0.0
1976-07-19,0.0,1.95,1.91,1.91,0.93,79468,0.0,0.0
1976-07-20,0.0,1.91,1.84,1.88,0.91,74707,0.0,0.0
1976-07-21,0.0,1.88,1.84,1.84,0.89,84961,0.0,0.0
1976-07-22,0.0,1.88,1.84,1.84,0.89,154175,0.0,0.0
1976-07-23,0.0,1.88,1.84,1.88,0.91,39917,0.0,0.0
1976-07-26,0.0,1.88,1.77,1.84,0.89,78003,0.0,0.0
1976-07-27,0.0,1.84,1.77,1.77,0.86,65918,0.0,0.0
1976-07-28,0.0,1.77,1.71,1.74,0.84,45044,0.0,0.0
1976-07-29,0.0,1.77,1.71,1.74,0.84,40649,0.0,0.0
1976-07-30,0.0,1.81,1.74,1.77,0.86,41748,0.0,0.0
1976-08-02,0.0,1.81,1.74,1.74,0.84,38452,0.0,0.0
1976-08-03,0.0,1.81,1.74,1.81,0.88,41748,0.0,0.0
1976-08-04,0.0,1.84,1.77,1.81,0.88,55664,0.0,0.0
1976-08-05,0.0,1.81,1.77,1.77,0.86,221191,0.0,0.0
1976-08-06,0.0,1.77,1.74,1.74,0.84,58594,0.0,0.0
1976-08-09,0.0,1.77,1.71,1.71,0.83,42480,0.0,0.0
1976-08-10,0.0,1.74,1.71,1.71,0.83,64819,0.0,0.0
1976-08-11,0.0,1.74,1.71,1.71,0.83,41748,0.0,0.0
1976-08-12,0.0,1.74,1.71,1.71,0.83,49438,0.0,0.0
1976-08-13,0.0,1.74,1.71,1.74,0.84,64819,0.0,0.0
1976-08-16,0.0,1.74,1.71,1.71,0.83,46509,0.0,0.0
1976-08-17,0.0,1.74,1.67,1.74,0.84,74707,0.0,0.0
1976-08-18,0.0,1.77,1.71,1.77,0.86,119019,0.0,0.0
1976-08-19,0.0,1.77,1.71,1.74,0.84,31860,0.0,0.0
1976-08-20,0.0,1.77,1.71,1.74,0.84,34424,0.0,0.0
1976-08-23,0.0,1.74,1.67,1.67,0.81,52368,0.0,0.0
1976-08-24,0.0,1.71,1.64,1.64,0.79,98145,0.0,0.0
1976-08-25,0.0,1.64,1.57,1.64,0.79,43579,0.0,0.0
1976-08-26,0.0,1.67,1.57,1.6,0.78,51270,0.0,0.0
1976-08-27,0.0,1.64,1.6,1.6,0.78,21973,0.0,0.0
1976-08-30,0.0,1.64,1.6,1.6,0.78,44312,0.0,0.0
1976-08-31,0.0,1.6,1.57,1.6,0.78,29663,0.0,0.0
1976-09-01,0.0,1.64,1.6,1.6,0.78,56396,0.0,0.0
1976-09-02,0.0,1.67,1.6,1.64,0.79,46143,0.0,0.0
1976-09-03,0.0,1.64,1.54,1.54,0.75,103271,0.0,0.0
1976-09-07,0.0,1.6,1.54,1.6,0.78,55298,0.0,0.0
1976-09-08,0.0,1.67,1.6,1.64,0.79,131470,0.0,0.0
1976-09-09,0.0,1.67,1.64,1.67,0.81,68115,0.0,0.0
1976-09-10,0.0,1.74,1.67,1.74,0.84,49438,0.0,0.0
1976-09-13,0.0,1.81,1.77,1.81,0.88,91187,0.0,0.0
1976-09-14,0.0,1.91,1.81,1.91,0.93,147583,0.0,0.0
1976-09-15,0.0,1.95,1.88,1.91,0.93,145020,0.0,0.0
1976-09-16,0.0,1.91,1.88,1.88,0.91,67749,0.0,0.0
1976-09-17,0.0,1.88,1.84,1.88,0.91,70312,0.0,0.0
1976-09-20,0.0,1.88,1.77,1.81,0.88,66284,0.0,0.0
1976-09-21,0.0,1.84,1.77,1.81,0.88,53101,0.0,0.0
1976-09-22,0.0,1.84,1.81,1.81,0.88,56030,0.0,0.0
1976-09-23,0.0,1.84,1.77,1.81,0.88,43579,0.0,0.0
1976-09-24,0.0,1.84,1.81,1.84,0.89,20508,0.0,0.0
1976-09-27,0.0,1.88,1.81,1.81,0.88,45410,0.0,0.0
1976-09-28,0.0,1.81,1.77,1.77,0.86,67017,0.0,0.0
1976-09-29,0.0,1.77,1.64,1.64,0.79,93018,0.0,0.0
1976-09-30,0.0,1.67,1.57,1.64,0.79,117920,0.0,0.0
1976-10-01,0.0,1.67,1.6,1.64,0.79,51270,0.0,0.0
1976-10-04,0.0,1.67,1.64,1.67,0.81,43945,0.0,0.0
1976-10-05,0.0,1.67,1.6,1.6,0.78,32959,0.0,0.0
1976-10-06,0.0,1.64,1.6,1.6,0.78,26733,0.0,0.0
1976-10-07,0.0,1.64,1.57,1.57,0.76,19409,0.0,0.0
1976-10-08,0.0,1.64,1.57,1.57,0.76,93384,0.0,0.0
1976-10-11,0.0,1.6,1.54,1.57,0.76,29297,0.0,0.0
1976-10-12,0.0,1.6,1.5,1.5,0.73,55664,0.0,0.0
1976-10-13,0.0,1.57,1.5,1.57,0.76,50903,0.0,0.0
1976-10-14,0.0,1.6,1.54,1.54,0.75,51636,0.0,0.0
1976-10-15,0.0,1.57,1.54,1.57,0.76,36621,0.0,0.0
1976-10-18,0.0,1.57,1.54,1.54,0.75,27466,0.0,0.0
1976-10-19,0.0,1.57,1.5,1.57,0.76,30396,0.0,0.0
1976-10-20,0.0,1.6,1.54,1.6,0.78,46875,0.0,0.0
1976-10-21,0.0,1.6,1.57,1.57,0.76,19043,0.0,0.0
1976-10-22,0.0,1.57,1.54,1.54,0.75,16846,0.0,0.0
1976-10-25,0.0,1.57,1.54,1.54,0.75,22339,0.0,0.0
1976-10-26,0.0,1.54,1.5,1.54,0.75,43579,0.0,0.0
1976-10-27,0.0,1.57,1.5,1.57,0.76,37354,0.0,0.0
1976-10-28,0.0,1.57,1.47,1.47,0.71,77637,0.0,0.0
1976-10-29,0.0,1.5,0.96,0.96,0.46,46143,0.0,0.0
1976-11-01,0.0,1.5,1.43,1.47,0.71,76172,0.0,0.0
1976-11-03,0.0,1.47,1.43,1.47,0.71,63354,0.0,0.0
1976-11-04,0.0,1.47,1.43,1.47,0.71,46875,0.0,0.0
1976-11-05,0.0,1.54,1.47,1.47,0.71,36621,0.0,0.0
1976-11-08,0.0,1.5,1.43,1.43,0.7,49805,0.0,0.0
1976-11-09,0.0,1.47,1.43,1.43,0.7,73242,0.0,0.0
1976-11-10,0.0,1.54,1.43,1.47,0.71,63354,0.0,0.0
1976-11-11,0.0,1.5,1.47,1.47,0.71,44678,0.0,0.0
1976-11-12,0.0,1.5,1.47,1.47,0.71,30762,0.0,0.0
1976-11-15,0.0,1.47,1.43,1.43,0.7,21240,0.0,0.0
1976-11-16,0.0,1.54,1.47,1.54,0.75,116821,0.0,0.0
1976-11-17,0.0,1.74,1.54,1.74,0.84,121948,0.0,0.0
1976-11-18,0.0,1.84,1.74,1.84,0.89,119019,0.0,0.0
1976-11-19,0.0,1.84,1.74,1.74,0.84,68848,0.0,0.0
1976-11-22,0.0,1.74,1.67,1.67,0.81,58594,0.0,0.0
1976-11-23,0.0,1.71,1.6,1.64,0.79,35156,0.0,0.0
1976-11-24,0.0,1.67,1.64,1.67,0.81,36255,0.0,0.0
1976-11-26,0.0,1.67,1.64,1.67,0.81,24902,0.0,0.0
1976-11-29,0.0,1.71,1.57,1.64,0.79,80933,0.0,0.0
1976-11-30,0.0,1.64,1.6,1.64,0.79,28198,0.0,0.0
1976-12-01,0.0,1.67,1.6,1.64,0.79,40649,0.0,0.0
1976-12-02,0.0,1.67,1.64,1.64,0.79,64453,0.0,0.0
1976-12-03,0.0,1.64,1.6,1.6,0.78,39551,0.0,0.0
1976-12-06,0.0,1.64,1.57,1.64,0.79,95215,0.0,0.0
1976-12-07,0.0,1.64,1.57,1.57,0.76,55298,0.0,0.0
1976-12-08,0.0,1.67,1.57,1.64,0.79,109863,0.0,0.0
1976-12-09,0.0,1.71,1.64,1.71,0.83,80566,0.0,0.0
1976-12-10,0.0,1.64,1.54,1.57,0.76,234375,0.0,0.0
1976-12-13,0.0,1.6,1.47,1.47,0.71,485962,0.0,0.0
1976-12-14,0.0,1.54,1.43,1.54,0.75,200684,0.0,0.0
1976-12-15,0.0,1.54,1.43,1.47,0.71,135132,0.0,0.0
1976-12-16,0.0,1.47,1.43,1.43,0.7,149414,0.0,0.0
1976-12-17,0.0,1.43,1.33,1.37,0.66,173218,0.0,0.0
