Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1993-03-19,0.33,0.36,0.32,0.33,0.19,90045169,0.0,0.0
1993-03-22,0.32,0.32,0.31,0.31,0.18,13600406,0.0,0.0
1993-03-23,0.31,0.32,0.31,0.31,0.18,8301488,0.0,0.0
1993-03-24,0.32,0.32,0.31,0.32,0.19,3663225,0.0,0.0
1993-03-25,0.32,0.33,0.32,0.33,0.19,4250981,0.0,0.0
1993-03-26,0.33,0.35,0.33,0.34,0.2,8315156,0.0,0.0
1993-03-29,0.35,0.35,0.34,0.35,0.2,7362900,0.0,0.0
1993-03-30,0.35,0.35,0.34,0.35,0.21,3809025,0.0,0.0
1993-03-31,0.36,0.36,0.35,0.35,0.21,3321506,0.0,0.0
1993-04-01,0.35,0.36,0.35,0.35,0.21,1421550,0.0,0.0
1993-04-02,0.36,0.36,0.35,0.36,0.21,1904513,0.0,0.0
1993-04-05,0.36,0.36,0.35,0.35,0.21,441956,0.0,0.0
1993-04-06,0.35,0.35,0.35,0.35,0.2,874800,0.0,0.0
1993-04-07,0.35,0.35,0.35,0.35,0.21,1366875,0.0,0.0
1993-04-08,0.35,0.36,0.35,0.36,0.21,947700,0.0,0.0
1993-04-12,0.36,0.36,0.35,0.35,0.2,186806,0.0,0.0
1993-04-13,0.36,0.37,0.35,0.36,0.21,2022975,0.0,0.0
1993-04-14,0.36,0.39,0.36,0.38,0.22,6187388,0.0,0.0
1993-04-15,0.38,0.38,0.36,0.36,0.21,3544763,0.0,0.0
1993-04-16,0.37,0.37,0.36,0.37,0.22,2063981,0.0,0.0
1993-04-19,0.37,0.37,0.35,0.36,0.21,1672144,0.0,0.0
1993-04-20,0.36,0.36,0.35,0.36,0.21,2360138,0.0,0.0
1993-04-21,0.35,0.38,0.35,0.37,0.22,3166594,0.0,0.0
1993-04-22,0.37,0.4,0.37,0.39,0.23,2984344,0.0,0.0
1993-04-23,0.4,0.41,0.39,0.41,0.24,1868063,0.0,0.0
1993-04-26,0.41,0.42,0.4,0.41,0.24,3521981,0.0,0.0
1993-04-27,0.41,0.43,0.41,0.43,0.25,2916000,0.0,0.0
1993-04-28,0.43,0.47,0.43,0.46,0.27,7900538,0.0,0.0
1993-04-29,0.46,0.47,0.42,0.44,0.26,8214919,0.0,0.0
1993-04-30,0.45,0.47,0.44,0.47,0.27,5216906,0.0,0.0
1993-05-03,0.46,0.47,0.46,0.47,0.28,1795163,0.0,0.0
1993-05-04,0.47,0.47,0.45,0.45,0.26,1612913,0.0,0.0
1993-05-05,0.45,0.47,0.45,0.46,0.27,1025156,0.0,0.0
1993-05-06,0.47,0.47,0.46,0.47,0.27,154913,0.0,0.0
1993-05-07,0.47,0.49,0.47,0.49,0.29,1895400,0.0,0.0
1993-05-10,0.49,0.52,0.49,0.52,0.3,5900344,0.0,0.0
1993-05-11,0.52,0.52,0.5,0.52,0.3,2847656,0.0,0.0
1993-05-12,0.52,0.52,0.5,0.52,0.3,1854394,0.0,0.0
