Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2001-06-13,31.5,32.0,31.09,31.25,12.26,69567200,0.0,0.0
2001-06-14,31.0,31.0,29.5,30.15,11.83,31979800,0.0,0.0
2001-06-15,30.0,30.75,29.95,30.6,12.01,14369300,0.0,0.0
2001-06-18,30.06,30.6,30.06,30.32,11.9,4019800,0.0,0.0
2001-06-19,30.6,30.71,30.21,30.4,11.93,5690300,0.0,0.0
2001-06-20,30.4,30.59,30.18,30.3,11.89,3791600,0.0,0.0
2001-06-21,30.35,30.35,30.0,30.0,11.77,6027200,0.0,0.0
2001-06-22,30.0,30.02,29.76,30.0,11.77,4847700,0.0,0.0
2001-06-25,30.0,30.15,29.85,30.15,11.83,2420300,0.0,0.0
2001-06-26,30.0,30.08,29.81,30.04,11.79,3333300,0.0,0.0
2001-06-27,29.95,30.0,29.81,29.94,11.75,3182300,0.0,0.0
2001-06-28,29.98,30.44,29.97,30.41,11.93,2778100,0.0,0.0
2001-06-29,30.5,31.0,30.33,31.0,12.16,5777800,0.0,0.0
2001-07-02,30.7,30.7,30.42,30.47,11.95,3167600,0.0,0.0
2001-07-03,30.46,30.64,30.42,30.56,11.99,608700,0.0,0.0
2001-07-05,30.75,31.03,30.63,30.93,12.13,2085500,0.0,0.0
2001-07-06,30.98,30.98,30.5,30.65,12.03,945300,0.0,0.0
2001-07-09,30.6,30.74,30.25,30.38,11.92,2295300,0.0,0.0
2001-07-10,30.45,30.85,30.28,30.35,11.91,3301300,0.0,0.0
2001-07-11,30.36,30.36,30.0,30.3,11.89,2023000,0.0,0.0
2001-07-12,30.65,30.9,30.2,30.9,12.12,1912500,0.0,0.0
2001-07-13,30.9,30.98,30.46,30.73,12.06,995400,0.0,0.0
2001-07-16,30.73,31.01,30.65,30.71,12.05,1198100,0.0,0.0
2001-07-17,30.89,31.45,30.85,31.45,12.34,3792700,0.0,0.0
2001-07-18,31.45,31.5,30.8,31.49,12.35,5645100,0.0,0.0
2001-07-19,31.74,31.74,30.19,31.32,12.29,3326000,0.0,0.0
2001-07-20,31.25,31.34,31.01,31.2,12.24,1390900,0.0,0.0
2001-07-23,31.1,31.19,30.92,31.0,12.16,1756000,0.0,0.0
2001-07-24,31.18,31.19,30.9,31.07,12.19,1146500,0.0,0.0
2001-07-25,31.0,31.0,30.51,30.7,12.04,860600,0.0,0.0
2001-07-26,30.95,31.19,30.62,31.12,12.21,1901900,0.0,0.0
2001-07-27,31.2,31.2,30.81,30.91,12.13,1541800,0.0,0.0
2001-07-30,31.09,31.1,30.5,30.6,12.01,1233900,0.0,0.0
2001-07-31,30.5,31.16,30.5,30.95,12.14,2020200,0.0,0.0
2001-08-01,30.9,31.01,30.58,30.78,12.08,2302200,0.0,0.0
2001-08-02,30.7,31.17,30.65,30.95,12.14,2700000,0.0,0.0
2001-08-03,30.86,30.98,30.5,30.7,12.04,456800,0.0,0.0
2001-08-06,30.71,30.84,30.25,30.35,11.91,847600,0.0,0.0
2001-08-07,30.45,30.54,30.28,30.5,11.97,991400,0.0,0.0
2001-08-08,30.7,30.7,30.0,30.01,11.77,1517200,0.0,0.0
2001-08-09,30.05,30.37,30.0,30.37,11.92,752900,0.0,0.0
2001-08-10,30.25,31.12,30.15,30.8,12.08,1119700,0.0,0.0
2001-08-13,30.96,31.19,30.92,31.1,12.2,1749200,0.0,0.0
2001-08-14,31.2,31.25,31.0,31.1,12.2,1365300,0.0,0.0
2001-08-15,31.1,31.2,30.97,30.98,12.15,2106500,0.0,0.0
2001-08-16,30.98,31.27,30.95,31.15,12.22,1351200,0.0,0.0
2001-08-17,31.15,31.35,30.91,31.35,12.3,1164200,0.0,0.0
2001-08-20,31.39,31.76,31.27,31.72,12.44,2020900,0.0,0.0
2001-08-21,31.95,32.1,31.75,32.08,12.59,2699600,0.0,0.0
2001-08-22,32.8,33.01,32.42,32.9,12.91,3184700,0.0,0.0
2001-08-23,32.89,32.94,32.57,32.89,12.9,2358900,0.0,0.0
2001-08-24,32.89,32.89,32.35,32.35,12.69,1173700,0.0,0.0
2001-08-27,32.0,32.47,32.0,32.3,12.67,866500,0.0,0.0
2001-08-28,32.5,32.58,31.75,31.9,12.52,965300,0.0,0.0
2001-08-29,31.9,32.29,31.58,32.29,12.67,1504200,0.0,0.0
2001-08-30,32.09,32.65,32.05,32.65,12.81,1569700,0.0,0.0
2001-08-31,32.65,32.98,32.19,32.25,12.65,1536500,0.0,0.0
2001-09-04,32.7,33.29,32.2,33.05,12.97,1841800,0.0,0.0
2001-09-05,33.0,33.35,32.87,33.35,13.08,1770400,0.0,0.0
2001-09-06,33.4,34.8,33.35,34.0,13.34,3816000,0.0,0.0
2001-09-07,33.5,34.2,33.44,34.0,13.34,2900700,0.0,0.0
2001-09-10,33.75,33.88,33.29,33.75,13.24,1463500,0.0,0.0
2001-09-17,33.15,34.27,32.77,32.9,12.91,3904000,0.0,0.0
2001-09-18,32.95,33.38,32.9,32.9,12.91,4516300,0.0,0.0
