Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2000-06-30,13.81,14.75,12.69,14.25,12.29,3518000,0.0,0.0
2000-07-03,14.36,14.36,13.41,13.75,11.86,778800,0.0,0.0
2000-07-05,13.56,13.75,12.5,12.89,11.12,2986000,0.0,0.0
2000-07-06,12.91,13.0,10.56,11.38,9.81,3596000,0.0,0.0
2000-07-07,11.41,12.09,10.75,11.97,10.32,1938800,0.0,0.0
2000-07-10,11.88,13.64,11.38,12.47,10.76,2824400,0.0,0.0
2000-07-11,12.25,13.5,11.59,12.09,10.43,2786800,0.0,0.0
2000-07-12,12.52,14.61,12.12,14.53,12.54,4570400,0.0,0.0
2000-07-13,14.94,15.94,13.52,15.09,13.02,5894400,0.0,0.0
2000-07-14,15.12,15.12,13.62,13.81,11.92,1805200,0.0,0.0
2000-07-17,13.94,15.16,13.0,14.8,12.76,1578000,0.0,0.0
2000-07-18,14.5,16.17,14.06,15.69,13.53,2166000,0.0,0.0
2000-07-19,15.81,17.0,15.19,16.53,14.26,3068800,0.0,0.0
2000-07-20,16.89,17.62,16.44,17.09,14.75,1586400,0.0,0.0
2000-07-21,17.0,17.36,15.38,15.39,13.28,1402000,0.0,0.0
2000-07-24,16.52,16.52,13.75,13.75,11.86,3320800,0.0,0.0
2000-07-25,14.12,14.53,13.19,14.16,12.21,1588400,0.0,0.0
2000-07-26,14.19,14.19,12.69,13.17,11.36,1924400,0.0,0.0
2000-07-27,13.06,13.06,11.62,12.08,10.42,2432000,0.0,0.0
2000-07-28,12.34,12.38,11.25,12.38,10.68,1814000,0.0,0.0
2000-07-31,12.45,12.53,11.38,11.42,9.85,1662000,0.0,0.0
2000-08-01,11.62,11.75,10.75,10.8,9.31,894400,0.0,0.0
2000-08-02,10.78,11.62,10.41,11.5,9.92,1896800,0.0,0.0
2000-08-03,11.25,13.41,11.08,13.41,11.57,1499200,0.0,0.0
2000-08-04,13.11,14.44,13.11,14.44,12.45,1474800,0.0,0.0
2000-08-07,14.7,14.75,13.33,13.75,11.86,492400,0.0,0.0
2000-08-08,13.81,14.22,13.5,13.5,11.65,323600,0.0,0.0
2000-08-09,13.77,14.0,13.0,13.16,11.35,369200,0.0,0.0
2000-08-10,13.33,13.33,12.5,13.0,11.21,300400,0.0,0.0
2000-08-11,13.0,13.19,12.39,12.97,11.19,134000,0.0,0.0
2000-08-14,12.81,13.0,12.38,12.47,10.76,593200,0.0,0.0
2000-08-15,12.44,12.84,12.25,12.75,11.0,204000,0.0,0.0
2000-08-16,12.8,13.78,12.75,13.72,11.83,740800,0.0,0.0
