Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1986-03-13,0.09,0.1,0.09,0.1,0.06,1031788800,0.0,0.0
1986-03-14,0.1,0.1,0.1,0.1,0.06,308160000,0.0,0.0
1986-03-17,0.1,0.1,0.1,0.1,0.06,133171200,0.0,0.0
1986-03-18,0.1,0.1,0.1,0.1,0.06,67766400,0.0,0.0
1986-03-19,0.1,0.1,0.1,0.1,0.06,47894400,0.0,0.0
1986-03-20,0.1,0.1,0.09,0.1,0.06,58435200,0.0,0.0
1986-03-21,0.1,0.1,0.09,0.09,0.06,59990400,0.0,0.0
1986-03-24,0.09,0.09,0.09,0.09,0.06,65289600,0.0,0.0
1986-03-25,0.09,0.09,0.09,0.09,0.06,32083200,0.0,0.0
1986-03-26,0.09,0.1,0.09,0.09,0.06,22752000,0.0,0.0
1986-03-27,0.09,0.1,0.09,0.1,0.06,16848000,0.0,0.0
1986-03-31,0.1,0.1,0.09,0.1,0.06,12873600,0.0,0.0
1986-04-01,0.1,0.1,0.09,0.09,0.06,11088000,0.0,0.0
1986-04-02,0.09,0.1,0.09,0.1,0.06,27014400,0.0,0.0
1986-04-03,0.1,0.1,0.1,0.1,0.06,23040000,0.0,0.0
1986-04-04,0.1,0.1,0.1,0.1,0.06,26582400,0.0,0.0
1986-04-07,0.1,0.1,0.09,0.09,0.06,16560000,0.0,0.0
1986-04-08,0.09,0.1,0.09,0.1,0.06,10252800,0.0,0.0
1986-04-09,0.1,0.1,0.1,0.1,0.06,12153600,0.0,0.0
1986-04-10,0.1,0.1,0.1,0.1,0.06,13881600,0.0,0.0
1986-04-11,0.1,0.1,0.1,0.1,0.06,17222400,0.0,0.0
1986-04-14,0.1,0.1,0.1,0.1,0.06,12153600,0.0,0.0
1986-04-15,0.1,0.1,0.1,0.1,0.06,9302400,0.0,0.0
1986-04-16,0.1,0.11,0.1,0.1,0.07,31910400,0.0,0.0
1986-04-17,0.1,0.11,0.1,0.11,0.07,22003200,0.0,0.0
1986-04-18,0.11,0.11,0.1,0.1,0.06,21628800,0.0,0.0
